Лямбирский район,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
,,,,,"м-н ""Виктория"" № 45 с..Б.Елховка, ул.Фабричная, 1, Лям.",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №47 с. Лямбирь, ул. Комсомольская, 81",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №17 с. Пензятка, ул. Казанская, 78, Лямбирс",,,,,,
,,,,,"м-н ""Птица №15"" п. Коммунар, ул. Школьная, 3, Лямбирск.",,,,,,
,,,,,"м-н ""Птица"" №8 г. Рузаевка, ул. Гагарина, 5",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №12 г. Рузаевка, ул. Титова, 9",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №37 г. Рузаевка, ул. К.Маркса, 16 г",,"""-""-""-""",,,,
,,,,,"м-н ""Птица №35"" г. Рузаевка, б-р Горшкова, 9",,,,,,
,,,,,"м-н ""Птица"" №20, г.Ковылкино,ул.Советская, 12а",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №21, г.Ковылкино, ул. Есенина, 8 б",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" № 48, г.Ковылкино, ул.Желябова, 12б",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" № 23, г.Краснослободск, ул.Ленина, 4а",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №24,г.Краснослободск,мкр.-3,11",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №6 п. Чамзинка, ул. Почтовая, 4",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №19 г. Ардатов, ул. Ленинская, 96а",,,,,,
,,,,,"м-н ""Птица"" №28 с. Ст. Шайгово, ул. Ленина, 4б",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №25 с. Атюрьево, ул. Ленина, 1",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №29 п. Торбеево, ул. Интернациональная, 41",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №58 п. Торбеево, ул. Спортивная, 8а",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №30,г.Темников,ул.Ленина, 45",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №53 с. Дубенки, ул. Центральная, 22",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №55 с. Кочкурово, ул. Школьная, 3",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №57 п. Атяшево, ул. Центральная, 42а",,"""-""-""-""",,,,
,,,,,"м-н ""Птица""№ 50, Б.Березники, ул.Кооперативная. 21",,"""-""-""-""",25-27-82,,,
,,,,,"м-н ""Птица"" №54 с. Ельники, пл. 1 Мая, 2",,"""-""-""-""",25-27-82,,,
,,,,,"м-н ""Птица"" №9 с. Теньгушево, ул. Ленина, 68а",,"""-""-""-""",,,,
,,,,,"м-н ""Птица"" №60 п. Барашево, ул. Вокзальная, 48, Теньгушевский",,,,,,
,,,,,"магазин ""Птица"" № 22, п. Явас, ул. Комсомольская, 17а, З.Полянский",,,,,,
,,,,,"м-н ""Птица"" № 46 п. Кадошкино, ул. Болдина, 3",,,,,,
1,132,13 РМ,"ООО ""Компания ""Атлет"" с. Лямбирь, ул.",1315487710,"м-н ""Aleksandr S"" с. Б.Елховка, ул. Имерянова, 61б, Лямб",3,29/05/12,89271726161,,Таратынов Александр Михайлович,
,,000014,"Гражданская, 18а",1061310006933,"м-н ""Лилия"" с. Лямбирь, ул. Гражданская, 18а",,29/05/14,,,Козлова татьяна Сергеевна,
,,,Всего - 3,,"м-н ""Евгений"", с. Лямбирь, ул. 40 лет Победы, 22а",,,,,,
1,148,13 РМ,"ООО ""Пиар"" с. Александровка, ул. Долганова, 7а",1315487742,"м-н с. Александровка, ул. Долганова, 7а, Лямбирский р-н",1,15/06/12,72-80-41,,Погорелова Ирина Алексеевна,
,,000031,Лямбирский район,1061310006288,,,16/06/13,,,,
1,197,13 МЕ,"ООО ""БСН"" с. Б.Елховка, ул. Фабричная, 58",1315487661,"магазин ""Декор"", с. Б.Елховка, ул. Фабричная, 20а, Лямбирский район",3,23/06/11,3-12-12,,Бочкарев Сергей Николаевич,
,,001657,Лямбирский район ,10613110006592,"магазин ""Конрой"", с. Б.Елховка, ул. Фабричная, 58, Лямбирский район",,23/06/16,,,,
,,,,,"магазин ""У Дома"", с. Б.Елховка, ул. Вакола, 9а, Лямбирский район",,,,,,
1,151,13 МЕ,"ООО ""Виктория"" с. Атемар, ул. Центральная, 73в",1315487809,"м-н Лямбирский район, с. Атемар, ул. Центральная, 73 в;",6,30/06/09,3-48-28,,Корина Нина Владимировна,
,,000906,Лямбирский район ,,"м-н Лямбирский район, с. Скрябино, ул. Советская;",,15/06/14,89510583406,,,
,,,,,"м-н Лямбирский район, с. Павловка, ул. Дачная, 1 а.",,,,,,
,,,,,"м-н ""Хуторянка"" с. Хутор Лопатино, Лямбирский р-н",,,,,,
,,,,,"м-н с. Первомайск, ул. Жигулей, 1, Лямбирский",,,,,,
,,,,,"м-н ""Лагуна"" с. Кривозерье, ул. Ленина, 31, Лямбирский",,,,,,
1,156,13 РМ,"ООО ""ДКС"" г. Саранск, ул. Пролетарская, 130",1327000603,"м-н ""Океан"" с. Лямбирь, ул. Комсомольская, 57б",1,15/06/12,89271897918,,,
,,000049,,,,,15/04/13,,,,
1,162,13 МЕ,"ООО ""Русь"" п. Коммунар, ул. Школьная, 10-6,",1315487735,"м-н п. Коммунар, ул. Школьная, 4а, Лямбирский район",1,15/07/09,2-72-02,,Маркелова Нина Петровна,
,,000918,Лямбирский район ,,,,15/07/14,,,,
1,244,13 МЕ,"ООО ""Любава"" с. Атемар, ул. Центральная, 15,",1315487904,"м-н ""Продукты"", Кочк-ий р-н, с. Ст. Турдаки, ул. Мос-ая, 2;",4,15/07/11,89271939038,п.4.12.08,Люкшин Сергей Анатольевич,
,,001706,Лямбирский р-н ,1061310007527,"м-н ""Продукты"" Кочк-ий р-н, с. Воеводск, ул. К. Маркса, 1;",,15/07/14,,,,
,,,,,"м-н ""Все для дома"" Коч-ий р-н, п. Красномайский",,,,,,
,,,,,"м-н ""Железн-ный"" Коч-ий р-н, ст. Воеводск, ул. Раб-ая, 8а;",,,,,,
,,,,,"м-н Лямбирский район, с. Скрябино, ул. Советская, 42 а;",,,,,,
,,,,,"м-н Лямбирский район, с. Протасово, ул. Волод-кого, 1 а;",,,,,,
,,,,,"м-н ""Наташа"", Лямб-ий район, с. Атемар, ул. Цент-ая, 15;",,,,,,
,,,,,"киоск (до 15%)  Лямбирский район, с. Атемар, ул. Це-ая, 6а",,,,,,
1,245,13 МЕ,"ООО ""Натали"" с. Б.Елховка, ул. Фабричная, 58а,",1315487894,"м-н ""Наташа"", Лямб-ий р-н, с. Б. Елховка, ул. Фаб-ая, 58а;",4,15/07/11,89276410744,,Абдюшкина Наталья Анатольевна,
,,001707,Лямбирский р-н ,1061310007516,"м-н ""Продукты"", Лям-ий р-н, с. Б. Елховка, ул. Перв-ая, 64а;",,15/07/14,,,,
,,,,,"м-н ""Продукты"", Лям р-н, п. Атемар, ул. Центральная, 75 а;",,,,,,
,,,,,"бар ""Золотая рыбка"", Лямбирский район, ул. Центральная, 75 а.",,,,,,
1,246,13 МЕ,"ООО ""31 Мая"" с. Пензятка, ул. Саранская, 31,",1315487728,"магазин ""Продукты"", с. Пензятка, ул. Юбилейная, 3а, Лямбирский район",2,15/07/11,2-51-82,,Карабдаева Галия Заннятовна,
,,001709,Лямбирский р-н ,1061310006944,"магазин ""Московский"", с. Пензятка, ул. Московская, 1а",,15/07/14,89271866096,,,
1,275,13 МЕ,"ООО ""РОНАС"" с. Бересеневка, ул. Советская,",1315487870,"м-н ""24 часа"" с. Бересеневка, ул. Советская, 61 б, Лямбир",1,28/07/11,89276404801,,Родионова Надежда Николаевна,
,,001738,"61 б, Лямбирский р-н",1061310007362,,,28/07/12,,,,
1,293,13 МЕ,"ООО ""Руслан"" с. Лямбирь, ул. Крестьянская, 4а",1315488094,"м-н с. Лямбирь, ул. Крестьянская, 4а",2,30/08/11,2-25-06,,Муртазин Руслан Камилович,
,,001760,,1061310008572,"магазин, с. Лямбирь, ул. Гражданская, 38а",,15/12/13,,,,
1,329,13 МЕ,"ООО ""Батряковы"" с. Пензятка, ул. Саранс-",1315488087,"м-н с. Пензятка, ул. Саранская, 1а, Лямбирский р-н",1,24/12/09,89271827339,,Батрякова Нурия Шамильевна,
,,001097,"кая, 1а, Лямбирский р-н ",,,,24/12/14,,,,
1,28,13 МЕ,"ООО ""Антей и К"" г. Саранск, ул. Строительная,",1327002985,"м-н с. Берсеневка, ул. Советская, 59 б, Лямбирский",1,28/02/11,89271748712,27/04/09,Дрыгин Алексей Николаевич,
,,001467,1,,,,28/02/14,,,,
1,10,13 МЕ,"ООО ""АЗС Маркет"" г. Саранск, п. Николаевка,",1328908116,"м-н автотрасса ""Саранск-Москва"" 9км, Лямбирский",1,21/07/11,,,,
,,001931,ул. Ленина. 90,,,,21/07/16,,,,
1,24,13 МЕ,"ООО ""АЛЕКС"" с. Александровка, ул. Долга-",1315488344,"м-н с. Александровка, ул. Долганова, 8б, Лямбирский р-н",1,15/02/12,2-65-25,16/03/09,Гузаева Наталья Петровна,
,,001947,"нова, 8б, Лямбирский р-н",1081310000045,,,15/02/13,89271739516,20/03/09,,
1,186,13 МЕ,"ООО ""Хамелион"" с. Тат. Свербеевка, ул.",1328906912,"м-н с. Тат. Свербеевйка, ул. Центральная, 40а, Лямб.",1,01/10/08,89271823104,,Панькина Светлана Владимировна,
,,000642,"Центральная, 40а, Лямбир ",,,,30/07/12,,,,
1,383,13 МЕ,"Ромодановское райпо, п. Ромоданово, ул. Кирова",1316015326,"м-н с. Михайловка, ул. Верхняя, 2б, Лямбирский район",1,30/11/11,,,,
,,001859,13,,,,30/11/14,,,,
1,262,13 МЕ,"ООО ""ВИД"" п. Коммунар совхоз, ул. Школьная,",1316488545,"м-н п. совхоз ""Коммунар"", ул. Школьная, 2б, Лямбирский",1,29/12/08,89271710221,,Дьяков Владимир Ильич,
,,000727,2б ,,,,29/12/13,,,,
1,26,13 МЕ,"ООО ""Мордовская водка ""Р"" г. Саранск,",1327008031,"м-н №2 ф-л №7 с. Александровка, ул. Советская, 36а, Лям",2,20/02/12,,,,
,,001950,"ул. Веселовского, 62",,"магазин №10, филиал №3, с. Болотниково, ул. Полевая, 1в, Лямбирский ",,20/02/17,,,,
1,129,13 МЕ,"ООО ""Кашмир"", г.Саранск, ул.Коммун-ая. 119",1326006955,"м-н ""МартА"" с. Лямбирь, ул. Ленина, 61",1,16/05/11,24-32-91,,,
,,001581,,,,,16/05/16,24-63-55,,,
1,207,13 РМ,"ООО ""Объединение розничной торговли"" ",1328904520,"м-н ""Валентина"" с. Первомайск, ул. Жигули, 1, Лямбирс",6,29/06/12,29-43-09,,,
,,000098,"г. Саранск, Александровское ш. 7 ",,"м-н ""Садко"" с. Лямбирь, ул. Октябрьская, 102а",,15/03/13,,,,
,,,,,"м-н ""Продукты"" с. Лямбирь, ул. Комсомольская, 92а",,,,,,
,,,,,"м-н ""Перекресток"", с. Атемар, ул. Никольский порядок",,,,,,
,,,,,"магазин ""Продукты"", с. Лямбирь, ул. Большевитская, 54а",,,,,,
,,,,,"магазин ""Умарина"", с. Б.Елховка, ул. Октябрьская, 5а",,,,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"м-н ""Магнит"" с. Лямбирь, ул. Ленина, 61",1,15/05/12,,,,
,,000004,"185, филиал г. Саранск, б-р Эрзи, 12",,,,15/03/16,,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"м-н ""Марта"", с. Лямбирь, ул. Ленина, 65б",5,29/06/12,,,,
,,000096,"ленная, 7а ",,"магазин ""Продукты"", с. Лямбирь, ул. Комсомольская, 94а",,16/04/15,,,,
,,,,,"магазин ""Продукты"", с. Аксеново, ул. Октябрьская, 9а",,,,,,
,,,,,"магазин ""Продукты"", с. Пензятка, ул. Юбилейная, 3, Лямбирский район",,,,,,
,,,,,"магазин ""Продукты"", д. Николаевка, ул. Зеленый Дол, 49, Лямбирский район",,,,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"м-н ""Продукты"" с. Аксеново, ул. Октябрьская, 49а, Лямбирский район",7,29/06/12,,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"м-н ""Продукты"", с. Берсеневка, ул. Пролетарская, 25а, Лямбирский ",,15/07/14,,,,
,,,,,"м-н ""Продукты"", с. Т.Тавла, ул. Советская, 10а, Лямбирский район",,"""-""-""",,,,
,,,,,"м-н с. Лямбирь, ул. Комсомольская, 93а",,,,,,
,,,,,"м-н ""Айлина"", с. Лямбирь, ул. Ленина, 57г",,,,,,
,,,,,"магазин ""Продукты"", п. Чекаевский, 96, Лямбирский район",,,,,,
,,,,,"магазин ""Продукты"", с. Берсеневка, ул. Молодежная, 70а, Лямбирский район",,,,,,
1,204,13 РМ,"ООО ""Феникс-Н"" г. Саранск, ул. Семашко, 8, 1",1327010954,"магазин, с. Лямбирь, ул. Садовая, 3в",1,29/06/12,75-65-69,,,
,,000095,Всего - 17,1101327001258,,,29/06/13,,,,
1,42,13 МЕ,"ОАО ""Птицефабрика ""Атемарская"", с. Атемар",1315487527,"магазин №1, с. Атемар, ул. Центральная, 93, Лямбирский район",2,15/03/12,3-52-52,,Изосимова Надежда Борисовна,
,,001968,,1051310017550,"магазин №16, с. Атемар, ул. Центральная, 22, Лямбирский район",,15/03/17,,,,
1,54,13 МЕ,"ООО ""ХлебКом"", п. Коммунар, ул. Школьная, 3в,",1315000302,"магазин ""Продукты"", п. Коммунар, ул. Школьная, 3в, Лямбирский район",1,30/03/12,89272748317,,,
,,001981,Лямбирский район,1121310000041,,,30/03/13,,,,
1,90,13 МЕ,"ООО ""Винторг"", г. Саранск, ул. 2-ая Промышленная, 3 а",1327015399,"м-н №5 ""Продукты"", с. Лямбирь, ул. Гражданская, 2б",1,16/04/12,56-50-35,,,
,,002017,,1121327000332,,,16/04/13,,,,
1,167,13 РМ,"ООО ""Мегаторг М"", г. Саранск, ул. Крупская, 29, оф. 6",1326220853,"магазин, с. Лямбирь, ул. Октябрьская, 95а",1,15/06/12,89375187721,,,Мукосеева Надежда Александровна
,,000045,,1121326000388,,,27/04/13,,,,
1,209,13 РМ,"ООО ""Дуэт"", г. Саранск, ул. Демлкратическая, 11, 52",1326222089,"м-н ""Океан"" с. Лямбирь, ул. Комсомольская, 57б",1,29/06/12,89271763331,,,Анисимов Александр Васильевич
,,000094,,1121326001686,,,29/06/14,47-63-79,,,
,,,,,,,,89276435069,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,83,,,,,
33,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
