"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Тулунский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
11,ООО «Колосок»                                                           ИНН 3839002117,"г. Тулун,  серия 38,                                                                     №          001113791                                                      от   13.11. 2002 г,                                МИМНС России №  6 по Иркутской области",А 160757/3                                    от 09.06.08 г.                                       до 04.04.2013г.  ,"           Тулунский район:                                                        с.  Ишидей - магазин,  п. Утай -   магазин , п. Утай - магазин, п. Октябрьский -   магазин.",,,,,,
12,ООО «Диметра»                                                 ИНН 3816006683,"г. Тулун,  серия 38                                                            №   001407878                                     от  27.04.2004 г.                    ИМНС России № 6 по Иркутской области",А 174158 /13-Пр                    от    25.05. 2012 г.                                  до 28.09. 2012г.                                  ( переоформление взамен                                                          А 174141 /19-П от 09.11.2011 г.,"               Тулунский район (отдел):                                     с. Бадар -  магазин., с. Шерагул, магазин ",,,,,г. Тулун,
13,ООО «Казачка Ия»                                           ИНН 3816009973,"г. Тулун, серия 38                                                                          № 002745785                                                 от  01. 09. 2008 г.                          МИФНС  России №  6 по Иркутской области.",А 160760/6                                   от 13.11.2008 г.                                  с 13.11.2008 г.                   до 13.11.2013 г.,"Тулунский район, (отдел):                                                            350  метров северо-западнее д. Казакова - кафе.",,,,,,
14,Тулунское  Райпо                           ИНН 3839000920,"г. Тулун, серия 38,                                            №  002396054                                                                                           от 04.12.2006 г,                                       МИФНС России №  6 по Иркутской области и УОБАО", А 160769/5                      от  01.12.  2009 г.                 до   21.03. 2013 г.          ( переоформлена взамен  А 160764/1 от 06.03.2009 г.),"Тулунский район:                                                                               с. Едогон - (магазины: № 3, № 4, кафе ),  с. Икей -  (магазины: № 5, № 10, № 37,  кафе),  д. Нижний Бурбук -магазин, д. Владимировка - магазин, д. Галдун - магазин ,  п. Аршан - магазин, п. Ермаки - магазин, д. Изегол - магазин, с. Усть-Кульск - магазин  , д. Паберега - магазин , д. Ниргит -  магазин, п. Октябрьский -  магазин , с. Ишидей -  (магазины: № 17, № 19), с. Мугун - магазин,  с. Гуран - магазин , с. Бурхун - магазин , д. Евдокимова - магазин , д. Казакова - магазин, д. Нижний Манут - магазин №, кафе , с. Перфилово - магазин , кафе, с. Бадар - магазин, кафе ,  д. Красный октябрь - магазин , д. Забор - магазин , с. Шерагул - (магазины: № 29, № 32,),  д. Новотроицк  - магазин, ст. Азей  - магазин,   д. Трактовая - магазин,   с. Гадалей - магазин,  п. ж/.д.  ст Шуба - магазин , д. Верхний Бурбук -  магазин.                                                                                        г. Тулун -  магазин. ",,,,,,
15,ООО «Феникс»                                   ИНН 3816010182,"г. Тулун,серия 38,                                                        №  002745916                                             от 11.12. 2008 г.,                            МИФНС России №  6 по Иркутской области и",    А 160788/ 9-П                                                   от 28. 10. 2011 г.                                  до 11.06. 2014 г.                 (переоформлена  взамен  А 160766 от 11.06.2009 г.),"Тулунский район (отделы):                                                                                                                                                                            п.  Евдокимовский - магазин,  с. Умыган - магазин,                  с. Бадар - магазин,   с. Икей - магазин,   с. Перфилово - магазин.                                                                                   ",,,,,,
16,ООО «АН-ТЕЙ»                                         ИНН 3816010640,"г. Тулун, серия 38                          № 002897864                                  от 03.09. 2009г.                                                   МИФНС России № 6 по Иркутской области",А 160768 / 4                            от 30.09.2009 г.                             с 30.09. 2009 г.               до 30.09.2014 г. ,Тулунский район (отдел):                                                       с. Гуран - магазин.,,,,,,
17,ООО «Купец»                                   ИНН 3816005577,"г. Тулун,  серия 38,                                          №  001165796                                               от 21. 08.2001 г,                              МИМНС России №  6 по Иркутской области",А 160785 / 2-П                  от  07. 04. 2011 г.                до 26. 12. 2012г.                  ( переоформлена взамен  лицензии           А 160773/4 от 31.03. 2010 г.).,"                   Тулунский  район:                                                   с. Шерагул -  магазин ,  п. ж. д. ст. Шуба -  магазин, с. Азей  -  магазин,                                                                          ",,,,,,
18,ООО «Пять капель»                         ИНН 3808155025,"г. Иркутск,  серия 38,                                                     №  002459952                    МИФНС России № 6 по Правобережному округу ", А  154414 /10                                от 27.06.2012 г.                                                    до  20.12.2012 г.                            (  переоформлена в связи с исключением тер. обособл. объектов взамен А 154393/23 от 05.10.2011 г.),"Тулунский район (отделы):                                            с. Шерагул -  кафе «Веста»,   д.  Хараманут  - магазин , с. Мугун - магазин,  с. Котик -  магазин.",,,,,Зима,
19,ООО «Заряд»                                ИНН 3812102153,"г. Иркутск,   серия   38                  № 002730773                              от 15.02.2008 г.,                  ИФНС по Свердловскому округу ",МЕ 003452/АН 00494Пр 20                                   от 28.10.2010 г.                                    с  08.07. 2008 г.                                 до  07. 07. 2013 г.,"          Тулунский район: (отделы) :                                   с. Едогон – магазин,  п.  Икейский,  магазин.",,,,,г. Иркутск,
20,ООО «Диметра»                         ИНН 3816006683,"г. Тулун, серия 38                                                   №  001407878                                                                                             от   27.04. 2004 г.                                  ИМНС России № 6 по Иркутской области",А  160786 / 7-П                          от 17.08.2011 г.                                  до 29.11.2012 г. (взамен лицензии:      А 160782/7 от 10.11.2010 г.)                    ,"          Тулунский район (отделы):                    с.Будагово,  - магазин, с. Гуран,   - магазин, с. Азей – магазин, с. Гадалей – магазин,  д. Паберега- магазин, д. Владимировка - магазин, п. Аршан – магазин, г. Тулун - магазин, с. Уйгат – магазин, д. Нижний Манут – магазин.",,,,,,
21,"ООО ""Вектор  Север""                                      ИНН  3805710496","г. Братск  серия 38,                    №     002830882                                 от 15.09.2009 г.                                                       ИФНС  № 15 по Иркутской области ",МЕ  006379                             №  806                              от 08.08.2011 г.                                                        по  27. 05. 2012 г            .(взамен МЕ 006292 № 722 от 22.04.2011 г.),"Тулунский район (отделы):                                                 с. Шерагул, магазин,                                                               п. Целинные Земли -  магазин.",,,,,г. Братск,
22,"ООО ""Высота""                                 ИНН 3814015107","г.  Зима , серия 38                                                           №    003009796                                                 от 21.12.2009 г.                         МИФНС России № 14 по Иркутской области","А 244913/ 84               от  07.07.2011 г.                     до 05.03.2016 г.                 ( переоформлена взамен А 244913/84 от 07.07.2011 г.  до 05.03.2016 г., увелич. кол-ва тер.обособл. объектов).","Тулунский район  (отдел):                                         с. Азей, - магазин., с. Мугун,  магазин.",,,,,Куйтунский район,
23,"ООО ""Бриз""                         ИНН    3812130383","г. Иркутск, серия 38                 № 0030664421                         от 11.11. 2010 г.                               МИФНС России № 17 по Иркутской области",А  203199/ 71                      от  25.07. 2011 г.                     с 25.07. 2011 г.                              по 25.07. 2016 г.,"Тулунский район,  (отдел):                                         с. Гуран, магазин",,,,,Иркутское  муниципальноое  образование,
24,"ООО ""Алмаз -Тулун""                         ИНН 3816012180","г. Тулун,  серия 38                         № 003240842                                     от 13.04.2011 г.                     МИФНС России № 6                  по Иркутской области",А 174162/17-Пр                                                       от 29. 06. 2012 г.                                       до 12.08.2012г.           (переоформление  взамен А 174159 /14-Пр от 29.06.2012 г.-увеличение тер.-обос. объектов),"             Тулунский район (отделы):    д. Булюшкина,  кафе,     с. Котик, магазин,   с. Едогон, магазин,     с. Бадар, магазин,     п. Евдокимовский, магазин, с. Гадалей, магазин,   п. 4-е отд. ГСС,  магазин,   с. Мугун, магазин, с. Ишидей, магазин, д. Нижний Манут, с. Икей, магазин.",,,,,г. Тулун,
25,ООО «Дубрава»                         ИНН 3816011605,"г. Тулун,  серия 38                         № 003140798                                   от 27.09.2010 г.                     МИФНС России № 6                  по Иркутской области",А 160792 / 1-П                                     от  18.01. 2012 г.             с 18.01. 2012 г.                    по 18.01.2013 г.,                Тулунский район (отдел):                                                          с .  Алгатуй -  магазин.,,,,,,
23,"ООО ""Крепость Юг""                              ИНН 3805712373","г. Братск  серия 38,                                                                                                         ИФНС  № 15 по Иркутской области ","  МЕ 006524     № 949                                              от 27.07.2012 г.                                           с 04.05.2012 г.                                               по 27.03. 2013 г.                          ( переоформлена взамен  МЕ 006479 № 903 от 04.05.2012 г., увелич. кол-ва тер. обособл. объектов)                                             ","Тулунский район (отделы):                                                  п. 4-е отделение ГСС, магазин., 10 км. Трассы Тулун-Братск, магазин-закусочная.",,,,,г. Братск,
27,"ООО «Спутник»,                             ИНН 3816010834","г. Тулун,     серия   38,                 №  003011941                                         от  26. 11.2009 г,                 МИФНС России №  6 по  Иркутской области ",А 160793/2-П                  от  09.04.2012 г.                   с    09.04.2012 г.                    по 09.04. 2013 г ,"                       Тулунский район (отделы) :                                     д. Булюшкина: магазин,                                              п. 1-е отделение ГСС, магазин.",,,,,,
28,"ООО «Шанс»,                         ИНН 3816008793","г. Тулун,     серия   38,                 №  003380669                                        от  02.04.2012 г,                 МИФНС России №  6 по  Иркутской области ",А 160794/3-П                  от  19.04.2012 г.                   с    19.04.2012 г.                    по 19.04. 2013 г ,"                       Тулунский район (отдел) :                                     с Алгатуй, магазин.",,,,,,
29,ООО «Скат»                                   ИНН 3816009042,"г. Тулун, серия 38,                                                               №  002396249                                                                                от    26.02.2007 г,                                МИФНС России №  6  по  Иркутской области  и УОБАО",А 160797/5-П                           от   23.05.2012 г.            с   23.05.2012г.                   по  23.05.2013 г.,"                 Тулунский район ( отделы):                                с. Гуран: кафе, с. Гуран, магазин;",,,,,,
30,ООО «Скат»                                   ИНН 3816009042,"г. Тулун, серия 38,                                                               №  002396249                                                                                от    26.02.2007 г,                                МИФНС России №  6  по  Иркутской области  и УОБАО",А 160747/1                           от   04.04.2007 г.            с   04.04.2007г.                   до  04.04.2012 г.,"                 Тулунский район ( отделы):                                с. Гуран: кафе, магазин,  д. Андреевка - магазин.",,,4/4/2012,,,
31,Будаговское сельпо                                          ИНН 3839000896,"г. Тулун, серия 38,                       №  000424762                                             от        21. 04. 2005 г,                               М ИФНС  России № 6 по Иркутской области и УОБАО",А 160751/2                  от 15.06.07 г.                                                    до 04.04. 2012 г.,"                      Тулунский район:                                                       д. Трактово-Курзан -магазин , д. Северный Кадуй - магазин, с. Умыган: магазин, кафе, д. Килим - магазин,  с. Будагово: (магазины № 7, № 8, №10), д. Аверьяновка - магазин, д. Красная Дубрава -  магазин , д. Булюшкина  - магазин , п. Ключевой - магазин, п. Котик - магазин.",,,4/4/2012,,,
32,ООО «Спутник»                                   ИНН 3816010834,"г. Тулун,  серия 38                                                 №  003011941                                               от 26.11.2009 г.                     МИФНС России № 6 по Иркутской области",А 160776/1                     от 25.02.2010 г.                       с 25.02.2010 г.                           по 26.02.2012 г.,"Тулунский район (отделы):                                                                    д. Булюшкина  - магазин,      п. 1-отделение   ГСС  - магазин.",,,2/26/2012,,,
33,ООО «Мария»                           ИНН 381603390288,"г. Тулун, серия 38,                       №  001165796                                                  от 21. 08.2001 г,                                МИМНС России №  6 по Иркутской области.",А 160779 / 5                            от    23.04.2010г.        с 23.04.2010 г.              по 23.04. 2011г.                       ( продлена    по           24. 04.2012 г.),"                     Тулунский район (отделы):                                    д.  Изегол - магазин,    с. Едогон -  магазин .",,,4/24/2012,,,
34,"ООО ""Василиса"",                     ИНН 3814017249","г. Саянск,                                   серия 38,003290623 от 28.07.2011 г.                                  МИФНС Россиии  № 14             по Иркутской области",А 154416/11                                         от 18.07.2012 г.                                             с  18.07.2012 г.                  по 17.07.2013 г.,"Тулунский район (отделы):                                                                         с. Бурхун , магазин, с. Котик, магазин",,,,,г.Саянск,
