Наименование,ИНН,Номер лицензии,Дата выдачи лицензии,Регион
"Общество с ограниченной ответственностью ""Изабелла""",7328505090,73МЕ1030,07-31-2009,73
"Общество с ограниченной ответственностью ""Милана"",",7310101516,73МЕ896,05-22-2009,73
"Общество с ограниченной ответственностью ""Альянс""",7321311410,73МЕ865,04-30-2009,73
"Общество с ограниченной ответственностью ""Околица""",7310101611,73МЕ900,05-29-2009,73
"Общество с ограниченной ответственностью ""Родник""",7313004704,73МЕ861,04-24-2009,73
"Общество с ограниченной ответственностью ""Ульяновскснаб-сервис""",7325059458,73МЕ888,05-15-2009,73
"Общество с ограниченной ответственностью ""Ника""",7310100777,73МЕ884,05-15-2009,73
"Общество с ограниченной ответственностью ""ИСТИ-СУ""",7325058052,73МЕ894,05-22-2009,73
"Общество с ограниченной ответственностью ""Огонек""",7327037322,73МЕ883,05-15-2009,73
"Общество с ограниченной ответственностью ""Новочеремшанское сборочное производство""",7312001436,73МЕ919,11/6/2009,73
"Закрытое акционерное общество ""ИВЛА-ОПТ""",7325006103,73МЕ931,06-22-2009,73
"Общество с ограниченной ответственностью ""Ирина""",7327037330,73МЕ885,05-15-2009,73
"Общество с ограниченной ответственностью ""Мечта""",7309903280,73МЕ1027,07-31-2009,73
"Общество с ограниченной ответственностью ""Романыч""",7328505622,73МЕ928,06-22-2009,73
"Общество с ограниченной ответственностью ""Валентина""",7308005484,73МЕ949,06-26-2009,73
"Общество с ограниченной ответственностью ""Стандарт""",7326025772,73МЕ965,06-26-2009,73
"Общество с ограниченной ответственностью ""Диана""",7308005452,73МЕ932,06-22-2009,73
"Общество с ограниченной ответственностью ""Тет-а-тет""",7328043576,73МЕ906,05-29-2009,73
"Общество с ограниченной ответственностью ""АЛСУ""",732505835,73МЕ960,06-26-2009,73
"Общество с ограниченной ответственностью ""ИВЕГО"",",7321310906,73МЕ935,06-22-2009,73
"Общество с ограниченной ответственностью ""Алеон""",7328505284,73МЕ922,06-22-2009,73
"Общество с ограниченной ответственностью ""Призма""",7328504900,73МЕ918,11/6/2009,73
"Общество с ограниченной ответственностью ""ЗОЛОТОЙ ТЕЛЕНОК""",7325039885,73МЕ926,06-22-2009,73
"Общество с ограниченной ответственностью ""Красная шапочка""",7325057323,73МЕ924,06-22-2009,73
"Общество с ограниченной ответственностью ""Агамид""",7306038244,73МЕ895,05-22-2009,73
"Некоммерческое партнерство ""Вавилон""",7328041642,73МЕ986,10/7/2009,73
"Общество с ограниченной ответственностью ""Черемушки""",7328504611,73МЕ948,06-26-2009,73
"Общество с ограниченной ответственностью ""Торговый дом Талисман"",",7328506231,73МЕ925,06-22-2009,73
"Общество с ограниченной ответственностью ""СТЕЛЛС"",",7326022147,73МЕ946,06-26-2009,73
"Общество с ограниченной ответственностью ""Люкс"",",7321311473,73МЕ875,8/5/2009,73
"Общество с ограниченной ответственностью ""Лукоморье"",",7325025924,73МЕ907,5/6/2009,73
"Общество с ограниченной ответственностью ""Бриз"",",7310100270,73МЕ971,3/7/2009,73
"Общество с ограниченной ответственностью ""Фуршет""",7328506440,73МЕ936,06-22-2009,73
"Общество с ограниченной ответственностью ""Фортуна"",",7311005822,73МЕ953,06-26-2009,73
"Общество с ограниченной ответственностью ""Камелот""",7328506369,73МЕ929,06-22-2009,73
"Общество с ограниченной ответственностью ""Возрождение и К""",7326014202,73МЕ903,05-29-2009,73
"Общество с ограниченной ответственностью ""Венец +""",7325058567,73МЕ1006,07-17-2009,73
"Общество с ограниченной ответственностью ""Блок""",7321311709,73МЕ964,06-26-2009,73
"Общество с ограниченной ответственностью ""АЙВЕНГО""",7325062059,73МЕ955,06-26-2009,73
"Общество с ограниченной ответственностью ""Мария""",7302033686,73МЕ1325,5/2/2010,73
"Общество с ограниченной ответственностью ""Апрель"",",7310102044,73МЕ977,3/7/2009,73
"Общество с ограниченной ответственностью ""Смак""",7310101883,73МЕ952,06-26-2009,73
"Общество с ограниченной ответственностью ""Афганец""",7328505020,73МЕ902,05-29-2009,73
"Общество с ограниченной ответственностью ""Санта""",7328506270,73МЕ916,11/6/2009,73
"Общество с ограниченной ответственностью ""Автопошив +""",7328506104,73МЕ923,06-22-2009,73
"Общество с ограниченной ответственностью ""Провиант"",",7308005460,73МЕ943,06-26-2009,73
"Общество с ограниченной ответственностью ""Весна""",7321311787,73МЕ978,3/7/2009,73
"Общество с ограниченной ответственностью ""КРОКУСЪ""",7321311650,73МЕ966,3/7/2009,73
"Общество с ограниченной ответственностью ""АЛИНА""",7328505485,73МЕ967,3/7/2009,73
"Общество с ограниченной ответственностью ""Престиж""",7310102020,73МЕ942,06-26-2009,73
"Общество с ограниченной ответственностью ""Восток""",7327037918,73МЕ1016,07-24-2009,73
"Общество с ограниченной ответственностью ""Кумир""",7311006079,73МЕ954,06-26-2009,73
"Общество с ограниченной ответственностью ""Перекресток""",7310101971,73МЕ989,10/7/2009,73
"Общество с ограниченной ответственностью ""Торговый дом ""Лидер""",7309902430,73МЕ969,3/7/2009,73
"Общество с ограниченной ответственностью ""АДЕЛЬ""",7325062281,73МЕ988,10/7/2009,73
"Общество с ограниченной ответственностью ""Севилья"",",7327036872,73МЕ993,10/7/2009,73
"Общество с ограниченной ответственностью ""Век""",7326026374,73МЕ1000,07-17-2009,73
"Общество с ограниченной ответственностью ""НЭП""",7310101900,73МЕ1327,5/2/2010,73
"Общество с ограниченной ответственностью ""Пальмира""",7328505823,73МЕ973,3/7/2009,73
"Общество с ограниченной ответственностью ""Свияга""",7327036640,73МЕ1040,7/8/2009,73
"Общество с ограниченной ответственностью ""Адонис""",7328503914,73МЕ970,3/7/2009,73
"Общество с ограниченной ответственностью ""Перекресток,",7309903466,73МЕ950,06-26-2009,73
"Общество с ограниченной ответственностью ""Мираж""",7309903480,73МЕ985,10/7/2009,73
"Общество с ограниченной ответственностью ""Островок""",730990235,73МЕ998,07-17-2009,73
"Общество с ограниченной ответственностью ""Успех""",7325060372,73МЕ1005,07-17-2009,73
"Общество с ограниченной ответственностью ""НИКДАН""",7325062122,73МЕ981,10/7/2009,73
"Общество с ограниченной ответственностью ""ДИСИ""",7327038439,73МЕ982,10/7/2009,73
"Общество с ограниченной ответственностью ""Нико""",7321311314,73МЕ1060,08-21-2009,73
"Общество с ограниченной ответственностью ""Ника""",7308005491,73МЕ968,3/7/2009,73
"Общество с ограниченной ответственностью ""Жан""",7310101033,73МЕ941,06-26-2009,73
"Общество с ограниченной ответственностью ""Родничок""",7325062073,73МЕ987,10/7/2009,73
"Общество с ограниченной ответственностью ""Радуга""",7321311723,73МЕ1033,07-31-2009,73
"Общество с ограниченной ответственностью ""Заря""",7311004949,73МЕ1011,07-24-2009,73
"Общество с ограниченной ответственностью ""Русичи""",7311005011,73МЕ1012,07-24-2009,73
"Общество с ограниченной ответственностью ""Ольга""",7313004951,73МЕ951,06-26-2009,73
"Общество с ограниченной ответственностью ""МЕТРО Кэш энд Керри""",7704218694,73МЕ904,05-29-2009,77
"Общество с ограниченной ответственностью ""Чишмэ""",7310100600,73МЕ1019,07-24-2009,73
"Общество с ограниченной ответственностью ""Берег""",7310102076,73МЕ1014,07-24-2009,73
"Общество с ограниченной ответственностью ""Ажур""",7302033277,73МЕ976,3/7/2009,73
"Общество с ограниченной ответственностью ""Скорпион""",7321310173,73МЕ995,07-17-2009,73
"Общество с ограниченной ответственностью ""Садри""",7321310222,73МЕ1055,08-14-2009,73
"Общество с ограниченной ответственностью ""Радуга""",7321311794,73МЕ1064,08-21-2009,73
"Общество с ограниченной ответственностью ""ГАЛИНА+""",7327038615,73МЕ944,06-26-2009,73
"Общество с ограниченной ответственностью ""ЮКК""",7328506506,73МЕ984,10/7/2009,73
"Общество с ограниченной ответственностью ""Ядро""",7327038573,73МЕ1020,07-24-2009,73
"Общество с ограниченной ответственностью ""ЛАДНО""",7310101259,73МЕ1003,07-17-2009,73
"Общество с ограниченной ответственностью ""ТОМА""",7327038132,73МЕ1007,07-24-2009,73
"Общество с ограниченной ответственностью ""Феникс""",7306038068,73МЕ1025,07-31-2009,73
"Общество с ограниченной ответственностью ""Альянс""",7306038332,73МЕ1034,07-31-2009,73
"Общество с ограниченной ответственностью ""Отрада""",7306038438,73МЕ1026,07-31-2009,73
"Общество с ограниченной ответственностью ""ELIT""",7316005689,73МЕ1029,07-31-2009,73
"Общество с ограниченной ответственностью ""Мираж""",7311006086,73МЕ1021,07-24-2009,73
"Общество с ограниченной ответственностью ""Лагуна""",7328046030,73МЕ999,07-17-2009,73
"Общество с ограниченной ответственностью ""Арман""",7328506312,73МЕ1046,7/8/2009,73
"Общество с ограниченной ответственностью ""Магнолия""",7306038558,73МЕ1023,07-31-2009,73
"Общество с ограниченной ответственностью ""Сириус""",7306038364,73МЕ1041,7/8/2009,73
"Общество с ограниченной ответственностью ""Пилот-В"",",7321311868,73МЕ1032,07-31-2009,73
"Общество с ограниченной ответственностью ""Парус""",7321311850,73МЕ996,07-17-2009,73
"Общество с ограниченной ответственностью ""Удача"",",7326026857,73МЕ1039,7/8/2009,73
"Общество с ограниченной ответственностью ""Европа""",7325056680,73МЕ1065,08-21-2009,73
"Общество с ограниченной ответственностью ""Ульяновскпродторг""",7327038206,73МЕ1043,7/8/2009,73
"Общество с ограниченной ответственностью ""РОЛС Фуд""",7326019899,73МЕ1053,08-14-2009,73
"Общество с ограниченной ответственностью ""Измарагд""",7325061908,73МЕ1047,7/8/2009,73
"Общество с ограниченной ответственностью ""Виктория""",7310101957,73МЕ1010,07-24-2009,73
"Общество с ограниченной ответственностью ""Мастер+""",7328500864,73МЕ1002,07-17-2009,73
"Общество с ограниченной ответственностью ""Сан-Саныч""",7327038862,73МЕ1049,08-14-2009,73
"Общество с ограниченной ответственностью ""Мечта"",",7306037018,73МЕ1068,08-28-2009,73
"Общество с ограниченной ответственностью ""Шанс"",",7306038460,73МЕ1062,08-21-2009,73
"Общество с ограниченной ответственностью ""Кристата""",7328506520,73МЕ1052,08-14-2009,73
"Общество с ограниченной ответственностью ""ЛЕГАЛ""",7328505767,73МЕ1069,08-28-2009,73
"Общество с ограниченной ответственностью ""Новый день"",",7309903434,73МЕ1050,08-14-2009,73
"Общество с ограниченной ответственностью производственно-коммерческая фирма ""Лесоруб""",7306005070,73МЕ1072,08-28-2009,73
"Общество с ограниченной ответственностью ""Камелия"",",7306038540,73МЕ1071,08-28-2009,73
"Общество с ограниченной ответственностью ""Нива""",7313005017,73МЕ1088,11/9/2009,73
"Общество с ограниченной ответственностью ""ГиД""",7309903441,73МЕ1084,11/9/2009,73
"Общество с ограниченной ответственностью ""Полет""",7325063091,73МЕ1094,09-18-2009,73
"Общество с ограниченной ответственностью ""С&С""",7310006742,73МЕ1073,4/9/2009,73
"Общество с ограниченной ответственностью ""Фаворит""",7310102206,73МЕ1086,11/9/2009,73
"Общество с ограниченной ответственностью ""Роза"",",7306038580,73МЕ1079,4/9/2009,73
"Общество с ограниченной ответственностью ""ЮМА"",",7306038420,73МЕ1078,4/9/2009,73
"Общество с ограниченной ответственностью ""Любовь"",",7306037280,73МЕ1099,09-25-2009,73
"Общество с ограниченной ответственностью ""Звезда"",",7306038445,73МЕ1081,4/9/2009,73
"Общество с ограниченной ответственностью ""Лидер"",",7306038205,73МЕ1075,4/9/2009,73
"Общество с ограниченной ответственностью ""Мираж""",7325057490,73МЕ1206,09-25-2009,73
"Общество с ограниченной ответственностью ""Весна"",",7311004988,73МЕ1093,09-18-2009,73
"Общество с ограниченной ответственностью ""Блиц"",",7327023256,73МЕ1204,09-25-2009,73
"Общество с ограниченной ответственностью ""ВЛАВАС""",7328507034,73МЕ1092,09-18-2009,73
"Общество с ограниченной ответственностью ""Производственно-торговое предприятие ""Стимул"",",7302033478,73МЕ1202,09-25-2009,73
"Общество с ограниченной ответственностью ""Снэк"",",7302020165,73МЕ1205,09-25-2009,73
"Общество с ограниченной ответственностью ""Капелька"",",7325061496,73МЕ1222,9/10/2009,73
"Общество с ограниченной ответственностью ""Лотос"",",7310100706,73МЕ1211,2/10/2009,73
"Общество с ограниченной ответственностью ""Диана"",",7309903106,73МЕ1217,9/10/2009,73
"Общество с ограниченной ответственностью ""Дарья"",",7321311755,73МЕ1213,9/10/2009,73
"Общество с ограниченной ответственностью ""Алет""",7306038452,73МЕ1201,09-25-2009,73
"Общество с ограниченной ответственностью ""Черный"",",7304004105,73МЕ1221,9/10/2009,73
"Общество с ограниченной ответственностью ""Гузель"",",7304004112,73МЕ1215,9/10/2009,73
"Старосахчинское потребительское общество,",7310007915,73МЕ1231,10-23-2009,73
"Общество с ограниченной ответственностью ""Мечта"",",7306038477,73МЕ1220,9/10/2009,73
"Общество с ограниченной ответственностью ""Спутник"",",7326026504,73МЕ1226,10-16-2009,73
"Общество с ограниченной ответственностью ""Березка""",7311006150,73МЕ1264,4/12/2009,73
"Общество ограниченной ответственностью ""Виктория"",",7310101717,73МЕ930,06-22-2009,73
"Общество с ограниченной ответственностью ""МАРИШКА""",7302018617,73МЕ1236,10-30-2009,73
"Общество с ограниченной ответственностью ""Альфа""",7309903378,73МЕ1308,01-22-2010,73
"Общество с ограниченной ответственностью ""Престиж""",7311006022,73МЕ1241,11-13-2009,73
"Общество с ограниченной ответственностью ""НИМФ""",7328507570,73МЕ1239,6/11/2009,73
"Общество с ограниченной ответственностью ""Презент""",7328032870,73МЕ1295,12-25-2009,73
Общество с ограниченной ответственностью им.В.И.Ленина,7323000219,73МЕ867,04-30-2009,73
"Открытое акционерное общество ""Димитровградхиммаш""",7302000070,73МЕ1251,11-20-2009,73
"Общество с ограниченной ответственностью ""НАЛС""",7304004024,73МЕ1292,12-25-2009,73
"Общество с ограниченной ответственностью ""Торг-С""",7326025483,73МЕ1658,12-23-2011,73
"Общество с ограниченной ответственностью ""Мираж""",7302022902,73МЕ1272,11/12/2009,73
"Крестьянское хозяйство ""Данилин и сын""",7318001520,73МЕ1290,12-25-2009,73
"Общество с ограниченной ответственностью ""Ангар""",7326035065,73МЕ1328,02-19-2010,73
"ООО ""Унимарт""",2723076799,ME005067,7/24/2009,27
"ОАО ""Сахалинская областная оптово- торговая база""",6500000240,ME006633,7/28/2011,65
"ФГУП ""Аэропорт Южно-Сахалинск""",6500000641,ME006611,6/24/2011,65
"ООО ""САХТЕЛЕБЫТ""",6501000108,ME004410,12/7/2007,65
"ООО ""Сахалиночка""",6501003229,ME004778,3/26/2009,65
АУ Производственно-техническое управление по обеспечению деятельности органов государственной власти Сахалинской области,6501012287,ME005364,5/20/2010,65
"ООО ""РАДУЖНЫЙ""",6501013675,ME005547,3/3/2011,65
"ООО ""Время-Хьюн Дже""",6501017278,ME005326,3/4/2010,65
"СПООО ""Сахалин-Саппоро""",6501018585,ME004296,7/27/2007,65
"ООО ФИРМА ""ЭЛКА""",6501022944,ME005462,12/2/2010,65
"ОАО ""Колос""",6501036545,ME004540,6/4/2008,65
"ОАО ""Южно-Сахалинский хлебокомбинат имени И.И.Кацева""",6501036619,ME005515,1/20/2011,65
"ООО ""Снежинка""",6501037299,ME005322,3/4/2010,65
"ООО ""ТМС""",6501038013,ME004613,10/2/2008,65
"ООО МБЦ ""Лада""",6501044627,ME006773,12/31/2011,65
"ООО ""Аленс и Л""",6501066645,ME004454,12/29/2007,65
"ООО ""Мария-95""",6501068963,ME005228,12/10/2009,65
"ООО ФИРМА ""О И К""",6501073353,ME005460,12/2/2010,65
"ООО ""УРСУ""",6501075223,ME004310,8/13/2007,65
"ООО Тезис""",6501077245,ME004738,2/27/2009,65
"ООО ""ГИЛЬДИЯ""",6501078087,ME005563,11/3/2011,65
"ООО ""Компания АРГ-Сибстрой""",6501078168,ME006604,6/2/2011,65
"ЗАО ""АССА-ТРЕЙД""",6501086899,ME004838,5/7/2009,65
"ООО ""Верба""",6501088529,ME006723,12/8/2011,65
"ООО ""12""",6501088913,ME005206,11/26/2009,65
"ООО ""Кусано""",6501090729,ME005173,10/30/2009,65
"ООО ""Мир-Трейд""",6501093014,ME004532,4/30/2008,65
"ООО ""Сахалин Саппорт Сервисиз""",6501095854,ME004642,11/20/2008,65
"ООО ""Ажен""",6501098510,ME006793,1/20/2012,65
"ООО ""Мадейра""",6501098848,ME004834,3/26/2009,65
"ООО ""Ариэль""",6501100409,ME004670,12/19/2008,65
"ООО ""РЕГИОН-ТО""",6501101515,ME004993,7/3/2009,65
"ООО ""Ли и К""",6501101674,ME005158,10/1/2009,65
"ООО ""НЭФ""",6501101970,ME004287,7/18/2007,65
"ООО ""Андаин""",6501102614,ME004181,2/28/2010,65
"ООО ""Полигранд""",6501103801,ME004565,7/8/2008,65
"ООО ""Экспос""",6501104139,ME005560,3/31/2011,65
"ООО ""Релакс Клуб""",6501104442,Д633966,5/6/2006,65
"ООО ""ЮТРАНС""",6501105171,ME005275,1/15/2010,65
"ООО ""Торговая компания""",6501111746,ME004809,4/16/2009,65
"ООО ""Звезда Туризма""",6501112651,ME004953,6/26/2009,65
"ЗАО ""АйоКа Саппорт Сервисез""",6501114458,ME005334,3/30/2010,65
"ООО ""Сервис-продукты""",6501115035,ME006663,10/6/2011,65
"ООО ""Дарсин""",6501115170,ME005174,10/30/2009,65
"ООО ""Росморепродукт""",6501115476,ME004378,11/6/2007,65
"ООО ""Маяк- Сервис плюс""",6501116021,ME004490,3/21/2008,65
"ООО ""Международная коммерческая компания ""ДРУЖБА""",6501119255,ME005358,5/4/2010,65
"ООО ""Рубин-10""",6501121504,ME004831,4/29/2009,65
"ООО ""Трапеза""",6501130121,ME004377,11/1/2007,65
"ООО ""Фэмили""",6501130717,ME004511,4/25/2008,65
"ООО ""Тадж Махал""",6501141525,ME004325,8/23/2007,65
"ООО ""Карат""",6501142462,ME005342,4/7/2010,65
"ООО ""Старко""",6501143836,ME004582,7/31/2008,65
"ООО ""Багратион""",6501145449,ME004269,6/20/2007,65
"ООО ""Гостиница ""Земляничные холмы""",6501146393,ME004856,5/26/2009,65
"ООО ""ЛЭКС КО.ЛТД""",6501148471,ME005044,7/17/2009,65
"ООО ""Сахалин-Монтаж""",6501148841,ME005332,3/22/2010,65
"ООО ""Деловая Русь""",6501148915,ME006613,6/24/2011,65
"ЗАО ""Пасифик""",6501148961,ME004727,2/6/2009,65
"ООО ""Розничная компания""",6501149027,ME005458,11/30/2010,65
"ООО ""Симко Трейд""",6501149500,ME006704,11/24/2011,65
"ООО ""Грин Май""",6501150128,ME004559,7/3/2008,65
"ООО ""Бомбей 1""",6501151900,ME005521,2/3/2011,65
"ООО ""Якорь""",6501152301,ME004522,4/25/2008,65
"ООО ""Россиянка""",6501152693,ME004897,6/5/2009,65
"ООО Торговый Дом ""Триумф""",6501152823,ME004660,11/28/2008,65
"ООО ""Консоль""",6501153048,ME004692,12/25/2008,65
"ООО ""Пасифик Рим Контракторс""",6501157557,ME005381,6/17/2010,65
"ООО ""Горизонт""",6501158381,ME004590,8/20/2008,65
"ООО ""Сахалинская Торговая Компания""",6501158695,ME005467,12/6/2010,65
"ООО ""ЗВЕЗДА""",6501158825,ME004939,6/26/2009,65
"ООО ""Сахбизнеском""",6501159410,ME004881,6/3/2009,65
"ООО ""Торговый Дом ""Римейк""",6501160503,ME005153,9/23/2009,65
"ООО ""Лотос""",6501161560,ME006702,11/17/2011,65
"ООО ""Пятачок""",6501161881,ME005492,12/24/2010,65
"ООО ""Топаз""",6501162042,ME004787,4/9/2009,65
"ООО ""Омега""",6501162130,ME005320,2/26/2010,65
"ООО ""Фиант""",6501162148,Д633798,1/26/2006,65
"ООО ""Армрос""",6501162204,ME005294,2/3/2010,65
"ООО ""Сагори""",6501162437,ME004729,2/6/2009,65
"ООО ""Колибри""",6501162490,ME006734,12/15/2011,65
"ООО ""Меркурий-93""",6501162518,ME004817,4/23/2009,65
"ООО ""Южанка""",6501162772,ME005246,12/24/2009,65
"ООО ""Игрос""",6501162807,ME005172,10/30/2009,65
"ООО ""Магнолия""",6501162966,ME004926,6/17/2009,65
"ООО ""Сунэ""",6501162973,Д633770,12/30/2005,65
"ООО ""Легенда""",6501163007,ME004769,7/29/2010,65
"ООО ""Сахалинская Торговая Компания""",6501163046,ME006630,7/21/2011,65
"ООО ""Пятёрочка""",6501163053,ME005490,12/24/2010,65
"ООО ""Максимус""",6501163180,ME006759,12/22/2011,65
"ООО ""Тайм""",6501163230,ME004830,4/29/2009,65
"ООО ""КВАДРО""",6501163247,ME004857,5/26/2009,65
"ООО ""Феникс""",6501163543,ME006642,8/19/2011,65
"ООО ""СЭННАЙ""",6501163617,ME005422,9/16/2010,65
"ООО ""ДанМакс""",6501163663,ME004938,6/26/2009,65
"ООО ""Рассвет""",6501163670,ME004711,12/30/2008,65
"ООО ""Анастасия""",6501163688,ME004330,8/24/2007,65
"ООО ""АрСер""",6501163695,ME005201,11/26/2009,65
"ООО ""САХКО""",6501163737,ME004498,4/3/2008,65
"ООО ""Талисман""",6501163818,ME005451,11/25/2010,65
"ООО ""ХАМЕЛЕОН""",6501163906,ME005073,7/31/2009,65
"ООО ""Андорра""",6501163913,ME004571,7/24/2008,65
"ООО ""Удача""",6501163960,ME005419,8/26/2010,65
"ООО ""Странник""",6501164025,ME005370,5/27/2010,65
"ООО ""Славади""",6501164032,ME005435,10/21/2010,65
"ООО ""Чистое поле""",6501164106,ME005395,7/1/2010,65
"ООО ""Надежда""",6501164240,ME004760,3/19/2009,65
"ООО ""Унисон""",6501164272,ME005175,10/30/2009,65
"ООО ""Анюта""",6501164280,ME005127,9/2/2009,65
"ООО ""Арина""",6501164307,ME004715,1/16/2009,65
"ООО ""Настюша""",6501164321,ME005155,9/24/2009,65
"ООО ""Империал Палас""",6501164427,ME004963,6/30/2009,65
"ООО ""Хе и К""",6501164459,Д633813,2/2/2006,65
"ООО ""Альфа""",6501164480,ME005242,12/17/2009,65
"ООО ""Лидия и Ко""",6501164586,ME005013,7/7/2009,65
"ООО ""Кавестар""",6501164610,ME005321,2/27/2010,65
"ООО ""ГОРКА""",6501164699,ME004921,6/10/2009,65
"ООО ""ВиНЧЕР""",6501164723,ME004842,5/13/2009,65
"ООО ""Вита-С""",6501164770,ME006706,11/24/2011,65
"ООО ""Бриз""",6501164794,ME004756,3/13/2009,65
"ООО ""ТТТ""",6501164850,ME004795,4/9/2009,65
"ООО ""Виконт""",6501164924,ME004890,6/5/2009,65
"ООО ""Кантри""",6501164995,ME006658,9/29/2011,65
"ООО ""Паланка""",6501165050,ME004908,6/10/2009,65
"ООО ""Новый""",6501165318,ME004755,3/13/2009,65
"ООО ""Элегия""",6501165371,ME004740,2/27/2009,65
