"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Баяндаевский район"" ",,,,,,,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
№ п/п,"Наименование лицензиата, ИНН",,Место государственной регистрации лицензиата,,"Серия, номер, дата выдачи, срок действия лицензии",,,"Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности ",,"Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями,
10,"ООО ""Сибирь"" 3845000090          (выдана)",,Межрайонная инспекция Федеральной налоговой службы №16 по Иркутской области ,,№6 серия А167579 от 05.08.2009 года срок действия с 05.08.2009 г по 05.08.2014 г.  ,,,"1.Иркутская область, Баяндаевский район, с.Баяндай, переулок Комсомольский, 1-2",,,,,,,
11,"ООО ""Находка"" 3849005011         (переоформлена)",,Межрайонная инспекция Федеральной налоговой службы №16 по Иркутской области ,,№16 серия А167595 от 31.12.2010 года срок действия с 31.12.2010 г по 23.11.2014 г.  ,,,"1.Иркутская область, Баяндаевский район, с.Баяндай, ул. Советская, 116А                                                                             2. Иркутская область, Баяндаевский район, д.Бохолдой, ул. Муринская, 33",,,,,,,
12,"ООО ""Гермес"" 3849005090         (выдана)",,Межрайонная инспекция Федеральной налоговой службы №17 по Иркутской области ,,№8 серия А167594 от 04.12.2009 года срок действия с 04.12.2009 г по 04.12.2014 г.  ,,,"1.Иркутская область, Баяндаевский район, с. Хогот, ул. Трактовая, 53",,,,,,,
13,"ООО ""Гранд""       3849006150           (прекращена)",,Межрайонная инспекция Федеральной налоговой службы №16 по Иркутской области,,№11 серия А167586 от 29.04.2011 г.    Срок действия с 29.04.2011 г. по 29.04.2012 г.,,,"1. Иркутская обл., с.Загатуй, микрорайон №2, д. 32",,,,30.04.2012 г,,,
14,"ООО ""Восточный прогресс""  8502003850          (переоформлена)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области,, Взамен  лицензии №3 серия А167574 от 21.05.2009 года срок действия с 21.05.2009 г по 21.05.2014 г.  выдана  лицензия №15 серия А167591 от 27.12.2010 г.  срок действия 27.12.2010г. по 21.05.2014 г. ,,,"1.Иркутская область, Баяндаевский район, с. Люры, ул. Колхозная,12-2                                                                2.Иркутская область, Баяндаевский район, с.Загатуй, Микрорайон,№2                                                                 3.Иркутская область,  Эхирит-Булагатский район, с.Тугутуй, ул. Советская,78                                                                                    4. Иркутская область,  Эхирит-Булагатский район, д. Камой",,,,,,,
15,"ООО ""Лада""  3849006022            (прекращена)",,Межрайонная инспекция Федеральной налоговой службы №16 по Иркутской области,,           №18 серия А167597 07.04.2011 г.  срок действия 07.04.2011г. по 07.04.2012 г.,,,"Иркутская область, с.Баяндай, ул.Полевая,3А",,,,4/8/2012,,,
16,"ООО ""Айсберг""   3827035654",,Межрайонная инспекция Федеральной налоговой службы №17 по Иркутской области,,№АН00784Пр7 серия 38МЕ003955  12.04.2012 г.  срок действия 10.12.2010г. по 09.12.2015 г.,,,"1. Иркутская область, с.Баяндай, ул.Борсоева, 13              2. Иркутская область, Баяндаевский район, с.Хогот, ул. Трактовая,52",,,,,,Администрация г.Иркутска,
17,"ООО ""Алина""       8502003352   (продлена)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,,№060-РАПсерия 38МЕ000584 от 27.06.2006 г.  срок действия 27.06.2011г. по 26.06.2012 г.  ,,,"Иркутская область, Баяндаевский район, с. Васильевск,  ул. Центральная",,,,6/27/2012,,,
18,Баяндаевское сельпо          8502003063           (выдана),,Межрайонная инспекция Федеральной налоговой службы №7 по УОБАО,,№23 серия А167599 от 29.06.2011 г.  срок действия 29.06.2011 г. по 29.06.2012 г,,,"1. Иркутская область, с.Баяндай, ул.Борсоева, 12  2. Иркутская область, с.Баяндай, ул.Некундн,52                 3. Иркутская область, с.Баяндай, ул.Гагарина 87/2                4. Иркутская область, с.Баяндай, ул.Некундн,57               5. Иркутская область, Баяндаевский район, д. Нухунур, ул. Школьная, 1                6.  Иркутская область, Баяндаевский район, д. Молой, ул. Южная,3                  7.Иркутская область, Баяндаевский район, д. Бадагуй, ул.Трактовая                       8.Иркутская область, Баяндаевский район, сЛюры, ул. Мира                9.Иркутская область, Баяндаевский район, сТургеневка, ул.Советская,54                      10. Иркутская область, Баяндаевский район, д. Толтовск, ул.Нагорная             11.Иркутская область, Баяндаевский район, сВасильвск, ул.Центральная                  12.Иркутская область, Баяндаевский район, д. Лидинск, ул.Солнечная,4                   13. Иркутская область, Баяндаевский район, д.Харагун, ул.Трактовая,35                   14.Иркутская область, Баяндаевский район, д. Шаманка. ул.Бурлова, 29; 15.Иркутская область, Баяндаевский район, д. Улан, ул. Горная,28                                                                16.Иркутская область, Баяндаевский район, д.Духовщина, ул. Лесная, 19,2                     17.Иркутская область, Баяндаевский район, д.Хандагай, ул.Центральная               18. Иркутская область, Баяндаевский район, с. Хогот, ул. Трактовая,59                 19. Иркутская область, Баяндаевский район, д. Шетхулун, ул. Трактовая                       20.Иркутская область, Баяндаевский район, д. Тухум, ул. Северная                    21. Иркутская область, Баяндаевский район, д. Байша, ул. Школьная   16.Иркутская область, Баяндаевский район, д.Духовщина, ул. Лесная, 19,2                     17.Иркутская область, Баяндаевский район, д.Хандагай, ул.Центральная               18. Иркутская область, Баяндаевский район, с. Хогот, ул. Трактовая,59                 19. Иркутская область, Баяндаевский район, д. Шетхулун, ул. Трактовая                       20.Иркутская область, Баяндаевский район, д. Тухум, ул. Северная                    21. Иркутская область, Баяндаевский район, д. Байша, ул. Школьная  ",,,,6/30/2012,,,
,,,,,,,,"16.Иркутская область, Баяндаевский район, д.Духовщина, ул. Лесная, 19,2                     17.Иркутская область, Баяндаевский район, д.Хандагай, ул.Центральная               18. Иркутская область, Баяндаевский район, с. Хогот, ул. Трактовая,59                 19. Иркутская область, Баяндаевский район, д. Шетхулун, ул. Трактовая                       20.Иркутская область, Баяндаевский район, д. Тухум, ул. Северная                    21. Иркутская область, Баяндаевский район, д. Байша, ул. Школьная   16.Иркутская область, Баяндаевский район, д.Духовщина, ул. Лесная, 19,2                     17.Иркутская область, Баяндаевский район, д.Хандагай, ул.Центральная               18. Иркутская область, Баяндаевский район, с. Хогот, ул. Трактовая,59                 19. Иркутская область, Баяндаевский район, д. Шетхулун, ул. Трактовая                       20.Иркутская область, Баяндаевский район, д. Тухум, ул. Северная                    21. Иркутская область, Баяндаевский район, д. Байша, ул. Школьная ",,,,41090,,,
19,"ООО ""Баграт""       3849007259     (прекращена)",,Межрайонная инспекция Федеральной налоговой службы №16 по Иркутской области,,№12 серия А167587 30.04.2011 г.  срок действия 30.04.2011г. по 30.04.2012 г.  ,,,"Иркутская область, Баяндаевский район, с. Покровка ул. Трактовая, д.11",,,,01.05.2012 г.,,,
20,"ООО ""Петраль""    8502003419        (продлена)",,Межрайонная инспекция Федеральной налоговой службы №7 по УОБАО,,№14 серия А167592   от 27.12.2010 г.                     Срок действия  с27.12.2010г. по 07.07.2012 г.,,,"1. Иркутская область, Баяндаевский район, с. Ользоны,  ул. Октябрьская, 1-2                                                                  2. Иркутская область, Баяндаевский район, с.Ользоны, ул. Гулун-Тумурская, 4",,,,08.07.2012г.,,,
21,"ООО ""Орбита""          3810042572           (продлена)",,Инспекция Федеральной налоговой службы по Ленинскому округу г. Иркутска,,№25 серия А167604   от 12.07.2011 г.                     Срок действия  с13.07.2011г. по 13.07.2012 г.,,,"1. Иркутская область, Баяндаевский район, с. Баяндай, ул. Советская, 67",,,,14.07.2012г.,,,
22,"ООО ""Радуга""                    8502003377        (выдана)",,Межрайонная инспекция Федеральной налоговой службы №7 по УОБАО,,№26 серия А167601   от 14.07.2011 г.                     Срок действия  с 14.07.2011г. по 14.07.2014 г.,,,"1. Иркутская область, Баяндаевский район, с. Баяндай, ул Шоссейная,9",,,,,,,
23,"ООО ""Булук""       8502003433           (продлена)",,Межрайонная инспекция Федеральной налоговой службы №7 по УОБАО,,№119-РАП серия 38МЕ000719 от 18.08.2006 г.    Срок действия с 18.08.2011 г. по 18.08.2012 г.,,,"1. Иркутская обл., Баяндаевский район, д. Улан                      2.  Иркутская обл., с.Баяндаевский район, с. Половинка                  ",,,,,,,
24,"ООО ""Багульник""  8502003306          (выдана)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,,№28 серия А167603 от 24.08.2011 г.  срок действия 24.08.2011г. по 24.08.2012 г. ,,,"1.Иркутская область, с.Баяндай, ул.Заречная,43                  2.Иркутская область, с.Баяндай, ул. Гагарина, 24А",,,,,,,
25,"ООО ""Байша""  8502003440          (продлена)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,,№124-РАП серия 38МЕ000679 от 20.09.2006 г.  срок действия 20.09.2011г. по 20.09.2012 г. ,,,"1.Иркутская область, Баяндаевский район, с. Байша",,,,,,,
26,"ООО ""Солнышко""  8502003514          (продлена)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,,№123-РАП серия 38МЕ000678 от 18.09.2006 г.  срок действия 21.09.2011г. по 21.09.2012 г. ,,,"1.Иркутская область, с.Баяндай, ул.Бутунаева, 6а                  ",,,,,,,
27,"ООО ""Ласточка""  8502003384          (продлена)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,,№19 серия А 167598 от 07.04.2011 г.  срок действия 07.10.2011г. по 07.10.2012 г. ,,,"1. Иркутская область, Баяндаевский район, с. Ользоны,  ул.  Свердлова, 3                                                                          2. Иркутская область, Баяндаевский район, с.Ользоны, ул. Гулун-Тумурская, 1",,,,,,,
28,"ООО ""Парус""  8502003497         (продлена)",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,,№131-РАП серия 38МЕ000690 от 04.10.2006 г.  срок действия 26.10.2011г. по 26.10.2012 г. ,,,"1.Иркутская область, с.Баяндаевский район, с.Хогот, ул. Трактовая, 101                                      ",,,,,,,
29,"ООО ""Альфа""       8502003426           ",,Межрайонная инспекция Федеральной налоговой службы №7 по Иркутской области и УОБАО,,№36 серия А167607 от 20.07.2012 года            срок действия с 02.08.2011г. по 02.08.2013г.,,,"1. Иркутская обл., с.Баяндай, ул. Некунде, 127;                                              2.  Иркутская обл., с.Баяндай, ул.Борсоева, 2;                     3.  Иркутская обл., с.Баяндай, ул.Некунде, 20                       ",,12.12.2011   на 6 месяцев,6/27/2012,,,,
30,"ООО ""Петраль""    8502003419        (выдана)",,МИФНС России №7 по Иркутской области и УОБАО,,№35 серия А167606 от 13.07.2012 года            срок действия с 13.07.2012г. По 12.07.2013г.,,,"1. Иркутская область, Баяндаевский район, с. Ользоны, ул. Октябрьская, 1-2",,,,,,,
31,"ООО ""Алина""           8502003352                     (выдана)",,МИФНС России №7 по Иркутской области и УОБАО,,№37 серия А167608 от 25.07.2012 года            срок действия с 25.07.2012г. по 24.07.2013г.,,,"1. Иркутская область, Баяндаевский район, с. Васильевка, ул. Центральная",,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
