"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по  МО города Усолье-Сибирское",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
10,"Общество с ограниченной ответственностью 
«Хиврия» 
ИНН 3819016753","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское,          
ул. Молотовая, 78 
","Сер. А 221770 рег. № 12 от 21.06.2006 г. с 21.06.2006 г. по 20.06.2011 г.
переоформлена 02.03.2007 г.
Сер. А 221820 рег. № 62 с 21.06.2006 г. по 20.06.2011 г.
продлена 16.06.2011 г.
с 21.06.2011 г. по 20.06.2012 г.
переоформлена 23.06.2011 г.
Сер. А 221952 рег. № 196
с 23.06.2011 г. по 20.06.2012 г.
переоформлена 24.08.2011 г.
Сер. А 221959 рег. № 202
с 24.08.2011г. по 20.06.2012 г.
","ул. Молотовая, 78, отдел в магазине ""Нива""",,,21.06.2012г.,,
11,"Общество с ограниченной ответственностью
«Эпсилон»
ИНН 3819010141
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское
ул. Карла Маркса, 18
","Сер. А 221772 рег. № 13 от 22.06.2006 г. с 22.06.2006 г. по 21.06.2011 г.
переоформлена 23.11.2006 г.
Сер. А 221801 рег. № 43 с 22.06.2006 г. по 21.06.2011 г.
переоформлена 22.12.2010 г.
Сер. А 221935 рег. № 180 с 22.12.2010 г. по 21.06.2011 г.
продлена 20.06.2011 г. 
с 22.06.2011 г. по 21.06.2012 г.
переоформлена 07.12.2011 г.
Сер. А 221972 рег. № 209
с 07.12.2011 г. по 21.06.2012 г.
","1. ул. Интернациональная, район дома № 26 – магазин «Эльф».
2. ул. Интернациональная, 2 - магазин «Тайга». 
3. пр. Ленинский, 18-2, магазин «Добрыня».
4. ул. Ватутина, 34 – магазин «Ника».
5. ул. Луначарского, 5, отдел в магазине
6. Усольский район, р.п. Белореченский, 100 «В» - магазин «Для Вас».
",,,22.06.2012г.,,
12,"Общество с ограниченной ответственностью
«Блюз»
ИНН - 3819016961
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
ул. Менделеева, 57
","Сер. А 221771 рег. № 14 от 26.06.2006 г. с 26.06.2006 г. по 25.06.2011 г.
","ул. Менделеева, 57 – кафе «Блюз»",,,27.06.2011 г.,,
13,"Общество с ограниченной ответственностью 
«Престиж»
ИНН 3819016560
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
Ленинский пр-т, 3 «А», 2
","Сер. А 221773 рег. № 15 от 26.06.2006 г. с 26.06.2006 г. по 25.06.2011 г. 
переоформлена 01.04.2011 г.
Сер. А 221945 рег. № 190 с 01.04.2011 г. по 25.06.2011 г.
продлена 24.06.2011 г.
с 26.06.2011 г. по 25.06.2012 г.
переоформлена 12.10.2011 г.
Сер. А 221964 рег. № 204
с 12.10.2011 г. по 25.06.2012 г.
","1. пр. Кр.партизан, р-он магазина «Охотник» - магазин «Жемчужина».
2. ул. Луначарского, 21А – магазин «Престиж-2».","19.09.2011 г.
на 1 месяц",12.10.2011г.,26.06.2012г.,,
14,"Общество с ограниченной ответственностью 
«Дельта СК»
ИНН 3819016665
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское, ул. Машиностроителей, 11
","Сер. А 221774 рег. № 16 от 26.06.2006 г. с 26.06.2006 г. по 25.06.2011 г.
переоформлена 16.10.2007 г.
Сер. А 221838 рег. № 82 
с 26.06.2006 г. по 25.06.2011 г.
переоформлена 22.06.2009 г.
Сер. А 221883 рег. № 128 
с 22.06.2009 г. по 25.06.2011 г.  
продлена 07.06.2011 г.
с 26.06.2011 г. по 25.06.2012 г.
","ул. Машиностроителей, 11 – магазин «Дельта-2»",,,26.06.2012г.,,
15,"Общество с ограниченной ответственностью 
«Весна»
ИНН 3819005649
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
ул. Ватутина, 12
","Сер. А 221775 рег. № 17 от 26.06.2006 г. с 26.06.2006 г. по 25.06.2011 г.
продлена 16.06.2011 г.
с 26.06.2011 г. по 25.06.2012 г.
","ул. Ватутина, 12 - магазин «Весна»",,,26.06.2012г.,,
16,"Общество с ограниченной ответственностью
«Молоток»
ИНН 3819017034
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское
ул. Куйбышева, 3 «А»
","Сер. А 221777 рег. № 19 от 30.06.2006 г. с 30.06.2006 г. по 29.06.2011 г.
продлена 27.06.2011 г.
Сер. А 221953 рег. № 19 от 30.06.2006 г.
с 30.06.2011 г. по 29.06.2012 г.
","1. ул. Молотовая,  92д - магазин «Перец».
2. ул. Менделеева, 38 - магазин ""Точка"". 
",,,30.06.2012г.,,
17,"Общество с ограниченной ответственностью
«Ника»
ИНН 3819015703
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
ул. Клары Цеткин, 91 «А»
","Сер. А 221776 рег. № 18 от 30.06.2006 г. с 30.06.2006 г. по 29.06.2011 г.
продлена 16.06.2011 г.
с 30.06.2011 г. по 29.06.2012 г.
","ул. Клары Цеткин, 91 «А» - магазин «Купеческий двор»",,,30.06.2012г.,,
18,"Общество с ограниченной ответственностью
«Борнео»
ИНН 3819016633 
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
ул. Луначарского, 39 «В»
","Сер. А 221778 рег. № 20 от 30.06.2006 г. с 30.06.2006 г. по 29.06.2011 г.
переоформлена 02.12.2010 г.
Сер. А 221929 рег. № 174 с 02.12.2010 г. по 29.06.2011 г.
продлена 20.06.2011 г.
Сер. А 221950 рег. № 174 от 02.12.2010 г.
с 30.06.2011 г. по 29.06.2012 г.
","1. ул. Луначарского, 39 «в» - кафе «Борнео».
2. ул. К. Цеткин, 93-2 - магазин «Авоська».
",,,30.06.2012г.,,
19,"Общество с ограниченной ответственностью
«Аракс»
ИНН 3819016760
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
переулок Лермонтова, 2 «А»
","Сер. А 221779 рег. № 21 с 13.07.2006 г. по 12.07.2011 г. 
переоформлена 16.06.2010 г.
Сер. А 221913 рег. № 156 с 16.06.2010 г. по 12.07.2011 г.
продлена 11.07.2011 г.
с 13.07.2011 г. по 12.07.2012 г.
","1. переулок Лермонтова, 2 «А» - магазин «Водоканал».
2. ул. Стопани, 39 «Б» - магазин ""Ангара"".
",,,7/12/2012,,
20,"Общество с ограниченной ответственностью
«Арзу»
ИНН 3819002140
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
пр. Комсомольский, 97
","Сер. А 221780 рег. № 22 от 13.07.2006 г. с 13.07.2006 г. по 12.07.2011 г.
переоформлена 23.01.2007 г.
Сер. А 221808 рег. № 51 с 13.07.2006 г. по 12.07.2011 г.
продлена 05.07.2011 г.
с 13.07.2011 г. по 12.07.2012 г.
переоформлена 18.08.2011 г.
Сер. А 221957 рег. № 201
с 18.08.2011 г. по 12.07.2012 г.
","1. магазин «Гастростиль», ул. Р.Люксембург,  5
2. магазин «Мечта», ул. Менделеева, 2
3. магазин «Наполеон», ул. Ленина, 95 «а»         
4. магазин «Император», ул. Ленина, 95 «а»
5. магазин «Гастростиль-2», проезд Серегина, 3
6. отдел в магазине ""Арабелла"", ул. Менделеева, 34-39
",,,,,
21,"Общество с ограниченной ответственностью
«Удача»
ИНН 3819007903
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское пр. Комсомольский, 48
","Сер. А 221781 рег. № 23 от 13.07.2006 г. с 13.07.2006 г. по 12.07.2011 г
переоформлена 28.04.2007 г.         
Сер. А 221827 рег. № 70 с 13.07.2006 г. по 12.07.2011 г.
переоформлена 19.05.2010 г.
Сер. А 221909 рег. № 152 с 19.05.2010 г. по 12.07.2011 г. 
продлена 05.07.2011 г.
с 13.07.2011 г. по 12.07.2012 г.

","1. вино-водочный отдел в ТЦ «Оазис»; пр. Комсомольский, 48.
2. вино-водочный отдел в ТК «Удача», ул. Ленина, 93 «А».
3. универсам «Удача», ул. Ленина, 93 «А».
",,,7/13/2012,,
22,"Общество с ограниченной ответственностью
«Лидер»
ИНН 3819015630
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское 
пр. Кр. Партизан, 6 ""А""
","Сер. А 221782 рег. № 24 от 13.07.2006 г. с 13.07.2006 г. по 12.07.2011 г. 
переоформлена 18.05.2007 г.
Сер. А 221833 рег. № 76 с 13.07.2006 г. по 12.07.2011г.
продлена 11.07.2011 г.
Сер. А 221956 рег. № 76 от 18.05.2007 г.
с 13.07.2011 г. по 12.07.2014 г.
переоформлена 14.05.2012 г.
Сер. А 221998 рег. № 235
с 14.05.2012 г. по 12.07.2014 г.
","1. пр. Кр. партизан, 6«А», магазин ""Лидер""
2. район трамвайной остановки «Кристалл».магазин «Для В.А.С»
3. пр. Космонавтов, 46-84, магазин ""Наш""
","19.09.2011 г.
на 1 месяц",20.10.2011г.,,,
23,"Общество с ограниченной ответственностью
«Пирамида»
ИНН 3819016721
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское
пр. Космонавтов, 20
","Сер. А 221784 рег. № 26 от 02.08.2006 г. с 02.08.2006 г. по 01.08.2011 г.
продлена 27.07.2011 г.
с 02.08.2011 г. по 01.08.2012 г.
","Магазин «Огонек», пр. Космонавтов, 20",,,8/2/2012,,
24,"Общество с ограниченной ответственностью
«Триумф»
ИНН 3819017179
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское
ул. Матросова, 1
","Сер. А 221785 рег. № 27 от 02.08.2006 г. с 02.08.2006 г. по 01.08.2011 г.
переоформлена 09.09.2010 г.
Сер. А 221922 рег. № 165 с 09.09.2010 г. по 01.08.2011 г.
продлена 18.07.2011 г.
с 02.08.2011 г. по 01.08.2012 г.

","1. Магазин «Уголок», ул. Матросова, 1.
2. Вино-водочный отдел в магазине «Бирюсинка», ул. Ленина, 82.
",,,8/2/2012,,
25,"Общество с ограниченной ответственностью
«Усольчанка»
ИНН 3819016915
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское
ул. Ватутина, 32 А 
","Сер. А 221786 рег. № 28 от 15.08.2006 г. с 16.08.2006 г. по 15.08.2011 г.
","Магазин «Продукты», ул. Ватутина, 32 «А»","13.11.2010 г.
на 6 месяцев
с 19.05.2011г.
по 15.08.2011 г.
",14.05.2011г.,16.08.2011 г.,,
26,"Общество с ограниченной ответственностью
«Эверест»
ИНН 3819008777
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское
пр. Космонавтов, 9
","Сер. А 221787 рег. № 29 от 15.08.2006 г. с 16.08.2006 г. по 15.08.2011 г.
переоформлена 22.09.2008 г.
Сер. А 221861 рег. № 103 
с 16.08.2006 г. по 15.08.2011 г.
переоформлена 28.04.2010 г. 
Сер. А 221907 рег. № 150 
с 28.04.2010 г. по 15.08.2011 г.
продлена 10.08.2011 г.
с 16.08.2011 г. по 15.08.2012 г.
переоформлена 12.10.2011 г.
Сер. А 221962 рег. № 203
с 12.10.2011 г. по 15.08.2012 г.
","1. маг. «Паллада», ул. Луначарского, 39 «А».
2. кафе «Космос», пр. Космонавтов, 9.
","19.09.2011 г.
на 1 месяц",12.10.2011г.,,,
27,"Общество с ограниченной ответственностью
«Масис»
ИНН 3819008537
","МИ ФНС № 8  по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское
ул. Куйбышева, 10 «А»
","Сер. А 22178 рег. № 30 от 02.09.2006 г. 
с 02.09.2006 г. по 01.09.2011 г.
продлена 24.08.2011 г.
Сер. А 221958 рег. № 30 от 02.09.2006 г.
с 02.09.2011 г. по 01.09.2012 г.
","Магазин «Добрый», ул. Куйбышева, 10 «А»",,,,,
28,"Общество с ограниченной ответственностью
«Фишер»
ИНН 3819003881
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское
пр. Космонавтов, 19-31
","Сер. А 221792 рег. № 34 от 27.09.2006 г. с 27.09.2006 г. по 26.09.2011г.
переоформлена 22.01.2009 г. 
Сер. А 221872 рег. № 117 с 27.09.2006 г. по 26.09.2011 г. 
","Закусочная «Жемчужина-2», привокзальная площадь ж/д вокзала.",,,27.09.2011 г.,,
29,"Общество с ограниченной ответственностью «777»
ИНН 3819016827
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское            ул. Толбухина, 46
","Сер. А 221793 рег. № 35 от 29.09.2006 г. с 29.09.2006 г. по 28.09.2011 г.
переоформлена 16.01.2009 г.
Сер. А 221870 рег. № 114 с 16.01.2009 г. по 28.09.2011 г.
","магазин «777», ул. Толбухина, 46",01.02.2011 г. на 6 месяцев,01.08.2011г.,29.09.2011 г.,,
30,"Общество с ограниченной ответственностью
«Магазин № 68»
ИНН 3819017002
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское
ул. Стопани, 89
","Сер. А 221794 рег. № 36 от 02.10.2006 г. 
с 02.10.2006 г. по 01.10.2011 г.
продлена 09.09.2011г.
Сер. А 221960 рег. № 36 от 02.10.2006 г.
с 02.10.2011 г. по 01.10.2012 г.
","ул. Стопани, 89, магазин № 68 ""Загородный""

",,,,,
31,"Общество с ограниченной ответственностью
«Адамант+»
ИНН 3819016619
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, ул. Бурлова, 42
","№256 от 31.07.2012  взамен А 201057 рег. № 242 от 13.06.2012 г.
с 13.06.2012 г. по 12.10.2012 г.
взамен:
Сер. А 221965 рег. № 38 от 13.10.2006 г.
с 19.10.2011 г. по 12.10.2012 г.
","Усольский район, ул. Крупской, 22б..
",,,,,
32,"Общество с ограниченной ответственностью
«Домино»
ИНН 3819015862
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, 
ул. Республики, 6
","Сер. А 221797 рег. № 39 от 27.10.2006 г. 
с 27.10.2006 г. по 26.10.2011 г.
продлена 16.09.2011 г.
Сер. А 221961 рег. № 39 от 27.10.2006 г.
с 27.10.2011 г. по 26.10.2012 г.
","1. кафе «Домино», ул. Республики, 6;
2. магазин № 23 «Вино-водка», пр. Ленинский, 3 «А»
",,,,,
33,"Общество с ограниченной ответственностью 
«Хоттей»
ИНН 3819017130
","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское,
Ленинский пр-т, 95
","Сер. А 221798 рег. № 40 от 03.11.2006 г. 
с 03.11.2006 г. по 02.11.2011 г.
продлена 14.11.2011 г.
с 03.11.2011 г. по 02.11.2012 г.
","кафе «Придорожное»,
пр. Ленинский, 95
",,,,,
34,"Общество с ограниченной ответственностью 
«Транзит-Ойл»
ИНН 3819017154

","МИ ФНС № 8 по Иркутской обл. и УОБАО Юр.  адрес:
г. Усолье-Сибирское, ул. Стопани, 26
","Сер. А 221893 рег. № 138 09.10.2009 г. 13.11.2011 г.
переоформлена 29.12.2006 г.
переоформлена 19.02.2007 г.
переоформлена 07.05.2007 г. 
переоформлена 06.07.2007 г.
переоформлена 23.01.2008 г.
переоформлена 22.04.2008 г.
переоформлена 22.07.2008 г.
переоформлена 04.12.2008 г.
переоформлена 02.04.2009 г.
переоформлена 25.05.2009 г. 
переоформлена 19.04.2010 г. 
переоформлена 14.01.2011 г.                                          Сер. А 221936 № 181 с 14.01.2011 г. по 13.11.2011 г.
","1. маг. № 1, АЗС, Иркутская обл., Ангарский р-он, 1855 км. автодороги Новосиб.-Ирк.
2. маг. № 2, АЗС, Ирк.р-он, с. Смоленщина, 13 км. + 200 м. Фед. до-ги Ирк.-Чита.
3. маг. № 3, АЗС Ирк.р-он, 16 км. + 50 м. Фед.д-ги Иркутск-Красноярск.
4. маг. № 4, АЗС, Ирк.обл., г. Усолье-Сибирское, пр. Комсомольский, 107.
5. маг. № 5, АЗС, Ирк.обл., г. Усолье-Сибирское, ул. Стопани, 26.
6. г. Иркутск, ул. Ширямова, 32, АЗС «КрайсНефть».
7. Иркутский р-он, 34 км.+250 м. Федеральной дороги 1Р418 Иркутск-Усть-Ордынский, АЗС, маг № 7.
8. Иркутский р-он, п.Новолисиха, ул.Трактовая, 22, маг. № 9 при АЗС.
9. г. Ангарск, вдоль правой стороны автодороги Новосибирск-Иркутск, в 1100 м. юго-восточнее пересечения с ул..Чайковского, маг. № 10, при АЗС.
10. г. Иркутск, ул. Баррикад, стр. 60 ""З"", маг. № 11.
11. Усольский р-он, в 18 м юго-восточнее зем. участка Устюжанина Э.Л. (автостоянка), примыкает с юго-запада к границе г. Усолье-Сиб., маг. № 13.
12. г. Иркутск, ул. Полины Осипенко, 1, маг. № 14.
13. г. Иркутск, ул. Сергеева, 19, маг. № 16.","19.09.2011 г.
на 1 месяц",,24.10.2011 г.,,
,,,,"14. г. Иркутск, ул. Лермонтова, 93, маг. № 19.
15. Ирк. обл., г. Ангарск, микр-н «Майск», ул. Партизанская, в 200 м. юго-восточнее пересечения с ул. Гастелло, маг. № 20.
16. Ирк. обл., г. Черемхово, ул. Маяковского, 87-А, маг. № 22.
17. Ирк. обл., г. Иркутск; в р-не канализационно-очистных сооружений правого берега р. Ангара, магазин № 12.
18. Ирк. обл., Иркутский р-он, 17 км Качугского тракта (поле У реки пашня), маг. № 15.
19. Ирк. обл., Иркутский р-он, 1 км + 400 м а/дороги Иркутск-Падь Мельничная, маг. № 17.
20. Ирк. обл., Иркутский р-он, п. Дзержинск, с правой стороны а/до роги Иркутск-Большое Голоустное, маг. № 27.
21. Иркутская обл. г.Черемхово, ул.Первомайская, 211 «А», магазин № 29.
22. Иркутская обл., Ольхонский р-он, Местность «Тогот».
23. г. Иркутск, ул. Депутатская, 89, магазин № 28.
24. Иркутский р-он, 62-й км. Байкальского тракта автодороги Иркутск-Листвянка, магазин № 30.
25. Иркутская область, Эхирит-Булагатский р-он, п. Усть-Ордынский, 68 км. автотрассы Иркутск-Качуг, магазин № 31.
26. Иркутская область, Слюдянский р-он, р.п. Култук, ул. Профсоюзная, 4-й км.автодороги Култук-Монды, магазин №32.",,,,,
,,,,"27. Иркутская область, г. Иркутск ул. Сурнова, 20а, магазин № 24 со складом.",,,,,
35,"Общество с ограниченной ответственностью 
«Штиль» 
ИНН 3811086815
","ИФНС по Октябрьскому округу г. Иркутска
Юр. адрес:
г. Иркутск, 
ул. Лыткина, 61
","Сер. А 221803 рег. № 45 от 19.12.2006 г. с 19.12.2006 г. по 18.12.2011 г.
переоформлена 28.04.2007 г.
Сер. А 221828 рег. № 71 с 19.12.2006 г. по 18.12.2011 г.
переоформлена 03.07.2009 г.
Сер. А 221885 рег. № 131 с 03.07.2009 г. по 18.12.2011 г.
","Бар «Магнит», ул. Ленина, 95  

",,,12.04.2011г.,,
36,"Общество с ограниченной ответственностью 
«Фирма ЛТД»
ИНН 3819001394
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское, пр. Космонавтов, 9
","Сер. А 221804 рег. № 46 от 19.12.2006 г. с 19.12.2006 г. по 18.12.2011 г.
","1. магазин «Колос», пр. Космонавтов, 9.
2. магазин «Колос», ул. Луначарского, 5.
",,,19.12.2011г.,,
37,"Общество с ограниченной ответственностью 
«Арен»
ИНН 3819008093
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес:
г. Усолье-Сибирское,
ул. Ленина, 87
","Сер. А 221806 рег. № 48 от  29.12.2006 г. с 29.12.2006 г. по 28.12.2011 г.
","1. магазин «Арен», ул. Ленина, 87.
2. кафе «Ахтамар», ул. Ленина, 87.
3. кафе «Домашний очаг», ул. Трактовая, 5.
",,,29.12.2011г.,,
38,"Общество с ограниченной ответственностью 
«Мираж»
ИНН 3819017852
","МИ ФНС № 8 по Иркутской обл. и УОБАО
Юр.  адрес: г. Усолье-Сибирское, ул. Магистральная, 14 «А»
","Сер. А 221811 рег. № 53 от 29.01.2007 г. 
с 29.01.2007 г. по 28.01.2012 г.
переоформлена 17.11.2011 г.
Сер. А 221968 рег. № 206
с 18.11.2011 г. по 28.01.2012 г.

"," 1. ул. Магистральная, 14А, магазин «Мираж»
2 ул. Магистральная, 14, отдел в магазине ""Продукты""",,,29.01.2012г.,,
