"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Балаганский район ",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
20.,ООО «Шаи»,МИ ФНС № 14 по Иркутской области,А 244924,"п. Балаганск,",,,,,Администрация муниципального образова
,ИНН 3814014880,,23.04.2012 г. до 31.12.2014 г.,"ул. Чехова, 76",,,,,ния Куйтунс
,,,,отдел в магазине «Людмила»,,,,,кий район
,,,,"п. Балаганск,",,,,,
,,,,"ул. Кольцевая, 59",,,,,
,,,,отдел в магазине ,,,,,
,,,,«Колос»,,,,,
,,,,"п. Балаганск,",,,,,
,,,,"ул. Колхозная, 27",,,,,
,,,,отдел в магазине,,,,,
,,,,«Малахит»,,,,,
21.,"ООО ""Магнит""  ",МИ ФНС № 14 по Иркутской области,А 179431,"п. Балаганск, ул. Мира, 12 отдел в магазине ""Пятёрочка""",,,,,
,ИНН 3814017489,,26.03.2012 г.,,,,,,
,,,до 26.03.2013 г.,,,,,,
22,ООО «Рыбачий домик»,МИ ФНС № 2 по Иркутской области и УОБАО,А  179432  28.04.2012 г. до 28.04.2013 г.,"п. Балаганск, ",,,,,
,ИНН 3806001950,,,"ул. Панкратьева, 2 б ",,,,,
,,,,кафе «Рыбачий домик»,,,,,
23,ООО «Ассорти» ИНН 3806003877 ,МИ ФНС № 2 по Иркутской области и УОБАО,"А 179439
30.06.2012 г. до 30.06.2013 г.

","п. Балаганск, ул. Горького, 63",,,,,
,,,,отдел в магазине «Шанс» ,,,,,
,,,,,,,,,
24,ООО «Изумруд»,МИ ФНС № 14 по Иркутской области,А 179441,"п. Балаганск,",,,,,
,ИНН 3814016510,,20.07.2012 г. до 20.07.2013 г.,"ул. Некрасова, 13",,,,,
,,,,отдел в магазине «Визит»,,,,,
,,,,,,,,,
25,ООО «Багульник»,МИ ФНС № 2 по Иркутской области и УОБАО,А 179440,"п. Балаганск, ул. Ленина, 21",,,,,
,ИНН 3806003926,,02.07.2012 г. до 02.07.2013 г.,отдел в магазине,,,,,
,,,, «Продукты» ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
