"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Зиминскому районному МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
8.,ООО «Отрада»                             ИНН 3814009551,Межрайонная ИФНС № 14 по Иркутской области и УОБАО,"Ранее выданная лицензия 38 МЕ 005353 срок действия с 08.07.2011.по 08.12. 2015                                  Зарегестрирована переоформленная лицензия 38 МЕ 005363, срок действия с 16.07.2012 по 08.12.2015","1. 665361, Иркутская область, Зиминский район, с. Батама, Пионерский пер,17. , отдел в магазине ""Успех""                                 2. 665368, Иркутская обл. Зиминский район, с. Покровка, Центральная ул., д.9. , отдел в павильоне ""Новый"";                                                              3. Иркутская область, Зиминский район, автомагистраль Красноярск-Иркутск 1606км+200м (слева) , кафе ""Наш дворик""                            ",,,,,Администрация городского округа муниципального образования «город Саянск»,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
9.,ООО «Абсолют»        ИНН 3814013854,Межрайонная ИФНС №14 по Иркутской области,Ранее действующая лицензия                              А 244916                          от 14.11.2011 г. по 25.12.2013г.          Зарегистрирована переоформленная лицензия                               А 244925,"Зиминский район:                             1. с.Ухтуй, ул. Московский тракт,1, отдел в кафе «Придорожное»;                                 2. с. Самара, ул. Черемушки,5, отдел в магазине «Продукты»;                                                3. с. Кимильтей, ул. Чкалова,53, отдел в магазине « У Ксюши»",,,,,Администрация муниципального образования  Куйтунский район,
, ,,  от 25.04.2012г.                              по 25.12.2013 г., ,,,,,,
,,,,,,,,,,
,,,,,,,,,,
10.,ООО «Надежда»                         ИНН  3806005296      , Межрайонная  ИФНС России  № 2 по Иркутской области и УОБАО, Действующая лицензия                    А 002268                                       ," Зиминский район:                                      1. с.  Ухтуй,ул. Совхозная,15,отдел в павильоне «Горячий хлеб»",,,7/2/2012,, ,
,,,от 06.08.2009г.                         по 06.08.2014г.,,,,,,,
11.,ООО «Торговая Марка Кайрос»                      ИНН 3819011427,Межрайонная ИФНС                 № 16 по Иркутской области,  Ранее действующая лицензия,"Зиминский район:                                    1. с. Ухтуй, Московский тракт, 1.",,,7/31/2012,,Администрация г.Иркутска,
,,,"  38 МЕ 003897, срок действия с 29.03.2005.по 28.03.2015                    Зарегестрирована переоформленная лицензия 38 МЕ 003974 , срок действия с 29.03.2005 по 28.03.2015",,,,,,,
,,,,,,,,,,
12.,ООО «Меркурий»  ИНН 3814009696,Межрайонная ИФНС   №14 по Иркутской области,Ранее действующая лицензия                          38 МЕ 005307 от 24.09.2010г.по 06.07.2011г. Зарегистрирована  продлённая лицензия ,"Зиминский район:                                           1. с. Харайгун, ул. Центральная,14,отдел в магазине продовольственные товары",,,7/6/2012,,Администрация городского округа муниципального образования «город Саянск»,
, ,,38 МЕ 005307,,,,41096,,,
,,,с 07.07.2011 г.,,,,41096,,,
,,,по 06.07.2012 г.,,,,41096,,,
13.,ООО «ШАИ»  ИНН  3814014880,Межрайонная ИФНС                        № 14 по Иркутской области,Ранее действующая лицензия                                         А 244924                                  с23.04.2012 г.                    по 31.12.2014 г.  Зарегистрирована 01.06.2012 г. переоформленная лицензия," Зиминский район:                         1. с. Кимильтей, ул. Чкалова, д.30, отдел в магазине ""У Светланы"";                                                                 2. с. Харайгун, ул. Центральная, д. 21, отдел в магазине ""У Анны"";              3. с. Баргадай, ул. Школьная, д.58, отдел в магазине № 62 ""Товары повседневного спроса"";                                       4. с. Кимильтей, ул. Чкалова, 81, отдел в магазине ""Светлана"";                                                         5.  уч. Верхнеокинский, ул. Центральная, 20, отдел в магазине ""Надежда"";                                                                                        6. с. Новолетники, ул. Центральная, 68, отдел в магазине ""Для Вас""",,,,,Администрация муниципального образования Куйтунский район,
, ,,А 244926                                   с 16.05.2012 г.                                по 31.12.2014 г.,,,,,,,
,,, ,,,,,,,
,,, ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
14.,ООО «Старт»  ИНН 3812120956,Межрайонная ИФНС №17 по Иркутской области,Ранее действующая лицензия 38 МЕ 003359  от 30.04.2009 по 29.04.2014 Зарегистрирована переоформленная лицензия                                                   38 МЕ 003422,"Зиминский район:                               1.с. Кимильтей, ул. Чкалова,83,отдел ",,,,,Администрация г. Иркутска,
, , ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , ,,,,, ,
15.,"ООО ""Престиж""  ИНН 3814010740",Межрайонная ИФНС № 14 по Иркутской области, Ранее действующая лицензия                          38 МЕ 005331 от 02.06.2011г.по 30.06.2011г. Зарегистрирована продленная                                         лицензия                                                                                  11.07.2011 г.                           38 МЕ 005331                                           с  01.07.2011 г.                         по 30.06.2012 г.,"Зиминский район:                                       1. с. Кимильтей, ул. Чкалова, д.81, отдел в магазине ""Светлана""",,,6/30/2012,,Администрация городского округа муниципального образования «город Саянск»,
16.,"ООО ""Сибирский Бизнес Регион""   ИНН 3814012138",Межрайонная ИНФС №14 по Иркутской области и Усть-Ордынскому автономному округу,"Ранее выданная лицензия А 002290, срок действия с 28.02.2012.по 01.01.2013                             Зарегестрирована переоформленная лицензия А 002292, срок действия с 27.07.2012 по 01.01.2013","1. Иркутская область, Зиминский район, д. Мордино, ул. Центральная, 16а, отдел в магазине ""Селяночка"";                       2. Иркутская область,  Зиминский район, с. Буря, ул. Центральная, д.60. отдел  в магазине;                                                             3. Иркутская область, г. Зима, ул. Космонавтов, д.78.О., отдел в ТК ""Владимировский"";                               4. Икутская область, м-н Солнечный, 4., отдел в ТК ""Эй-Би-Маркет"";             5. Иркутская область, Куйтунский район, п.Харик, ул. Карла Маркса 45, отдел в магазине ""Весна"";                6.Иркутская область.Куйтунский район, п. Харик, ул. Молодежная. 18/1. отдел в магазине ""Михалыч"";  7. 665390 Иркутская область, г. Зима. ул. Бограда,71, магазин ""Апельсин""",,,,,,
17.,"ООО ""Бриз"" ИНН 3812130383",Межрайонная ИФНС №17 по Иркутской области,"Ранее выданная лицензия А 203250, срок действия с 11.05.2012.по 25.07.2016                              Зарегестрирована переоформленная лицензия А 203263, срок действия с 13.07.2012 по 25.07. 2016"," Зиминский район:                                    1. с. Перевоз, ул. Молодежная,16Б, отдел в магазине                                                       ",,,,,Иркутским районным муниципальным образованием,
18,"ООО ""Гарант ИНН 3814017753",МИФНС №14 по Иркутской области,"Зарегестрирована новая  лицензия А 002291, срок действия с 30.04.2012 по 30.04.2013г.","Зиминский район, с. Батама, пер. Пионерский, д.12-2",,,,,,
19,"ООО ""Экония"" ИНН 3814016485",МИФНС №14 по Иркутской области и УОБАО,Зарегестрирована лицензия А 154418 срок действия с 26.07.2012 по 31.03.2016,"1. 665351 Иркутская область, с. Ухтуй, ул. Московский тракт, д. 1, лит В, отдел;                                                             2. 665350 Иркутская область, Зиминский район, ""Автомагистраль Красноярск-Иркутск, 1625+860м (слева)"", отдел в кафе ""Вдали от жен""",,,,,Администрацией Зиминского городского муниципального образования,
20,"ООО ""Василиса"" ИНН 3814017249",МИФНС №14 по Иркутской области и УОБАО,"Зарегестрирована лицензия А 154416, срок действия с 18.07.2012 по 17.07.2013",,"1. Иркутская область, Зиминский район, уч. Буринская дача, остановка ""Спутник"",д.43;            2. Иркутская область, Зиминский район, п. Центральный Хазан, ул. Мира, 57 ""Д"", литер А",,,,,Администрация Зиминского городского муниципального образования
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
