"Государственный сводный реестр
выданных, приостановленных и аннулированных лицензий
на производство и оборот этилового спирта, алкогольной
и спиртосодержащей продукции в муниципальном образовании город Губкинский,
 по состоянию на 01.09.2012
"Общество с ограниченной ответственностью ""ПИКНИК""
(ООО ""ПИКНИК"")",8913006945,891301001,"г. Губкинский, мкр. 12, д. 37, кв. 10",ooopiknik@rambler.ru,"отдел ""Алкогольная продукция"" магазина ""Любимый"" 
(г. Губкинский, мкр. 7, д. 68)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128404,Администрация муниципального образования город Губкинский,7/8/2011,7/7/2016,Г 128579,Переоформление лицензии,6/19/2012,"Решение Лицензирующего органа 
о переоформлени лицензии
 от 18.06.2012 № 7",,,,
,,,,,"отдел ""Алькогольная продукция"" магазина ""Любимый"" 
(г. Губкинский, 
мкр. 1, д. 19)",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственность 
""Огни Ямала""
(ООО ""Огни Ямала"")",8913007106,891301001,"г. Губкинский, промзона панель № 3",yamalaydit@mail.ru,"отдел ""Вино-водка"" в магазине 
№ 34 (г. Губкинский, мкр. 2, 34)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128406,Администрация муниципального образования город Губкинский,7/8/2011,7/7/2016,Г 128566,Переоформление лицензии,9/14/2011,"Решение Лицензирующего органа 
о переоформлени лицензии
 от 13.09.2011 № 24",,,,
,,,,,"отдел ""Вино-водка"" в магазине ""КВАНТ"" (Пуровский район, 
п. Пурпе, мкр. СУ-39, д. 15)",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Вино-водка"" в магазине ""Надежда-2"" (Пуровский район, п. Пурпе, ул. Полярная, д. 1а)",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Вино-водка"" в магазине ""Омега"" (Пуровский район, 
п. Пурпе, ул. Лермонтова, д. 19 Б)",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Алкогольная продукция"" магазина ""ТРИ МЕДВЕДЯ"" (Пуровский район, п. Пурпе, 
ул. Аэродромная, д. 38А)",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Алкогольная продукция"" магазина ""Мир продуктов"" (Пуровский район, п. Пурпе, КС-02, ул. Победы, д. 3А)",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Алкогольная пролукция"" магазина ""Мир продуктов-1"" (Пуровский район, п. Пурпе, КС-02, ул. Российская, д. 1А)",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Алкогольная продукция"" магазина ""ЛЮКС-2"" (Пуровский район, п. Пурпе, 
ул. Аэродромная, д. 27Г)",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Алкогольная продукция» магазина «Карина» (Пуровский 
р-он,  г. Тарко-Сале, 
ул. Бамовская д. 2);",,,,,,,,,,,,,,,,,
,,,,,"кафе «Супер-МАКС»
 (г. Губкинский, мкр.3, д.42);",,,,,,,,,,,,,,,,,
,,,,,"отдел «Алкогольная продукция» магазина «Немига» (г. Губкинский, мкр.14, д.7);",,,,,,,,,,,,,,,,,
,,,,,"отдел «Вино-водка» в магазине «Эмин»  (Пуровский р-он, п.Пурпе, 
ул. Железнодорожная, д. 29);",,,,,,,,,,,,,,,,,
,,,,,"бар  «Супер-МАКС» (г. Губкинский, мкр.3, д.42) ;",,,,,,,,,,,,,,,,,
,,,,,"отдел «Вино-водка» магазина «Супер-МАКС»  (г. Губкинский, мкр. 3, д. 42);",,,,,,,,,,,,,,,,,
,,,,,"отдел «Вино-водка» в павильон ""СМАК"" (Пуровский р-он, п. Пуровск, ул. Новая;",,,,,,,,,,,,,,,,,
,,,,,"Отдел ""Вино-водка"" в магазине ""Тайга.Овощи.Фрукты"" (г.Губкинский, мкр.4, д.5)",,,,,,,,,,,,,,,,,
,,,,,"бар ""Italiano"" в пиццерии ""Pizza & pasta"" (г. Губкинский, мкр.12, д.33)",,,,,,,,,,,,,,,,,
,,,,,"отдел алкогольной продукции
 в магазине ""КлассиК"" 
(г. Губкинский, мкр. 1, д. 5)",,,,,,,,,,,,,,,,,
,,,,,"отдел алкогольной продукции в павильоне ""Берекет"" (Пуровский район, п. Пурпе, ул. Федеральная, панель №12)",,,,,,,,,,,,,,,,,
,,,,,"отдел «Алкогольная продукция» павильона «Славянский» 
(г. Губкинский, мкр.9); ",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Винный"" в магазине ""Игорёк""
 (г. Губкинский, мкр. 14)",,,,,,,,,,,,,,,,,
,,,,,"отдел «Вино-водка» 
в минимаркете «Чаровница»
( г. Губкинский, мкр.7)",,,,,,,,,,,,,,,,,
,,,,,"отдел «Вино-водка» в минимаркете «Метелица» (г. Губкинский, мкр.6); (временно закрыт); ",,,,,,,,,,,,,,,,,
,,,,,"отдел «Вино-водка» в павильоне ""АНАР"" (Пуровский р-он, г. Тарко-Сале"", ул. Энтузиастов)",,,,,,,,,,,,,,,,,
,,,,,"отдел «Вино-водка» в павильоне «Альтаир» (г. Губкинский, 
мкр. 6);",,,,,,,,,,,,,,,,,
,,,,,"отдел «Алкогольная продукция»павильона «КВАДРАТ» (г. Губкинский, мкр.6) (временно закрыт); ",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""Сигма""
(ООО ""Сигма"")",8913006617,891301001,"г. Губкинский,
 мкр. 5, д. 17, кв. 21",dsveta@pursatcom.ru,"минимаркет ""Элен""
 (г. Губкинский, мкр. 2)
(временно закрыт);",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128408,Администрация муниципального образования город Губкинский,7/21/2011,7/20/2016,Г 128555,,,,,,,
,,,,,"минимаркет ""Селена""
 (г. Губкинский, мкр. 9)
(временно закрыт);",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""ГРЕТА""
(ООО ""ГРЕТА"")",8913006494,891301001,"г. Губкинский, 
мкр. 11, д. 74, кв. 3",,"ТК ""Северный привоз"" отделы №№ 19, 20 (г. Губкинский,
мкр. 2, д. 60)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128411,Администрация муниципального образования город Губкинский,8/3/2011,8/2/2014,Г 128558,,,,,,,
,,,,,"отдел № 51, зал. № 28 ТЦ ""Меркурий"" (г. Губкинский, мкр. 12, д. 25)",,,,,,,,,,,,,,,,,
,,,,,"отдел ""Вино-водка"" магазина ""Гурман"" (г. Губкинский, мкр. 2, д. 59)",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""Гранит""
(ООО ""Гранит"")",8913007346,891301001,"г. Губкинский,
мкр. 4, д. 28",mailForElena@mail.ru,"отдел ""Вино-водка"" в магазине ""Синан-2"" (г. Губкинский, промзона, панель № 2, производственная база № 0004)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г128445,Администрация муниципального образования город Губкинский,5/23/2012,5/22/2017,Г 128574,,,,,,,
"Общество с ограниченной ответственностью 
""РОСТиК""
(ООО ""РОСТиК"")",8913007089,891301001,"г. Губкинский, 
мкр. 12, д. 25",magnat-70@mail.ru,"отдел кулинарии ""Жемчужина дракона"" магазина ""Пекин"" 
(г. Губкинский, мкр. 14, д. 44)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128414,Администрация муниципального образования город Губкинский,8/5/2011,8/4/2013,Г 128582,Переоформление лицензии,8/1/2012,"Решение Лицензирующего органа 
о переоформлени лицензии
 от 31.07.2012 № 10",,,,
"Общество с ограниченной ответственностью 
""Орион""
(ООО ""Орион"")",8913007096,891301001,"г. Губкинский, 
мкр. 9, д. 6",magnat-70@mail.ru,"отдел «Кристалл-М» ТЦ «Магнат» (г. Губкинский, 
мкр.9, д. 6);",891301001,,,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128416,Администрация муниципального образования город Губкинский,8/17/2011,8/18/2016,Г 128581,Переоформление лицензии,8/1/2012,"Решение Лицензирующего органа 
о переоформлени лицензии
 от 31.07.2012 № 09",,,,
,,,,,"отдел «Квартал плюс» магазина  
«9 квартал» (г. Губкинский, мкр.9, д. 25);",,,,,,,,,,,,,,,,,
,,,,,"отдел «12 Квартал плюс» магазина 
«12 Квартал» (г. Губкинский, мкр.12, д. 39)",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""Аристократ""
(ООО ""Аристократ"")",8913006938,891301001,"г. Губкинский,
 мкр. 12, д. 41",ooo_aristokrat@ngs.ru,"бар «Аристократ»
 (г. Губкинский,мкр.12, д. 41)
(временно закрыт);",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128418,Администрация муниципального образования город Губкинский,9/6/2011,9/5/2012,Г 128563,Переоформление лицензии,3/1/2012,"Решение Лицензирующего органа 
о переоформлени лицензии
 от 29.02.2012 № 02",,,,
,,,,,"ресторан ""Тиффани"" 
(г. Губкинский, мкр. 5, д. 42)",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственостью 
""Купец""
(ООО ""Купец"")",8913007032,891301001,"г. Губкинский, мкр. 9, д. 14, кв. 2",mailForElena@mail.ru,"отдел ""Вино-водка"" в магазине 
«Купец-4» (г. Губкинский, мкр. 6, д.5);",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128421,Администрация муниципального образования город Губкинский,9/17/2011,9/18/2012,Г 128580,Переоформление лицензии,7/27/2012,"Решение Лицензирующего органа 
о переоформлени лицензии
 от 26.07.2012 № 8",,,,
"Общество с ограниченной ответственностью 
""Эклипс""
(ООО ""Эклипс"")",8913007635,891301001,"г. Губкинский,
 мкр. 11, д. 53, кв. 7",tsymbal74@mail.ru,"отдел «Алкогольная продукция» магазина «Каспий» 
(г. Губкинский, мкр.12, д.47);",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128451,Администрация муниципального образования город Губкинский,3/23/2012,3/30/2015,Г 128573,,,,,,,
"Общество с ограниченной ответственностью ""Ягодка""
(ООО ""Ягодка"")",8913007240,891301001,"г. Губкинский, мкр. 7, 
д. 6",JagodkaJANAO@yandex.ru,"магазин ""Ягодка""
(г. Губкинский, мкр. 11, д. 55)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",Г 128452,Администрация муниципального образования город Губкинский,6/9/2012,6/8/2013,Г 128578,,,,,,,
"Общество с ограниченной ответственностью 
""ПНГ-ОРС""
(ООО ""ПНГ-ОРС"")",8913008195,891301001,"г. Губкинский, 
панель № 4",ankolomnikova@purneftegaz.ru,"кафе №8 (г. Губкинский, 
мкр. 10, д.3)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",,Администрация муниципального образования город Губкинский,3/28/2008,3/27/2013,Г 128473,,,,,,,
,,,,,"столовая №9
(Пуровский р-он, 
п. Пурпе, база ООО «ПНГ-Склад»)",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""Норд Премиум Бизнес""
(ООО ""НПБ"")",8913008653,891301001,"г. Губкинский, 
мкр. 5, д. 42",npb89@mail.ru,"бар «Барин» 
(г.Губкинский, мкр. 5, д. 42)",891301001,89,89,,,,Администрация муниципального образования город Губкинский,9/19/2008,9/18/2013,Г 128494,,,,,,,
"Общество с ограниченной ответственностью 
""Катюша""
(ООО ""Катюша"")",8913007057,891301001,"г. Губкинский, мкр. 9, д. 12, кв. 70",,"кафе «Катюша» 
( г. Губкинский, ПКиО, д. 7) 
(временно закрыт)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",,Администрация муниципального образования город Губкинский,5/27/2009,5/26/2014,Г 128509,,,,,,,
"Общество с ограниченной ответственностью 
""Сибирь""
(ООО ""Сибирь"")",8913009209,891301001,"г. Губкинский, 
мкр. 5, д. 42",,"кафе «Таланга» 
(г. Губкинский, мкр. 2, д. 57);",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",,Администрация муниципального образования город Губкинский,7/22/2009,7/21/2014,Г 128554,Переоформление лицензии,7/19/2011,"Решение Лицензирующего органа 
о переоформлени лицензии
 от 18.07.2011 № 13",,,,
,,,,,"буфет  «Сибирь» 
(г. Губкинский, мкр.5, д.42)",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""Рубин""
(ООО ""Рубин"")",8913009939,891301001,"г. Губкинский,
 мкр. 11, д. 58",berezka1158@mail.ru,"отдел ""Вино-водка"" в магазине ""Березка"" (г. Губкинский, мкр. 11, д. 58)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",,Администрация муниципального образования город Губкинский,12/25/2009,12/24/2014,Г 128567,Переоформление лицензии,9/15/2011,"Решение Лицензирующего органа 
о переоформлени лицензии
 от 14.09.2011 № 25",,,,
,,,,,"магазин Брудершафт, ТЦ ""Байкал"" Пуровский район г. Тарко-Сале, 
ул. Труда 4а.",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""Согласие""
(ООО ""СГС"")",8913010250,891301001,"г. Губкинский, мкр. 2, общ. 58, к. 14",,"отдел ""Вино-водка"" в минимаркете
 ""Наш магазин"" 
(г. Губкинский, мкр. 6)
(временно закрыт)",891301001,89,89,,,,Администрация муниципального образования город Губкинский,12/21/2010,7/5/2015,Г 128538,,,,,,,
"Общество с ограниченной ответственностью 
""Квадрат""
(ООО ""Квадрат"")",8913010500,891301001,"г. Губкинский, мкр. 1, д. 27, кв. №№20, 21",,"ресторан ""Норд +""
 (г. Губкинский, мкр. 12, д. 25, ТЦ ""Меркурий"")
(временно закрыт)",891301001,,,,,Г 128542,Администрация муниципального образования город Губкинский,3/7/2012,3/6/2013,Г 128572,,,,,,,
"Общество с ограниченной ответственностью 
""Петрович и Ко""
(ООО ""Петрович и Ко"")",8913011173,891301001,"г. Губкинский, панель 5, производственная база № 0005",sever_transport@mail.ru,"отдел «Вино-водка» магазина ГК «Берлога» (г.Губкинский, промышленная зона, панель 9, производственная база № 0002, 
д. 1)",891301001,89,89,розничная продажа алкогольной продукции,"алкогольная продукция,
 в том числе вино, водка",,Администрация муниципального образования город Губкинский,8/19/2011,8/18/2013,Г 128561,,,,,,,
,,,,,"кафе ГК  «Берлога»  
(г. Губкинский, промышленная зона, панель 9, производственная база № 0002, д. 1)",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""Ямал-Пурпе""
(ООО ""Ямал-Пурпе"")",8913010405,891301001,"г. Губкинский,
 мкр. 14, д. 22, кв. 20",,"кафе ""Ларен""
 в ТЦ ""Ямал-Пурпе"" 
(г. Губкинский, мкр. 4, д. 32)",891301001,89,89,,,,Администрация муниципального образования город Губкинский,2/17/2012,2/16/2013,Г 128570,,,,,,,
"Общество с ограниченной ответственностью 
""Грант-Сервис""
(ООО ""Грант-Сервис"")",8913007530,891301001,"г. Губкинский,
 мкр. 7, д. 32, кв. 10",,"диско-бар ""Ривьера"" 
(г. Губкинский, ПКиО) 
(объект закрыт)",891301001,,,,,,Администрация муниципального образования город Губкинский,05.17.2007,05.16.2012,Г 128453,Лицензия аннулирована,11/10/2009,"Решение Арбитражного суда ЯНАО 
от 10.11.2009 
об аннулировании лицензии",,,,
"Общество с ограниченной ответственностью 
""Ночной Клуб Скорпион""
(ООО ""НК Скорпион"")",8913008011,891301001,"г. Губкинский, 
мкр. 12, д. 25",,"ночной клую ""Скорпион"" 
(г. Губкинский, мкр. 12, д. 25)
(объект закрыт)",891301001,,,,,,Администрация муниципального образования город Губкинский,10.17.2007,10.16.2012,Г 128460,Лицензия аннулирована,8/21/2009,Решение Арбитражного суда ЯНАО от 21.08.2009                        об аннулировании лицензии,,,,
"Общество с ограниченной ответственностью 
""Лотос""
(ООО ""Лотос"")",8911022902,891101001,"Пуровский район,
 п. Пурпе, ул. Энтузиастов, д. 2",,"бар ""Сибирь"", ресторан ""Сибирь"" 
(г. Губкинский, мкр. 5, д. 42)
(объект закрыт)",891101001,,,,,,Администрация муниципального образования город Губкинский,4/30/2008,12/27/2012,Г 128475,Лицензия аннулирована,07.19.2010,"Решение Арбитражного суда ЯНАО 
от 19.07.2010 
об аннулировании лицензии",,,,
,,,,,"кафе ""Белый медведь"" 
(г. Губкинский, ПКиО, д. 7)
(объект закрыт)",,,,,,,,,,,,,,,,,
"Общество с ограниченной ответственностью 
""СибТрансКапитал""
(ООО ""СТК"")",8913009086,891301001,"г. Губкинский, мкр. 14, д. 21, кв. 10",,"ресторан ""Сибирь"" 
(г. Губкинский, мкр. 5, д. 42)
(объект закрыт)",891301001,,,,,,Администрация муниципального образования город Губкинский,9/24/2009,9/23/2014,Г 128513,Лицензия аннулирована,3/27/2012,Решение Арбитражного суда ЯНАО от 27.03.2012 об аннулировании лицензии,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Исполнитель Третьякова Ирина Николаевна,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
телефон: 8 (34936) 3-98-14,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
