"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО - ""город Тулун"" ",,,,,,,,,
по состоянию на 1августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
4.  ,ЗАО «Элегия»                  ИНН 3816007711,Свидетельство  от 03.12.2005г   Серия 38 № 001534381 МИФНС России № 6 по Иркутской области и УО БАО,"А 174150 от 30.03.2012 № 5-Пр до 31.03.2013 взамен лицензии: А 174148 от 16.03.2012 № 3-П до 01.04.2012 взамен лицензии: А 174143 от 24.11.2011 № 21-П         (продление лицензии на один год, с заменой бланка лицензии на новый)","1. Магазин № 1- город Тулун,ул. Горького,20А                                  2. Магазин № 2- город Тулун,ул. Горького,28–(ограничено время с 22.00 до 09.00 час.)                                                 3. Магазин № 4- город Тулун, пер. 1-ый Кировский № 9                        4 .Магазин № 6  - город Тулун, ул. Кутузова,6А                                     5. Кафе «Жемчужина» - город Тулун, ул. Гидролизная,6",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
5.  ,ООО «Парус»                   ИНН 3816008465,Свидетельство  от 19.05.2006  Серия 38 № 002395760МИФНС России № 6 по Иркутской области и УО БАО,А 174161 № 16 от 21.06.2012 г. до 21.06.2013 г. взамен А 174051 от  19.06.06  № 10 20.06.06г     до 20.06.11г (срок действия продлен до 20.06.2012 г.),"1. Магазин «Парус» -город Тулун, пер-ок Нагорный,1А",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
6.  ,ООО «Маяк»                    ИНН 3816008458,Свидетельство  от  18.05.2006г   Серия 38 № 002395757 МИФНС России № 6 по Иркутской области и УО БАО,А 174054 от  26.06.06  № 12 27.06.06г.     27.06.11г (срок действия продлен до 27.06.2012 г.),"1. Кафе «Анна» - город Тулун, ул. Труда,21",,,постановление администрации городского округа № 1037 от 28.06.12,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
7.  ,ООО «Санта»                   ИНН 3816008521,Свидетельство  от  30.05.2006гСерия 38 № 002395786 МИФНС России № 6 по Иркутской области и УО БАО,А 174056 от  04.07.06  № 14 06.07.06г.     06.07.11г (продлен срок действия до 06.07.2012 г.) продлена до 06.07.2013,"1. Магазин «Тайга» - город Тулун  ул. Карбышева,64 (Ограничено время с 22.00 до 9.00 часов)",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.  ,ООО «Родник»                     ИНН 3816008507,Свидетельство  от  29.05.2006г   Серия 38 № 002395776 МИФНС России № 6 по Иркутской области и УО БАО,"А 174130 от 28.06.2011№ 9-Пр до 06.07.2013 г. взамен лицензии А 174057 от 05.07.2006 № 15    до 06.07.11г (срок действия лицензии продлен на 2 года, до 06.07.2013)","1. Магазин 2 – город  Тулун, ул.Ленина,120                                  2. Магазин 34 – город Тулун ул. Сорокина,54                                     3. Магазин 61 – город Тулун, ул. Сигаева,38                                        4. Магазин 49 – город Тулун, ул. Юбилейная,14",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
9.     ,ООО «Ивушка»                 ИНН 3816008673,Свидетельство  от  06.07.06г Серия 38 № 002395882 МИФНС России № 6 по Иркутской области и УО БАО,"А 174132 от 26.07.11 № 11-Пр до 28.07.2012 взамен лицензии А 174064 от 27.08.2006 № 22 28.08.2006 28.08.2011 (срок действия лицензии продлен на один год, до 28.07.2012)","1. Магазин «Ивушка» - город Тулун, пер. Рабочий 5-1",,,7/28/2012,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10.     ,ООО «ФиАл»                       ИНН 3816008666,Свидетельство  от  03.07.06 серия 38 № 002395870 МИМНС России № 6 по Иркутской области,"А 160744 от  25.08.2006    № 5 25.08.06г  до 25.08.11(срок действия лицензии продлен на один год, до 26.08.2012) Лицензия внесена в Реестр 26.08.2011г","1. Магазин «Времена года» - город Тулун, ул. Ленина,73",,,,,Выдана Администрацией Тулунского муниципального района
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11.,ООО «Ангара»                 ИНН 3816008360,Свидетельство  от 06.03.06г Серия 38 № 002395662 МИФНС России № 6 по Иркутской области и УО БАО,А 174126 от 20.04.11         № 5-П до 31.03.12                взамен лицензии                 А 174070 от  12.01.07  № 27        (продлен срок действия лицензии на один год) до 31.03.2012г. взамен          лицензии                № 4 от 30.03. 2006г.        31.03.2006-31.03.11,"1.  Магазин «Ангара» - город Тулун, ул. Песочная,50А",,,Постановление администрации городского округа от 05.04.2012 № 552,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
12.,ООО «Шанс-Л»                   ИНН 3812095756,Свидетельство  от  02.05.2007г. серия 38 № 002352943 ИФНС по Свердловскому округу г. Иркутска ,Лицензия АН 00344 Пр2 от 01.10.2008  38 МЕ 004798 15.06.07г.     До 14.06.12г         взамен:         лицензии АН 00344 Пр от 20.06.2008    38 МЕ 004708   Лицензия внесена в Реестр 20.10.2008,"1. Магазин «Шанс-Л» - город Тулун, ул. Гидролизная,40                  2. Магазин «Шанс-Л» - город Тулун, ул. Гидролизная,42",,,,,Выдана Администрацией Иркутского муниципального образования
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
13.,ООО «ИОНА-ЛЮКС»          ИНН 3816009081,Свидетельство  от  01.05.2007г. серия 38 № 002396261 МИФНС России № 6 по Иркутской области,А 174073 № 30 от 06.07.2007  07.07.07г.       До 07.07.12г продлена до 07.07.2013,"1.Магазин «Иона» - город Тулун, улица Ермакова, 2А                        2. Магазин «Приречный» - город Тулун, ул. Павлова,20           3.Магазин «Березка» - город Тулун,микрорайон Угольщиков, 8А                                        4.Магазин «Курьер» - город Тулун, ул. Гидролизная, 1-Б",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14.,ООО «Торговая фирма ЛИГА»                                 ИНН 3816003643,Свидетельство от 22.08.2002 Серия 38 № 000846854 МИМНС России № 6 по Иркутской области ,А 174079 от 19.10.2007 № 35 до 11.05.2011 взамен: лицензии № 6 от 10.05. 2006г.            А 174047 лицензия продлена на 1 год до 11.05.2012. Дата продления - 29.04.11                                                          ,"1.Магазин «Сосновый Бор» город Тулун, ул. Солнечная,3А (Ограничено время продажи с 22.00 до 8.00 часов)",,,постановление администрации от 11.05.2012 № 762,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
15.,ООО «Сибиряк»              ИНН 3816005383,Свидетельствоот 19.12.2002г. 38 № 001220513 МИМНС России № 6 по Иркутской области,А 174140 от 13.10.11 № 18-П до 01.08.12 взамен лицензии А 174127 от 20.04.11         № 6-П   ,"1. Магазин «Сибиряк-2» - город Тулун, микро-он Угольщиков,45А                                ",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
16.,ООО «Мечта»                  ИНН 3816008539,Свидетельство  от 02.06.2006г Серия 38 № 002395798 МИФНС России № 6 по Иркутской области и УО БАО,А 174084  № 2-П  от  28.02.2008               до 27.06.11 (срок действия продлен до 27.06.2012)      взамен лицензии № 11 от 26.06.2006г.    А 174053,"1. Магазин «Мечта- 2» - город Тулун, микро-он Угольщиков,21А",,,постановление администрации городского округа № 1036 от 28.06.12,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
17.,ООО «БАЙК -Ал»             ИНН 3808164630,Свидетельство  от  12.03.07. серия 38 № 002438626 ИФНС по Правобережному округу г. Иркутска,38 МЕ 003996 от 18.05.2012 г. А 122 до 18.05.2017 г.  внесена в Реестр 08.06.2012 г.  взамен АН 00330Пр18 от 12 октября  2011 38 МЕ 003811 до 03.05.2012 Лицензия внесена в Реестр 21.10.2011       взамен лицензии:             АН 00330Пр17 от 28 сентября 2011 38 МЕ 003799 до 03.05.2012 взамен лицензии: АН00330  Пр 16 от 15.08.2011               38 МЕ 003766           срок действия 04.05.07 - 03.05.12                Лицензия внесена в Реестр 07.10.2011,"1. Магазин «БАЙК-Ал» - город Тулун, ул. Ленина,2         (Ограничено время с 22.00 до 8.00 часов)                                       2. Магазин «БАЙК-Ал» - город Тулун, микро-н Угольщиков,7А 3.Магазин «БАЙК-Ал» - город Тулун, микро-н Угольщиков,11А пом. 1",,,,,Выдана Администрацией Иркутского муниципального образования
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
18.,ООО «Семь Слонов»           ИНН 3816009878,Свидетельство  от 19.06.2008г Серия 38 № 002745695 МИФНС России № 6 по Иркутской области  ,А 174087от 15.07.2008   № 5 15.07.08г.  До   15.07.13г.,"1. Кафе «Десперадо» - город Тулун, ул. Гидролизная,68                 2. Кафе «Бильярд» - город Тулун, ул. Виноградова,52",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
19.,ООО «Диметра»              ИНН 3816006683,Свидетельствоот 27.04.2004г. 38 № 001407878МИМНС России № 6 по Иркутской области,А174158 № 13-Пр от 25.05.2012 г.    Дата внесения в реестр 25.05.2012 г.                               А 174141 от 09.11.2011 № 19-П до 28.09.2012 взамен лицензии А 174134 от 05.08.2011 № 13-П   ,"1. Магазин «Диметра» - город Тулун, ул. Суворова 15-78(Ограничено время с 22.00 до 9.00 часов)                                       2. Магазин «Диметра» - город Тулун, ул. Снежная,1Б                                                   3. Магазин «Диметра» - город Тулун, ул. Шмелькова,15                  4. Магазин «Диметра» - город Тулун, ул. Советская,104    5.Магазин – город  Тулун, пос. Стекольный, 54 (реализация алкогольной продукции до 15 %)                          (Ограничено время с 22.00 до 9.00 часов)                                                                                                                                         6. Магазин – город Тулун, ул. Речная, 92 А                                     7. Кафе-бар «777» - город Тулун, ул. Гоголя,43                                   8. Магазин ""Диметра"" - город Тулун, ул. Володарского, 129, пом.1                                                 9. Отдел в магазине - город Тулун, ул. Горького, 19 пом. 71                                                      10. магазин ""Диметра"" - г. Тулун, ул. Ленина, 118 а",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
20.,ООО «Фортуна»              ИНН  3816009194,Свидетельство от 23.05.2007г.       38 № 002396358 МИМНС России № 6 по Иркутской области и УО БАО,А 174089 от 19.09.2008№ 8-П до 26.12.12г. взамен лицензии                  № 38 А174082 от 26.12. 2007г,"1. Кафе-бар «Пекин» - город Тулун, ул. Советская,4",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
21.,ООО «ЮНИКС»             ИНН 3816009927,Свидетельство  от 23.07.2008г   Серия 38 № 002745748 МИФНС  № 6 по Иркутской области,А 174092от 18.12.2008 № 10 18.12.08г.  До   18.12.13г.,"1. Магазин «Вино-Водочный» - город  Тулун, ул. Ленина,2 -68 (Ограничено время с 22.00 до 9.00 часов)",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
22.,ООО «Надежда»              ИНН 3816009998,Свидетельство  от 18.09.2008г  Серия 38 № 002745804 МИФНС  № 6 по Иркутской области ,А 174146 от 26.01.2012     № 1-П до      до   23.12.13г          взамен лицензии              А 174108 от 30.12.2009     № 8-П  ,"1. Магазин «Василек» - город Тулун, ул. Ленина,150Б                     2. Магазин «Рябинушка» - город Тулун, ул. Сорокина,1А                        3. Магазин «Мой» - город Тулун, ул. Ленина,10-53 (Ограничено время с 22.00 до 9.00 часов)         4. Магазин «Василек-2» - город Тулун, ул. Мясокомбинатская,10 5. Магазин - город Тулун, ул. Карьерная,1  ",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
23.,ООО «Люкс»                    ИНН 3816010175,Свидетельство  от 04.12.2008г   Серия 38 № 002745906 МИФНС  России № 6 по Иркутской области ,А 174095 от 23.12.2008 № 13 23.12.08г.     До 23.12.13г.,"1. Магазин «ЛЮКС» - город Тулун, ул. Володарского,7",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
24.,ООО «Элегия»                  ИНН 3816010168,Свидетельство  от 21.11.2008г Серия 38 № 002745896 МИФНС  России     № 6 по Иркутской области ,А 174098от 30.12.2008 № 16 31.12.08г.                      До 31.12.13г.,"1. Магазин «РИСК» - город Тулун, ул. Пугачева,11А",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
25.,ООО «Зенит»                     ИНН 3816005471,Свидетельство  от  19.05.2006г Серия 38 № 002395761МИФНС России № 6 по Иркутской области и УО БАО,А 174133 от 04.08.2011 № 12-П до 06.07.12г      взамен лицензии    А 174113 № 4-П  от  19.04.2010  до 06.07.11 (продлен срок действия до 06.07.2012 г.)                               взамен лицензии  № 17-П от 30.12.2008г.             А 174099,"1. Магазин «Зенит-1» - город Тулун, ул. Карбышева,62                  2. Магазин «Николаевский» - город Тулун, ул. 1-ая Заречная,16А                                             3. Магазин «Зенит-5» - город Тулун, пер-ок Железнодорожников,2А                4) Павильон ""Левушка"" - г. Тулун, ул. 3-ая Заречная,4Б",,,7/6/2012,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
26.,Тулунское районное потребительское общество                                ИНН 3839000920,Свидетельство  от  29.09.2006г Серия 38 № 002395976  МИФНС  № 6 по Иркутской области и УО БАО,А 160769 № 5 от  01.12.2009                до 21.03.13       взамен лицензии       № 1 от 06.03.2009г. А 160764      Лицензия внесена в Реестр 10.12.2009,"1. Магазин № 2 - город Тулун, пер-ок Станкевича,50",,,,,Выдана Администрацией Тулунского муниципального района
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
27.,ООО «Фаворит»              ИНН 3816003594,Свидетельство  от 10.04.2009г. Серия 38 № 002897046 МИФНС России № 6 по Иркутской области,А 174102 от 22.05.09 № 2               25.05.09г.     до  25.05.14г.,"1. Магазин «Супермаркет Солнечный» - город Тулун, ул. Ленина,122",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
28.,ООО «АМИК КЭШ ЭНД КЕРРИ»                               ИНН 3810032648,Свидетельство от  10.01.2003   серия 38                № 000300767  ИМНС России по Ленинскому округу г. Иркутска Иркутской области,АП 03070 Пр11 от 02.12.2011  до 11.11.2014      взамен лицензии           АП 03070 Пр10 от 21.11.2011          Внесена в реестр 21.12.2011 ,"1.Магазин «БОНУС» - город Тулун, ул. Ленина,90 (Ограничено время продажи с 22.00 до 9.00 часов)",,,,,Выдана Администрацией Иркутского муниципального образования
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
29.,ООО «Выбор»                   ИНН 3816005425,Свидетельство  от  30.06.2006г      Серия 38 № 002395865МИФНС России № 6 по Иркутской области и УО БАО,А 174142 от 11.11.2011 № 20-П до 18.07.2012 взамен лицензии        А 174129 от 25.06.2011 г. № 8-П продлена до 18.07.2013,"1. Магазин «Созвездие» -           город Тулун, пер-ок 3-ий Нагорный,1Б                                   2. Магазин «Выбор» -           город Тулун, ул. Гидролизная,15 (Ограничено время продажи с 22.00 до 9.00 часов)",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
30.,ООО «Присаянье плюс»              ИНН 3816010070,Свидетельство  от 16.10.2008г     Серия 38 № 002745851  МИФНС  № 6 по Иркутской области ,А 174121№ 11-П      от  23.11.2010          до 03.12.13       взамен лицензии:     № 4-П от 19.06.2009г. А174104,"1.Магазин № 1 – город Тулун, ул. Элеваторная,22                          2.Магазин № 3 – город Тулун, ул. Войкова,35                                           3. Магазин № 4 – город Тулун, ул. Гидролизная,2Б                                      4. Магазин № 5 – город Тулун, ул. Горького,22 (Ограничено время с 22.00 до 8.00 часов)                            5. Магазин № 6 – город Тулун ул. Советская,55                                          6. Магазин № 10 – город Тулун, ул. Шмелькова,23                                        7. Магазин № 11 – город Тулун, ул. Володарского,2а                                    8. Магазин № 12 – город Тулун, ул. Виноградова,46                                    9. Магазин № 14 – город Тулун ул. Первомайская,34                                  10. Магазин № 15 – город Тулун, ул. Володарского,2                      11.Магазин № 16 – город Тулун, ул. Ленина,106                                         12. Магазин № 17 – город Тулун, пос. Стекольный, 53/2А                                                      ",,,,,
,,,,"(Ограничено время с 22.00 до 9.00 часов)                                                  13. Магазин № 18 – город Тулун, ул. Зинченко,16                                       14. Магазин № 19 - город Тулун, микро-он Угольщиков,50 ",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
31.,ООО «Квартет»               ИНН 3816010633,Свидетельство от 21.08.2009 г.Серия 38 № 002897720 МИФНС России № 6 по Иркутской области,А 174106 от 30.06.2009 № 6 30.09.2009 До 30.09.2014,"1. Харчевня «Бюргерский дворик» - город Тулун, ул. Гидролизная, 18",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
32.,ООО «Родник»                 ИНН 3816010841,Свидетельство от 27.11.2009 г. Серия 38 № 003011947 МИФНС России № 6 по Иркутской области,А 174107 от 28.12.2009 № 7 28.12.2009     До 28.12.2014,"1.Магазин «Родник» – город Тулун, ул. Жданова,15А",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
33.,ООО «Элтэк»                   ИНН 3849005766 ,Свидетельство от 19.10.2009 г.Серия 38 № 003025596 МИФНС России № 17 по Иркутской области,А 174112 от 19.04.2010     № 3                                        с 19.04.2010 до 19.04.2011 лицензия продлена на 1 год до 19.04.2012. Дата продления - 14.04.11,"1. Магазин «Элтэк-1» - город Тулун, ул. Гидролизная,42                 2. Магазин «Элтэк-2» - город Тулун, микро-он Угольщиков, 7-60 (Ограничено время с 22.00 до 9.00 часов)",,,Постановление администрации городского округа от 19.04.2012 № 641,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
34.,ООО «Сибирь-Алко»              ИНН   3805705175,Свидетельство  от 13.11.2006г Серия 38 № 002473060 МИФНС  № 15 по Иркутской области и УО БАО  ,38 МЕ 6402 от 16.09.2011 № 826 взамен лицензии          38 МЕ006323 от 15.06.2011 № 749 с 15.06.2011 до 06.03.2012 г  внесена в Реестр 26.09.2011 г. ,"1.Магазин  – город Тулун, ул. Ленина,30-40 (Ограничено время с 22.00 до 8.00 часов)                                            2.Магазин  – город Тулун, пос. Стекольный,51-65 (Ограничено время с 22.00 до 8.00 часов)                                                          3. Отдел в магазине -город Тулун, ул. Мира, 2                                                              4. Отдел в павильоне - город Тулун, ул. Зинченко, 11 а    5.Отдел в магазине - город Тулун, ул. 1-ая Заречная,14А,пом.5",,,,,Выдана Администрацией города Братска
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
35.,ООО «Идеал»                    ИНН 3816011500,Свидетельство от 23.07.2010 г.Серия 38 № 003104796 МИФНС России № 6 по Иркутской области,"А 174135 от 09.08.2011 № 14-Пр взамен лицензии А 174117 от 11.08.2010 № 7 Лицензия продлена на срок один год, до 11.08.2012  ","1.Магазин «Идеал» – город Тулун, пос. Стекольный,25А",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
36.,ООО «Вектор Север»            ИНН 3805710496,Свидетельство Серия 38 № 000424691  МИФНС  № 15 по Иркутской области, 38 МЕ 006379 от 08.08.2011 № 806  до 27.05.2012                     взамен лицензии  38 МЕ 006292 от 22.04.2011 № 722       взамен лицензии  38МЕ 006276 от 21.03.2011 № 709  взамен лицензии  38 МЕ 006271 от 22.02.2011 № 702   до 27.05.2011          взамен лицензии 38 МЕ 006263 от 04.02.2011 № 696   до 27.05.2012                     Внесена в реестр 17.08.2011                                     ,"1.Отдел в магазине «Бирюса» – город Тулун, ул. Сорокина,90",,,,,Выдана Администрацией города Братска
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
37.,ООО «Заряд» ИНН 3812102153,Свидетельство Серия 38 № 002802486  ИФНС   по Свердловскому округу г. Иркутска,АН00494Пр26 от 09.08.2011 38 МЕ 003760  г до 07.07.2013 г. внесена в Реестр 18.08.2011 г. взамен лицензии       АН00494Пр25 от 20.05.2011 г. до 07.07.2013 г. внесена в Реестр 01.06.2011 г. взамен лицензии АН00494 Пр24  от 05.04.2011               38 МЕ 003652 с  08.07.2008    07.07.2013                  взамен лицензии: АН00494 Пр23  от 22.02.2011               38 МЕ 003611                             ,"1. Отдел в магазине «Магнит» – город Тулун, ул. Шмелькова,7                   2. Отдел в магазине - город Тулун, пер-ок Железнодорожный,1А                    3. Отдел в магазине - город Тулун, ул. Ленина,115",,,,,Выдана Администрацией Иркутского муниципального образования
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
38.,"ООО ""Талисман""                                             ИНН 3816012260",свидетельство серия 38 003347101 от 21.04.2011 г. МИФНС № 6 по Иркутской области,А 174128 от 25.06.2011 г. № 7 до 25.06.2016,"1. Магазин ""Анюта"" - г. Тулун, ул. Ленина, 6-23 (ограничено время с 22.00 до 09.00 часов)                                                     2. Магазин ""Диана"" - г. Тулун, ул. Ленина, 10 а                                               3. Магазин ""Ирина"" - г. Тулун, ул. Блюхера, 24                                        4. Магазин ""Карат"" - г. Тулун, ул. Горького, 23-2                                                   5. Магазин ""Ретро"" - г. Тулун, ул. Сорокина, 39                                             6. Магазин ""Ясла"" - г. Тулун, ул. Ленина, 2 а                                             7. Магазин""444"" - г. Тулун, ул. Ново-Базарная, 26",,,,,
39.,"ООО ""МИКС""                                             ИНН 3816012542",свидетельство серия 38 003348249 от 20.06.2011  МИФНС № 6 по Иркутской области,А 174131 от 12.07.2011 г. № 10 до 12.07.2012,"1. Отдел в супермаркете ""Солнечный"" - г. Тулун, ул. Ленина,122",,,7/12/2012,,
40.,"ООО ""Бриз""                  ИНН 3812130383",свидетельство серия 38 003064421 от 11.11.2010  МИФНС № 17 по Иркутской области,А 203242 от 25.07.2011 № 9 до 08.02.2012     Внесена в Реестр 15.02.2012г,"1. Отдел в магазине - г. Тулун, ул. Речная,42А",,,,,Выдана Администрацией Иркутского районного муниципального образования
41.,"ООО ""Пять капель""                  ИНН 3808155025",свидетельство серия 38 002493688 от 16.08.2007  ИФНС № 17 по Правобережному округу г. Иркутска,А 154393 от 05.10.2011 № 23 вместо лицензии        А 154389 от 15.07.2011 № 14 до 20.12.2012     Внесена в Реестр 14.10.2011,"1. Кафе - г. Тулун, ул. Гидролизная,12Б",,,,,Выдана Администрацией Зиминского городского муниципального образования
