Табл. А.4.1. Описание запроса 2: общее описание*,,,,Табл. А.5.1. Описание ответа на запрос 2: общее описание***,,,,
№,"Описание сведений, передаваемых в составе запроса",Тип данных,,Источник данных*,,,,
,"Перечислите все данные, необходимые для выполнения запроса и передаваемые в составе запроса. Данные, передаваемые в составе различных полей, опишите раздельно. Например, запрос может содержать сведения о заявителе и включать поля: СНИЛС, место жительства,...","Введите код:
1 - значение из контролируемого справочника,
2 - неконтролируемое значение,
3 - ссылка на приложенные материалы (например, к запросу могут быть приложены фотографии заявителя),
4 - описание приложенных материалов.","Если выбран код 1, укажите наименование справочника.
Если выбран код 4, опишите тип и объём данных (например, формат, число и предельный объём файлов или наименование прилагаемого документа: акт, выписка).","Введите код:
1 - данные представлены заявителем в составе заявления;
2 - данные хранятся в АИС ведомства, ответственного за предоставление услуги;
3 - данные хранятся в ведомстве, ответственном за предоставление услуги в составе бумажных документов (картотек),
4 - данные получены в ходе МВ.","Если выбраны коды 2 или 3, укажите полное наименование НПА, устанавливающего ведение соответствующего государственного информационного ресурса.  
Если выбран код 4, укажите номер и наименование запроса, в рамках которого получены указанные данные.","Если данные хранятся в АИС,  укажите её наименование",,
1.,ОГРН,2,,1,,,,
2.,ИНН,2,,1,,,,
,,,,,,,,
,,,,,,,,
Табл. А.5.2. Описание ответа на запрос 2: состав сведений*,,,,,,,,
,,,,,,,,
№,"Описание сведений, передаваемых в составе ответа на запрос",Тип данных,,Источник данных***,,,,
,"Перечислите все данные, передаваемые в составе ответа на запрос. Данные, передаваемые в составе различных полей, опишите раздельно.","Введите код:
1 - значение из контролируемого справочника,
2 - неконтролируемое значение,
3 - ссылка на приложенные материалы,
4 - описание приложенных материалов","Если выбран код 1, укажите наименование справочника.
Если выбран код 4, опишите тип и объём данных (например, формат, число и предельный объём файлов или наименование прилагаемого документа: акт, выписка).","Введите код:
1 - данные хранятся в АИС ведомства, ответственного за предоставление услуги;
2 - данные хранятся в ведомстве, ответственном за предоставление услуги в составе бумажных документов,
3 - данные получены в ходе МВ.","Если выбраны коды 1или 2, укажите полное наименование НПА, устанавливающего ведение соответствующего государственного информационного ресурса.  
Если выбран код 3, укажите наименование ведомства, предоставившего данные.","Если данные хранятся в АИС,  укажите её наименование.",,
1,Идентификационные сведения о выписке,,,,,,,
1.1,Дата формирования ответа,2,,3,ФНС России,"АИС ""Налог""",,
1.2,Основной государственный регистрационный номер записи (ОГРН) юридического лица,1,ЕГРЮЛ,3,ФНС России,"АИС ""Налог""",,
1.3,"ИНН юридического лица, в отношении которого сформирована выписка",1,ЕГРН,3,ФНС России,"АИС ""Налог""",,
2,Сведения об организационно-правовой форме и наименовании юридического лица,,,,,,,
2.1,Полное наименование юридического лица,2,,3,ФНС России,"АИС ""Налог""",,
2.2,Сокращенное наименование юридического лица,2,,3,ФНС России,"АИС ""Налог""",,
2.3,Фирменное наименование юридического лица,2,,3,ФНС России,"АИС ""Налог""",,
3,Сведения об адресе (месте нахождения) юридического лица,,,,,,,
3.1.,Адрес юридического лица,,,,,,,
3.1.1,Почтовый индекс,1,Ведомственный классификатор адресов России,3,ФНС России,"АИС ""Налог""",,
3.2,Субъект Российской Федерации,,,,,,,
3.2.1,Код субъекта Российской Федерации,1,Ведомственный классификатор адресов России,3,ФНС России,"АИС ""Налог""",,
3.2.2.,"Тип адресного объекта (республика, край и т.п.) и наименование",2, ,3,ФНС России,"АИС ""Налог""",,
3.2.3.,Район: тип адресного объекта и наименование,2,,3,ФНС России,"АИС ""Налог""",,
3.2.4.,Город: тип адресного объекта и наименование,2,,3,ФНС России,"АИС ""Налог""",,
3.2.5,"Населенный пункт: тип адресного объекта (деревня, село и т.п.) и наименование",2,,3,ФНС России,"АИС ""Налог""",,
3.2.6,"Улица: тип адресного объекта (улица, проспект и т.п.) и наименование",2,,3,ФНС России,"АИС ""Налог""",,
3.2.7,Номер дома (владение и т.п.),2,,3,ФНС России,"АИС ""Налог""",,
3.2.8,Корпус (строение и т.п.),2,,3,ФНС России,"АИС ""Налог""",,
3.2.9,Квартира (офис и т.п.),2,,3,ФНС России,"АИС ""Налог""",,
4,"Результат по уплате налогов, сборов, пеней и налоговых санкций",,,,,,,
4.1,Не имеет неисполненную задолжность,2 ,,3,ФНС России,"АИС ""Налог""",,
4.2,Имеет неисполненную задолжность,2 ,,3,ФНС России,"АИС ""Налог""",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
