Чамзинский район,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
1,94,13 МЕ,"ООО ""Марта"", п. Чамзинка, ул. Республиканская",1322120495,"м-н №11 п. Комсомольский, ул. Садовая, 27",5,27/04/12,2-38-24,,Третьякова Валентина Петровна
,,002021,26а ,1041310000467,"м-н № 2, п.Комсомольский, ул. Калинина, 9",,16/04/13,2-12-89,,
,,,,,"м-н № 5, п.Комсомольский, мкр, 1. 3",,,,,
,,,,,"м-н № 8, п.Комсом-ский, ул.Республиканская, 8",,,,,
,,,,,"м-н № 9, п.Комсомольский, мкр., 1. 5",,,,,
1,85,13 МЕ,"ООО ""Автозапчасть"", п. Чамзинка, ул. Мира, 1",1322118827,"кафе ""Заря"", п. Комсомольский, ул. Республ.,31",3,15/05/08,2-15-09,,Поляйкин Сергей Васильевич
,,000521,,,м-н п. Комсомольский. ул.Республ .31,,15/05/13,2-17-68,,
,,,,,"м-н п.Чамзинка, ул.Мира, 1",,,,,
1,15,13 МЕ,"ООО ""Татьяна"" п. Комсомольский, мкр.1, 36",1322120833,"м-н ""Татьяна"" п. Комсомольский, мкр., 1, 36",2,28/01/10,3-27-89,,Грачева Татьяна Зиновьевна
,,001121,,,"м-н ""Нуя"" с. Киржеманы, ул. Ленина, 2, Чамзин",,28/01/15,,,
1,11,13 МЕ,"ООО ""Фортуна"", п. Чамзинка,ул.Почтовая,3",1322046883,"м-н № 1, п. Чамзинка, ул. Почтовая, 3",4,12/02/08,2-29-50,,Прокина Анна Николаевна
,,000434,,,"м-н № 3, Чамзинск.р-н, с.Б.Маресево, ул.Новикова,  1",,12/02/13,,,
,,,,,"м-н №4, с. Мокшалей, ул. Ленинская 11, Чамзинский",,,,,
,,,,,"м-н №5 д. Иванова Поляна, ул. Центральная, 35а",,,,,
1,66,13 МЕ,"ООО ""Миф"", п. Комсомольский, ул. Республиканская, 3в, ",1327001766,"м-н ""Эконом"" п. Комсомольский, ул. Республиканская, 3в",1,30/03/12,89271988898,,Акимочкин Сергей Михайлович
,,001993,,,,,15/06/14,,,
1,143,13 РМ,"ООО ""Предприниматель плюс"" п. Чамзинка,",1322121033,"м-н ""Зайди и купи"" п. Ком-ий, ул. Республ-ая, 19а;",6,15/06/12,2-33-69,,Дрычина Анна Владимировна
,,000025,"ул. Кольцевая, 13а ",1061322023707,"м-н ""Орион"" п. Комсомольский, мкр., 1, 5;",,15/06/17,,,Кузьмичев Юрий Валерьевич
,,,,,"м-н ""Визит"" п. Комсомольский, мкр., 2, 30;",,,,,
,,,,,"м-н ""Горячий хлеб"" п. Чамзинка, ул. Кольцевая, 13а;",,,,,
,,,,,"м-н ""Кировский"" п. Чамзинка, ул. Кирова, 3;",,,,,
,,,,,"м-н ""Катюша"" п. Чамзинка, ул. Базарная, 74",,,,,
1,214,13 МЕ,"ООО ""Лидер"" п. Комсом-ий, ул. Республиканская,",1322121058,"м-н ""Ольга"" п. Комсо-ий, ул. Республиканская, 16;",3,30/06/11,3-26-21,,Лазуткина Ольга Викторовна
,,001675,16,1061322023971,"м-н  ""Аленка"" с. Пичеуры, ул. Луначарского, 16",,30/06/14,,пр.19.10.07,
,,,,,"м-н  ""Горизонт"", п. Чамзинка, 6-ой микрорайон, 17а",,,,в.2.11.07,
1,213,13 МЕ,"ООО ""Производственно-коммерческая компа-",1322121072,"м-н ""Сигнал"" п. Комсомольский, ул. Калинина, 2;",2,30/06/11,3-43-83,п.10.09.08,Горбатова Татьяна Валерьевна
,,001674,"ния ""ВиВаТ.Н."" п. Комсомольский, ул. Ленина, 19",1061322024037,"м-н ""ВиВаТ.Н.-1"" п. Комсомольский, ул. Ленина, 19;",,30/06/16,3-36-55,в.3.10.08,
1,180,13 МЕ,"ООО ""Вадря"" п. Чамзинка, ул. Подлесная, 23",1322121080,"м-н ""Тонус"", п. Чамзинка, ул. Терешковой, 21;",3,30/07/09,2-10-73,,Парфенова Маргарина Борисовна
,,000936,,,"м-н ""Лавкась вадря""  п. Комсомольский, мкр, 2, 27;",,30/07/14,89271834726,,
,,,,,"м-н """"Сельский"", Чам-ий р-н, с. Мичурино, ул. Советская, 3",,,,,
1,51,13 МЕ,"ООО ""Вастома"" с. Кр. Поселок, ул. Центр-ая, 20,",1322121481,"м-н с. Кр. Поселок, ул. Центральная, 20, Чамзин.",1,30/03/12,89276443611,,Кочемалкин Вячеслав Геннадьевич
,,001977,Чамзинский р-н,1071322000441,,,31/03/13,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475/132831001,"м-н ""Магнит"" п. Комсомольский, 1 мкр., 13",4,15/05/12,46-47-73 Пенза,,
,,000004,"185, филиал г. Пенза, ул. Мусоргского, 26а",,"м-н ""Магнит"" п. Чамзинка, ул. Почтовая, 8а",,15/03/16,35-85-10,,
,,,,,"м-н ""Магнит"" п. Комсомольский, мкр. 1, 9",,,33-03-01,,
,,,,,"м-н ""Магнит"", п. Комсомольский, ул. Республиканская, 29",,,,,
1,294,13 МЕ,"ООО ""Презент"" п. Комсомольский, мкр., 1, 31",1322121523,"м-н ""Презент"" п. Комсомольский, мкр., 1, 31",2,30/08/11,89271734360,,Шкарин Сергей Николаевич
,,001761,,1071322000650,"м-н ""Продукт"" п. Комсомольский, мкр., 1, 1",,30/08/12,,,
1,331,13 МЕ,"ООО ""ЗиКо"" п. Чамзинка, 6-ой мкр., д. 4а",1322121682,"магазин ""Милано"", п. Чамзинка, 6-ой мкр., д.4а",1,14/10/11,2-22-48,,Зеленов Анатолий Васильевич
,,001801,,1071322001057,,,14/10/12,,,
1,48,13 МЕ,"ООО ""Весна"" п. Чамзинка, ул. Победы, 2а",1322121763,"кафе ""Весна"" п. Чамзинка, ул. Победы, 2а",1,15/03/11,2-11-53,,Третьякова Валентина Петровна
,,001491,,,,,15/03/13,2-12-89,,
1,261,13 МЕ,"ООО ""Гамма"" п. Комсомольский, мкр, 1, 14",1322121770,"м-н ""Умарина"" п. Комсомольский, мкр, 2, 36",6,29/12/08,3-14-18,пр.2.10.09,Пелагейкина Светлана Геннадьевна
,,000729,,,"м-н ""Центральный"" п. Чамзинка, пер. Республ, 2б",,14/03/13,,в.15.10.09,Князькина Ирина Александровна
,,,,,"м-н п. Чамзинка, ул. К.Маркса, 1а",,,,,
,,,,,"м-н №5 п. Чамзинка, ул. Большая, 63",,,,,
,,,,,"м-н №3 п. Чамзинка, пер. Республиканский,4",,,,,
,,,,,"м-н ""Репьевский"" с. Репьевка, ул. Советская, 26а, Чам",,,,,
1,260,13 МЕ,"ООО ""Галина Плюс"" п. Чамзинка, ул. Проле-",1322122132,"м-н ""Галина"" с. Апраскино, ул. Центральная, 5, Чамз",2,29/12/08,2-12-20,,Королева Галина Вячеславовна
,,000723,"тарская, 56а ",,"м-н ""Галина"" п. Чамзинка, ул. Пролетарская, 39",,29/12/13,,,
1,115,13 МЕ,"ООО ""Сандал"" п.Чамзинка, ул. Зеленая, 8б",1322122125,"м-н п. Чамзинка, ул. Зеленая, 8б",1,15/05/12,2-28-94,,Макеева Инна Павловна
,,002044,,,,,15/05/13,,,
1,115,13 МЕ,"ООО ""Царевич"" п. Комсомольский, мкр. 1,",1322122284,"м-н ""Царевич"" п. Комсомольский, мкр. 1, д. 3",1,29/05/09,3-45-75,,Любимова Тамара Евгеньевна
,,000864,д. 3,,,,29/05/14,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"кафе ""Вираж"", п. Чамзинка, ул. Республиканская, 12",6,29/06/12,29-42-76,,
,,000096,"ленная, 7а ",,"магазин ""Миф"", с. Б.Маресево, ул. Новикова, 1, Чамзинский район",,16/04/15,29-42-75,,
,,,,,"магазин ""Продукты"", п. Чамзинка, ул. Горячкина, 5",,,,,
,,,,,"магазин ""Вероника"", п. Чамзинка, ул. Большая, 19",,,,,
,,,,,"магазин ""Олег"", с. Мичурино, ул. Садовая, 39, Чамзинский район",,,,,
,,,,,"кафе, ""Океан"", п. Комсомольский, мкр., 2, 30",,,,,
1,314,13 МЕ,"ООО ""Родничок"" п. Комсомольский, мкр.,1, 6-59",1322122407,"м-н ""Рассвет"" п. Комсомольский, мкр., 2, 15 (р-к ""Рожд)",1,15/12/09,89271714924,,Филатов Виталий Викторович
,,001081,,,,,15/12/14,,,
1,24,13 МЕ,"ООО ""Успех"" п. Комсомольский, мкр., 1, 23. 31",1322122460,"м-н ""Успех"" п. Комсомольский, мкр., 1, 21",1,28/01/10,3-22-99,,Лиасов Алексей Венниаминович
,,001131,,,,,28/01/15,89271226403,,
1,26,13 МЕ,"ООО ""Мордовская водка ""Р"" г. Саранск,",1327008031,"м-н № 8 п.Чамзинка, ул. Зеленая, 2""б""",1,20/02/12,,,
,,001950,"ул. Веселовского, 62",,,,20/02/17,,,
1,171,13 МЕ,"ООО ""Ясная поляна"" п. Чамзинка, ул. Респуб",1322122615,"м-н ""Ясная поляна"" п. Чамзинка, ул. Республиканская, 26а",1,30/07/10,2-33-40,,Третьякова Валентина Петровна
,,001299,"лиуанская, 26а",,,,30/07/12,,,
1,10,13 МЕ,"ООО ""АЗС Маркет"" г. Саранск, п. Николаевка,",1328908116,"м-н, а/д. Чамзинка-Б.Березники, Чамзинский район ",1,30/01/12,29-45-57,,
,,001931,ул. Ленина. 90,,,,21/07/16,23-20-29,,
1,203,13 МЕ,"ООО ""Петушок"", п. Комсомольский, мкр., 1, 23",1322122622,"м-н ""Петушок"", п. Комсомольский, мкр, 1, 23",1,15/03/11,2-33-40,,Третьякова Валентина Петровна
,,001334,,1101322000383,,5,15/09/12,,,
1,207,13 РМ,"ООО ""Объединение розничной торговли"" ",1328904520,"магазин ""Юлиан"", п. Чамзинка, ул. Пролетарская, 70б",4,29/06/12,,,
,,000098,"г. Саранск, Александровское ш. 7 ",1061328000140,"магазин ""Елена"", с. Сабур-Мачкасы, ул. Советская, 54 а, Чамзинский район",,15/03/13,,,
,,,,,"магазин ""Продукты"", п. Комсомольский, ул. Центральная Зеленая, 7, Чамзинский район",,,,,
,,,,,"магазин ""Ника"", п. Чамзинка, ул. Строительная, 4",,,,,
1,212,13 МЕ,"ООО ""Торговая компания"", с. Сабур-Мачкасы,",1322000102,"м-н ""Мишкольц"", п. Чамзинка, ул. Нижняя, 21;",7,30/06/11,2-27-54,,Колесников Юрий Владимирович
,,001673,"ул. Советская, 1а, Чамзинский район",1111322000350,"м-н ""Продукты"", п. Чамзинка, ул. Лесная, 4;",,30/06/16,89272742445,,
,,,,,"м-н ""Сайгушский"", п. Чамзинка, ул. Гражданская, 7 а;",,,,,
,,,,,"м-н ""Кондитер"", п. Комсомольский, мкр.-2, 35;",,,,,
,,,,,"м-н ""Елена"", п. Комсомольский, мкр.-1, 47;",,,,,
,,,,,"м-н ""Колобок"", п. Комсомольский, ул. Республиканская, 23;",,,,,
,,,,,"м-н ""Энергетик"", п. Комсомольский, ул. Садовая, 15 б.",,,,,
1,359,13 МЕ,"ООО ""Уют-Сервис"", п. Комсомольский, ",1322000173,"кафе, п. Комсомольский, ул. Суродеева, 3",1,15/11/11,89271756600,,Якименко Дмитрий Вячеславович
,,001834,"ул. Суродеева, 3",1111322000789,,,15/11/12,,,
,,,,,,,,,,
35,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,1,,,,
