№ дела,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес места осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделением организации,Вид лицензируемой деятельности,Вид продукции, Серия лицензии,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования действия лицензии,Статус лицензии,Дата изменения статуса,Регистрационный номер лицензии,Руководитель организации,Контактный телефон,К-во лицензиатов,К-во объектов,в т.ч. объектов общественного питания,Дата государственной регистрации ЮЛ,ОГРН,Плановая проверка (когда),количество объетов,Внеплановая проверка,количество объектов,,,,,,,,,,,,
543,"ООО ""Веста""",6801003653,6801001,"Тамбовская область, Бондарский р-н,                   с. Граждановка,                       ул.Садовая,23", eremina68@mail.ru,"1.с.Граждановка,ул.Центральная,48,магазин ""Товары повседневного спроса ""Веста""",,68,68,розничная продажа алкогольной продукции,,68 МЕ ,004845,Управление по развитию промышленности и предпринимательства Тамбовской области,27.07.2012,27.07.2013,,,,,действующая,,26.07.2012 №4628,Еремина                        Лидия                     Ивановна,(47534)                                                                      4-32-24 89065980821,1,1,,6/27/2006,1066828015616,,,,,,,,,,,,,,,,
675,"ООО ""Бриз""",6801003692,680101001,"Тамбовская область, Бондарский район, с.Бондари,                            ул.Советская,10",briz-bondari@mail.ru,"1.Бондарский район, с.Бондари,ул.Советская,10,магазин",,68,,,,68МЕ    ,004281,Управление по развитию промышленности и предпринимательства Тамбовской области,09.11.2011,09.11.2012,,,,,действующая,,08.11.2011 № 3952,Кобзева Надежда Александровна,"89204747299, 89204766345",1,1,,10/2/2006,1066828015836,09.02.2012,,,,,,,,,,,,,,,
746,"ООО ""Бондариремсервис""",6801003043,680101001,"Тамбовская область, Бондарский район, с. Бондари, усадьба СХТ-2",,"1. Бондарский р-он, с. Максимовка, ул. Максимовка, 29 - магазин ""Товары повседневного спроса""; ",,68,,,,68МЕ   ,004307,Управление по развитию промышленности и предпринимательства Тамбовской области,06.12.2011,06.12.2012,,,,,действующая,,25.11.2011 № 3989,Мещерякова Светлана Николаевна,"(47534) 24136,89107557111",1,1,,8/26/2006,1026801114713,09.02.2012,,,,,,,,,,,,,,,
,,,,,,"2. Бондарский р-он, с. Куровщина, ул. Набережная, 1 - магазин ""ТПС""",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,"ООО ""Подъем""",6801003780,680101001,"Тамбовская область, Бондарский р-н, с. Пахотный Угол, ул. Советская, 3",,"1. Бондарский р-н, с. Пахотный Угол, ул. Октябрьская, 32; магазин ""Все для Вас""",,68,,,,68 МЕ ,003107,Управление по развитию промышленности и предпринимательства Тамбовской области,25.04.2008,25.04.2013,,,,,действующая,,,Елютин Василий Владимирович,8147534145165  89606675959,1,1,,,1076828000589,,,,,,,,,,,,,,,,
1352,"ООО ""Мечта""",6801003903,680101001,"Тамбовская область, Бондарский р-н, с. Бондари, ул. Советская, д. 31 а",,"1. Бондарский р-н, с. Бондари, ул. Советская, д. 31 а; павильон",,68,,,,68 МЕ ,003415,Управление по развитию промышленности и предпринимательства Тамбовской области,29.04.2009,29.04.2014,,,,,действующая,,,Абашкина Вера Михайловна,89204735239,1,1,,,1096829000070,,,,,,,,,,,,,,,,
1433,"ООО ""ТОНУС""",6801003999,680101001,"Тамбовская область, Бондарский р-н, с. Верхнее Нащекино, ул. Центральная, д.1",,"1.Бондарский р-н, с. Верхнее Нащекино, ул. Центральная, д.1; магазин ""Водолей""",,68,,,,68 МЕ ,003539,Управление по развитию промышленности и предпринимательства Тамбовской области,21.12.2009,21.12.2014,,,,,действующая,,,Терехин Алексей Николаевич,84753444229   89065972010  89202388971,1,1,,,1096828000312,,,,,,,,,,,,,,,,
1456,"ООО ""Радуга""",6801004015,680101001,"Тамбовская область, Бондарский р-он, с. Бондари, ул. Первомайская, 2",dob2011@yandex.ru,"1. с. Бондари, ул. Первомайская, 2 - магазин ""Радуга""",,68,,,,68МЕ   ,004497,Управление по развитию промышленности и предпринимательства Тамбовской области,30.03.2012,30.03.2013,,,,,действующая,,4233 от 23.03.2012,Добрынина Нина Ивановна,89204826394,1,1,,12/29/2009,1096828000367,,,,,,,,,,,,,,,,
417,"ООО ТПО ""Гермес""",6801003572,680101001,"Бондарский р-н, с. Бондари, ул. Первомайская, 8а",chees-bond@mail.ru,"Бондарский р-н, с. Бондари, ул. Первомайская, 8а кафе",,68,,розничная продажа алкогольной продукции,,68МЕ,004925,Управление по развитию промышленности и предпринимательства Тамбовской области,29.08.2012,29.08.2013,,,,,действующая,,28.08.2012 № 4726,Солдатова Елена Вячеславовна,89106561116,1,1,1,4/7/2006,1066828014692,,,,,,,,,,,,,,,,
1003,"ООО ""Вираж""",6802002250,680201001,"Тамбовская область, Гавриловский р-н, с. Осино-Гай",viraj6691454@yandex.ru,"Гавриловский р-н, с. Осино-Гай, ул Школьная, 7 магазин ""Виктория""; 2. Гавриловский р-н, с. Анненка, ул. Центральная, 6, магазин",,68,68,розничная продажа алкогольной продукции,,68МЕ,004948,Управление по развитию промышленности и предпринимательства Тамбовской области,11.09.2012,11.09.2013,,,,,действующая,,10.09.2012 № 4760,Жабкина Галина Алексеевна,35-155 89066593131,1,2,,6/21/2007,1076824000550,,,,,,,,,,,,,,,,
155,"ООО ""Империал""",6802004226,680201001,"Тамбовская область, Гавриловский район, с. 2-ая Гавриловка, ул. Мира, 63",,"1. Гавриловский р-он, с. 2-ая Гавриловка, ул. Мира, 63 - магазин ""Продукты""",,68,,,,68МЕ   ,003789,Управление по развитию промышленности и предпринимательства Тамбовской области,29.05.2011,29.05.2013,,,,,действующая,,14.04.2011 № 3411,Мешкова                 Лариса                             Николавна,(475251)                               3-11-51,1,1,,,1026801004240,27.04.2012,,,,,,,,,,,,,,,
184,"ООО ""Радуга""",6802000454,680201001,"Тамбовская область, Гавриловский р-он, с. 2-ая Гавриловка, ул. Советская, 6а",,"1. с. 2-ая Гавриловка, ул. Советская, 6а - магазин ""Продукты""",,68,,,,68МЕ                 ,004582,Управление по развитию промышленности и предпринимательства Тамбовской области,02.06.12,02.06.15,,,,,действующая,,4335 от 05.05.2012,Мамаев                                  Иван                                                           Александрович,(47551) 3-28-56   89202335365,1,4,1,11/22/2002,1026801001820,11.07.2012,,,,,,,,,,,,,,,
,,,,,,"2. Гавриловский р-н, 2-ая Гавриловка, ул. Пионерская, 23 а  магазин №2""Продукты"";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"3.Гавриловский р-н, 2-ая Гавриловка, ул. Мира, 68 магазин №3 ""Продукты""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"4.Гавриловский р-н, 2-ая Гавриловка, ул. Мира, 68, закусочная.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,"ООО ""Смена""",6802001419,680201001,"Тамбовская область, Гавриловский р-он, с. Осино-Гай, ул. Центральная, 1",smena68@mail.ru,"1. Гавриловский р-он, с. Рудовка, ул. Коммунальная 12 - магазин ""Перекресток""                                                  ",,68,,,, 68МЕ ,004679,Управление по развитию промышленности и предпринимательства Тамбовской области,27.06.2012,27.06.2013,,,,,действующая,,4446 от 20.06.2012,Подымова Татьяна Викторовна,(47551)32-53-06 ; 89158825990,1,2,,6/7/2006,1066824013739,,,,,,,,,,,,,,,,
,,,,,,"2.Гавриловский р-н,с.Осино-Гай, ул.Центральная,1,магазин ""Перекресток""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,"ООО ""Наталия""",6802001521,680201001,"Тамбовская область, Гавриловский р-он, с. 2-ое Пересыпкино, ул. Поповка, 42",ooo-natalia2012@yandex.ru,"1. Гавриловский р-он, с. 2-ое Пересыпкино, ул. Поповка, 42 - магазин "" Наталия""",,68,,,,68МЕ   ,004684,Управление по развитию промышленности и предпринимательства Тамбовской области,28.06.2012,28.06.2013,,,,,действующая,,4451 от 20.06.2012,Штыркина                                             Наталия                                                  Анатольевна,"(47551) 2-61-08, 8-902-730-05-37",1,1,,6/13/2006,1066824013838,,,,,,,,,,,,,,,,
601,"ООО ""Причал""",6802001313,680201001,"Тамбовская область, Гавриловский р-н, с. Гавриловка 2-я, ул. Аэродромная, 19",prichal01313@yandex.ru,"1. Гавриловский р-он, с. Гавриловка 2 -я, 119 км а/д""Тамбов - Пенза"" - закусочная ""Причал""",,68,68,розничная продажа алкогольной продукции,,68МЕ   ,004931,Управление по развитию промышленности и предпринимательства Тамбовской области,30.08.2012,30.08.2013,,,,,действующая,,4735 от 29.08.2012,Морозова Галина Александровна,31135; 89158741144,1,1,1,5/29/2006,1066824013596,08.06.2012,,,,,,,,,,,,,,,
1079,"Гавриловское Райпо ""Центральное""",6802001553,680201001,"Тамбовская область, Гавриловский район, с. 2-я Гавриловка",,"1. Гавриловский р-он, с. Чуповка, ул. Чуповка-1, 55 а - магазин ТПС",,68,,,,68 МЕ  ,003445,Управление по развитию промышленности и предпринимательства Тамбовской области,23.06.2009,15.12.2012,,,,,действующая,,,Клемина Антонина Васильевна,"(475-51)32285, 89107503204 (А.В.) 89107503192  89027269363",1,1,,,1076824000164,2008,,,,,,,,,,,,,,,
,,,,,,"2. Гавриловский р-он, с. Софьино, ул. центральная, 1 - магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"3. с. Осино-Гай, ул. Центральная, 7 - магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"4. с. Ольшанка, ул. Новая, 244 а - магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"5. Кондаурово, ул. Вольновка, 30 а - магазин ТПС ",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,6. с. Козьмодемьяновка - магазин ТПС,,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"7. с. Ивановка, ул. Гагарина, 13 - магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"8. с. Дмитриевка, ул. Ртищева, 2 - магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"9. с. Глуховка, ул. Молодежная, 4 а - магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"10. с. 2-я Гавриловка, ул. Пионерская, 2 - магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"11. с. 1-я Гавриловка, ул. Советская, 62 - магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"12.Гавриловский р-н, с. Гусевка, магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"13. Гавриловский р-н, с. Анненка, магазин ТПС",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"14. Гавриловский р-н, с. Пересыпкино 1-е, ул. Гагарина",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
1145,"ООО""ФЕНИКС""",6802002532,680201001,"Тамбовская область, Гавриловский р-н, с. 2-е Пересыпкино, ул. Поповка, 4",,"1. Гавриловский р-н, с. 2-е Пересыпкино, ул. Поповка, 4; магазин",,68,,,,68 МЕ  ,003071,Управление по развитию промышленности и предпринимательства Тамбовской области,18.03.2008,18.03.2013,,,,,,,,Судоргин Юрий Александрович,89108546851  89107564662,1,1,,,1086824000086,,,,,,,,,,,,,,,,
1297,"ООО ""Софья""",6824001010,680201001,"Гавриловский р-он, с. 2-ая Гавриловка, Комсомольский пер.",,"1. Гавриловский р-он, с. 1-ое Пересыпкино, ул. Гагарина, 1 б - магазин ""Продукты""; ",,68,,,,68 МЕ  ,003335,Управление по развитию промышленности и предпринимательства Тамбовской области,26.12.2008,26.12.2013,,,,,действующая,,,Белозерский Василий Алексеевич,"847551-32578, 89158733659 - Надежда Ивановна, 89158722070",1,2,,,1056852897397,3/6/2012,,,,,,,,,,,,,,,
,,,,,,"2. Гавриловский р-он, с. 2-ая Гавриловка, ул. Пионерская, 48-магазин ""Продукты""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,"ООО ""Весна""",6802001803,680201001,"Тамбовская область, Гавриловский р-н, с.1-ое Пересыпкино, ул. Гагарина",,"1. Гавриловский р-н, с.1-ое Пересыпкино, ул. Гагарина, 2а; магазин",,68,,,,68 МЕ  ,003386,Управление по развитию промышленности и предпринимательства Тамбовской области,24.03.2009,24.03.2014,,,,,действующая,,,Клемина Людмила Михайловна,28-1-82   9158705025,1,1,,,1076824000296,,,,,,,,,,,,,,,,
1417,"ООО ""Спас""",6802003582,680201001,"Тамбовская область, Гавриловский р-н, с. Булгаково, ул. Торговая, д.5",,"1.Гавриловский р-н, с. Булгаково, ул. Торговая, д.5; магазин",,68,,,,68 МЕ  ,003521,Управление по развитию промышленности и предпринимательства Тамбовской области,21.11.2009,21.11.2014,,,,,действующая,,,Семикин Анатолий Владимирович,89204732463   89202328219   89065990142,1,1,,,1096824000415,,,,,,,,,,,,,,,,
1506,"ООО ""Орбита""",6824001349,680201001,"Тамбовская область, Гавриловский р-он, с. Гавриловка, 2-я, ул. Пионерская, д. 36",ZUYKOV.1983@mail.ru,"1. Гавриловский р-он, с. Гавриловка 2-ая, ул. Советская, д. 29-а- магазин;  ",,68,,,,68 МЕ   ,004337,Управление по развитию промышленности и предпринимательства Тамбовской области,22.12.2011,18.12.2012,,,,,действующая,,4288 от 12.04.2012,Зуйков Александр Александрович,"8920237333, 89606644777",1,4,,12/14/2005,1056852899542,3/2/2012,,,,,,,,,,,,,,,
,,,,,,"2. с. Глуховка, ул. Ручейная, 116 - магазин;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"3. с. Гавриловка 2-я, ул. Полевая, 1а магазин;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"4. д. Старая Рожковка, ул. Центральная, 4 магазин.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,"ООО ""Юпитер""",6802001546,680201001,"Тамбовская область, Гавриловский р-н, с.2 -я Гавриловка, ул. Советская, 16а",,"1. Гавриловский р-н, с.2 -я Гавриловка, ул. Советская, 16а - магазин ""продукты""",,68,,,,68 МЕ   ,004440,Управление по развитию промышленности и предпринимательства Тамбовской области,07.02.2012,07.02.2013,,,,,действующая,,06.02.2012 №4151,Курмаев Юрий Равелович,84755132840   89027240444,1,1,,8/29/2006,1066824014872,3/6/2012,,,,,,,,,,,,,,,
1590,"ООО ""Валентина""",6802003695,680201001,"Гавриловский р-н, с. Гавриловка 1-я, ул. Гагарина, 24",14.1059abcdrogozhina_59@mail.ru,"1.Гавриловский р-н, с. Гавриловка 1-я, ул. Гагарина, 24, магазин",,68,,,,68МЕ,004553,Управление по развитию промышленности и предпринимательства Тамбовской области,19.04.2012,19.04.2013,,,,,действующая,,4301 от 18.04.2012,Рогожина Вера Васильевна,89531232518,1,1,,2/7/2012,1126824000050,,,,,,,,,,,,,,,,
154,"ООО ""Сказка""",6803628379,680301001,"Тамбовская область, Жердевский район, г. Жердевка, ул. Советская, 84 а",lyudmila_zavyalova@list.ru,"1. г. Жердевка, ул. Советская, 84 а - магазин ""Сказка""",,68,,,,68 МЕ            ,004600,Управление по развитию промышленности и предпринимательства Тамбовской области,01.06.2012,01.06.2013,,,,,действующая,,4358 от 17.05.2012,Завьялова                            Людмила                      Анатольевна,(47535)                              5-19-77; 8-915-876-01-02,1,1,,,1066821014523,,,,,,,,,,,,,,,,
127," ООО ""Фламинго""",6803628393,680301001,"Тамбовская область, Жердевский район, г.Жердевка, ул.Советская,  д.147",elena_2266RUS@mail.ru,"1.г.Жердевка,ул.Советская,147,магазин ""Фламинго""",,68,,,, 68 МЕ                                 ,004621,Управление по развитию промышленности и предпринимательства Тамбовской области,30.05.2012,30.05.2013,,,,,действующая,,4379 от 29.05.2012,Иноземцев                                                           Александр                      васильевич,(4752) 5-14-73; 8-920-480-21-32,1,1,,,1066821014545,25.01.2012,,,,,,,,,,,,,,,
1365,"ООО ""Ивушка Плюс""",6803629541,680301001,"Тамбовская область, Жердевский район, г. Жердевка, ул. Октябрьская, д. 1Д",,"1. г. Жердевка, ул. Октябрьская, д. 1Д; магазин",,68,,,,68 МЕ            ,003441,Управление по развитию промышленности и предпринимательства Тамбовской области,18.06.2009,18.06.2014,,,,,действующая,,,Фролов Александр Сергеевич,84753551290  89202327087,1,1,,,1096821000363,,,,,,,,,,,,,,,,
918,"ООО ""Околица""",6803628788,680301001,"Тамбовская область, Жердевский р-н,  с.Бурнак, ул.Свободы,63-а",Selinamm66@mail.ru,"1.Жердевский р-н,с.Бурнак,ул.Советская,63-а,магазин ""Пятерочка""                           ",,68,,,,68МЕ                                                                                        ,004496,Управление по развитию промышленности и предпринимательства Тамбовской области,30.03.2012,30.03.2013,,,,,действующая,,4232 от 23.03.2012,Селина                                                       Марина                                          Михайловна,(232)                          4-75-35                                       5-83-20                                               89204611999,1,2,,3/2/2007,1076821000101,,,,,,,,,,,,,,,,
,,,,,,"2.Жердевский р-н,с.Бурнак,ул.Свободы,137-а,магазин ""Околица""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"ООО ""Тройка плюс""",6803628403,680301001,"Тамбовская область, Жердевский район, г. Жердевка, ул. Космонавтов, 1 ж",,"1. г. Жердевка ул. Космонавтов, 1 ж - магазин ""Тройка""",,68,,,,68МЕ  ,004677,Управление по развитию промышленности и предпринимательства Тамбовской области,25.06.2012,25.06.2013,,,,,действующая,,4444от 19.06.2012,Захаров                      Роман                                                   Александрович,(235) 54528; 8-910-856- 65-88,1,1,,4/26/2006,1066821014600,,,,,,,,,,,,,,,,
1039,"Потребительское               общество                         ""Жердевское""",6803627720,680301001,"Тамбовская область, Жердевский район, г. Жердевка,",,"1.г.Жердевка,ул.Первомайская ,131, магазин №4   ",,68,,,, МЕ                                  ,002872 ,Управление по развитию промышленности и предпринимательства Тамбовской области,19.10.07,19.10.2012,,,,,действующая,,01.10.2007 № 1601,Попова                                            Татьяна                                                  Петровна,847535-5-16-30                      8-9156600155,1,2,,,1046847004610,,,,,,,,,,,,,,,,
,,,,,,"2.с.Искра,ул.Центральная,24, магазин №34 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"3. с.Туголуково.,ул.пл.Революции,12, магазин №32 ",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"4.с.Чикаревка,ул.Центральная,1, магазин №31",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"5.с.Сукмановка,ул.Нородная,28, магазин №27",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"6.с.Сукмаревка,Советская пл.38,  магази №25",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,"7.с.Петровское,40,магазин №35",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,," 8.г.Жердевка,ул.Ф.Энгельса,41, магазин №17 ",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,," 9.г.Жердевка,ул.Свеклопункт,1-а,   магазин №14 ;",,68,,,,,,Управление по развитию промышленности и предпринимательства Тамбовской области,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
,,,,,,"10.г.Жердевка,ул.Достоевского,9,  магазин №8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 65," ООО ""Орион""",6803628298,680301001,"Тамбовская область, Жердевский район, г.Жердевка,                                 ул.Некрасова,    д.30-б",ershovatoma@mail.ru,"1.г.Жердевка,ул.Некрасова,д.30-б,магазин ""Продукты""",,68,,,,68МЕ  ,004519,Управление по развитию промышленности и предпринимательства Тамбовской области,04.04.2012,04.04.2013,,,,,действующая,,4259 от 03.04.2012,Акулинин                        Владимир                                    Аркадьевич,84753557042   89202353058,1,1,,2/14/2006,1066821002038,,,,,,,,,,,,,,,,
987,"ООО ""Селяночка""",6803628805,680301001,"Тамбовская область, Жердевский р-н, с.Шпикулово, ул.Школьная,20-б",,"1.Жердевский р-н,с.Шпикуловка, ул.Школьная,20-б,магазин ""Марина""",,68,,,,МЕ                                            ,002772,Управление по развитию промышленности и предпринимательства Тамбовской области,02.07.07,02.07.2012,,, ,,истекла,,,Осина                                                             Галина                                                    Алексеевна,(235)3-80-34                                       89107530697, , ,,,1076821000167,,,,,,,,,,,,,,,,
