Ардатовский район,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.
1,222,13 МЕ,"ООО ""Лидер"" с. Манадыши-2, ул. Цент-ая, 1,",1301064112,"м-н с. Манадыши-2, ул. Централ-ая, 1, Ардатовск",4,15/09/09,56-98-99,,Федоров Александр Филипович
,,000980,Ардатовский р-н,,"м-н с. Луньг.Майдан, ул. К.Маркса, 22, Ардатовс",,15/09/12,2-52-18,,
,,,,,"м-н с. Луньга, ул. Ленина, 51, Ардатовский р-н",,,89276415186,,
,,,,,"м-н ""Продукты"" д. Суродеевка, ул. Заречная, 2б, Ард",,,,,
1,14,13 МЕ,"ООО ""Зодиак"" г. Ардатов, мкр. 1, 14а",1301064151,"м-н г. Ардатов, мкр. 1, 14а",1,28/01/10,3-11-33,,Миганова Елена Александровна
,,001120,,,,,28/01/13,89271901466,,
1,38,13 МЕ,"ООО ""Кедр"" п. Тургенево, ул. Заводская, 57а,",1301064176,"м-н ""Родник"" п. Тургенево, ул. Заводская, 57а",1,28/01/10,89279766838,,Кудашкин 
,,001145,Ардатовский р-н,,Ардатовский район,,28/01/15,,,
1,33,13 МЕ,"ООО ""Исток Н"" п. Октябрьский, ул. Юбилейная, 15",1301064190,"м-н ""Наташа"" п. Октябрьский, ул. Юбилейная, 15",1,28/01/10,2-57-48,,Ануфриева Наталья Григорьевна
,,001140,Ардатовский р-н ,,,,28/01/13,89061640148,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475/132831001,"м-н ""Магнит"" п. Тургенево, ул. Заводская, 67, Ардатовский район",2,15/05/12,46-47-73 Пенза,,
,,000004,"185, филиал г. Пенза, ул. Мусоргского, 26а",,"м-н ""Магнит"" г. Ардатов, ул. Ленинская, 91",,15/03/16,35-85-10,,
1,289,13 МЕ,"ООО ""Александрит"" п. Тургенево, ул. Завод-",1301064521,"м-н ""Лаверна"" п. Тургенево, ул. Заводская, 67, Ардатовский",3,29/12/10,2-10-30,,Писяев Владимир Иванович
,,001430,"ская, 67, Ардатовский р-н",1071322001167,"м-н ""Продукты"" п. Тургенево, ул. Ленинская, 12а, Ард",,28/01/15,89279733855,,Казаков Рамис Умярович
,,,,,"м-н г. Ардатов, ул. Меоиоративная, 3",,,,,
1,198,13 МЕ,"ООО ""Анастасия"" п. Октябрьский, ул. Садовая, 27а,",1301401583,"м-н ""Елочка"" п. Октябрьский, ул. Садовая, 27а, Ард",1,14/08/09,89179933973,,Озерова Ольга Владимировна
,,000961,Ардатовский район ,,,,14/08/12,,,
1,40,13 МЕ,"ООО ""Александр"" п. Тургенево, ул. Садовая, 2б,",1301401664,"м-н ""Александр"" п. Тургенево, ул. Садовая, 2б",1,28/01/10,89271702634,,Кипайкин Александр Сергеевич
,,001147,Ардатовский район,,,,28/01/13,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"магазин ""Продукты"", с. Жаренки, ул. Ленина, 22а, Ардатовский район",3,29/06/12,,,
,,000096,"ленная, 7 ",,"м-н ""Веда"", с. Ст. Ардатово, ул. Советская, 34, Ардатовский",,16/04/15,,,
,,,,,"магазин ""Продукты"", с. Суродеевка, ул. Заречная, 2б, Ардатовский район",,,,,
1,10,13 МЕ,"ООО ""Сокол"", с. Чукалы, ул. Красноармейская,",1301401819,"магазин ""Елена"", с. Чукалы, ул. Красноармейская, 49, Ардатовский",3,31/01/11,89276419347,,Пыреськин Семен Иванович
,,001445,"49, Ардатовский район",1101322000493,"магазин ""Ольга"", с. Кученяево, ул. Луначарского, 2, Ардатовский",,31/01/14,,,Пыреськина Нина Петровна
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"магазин ""Снежана"", с. Каласево, ул. Лебедева, 21, Ардатовский",5,29/06/12,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",1101327000851,"магазин ""Продукты"", с. Луньга, ул. Центральная, 35, Ардатовский",,15/07/14,,,
,,,,,"магазин ""Продукты"", с. Лун. Майдан, ул. К.Маркса, 22, Ардатовский",,,,,
,,,,,"магазин ""Продукты"", п. Тургенево, ул. Шмидта, 1",,,,,
,,,,,"магазин ""Продукты"", с. Низовка, ул. Школьная, 38, Ардатовский район",,,,,
,,,,,"магазин ""Продукты"", с. Баево, ул. Нефедова, 119, Ардатовский район",105,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
23,,,,,,,,,,
