тип_реш,опф,наим,место_нах,ОГРН,ИНН,КПП,тип,район/город,нас_пункт,"ул,№дома",рег№Лиц,дата переоф,дата_выдачи,начало,конец,серия_лиц,номер_бл_лиц,серия_перечня,номер_бл_перечня,условие,статус,E-mail,Тел,Руководитель
о выдаче,ООО,КомТрейдЧита,"Читинская область, г. Чита, мкр. Северный, 64",,7536081815,753601001,бар в игровом зале,г. Чита,г. Чита,"мкр. Северный, 64, корпус 9",791,,02-Jul-07,02-Jul-07,01-Jul-12,75 МЕ,000881,В,000900,,Прекращена,,,
о выдаче,ООО,Бизнес,"Забайкальский край, Читинский район, п.г.т.Атамановка, ул. Заводская, д.9",1067524002215,7524012863,752401001,отдел в магазине,Читинский район,пгт. Атамановка,ул. Заводская 9,400,,01-Jul-11,01-Jul-11,01-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Либра,"Забайкальский край, г. Чита,  ул. Инструментальная, 4",1057536122907,7536065517,753601001,отдел в павильоне,г. Чита,г. Чита,"ул. Инструментальная, 4",318,,08-Jun-11,01-Jul-11,01-Jul-12,,,,,,Прекращена,,,
о переоформлении,ООО,Пирамида Шерри,"Забайкальский край, г. Чита, ул. Столярова, д. 19",1067536020980,7536068839,753601001,"ресторан ""Сакура"" в гипермаркете ""Макси""",г. Чита,г. Чита,"Центральный район, ул. Шилова, 100, стр.2",0369,,16-May-12,02-Jul-11,02-Jul-12,75ме,002978,,,,Прекращена,,83022310389,Любин Андрей Владимирович
о переоформлении,ООО,Элис +,"Забайкальский край, г.Чита, ул. Ленина, 54",1047550016876,7536055935,753601001,отдел в магазине,Читинский район,"оз.Арахлей,","мкр-н Восточный, 71/а/03",332,,29-May-12,02-Jul-11,02-Jul-12,75ме,002994,,,,Прекращена,,,Семенова Ольга Георгиевна
о продлении,ООО,Приятель,"Забайкальский край, Читинский район, трасса Чита-Романовка, 27 км.",1067524006043,7524013218,752401001,отдел в закусочной,Читинский район,,"трасса Чита-Романовка, 27-28 км.",368,,23-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Кушнаренко,"Забайкальский край, г. Чита, ул. Богомягкова, 73-б",1057536116956,7536065080,753601001,отдел в магазине,г. Чита,г. Чита,"ул. I Первомайская, 5",339,,14-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлении,ПК,Кедр,"Забайкальский край, г.Чита, ул.Амурская, 40 а , строение 2, помещение 2",,7536011159,753601001,"павильон ""Мираж""",г. Чита,г. Чита,"ул. Богомягкова, 97-а",371,,22-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Восточно-сибирская торговая компания,"Забайкальский край, г.Чита, ул. Курнатовского, 25",1027501159949,7535012304,753501001,магазин,г. Чита,г. Чита,"ул. Курнатовского, 25 ",0324,,09-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлен ии,ООО,Лира,"Забайкальский край, г. Петровск-Забайкальский,  ул. Локомотивная, 15",1067538004357,7531004158,753101001,"магазин ""Даурия""",г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. Лесная, д. 2",390,,30-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Пирамида,"Забайкальский край, г. Чита, ул. Энтузиастов, д. 54",1027501152645,7537002703,753701001,павильон,г. Чита,г. Чита,"ул. Энергетиков, 1",317,,07-Jun-11,02-Jul-11,02-Jul-12,,,,,,Прекращена,,,
о переоформлении,ООО,Золотой Телец,"Читинская область, г. Чита, ул. Амурская, д.103 А",1047550004358,7536054392,753601001,"организация общественного питания (кафе ""Хай Ха"")",г. Чита,г. Чита,"Центральный район, ул. Амурская, д. 103-А, пом. 1",792,,04-Dec-09,03-Jul-07,02-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Мега,"Забайкальский край, Агинский район, пгт. Агинское, ул. Юннатская, д. 8, кв.2",1068080021107,8001012821,752901001,"отдел в магазине ""Мега маркет""",Агинский район,пгт. Агинское,"ул. Базара Ринчино, д. 7",0407,,03-Jul-11,03-Jul-11,03-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,Радуга,"Забайкальский край, Дульдургинский район, с. Таптанай, ул. Калинина, 85",,8002003107,800101001,магазин,Дульдургинский район,с. Таптанай,"ул. Калинина, 8",Г 963856,,03-Jul-06,03-Jul-06,03-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Восточный,"Забайкальский край, г. Чита, ул. Кирова, 4",1027501153591,7534001469,753401001,"магазин ""Восточный""",г. Чита,г. Чита,"ул. Кирова, д.4",348,,17-Jun-11,04-Jul-11,04-Jul-12,75ме,002287,вв,001158,,Прекращена,,,
о продлении,ООО,"Гастроном ""Крымский""","Забайкальский край, г. Чита,  ул.Крымская, д. 8",1057536113414,7536064619,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Крымская, 8, помещение 2",398,,01-Jul-11,04-Jul-11,04-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,Софья,"Читинская область, Могочинский район, п. Амазар, ул. Вокзальная, 8",,7512004850,751201001,"магазин ""Софья""",Могочинский район,п. Амазар,"Железнодорожный район, ул. Вокзальная, 8",793,,06-Jul-07,06-Jul-07,05-Jul-12,75 МЕ,000886,В,000922,,Прекращена,,,
о продлении,ООО,Водолей,"Забайкальский край, Читинский район, с.Угдан, ул. Набережная, д. 23-б",1067524006516,7524013465,752401001,отдел в павильоне,Читинский район,с. Угдан,"ул. Набережная, д. 23-б",406,,04-Jul-11,05-Jul-11,05-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Закар,"Забайкальский край, г. Чита, ул. Новобульварная, д. 98",1027501150401,7534000320,753401001,магазин,г. Чита,г. Чита,"ул. Новобульварная, 98",340,,15-Jun-11,05-Jul-11,05-Jul-12,,,,,,прекращена,,,
о выдаче,ООО,Радуга,"Читинская область, г. Петровск-Забайкальский, ул. Островского, 60-а",,7531004373,753101001,"отдел в магазине ""Радуга""",г. Петровск-Забайкальский,г. Петровск-Забайкальский,"ул. Островского, 60-а",794,,06-Jul-07,06-Jul-07,05-Jul-12,75 МЕ,000885,В,000921,,Прекращена,,,
о продлении,ООО,Тасей,"Забайкальский край, Читинский район, п.г.т.Атамановка, ул. Связи, д. 40-г",1067524001489,7524012856,752401001,отдел в магазине,Читинский район,с. Тасей,"ул. Садовая, д. 37 а",403,,04-Jul-11,05-Jul-11,05-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,Девятка,"Забайкальский район, пгт. Агинское, ул. Ленина, 131",1068080023000,8001013769,800101001,отдел в магазине,Агинский район,пгт. Агинское,"ул. Ленина, 131",0044,,06-Mar-12,06-Mar-12,06-Jul-12,75 ме,002877,,,,Прекращена,,89148023866,Болотова Л.Ж.
о продлении,ООО,АлкоМир,"Забайкальский край, г. Чита, ул. Бабушкина, д. 108",1067536043167,7536070549,753601001,магазин,г. Чита,г. Чита,"ул. Бабушкина, 108, пом. 17",395,,30-Jun-11,06-Jul-11,06-Jul-12,,,,,,Прекращена,,89145043644,Гуляева В.И.
о продлении,ООО,ТРИ А,"Забайкальский край, г. Чита, ул. Новая, 61 а",1067536043013,7536070394,753601001,магазин,г. Чита,г. Чита,"г. Чита, Черновский  административный район, ул. Новая, 15",344,,15-Jun-11,06-Jul-11,06-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Сокол,"Забайкальский край, г. Чита, ул. Весенняя, 28",1027501162985,7537007518,753701001,"отдел в магазине ""на микрорынке""",г. Чита,Черновский район,"ул. Весенняя, 28",370,,22-Jun-11,06-Jul-11,06-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,фирма Долян,"Забайкальский край, г. Чита, ул. Железобетонная, 6",1027501169156,7535005931,753501001,отдел в магазине,г. Чита,г. Чита,"ул. Железобетонная, 6",349,,17-Jun-11,06-Jul-11,06-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Байкал,"Забайкальский край, Красночикойский район, с. Большая речка, ул. Новая, д. 12. кв. 2",1067538004742,7509004191,750901001,отдел в магазине,Красночикойский район,с. Котый,"ул. Набережная, 15",404,,04-Jul-11,06-Jul-11,06-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Пирамида,"Забайкальский край, Оловяннинский район, п.г.т.Ясногорск, ул. Энергетиков, д. 3",1057515019451,7515005940,751501001,магазин,Оловяннинский район,п. Ясногорск,"ул. Энергетиков, 3",374,,28-Jun-11,06-Jul-11,06-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,КАРС,"Забайкальский край, Забайкальский район, п.г.т. Забайкальск, ул. Красноармейская, 107 а",1067505006140,7505004592,750501001,отдел в магазине,Забайкальский район,п. Забайкальск,"ул. Красноармейская, д. 107 ""А""",350,,17-Jun-11,07-Jul-11,07-Jul-12,,,,,,Прекращена,svetlana77275@mail.ru,83025131356,Джафарова Имрана Баламирза оглы
о переоформлении,ООО,Фортуна,"Забайкальский край, п.г.т.Чернышевск, ул. Интернатная, 19",1067513008298,7525005001,752501001,"магазин ""Гастроном""",Чернышевский район,пгт. Чернышевск,"ул. Журавлева, 69а-101",0360,,26-Mar-12,07-Jul-11,07-Jul-12,75 ме,002959,,,,Прекращена,fortunachern@yandex.ru,302-65-2-16-91,Ибрагимов Мустафа Гакиевич
о продлении,ООО,Благовест,"Забайкальский край, г. Балей,  ул.Советская, д. 16",1067527003719,7528004905,752801001,"магазин ""Черемушки""",Балейский район,г. Балей,"ул. Парашютная, 4-а",379,,28-Jun-11,07-Jul-11,07-Jul-12,,,,,,Прекращена,,,
о переоформлении,ООО ,Альянс,"Забайкальский край, с. Красный Чикой, ул. Пролетарская, 141",1067538003917,7509004113,750901001,магазин,Красночикойский район,с. Барахоево,"ул. Октябрьская, 167",353,,17-Jun-11,08-Jul-11,08-Jul-12,,,,,,Прекращена,,8302302207,Лукьянов Л.А.
о продлении,ООО,НАДЕЖДА,"Забайкальский край, Кыринский район, с. Кыра, ул. Березнева, 21",1057515022608,7510002872,751001001,отдел в магазине,Кыринский район,с. Кыра,"ул. Березнева, 21",347,,17-Jun-11,08-Jul-11,08-Jul-12,,,,,,Прекращена,,21-5-16,Носырев Г.В.
о продлении,ООО ,Наири,"Забайкальский край, г. Чита,  мкр. Северный, д. 36, кв. 10",1047550029878,7536070002,753601001,отдел в магазине,г. Чита,г. Чита,"п. Каштак, 100",352,,17-Jun-11,08-Jul-11,08-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Валентина,"Забайкальский край, Могочинский район, г. Могоча, ул. Березовая, д. 1-а",1067527003983,7512004410,751201001,"павильон ""Валентина""",Могочинский район,г. Могоча,"ул. Березовая, д. 1а",295,,30-May-11,08-Jul-11,08-Jul-12,,,,,,Прекращена,,,
о продлении,ООО ,Ассорти,"Забайкальский край, Читинский район, п.г.т. Новокручининский, ул. Заводская, д. 5а",1067524006032,7524013200,752401001,отдел в магазине,Читинский район,пгт. Новокручининский,"ул. Заводская, 5 а",0413,,07-Jul-11,08-Jul-11,08-Jul-12,75МЕ,002357,ВВ,001226,,Прекращена,,,
о продлении,ООО,Маричка плюс,"Забайкальский край, г. Чита, ул.Кайдаловская, д. 6",1027501157782,7535010434,753501001,отдел в магазине,г. Чита,г. Чита,"ул. Кайдаловская, 6",0396,,30-Jun-11,08-Jul-11,08-Jul-12,,,,,,Прекращена,,,
о выдаче,КФХ,Коробельникова В.А.,"Читинская область, Читинский район, с. Тасей",,7524004661,752401001,"отдел в павильоне ""Руслан""",г. Чита,г. Чита,"4 мкр., 6а (не осуществляет деятельность)",797,,10-Jul-07,10-Jul-07,09-Jul-12,75 МЕ,000888,В,000924,,Прекращена,,,
о выдаче,ООО,ВАНЛИ,"Читинская область, г. Чита, ул. Ангарская, 33, офис 2",,7536081325,753601001,магазин,г. Чита,г. Чита,"ул. Ангарская, 33/2",796,,10-Jul-07,10-Jul-07,09-Jul-12,75 МЕ,000887,В,000925,,Прекращена,,,
о продлении,ООО ,Читаспецстроймонтаж,"Забайкальский край, г. Чита,  ул. Амурская, д. 59",1027501168463,7536010412,753601001,отдел в магазине,Читинский район,пгт. Атамановка,"ул. Заводская, 13 а",376,,28-Jun-11,09-Jul-11,09-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Маяк,"Забайкальский край, Борзинский район, г. Борзя, ул. Набережная, 16",1067505001222,7529010316,752901001,"магазин ""Кедр""",Борзинский район,г. Борзя,"ул. Набережная, 16",0409,,06-Jul-11,09-Jul-11,09-Jul-12,75МЕ,002352,ВВ,001222,,Прекращена,,,
о переоформлении,ООО,Анюта плюс,"Забайкальский край, Нерчинский район, г. Нерчинск, ул. Береговая, 66",1047509900635,7513005310,751301001,магазин,Нерчинский район,г. Нерчинск,"ул. Береговая, 66",313,07-Jun-11,12-Jul-07,12-Jul-07,11-Jul-12,75 ме,002254,,,,Прекращена,,89144537632,Никрасов Б.В.
о переоформлении,ООО,Дассар,"Забайкальский край, Агинский район, п.г.т. Агинское, ул.Олимпийская, д. 30А",1078080001196,8001014392,800101001,"магазин ""Кенгуру""",Агинский район,пгт. Агинское,"ул. Бадмы Жабона, д. 2 ""В""",273 а,21-Dec-09,12-Jul-07,12-Jul-07,11-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,Рассвет,"Забайкальский край, г. Чита, ул. Бабушкина, д. 36, кв. 73",1107536006852,7536114330,753601001,отдел в магазине,Читинский район,п. Забайкальский,"переулок Пчелинный, д. 16-а",0432,,12-Jul-11,12-Jul-11,12-Jul-12,75МЕ,002377,ВВ,001245,,Прекращена,,,
о продлении,ООО,Эмин,"Забайкальский край, г. Чита,  ул. Ползунова, 28",1057536127780,7536065933,753601001,отдел в магазине,г. Чита,Железнодорожный район,"пос. ЗабНИТИОМС, 1",0414,,07-Jul-11,12-Jul-11,12-Jul-12,75МЕ,002358,ВВ,001227,,Прекращена,,,
о выдаче,ООО,Айсберг,"Забайкальский край, Агинский район, п. Орловский, ул.30 лет Победы, 15",1078080001009,8001014346,800101001,магазин,Агинский район,п. Орловский,"ул. 30 лет Победы, 15",0016,,12-Jul-07,12-Jul-07,12-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,Людмила,"Забайкальский край, Агинский район, п. Орловский, ул.30 лет Победы, 15",1068080021965,8001013335,800101001,магазин,Агинский район,п. Орловский,"ул. 30 лет Победы, 15",0016,,12-Jul-07,12-Jul-07,12-Jul-12,,,,,,Прекращена,,,
о выдаче,ООО,Тотал Тотем,"Забайкальский край, г. Чита, ул. Смоленская, 47, офис 6",1097536005995,7536104413,753601001,организация общественного птания (ресторан),г. Чита,г. Чита,"ул. Анохина, 66",0429,,12-Jul-11,12-Jul-11,12-Jul-12,75МЕ,002374,ВВ,001242,,прекращена,,,
о продлении,ООО ,Горизонт,"Забайкальский край, г. Чита, ул. Бабушкина, 157",1067536015656,7536068229,753601001,"кафе ""Диамант""",г. Чита,г. Чита,"ул. Бабушкина, д. 157",383,,28-Jun-11,12-Jul-11,12-Jul-12,,,,,,Прекращена,,,
о продлении,ООО ,ФОБУС,"Забайкальский край, г. Чита, ул. Гагарина, д. 9",,7536069423,753601001,магазин,г. Чита,г. Чита,"ул. Гагарина, д.9",0419,,08-Jul-11,12-Jul-11,12-Jul-12,75МЕ,002363,ВВ,001232,,Прекращена,,,
о выцдаче,ООО,Маркес-Ч,"Забайкальский край, г. Чита, ул. Ленина, д. 26",1057536115339,7536064834,753501001,"организация общественного питания (бар ""Лига"")",г. Чита,г. Чита,"ул. Журавлева, 2",0428,,12-Jul-11,12-Jul-11,12-Jul-12,75МЕ,002372,ВВ,001241,,Прекращена,,,
о продлении,ООО,Гурман,"Забайкальский край, г. Чита,  ул. Ленинградская, д. 36",1067536036215,7536069215,753601001,"бар в ресторане ""Забайкалье""",г. Чита,г. Чита,"ул. Ленинградская, д. 36",399,,01-Jul-11,12-Jul-11,12-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Жасмин,"Забайкальский край, г. Краснокаменск, д.302",1097530000556,7530012830,753001001,отдел в магазине,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"3 мкр., д. 302",0422,,08-Jul-11,13-Jul-11,13-Jul-12,75МЕ,002366,ВВ,001235,,Прекращена,,,
о продлении,ООО,Ирина,"Забайкальский край, Агинский район, п.г.т.Новоорловск, д. 5",1068080021558,8001013060,800101001,магазин,Агинский район,п. Новоорловск,д. 7,0420,,08-Jul-11,13-Jul-11,13-Jul-12,75МЕ,002364,ВВ,001233,,Прекращена,,,
о продлении,ООО,Лидия,"Забайкальский край, г. Петровск-Забайкальский, переулок Школьный, 1",,7531004207,753101001,"магазин ""Лидия""",г. Петровск-Забайкальский,г. Петровск-Забайкальский,"переулок Школьный, 1",0427,,11-Jul-11,13-Jul-11,13-Jul-12,75МЕ,002369,ВВ,001239,,прекращена,,,
о продлении,ООО,КРЕЧЕТ,"Забайкальский край, г. Чита, ул. Бабушкина, 108",,7536071486,753601001,"отдел в магазине ""Купец""",г. Чита,г. Чита,"ул. Бабушкина, 108, помещение 13",0418,,07-Jul-11,13-Jul-11,13-Jul-12,75МЕ,002362,ВВ,001231,,Прекращена,,,
о продлении,ООО,Импульс,"Читинская область, г. Чита, Центральный район, ул. Журавлева, 106",,7536068483,753601001,отдел в магазине,г. Чита,г. Чита,"Ул. Журавлева, 106",0415,,07-Jul-11,13-Jul-11,13-Jul-12,75МЕ,002359,ВВ,001228,,Прекращена,,,
о продлении,ООО,Любава,"Забайкальский край, Читинский район, с. Сохондо, ул. Советская, 53",,7524013257,752401001,отдел в магазине,Читинский район,с. Сохондо,ул. Кооперативная 14,0425,,11-Jul-11,13-Jul-11,13-Jul-12,75МЕ,002367,ВВ,001237,,Прекращена,,,
о продлении,ООО,ЭТНОС,"Забайкальский край, г. Чита, ул. Новобульварная, д. 115, пом. 1",,7536067306,753601001,магазин,г. Чита,г. Чита,"ул. Новобульварная, д. 115, пом. 1",0439,,13-Jul-11,14-Jul-11,14-Jul-12,75МЕ,002384,ВВ,001253,,Прекращена,,,
о продлении,ООО,Зодиак,"Забайкальский край, Читинский район, п.г.т.Атамановка, ул. Связи, д. 42-а",1067524003821,7524013024,752401001,отдел в магазине,Читинский район,пгт. Атамановка,"ул. Связи, 42 а",402,,01-Jul-11,14-Jul-11,14-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Конверсия Сибири,"Забайкальский край, г. Чита,  ул. 9 Января, 35",1057536097618,7536062851,753601001,отдел в магазине,г. Чита,г. Чита,"ул. Украинский бульвар, д. 10",351,,17-Jun-11,14-Jul-11,14-Jul-12,,,,,,Прекращена,,,
о продлении,ООО,Фортуна,"Забайкальский край, г. Чита, ул. Ангарская, 30",1067536038184,7536069399,753601001,магазин,г. Чита,г. Чита,"ул. Ангарская, 30",367,,23-Jun-11,15-Jul-11,15-Jul-12,75 ме,002308,ВВ,001179,,прекращена,,89243851691,
о продлении,ООО,Чита-универсал,"Забайкальский край, г. Чита, ул.Чкалова, 35",1107536002760,7536110015,753601001,отдел в  магазине,г. Чита,г. Чита," ул. Чайковского, 4-А",0434,,12-Jul-11,15-Jul-11,15-Jul-12,75МЕ,002379,ВВ,001250,до 15 %,Прекращена,,89144700150,Цыренов М.М.
о продлении,ООО,Светлана,"Забайкальский край, Кыринский район, с. Кыра, ул. Березнева, 12А",,7536068606,753601001,отдел в магазине,Кыринский район,с. Кыра,"ул. Березнева, 12А",0438,,13-Jul-11,15-Jul-11,15-Jul-12,75МЕ,002383,ВВ,001252,,Прекращена,,,
о выдаче,ООО,ОЛИМП,"Забайкальский край, Оловяннинский район, пгт. Калангуй, ул. Микрорайон, д. 5, кв. 8",1117515000096,7515007641,751501001,отдел в магазине,Оловяннинский район,пгт. Калангуй,"ул. Ведерникова, 48",0442,,14-Jul-11,15-Jul-11,15-Jul-12,75МЕ,002387,ВВ,001256,,Прекращена,,,
о продлении,ООО,Фортуна,"Забайкальский край, г. Чита, Ингодинский район, ул. Верхнеудинская, д. 10 а",,7536070919,753601001,отдел в павильоне,г. Чита,г. Чита,"ул. Верхнеудинская, д. 10 а",0416,,07-Jul-11,16-Jul-11,16-Jul-12,75МЕ,002360,ВВ,001229,,Прекращена,,89243747537,
о продлении,ООО,Северный,"Забайкальский край, г. Чита,  мкр. Северный, д. 37-а",1067536017251,7536068370,753601001,отдел в ТЦ,г. Чита,г. Чита,"мкр. Северный, д.37 а",392,,30-Jun-11,16-Jul-11,16-Jul-12,,,,,,прекращена,,,
