"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Усольскому районному МО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
10,Усольский СРК                                                                       ИНН 3840000690,МИ ФНС № 8 по Иркутской области и УОБАО,А 224207   рег.№1               от 16.01.2009               по 16.01.2014,"9 магазинов:                                   с. Новожилкино, ул. Ленина,4
1. магазин № 1;
с. Большая – Елань
ул. Декабристов,104
2. магазин № 2;
с. Большая – Елань
ул. Декабристов,10
3. магазин № 3;
д. Большежилкина
ул. Центральная,14
4. магазин № 4;
д. Большежилкина,                                   ул. Полевая,1-1
5. магазин № 5;
д. Низовцева, ул. Школьная,6-1
6. магазин № 7;
с. Целоты, ул. Мира,19
7. магазин № 8;
д. Култук, ул. Трактовая,9
8. магазин № 10;
д. Ключевая, ул. Трудовая,13 а
9. магазин № 11
",,,,,,
11,ООО «Альфа»          ИНН 3840006405,МИ ФНС № 8 по Иркутской области и УОБАО,А 224200                              рег.№ 9               от 26.06.08                по 26.06.2013,"п. Белореченский, 103
1. кафе «Барон»;
п. Белореченский,103
2. магазин  «Продукты» ТЦ «Петровский»;
п. Белореченский, 101 «Г»
3. магазин  «Вино-водка» ",,,,,,
12,ООО «Символ»                                                                       ИНН 3819013569,МИ ФНС № 8 по Иркутской области и УОБАО,А 224178                                рег. № 5                                от 13.04.2007                                по 13.04.2012,"с. Мальта, ул. Вокзальная,10
 1. магазин. № 5;
с. Мальта, ул. Мира,7 а
 2. маг. № 6;
с. Мальта, ул. Разведочная,17
3. магазин .№ 3
п. Белореченский,36-54
4. магазин",,,с 14.04.2012,,,
13,ООО «Мария»         ИНН 3819016746,МИ ФНС № 8 по Иркутской области и УОБАО,А 224155                                      рег.№ 13                                 от 05.08.2006                                по 05.08.2011  переоформлена А 224179                                рег. № 6                                 от 02.05.07         по 05.08.11   переоформлена                      А 224239 рег.10                    от 31.08.10                по 05.08.2011  Продлена           по 05.08.2012," с. Большая – Елань, 
ул. Декабристов,18
1. магазин  «Мария»;
с. Большежилкино, ул. Трактовая,10
2. магазин  «Мария»
с. Новожилкино, ул. Ленина,2Б
3. магазин «Мария»",,,,,,
14,ООО «Айсберг и Ко»                                        ИНН 3819016954,МИ ФНС № 8 по Иркутской области и УОБАО,А 224161 рег. №18                      от 16.08.2006               по 16.08.2011  Продлена с заменой бланка          по 16.08.2012,п.Белореченский 23 «А»                   1. магазин  «Айсберг»,,,,,,
15,ООО «Элита»           ИНН 3819016471,МИ ФНС № 8 по Иркутской области и УОБАО,"А 224157                               рег.№ 15
 от  10.08.06
 по 10.08.2011 Переоформлена   А 224176                                рег. № 3            от 05.03.07         по 10.08.2011 Продлена  с заменой бланка А 224275     рег.№3                по 10.08.2012","п. Мишелевка
квартал  Юбилейный,1
1.  магазин  «Элита»;
п. Мишелевка
квартал  Юбилейный,1
2. кафе «Элита»",,,,,,
16,ООО «Дуэт»                                                ИНН 3819017235,МИ ФНС № 8 по Иркутской области и УОБАО,А 224162          рег. №19                  от 17.08.2006              по 17.08.2011  Продлена с заменой бланка А 224279              по 17.08.2012," Усольский р-н                      п. Средний, ДОС 41               1. магазин ""Дуэт"".                        ",,,8/1/2012,,,
17,"ООО ""Олимп-М"" ИНН 3819016908",МИ МНС №8 по Иркутской области и УОБАО,А 224282 рег.№24              от 22.09.2011     по 21.09.2016    Переоформлена А 224283          рег. № 25            от 29.09.2011     по 21.09.2016,"Усольский район:                      р. п. Мишелевка,
 ул. Лесная,8-2
1. магазин «Вояж»;
п. Мишелевка, ул. Ленина,42 
2. магазин  «Мираж»;
 п. Мишелевка, ул.Молодежная,10-78
3. магазин «Янтарь»; 
п. Мишелевка, ул. Лесная,15а;
4. магазин «Импульс»;
с. Хайта, ул. Лазо,4                5. ""Престиж"";                         п. Усолье-7, ул. Лесная,3-17 6. магазин""Визит"";               ул. Лесная,10-21                    7. магазин ""Пятерочка""   Черемховский район:          с. Бельск, ул. Иванова,66а     8. отдел в магазине;                г. Усолье-Сибирское ул. Стопани,20 ТЦ ""Оптовый""   9. магазин № 46",,,,,,
18,ООО «Сибирь-Восток»                   ИНН 3819015870,МИ ФНС № 8 по Иркутской области и УОБАО,"А224168                                рег. № 24              от 05.10.2006     по 05.10.2011   Переоформлена А 224205                                рег. № 14 
 от 20.11.08
 по 05.10.2011  Продлена с заменой бланка  А 224287           по 05.10.2012  Переоформлена А 224289                                                        рег. № 31                                                от 26.12.2011                                        по 05.10.2012","Усольский р-н, в районе д. Кочерикова Прибайкальская автодорога                                1. магазин ",,,,,,
19,ООО «Клен»                                                          ИНН 3819017267,МИ ФНС № 8 по Иркутской области и УОБАО,А 224174                                      рег.№ 1                      от 26.01.2007                  по 26.01.2012,"с. Мальта, ул. Красноармейская,8 «а»                                                         1. магазин  «Продукты»",,,,с 27.01.2012,,
20,ООО «Багира»         ИНН 3819018503,МИ ФНС № 8 по Иркутской области и УОБАО,"А 224177 рег.№4 от 06.04.2006                                по 06.04.2012  переоформлена  А 224181 рег.№8 от 24.05.07                                       по 06.042012  переофомлена А 224211рег. №4
от 20.02.09
по 06.04.2012 Переоформлена  А 224263          рег. 13                 от 14.06.2011      по 06.04.2012","         
с. Сосновка, ул. Дорожная,1 
1. кафе «Багира»;
 с. Сосновка, ул. Трактовая,37
2. магазин «Продукты» ",с 16.12.2011,с 16.01.2012,,с 07.04.2012,,
21,ООО «Изумруд»                                                            ИНН 3819018574,МИ ФНС № 8 по Иркутской области и УОБАО,"А224180 рег.№ 7 от 18.05.07                                по 18.05.2012  переоформлена А 224187                                                рег. №12                                       от 12.11.07                                                                по 18.05.12 переоформлена                                   А 224240                                                        рег. №11
от 17.09.2010
по 18.05.2012","с. Мальта, ул. Победы,11                   1. магазин «Изумруд»;
п. Средний ДОС-37
2. магазин «Изумруд» г. Усолье-Сибирское, ул. Толбухина, район дома,46 3. отдел в магазине ""Изумруд""",,,,с 19.05.2012,,
22,ООО «Ареал»                                      ИНН 3819016697,МИ ФНС № 8 по Иркутской области и УОБАО,А 224183 рег.№9                от 28.09.07                по 28.09.2012,"п. Железнодорожный, ул. Комсомольская,30 «а» 
1. магазин  «Ареал»;
ст. Тельма, ул. 1-ая Железнодорожная,14 «а»
2. магазин «Ареал 2»",,,,,,
23,"ООО ""Родник""                                    ИНН 3840006645",МИ ФНС №8 по Иркутской области и УОБАО,А 224272          рег. № 21            от 01.08.2011     по 31.07.2012,"Усольский р-н, р.п. Белореченский,39 (пристрой) 1. отдел в магазине",,,7/1/2012,,,
24,ООО «Асия»                                                ИНН 3819019105,МИ ФНС № 8 по Иркутской области и УОБАО,А 224311 рег. № 27 от 18.07.2012 по 16.10.2012  взамен А 224184                               рег. №10                     от 16.10.07                   по 16.10.2012,"с. Мальта, ул. Ленина, 93А, машазин Продукты",,,,,,
25,ООО «Океан»                                                        ИНН 3840006902,МИ ФНС № 8 по Иркутской области и УОБАО,А224190                                   рег. № 1                  от 31.01.2008             по 31.01.2013,"п. Средний, ДОС – 6                             1. магазин «Продукты»;
п. Средний, ДОС – 29
2. магазин «Сластёна»;
п. Средний, ДОС – 29
3. магазин «Мясо-рыба»;
п. Тайтурка, 
ул. Пеньковского,15
4. магазин «Продукты»",,,,,,
26,ООО «магазин Продукты»                                           ИНН 3819019320,МИ ФНС РФ № 8 по Иркутской области ,А 224194 рег.№4                     от 07.04.08                 по 07.04.2013,"Усольский район п. Белореченский,111                               1. магазин «Продукты»;",,,,,,
27,ООО «КОРАЛ»    ИНН 3819019970,МИ ФНС РФ № 8 по Иркутской области ,А 224199                                      рег.№ 8                    от 19.05.08            по 19.05.2013,"Усольский район, заимка Новоясачная                                         1.  магазин «Удачный»",,,,,,
28,ООО «Сказка»        ИНН 3819020630,МИ ФНС РФ № 8 по Иркутской области ," А224215                              рег. № 6                               от 04.03.09                                по 04.03.2014                                переоформлена           А 224235                               рег. №5
от 25.05.2010
по 04.03.2014","Усольский район д. Большежилкина, ул. Трактовая, 4а                                                               1. магазин «Сказка»", ,,,,,
29,ООО «Маяк»                                       ИНН 3819019480,МИ ФНС № 8 по Иркутской области и УОБАО,А 224217                               рег. №7                  от 23.03.09                  по 23.03.2014,"Усольский район, с. Сосновка, ул. Лесная,1                                                1. кафе «Байк»",,,,,,
30,ООО «Зодиак»         ИНН 3819021182,МИ ФНС РФ № 8 по Иркутской области  ,"А224218                               рег. № 8              от 03.04.09         по 03.04.2014  Переоформлена А 224220                               рег. №10
от  15.07.09
по 03.04.2014  Переоформлена А 224286                                рег. №27                                от 14.11.2011                                 по 03.04.2014 ","Усольский район:                    п. Мишелёвка,
 переулок Бельский,6
1. магазин «Солнечный»;
п. Мишелёвка, ул. Гайдара,21-63
2. магазин «Центральный»         г. Усолье-Сибирское: пр-т Химиков,              3. магазин ""Моя семья""",,,,,,
31,ООО «Рост-Инвест+»                 ИНН 3819020686,МИ ФНС РФ № 8 по Иркутской области  ,А 224222                              рег. №12                   от 28.09.09                  по 28.09.2014,"Усольский район, п. Тельма, ул. Крупской,28                                     1. кафе - «Позная»",,,,,,
32,ООО «СтепНик»                                 ИНН 3819021930,МИ ФНС РФ № 8 по Иркутской области  ,А 224223  рег.№13               от 07.10.09                  по 07.10.2014,"Усольский район, п. Тайтурка, ул. Победы, 5 «а»                                         1. магазин «Саяны»",,,,,,
33,Усольское райпо                                          ИНН 3840000026,,"А224227                            рег.№ 16                  от 11.12.09         по 11.12.14 переоформлена                                               А 224243       рег.№ 16
от 16.11.2010
по 11.12.2014 переоформлена А 224292                            рег. № 1                     от 18.01.2012               по 11.12.2014","с. Биликтуй, ул. Советская,39        1. магазин № 2",,,,,,
,,,,"д. Бадай, ул. Набережная,7-1       2. магазин № 3",,,,,,
,,,,"р.п. Мишелёвка, ул. Войкова,12          3. магазин № 4",,,,,,
,,,,"с. Холмушино, ул. Набережная, 67 «а»                                                        4. магазин № 5",,,,,,
,,,,"д. Буреть, ул. Ангарская,3                                 5. магазин № 6",,,,,,
,,,,"п. Железнодорожный, ул. Юбилейная,12                                   6. магазин № 7",,,,,,
,,,,"7. магазин № 8 с. Сосновка, ул. Победы,5",,,,,,
,,,,"р.п. Мишелёвка, ул. Ленина,13         8. магазин № 9",,,,,,
,,,,"р.п. Тайтурка, ул. Калинина,70           9. магазин № 10",,,,,,
,,,,"10. магазин № 11 р.п. Тайтурка, ул. Ленина,2; ",,,,,,
,,,,"11. магазин № 12 с. Хайта, ул. Лазо,1 «а»",,,,,,
,,,,"12. магазин № 13 р.п. Тайтурка, ул. Ломоносова,13",,,,,,
,,,,"13. магазин № 14 р. п. Тельма, ул. Крупской,2 «Г»;",,,,,,
,,,,"14. магазин № 15 р.п. Белореченский,120",,,,,,
,,,,"15. магазин № 16  р.п. Белореченский,39",,,,,,
,,,,"16. магазин № 17 р.п. Мишелёвка, ул. Лесная,17",,,,,,
,,,,"17. магазин № 18  р.п. Тельма, ул. Ленина,22",,,,,,
,,,,"18. магазин № 19 р.п. Мишелёвка, ул. Горького,2",,,,,,
34,ООО «Телец»         ИНН 3819022683,МИ ФНС РФ № 8 по Иркутской области  ,"А224233 рег.№ 2 от 08.02.10                                                по 08.02.15 переоформлена                          А 224236 рег.№6               от  11.06.10.  
по 08.02.15 г.
","Усольский район р.п. Тайтурка, ул. Нефтебазовская,20                             1. магазин «Телец» г. Усолье-Сибирское, проспект Космонавтов,44-4,                                      2. магазин ""Телец""",,,,,,
35,ООО «Респект»                                                              ИНН 3819023214,МИ ФНС РФ № 8 по Иркутской области  ,"А 224237                               рег. №7
 от 13.05.2010
по 13.05.2011 Продлена           от 14.052011      по 13.05.2012","Усольский район п. Новомальтинск, квартал-4, дом 2-18                                                              1. отдел в магазине «Новый»",,,с 14.05.2012,,,
36,ООО «Волна»                 ИНН 3812125802,МИ ФНС РФ № 17 по Иркутской области,А 224293                                     рег. № 2   ,Отделы в магазинах на территории Иркутской области:,,,,,,
,,,,,,,,,,
,,,от 23.01.12                                по 22.01.17,"1. г. Нижнеудинск: ул. Горького, 2А-2; ",,,,,,
,,,Переоформлена,"2. Заларинский р-н, с. Семеновск, ул. 40 лет Победы,42   ",,,,,,
,,,А 224297 ,"Победы,42;",,,,,,
,,,рег. № 8,"3. Черемховский р-н,",,,,,,
,,,от 11.03.2012,"д. Паршевникова, ул. Новая,20;",,,,,,
,,,по 22.01.2017,"4. Аларский р-н, п. Кутулик,",,,,,,
,,,Переоформлена,"у. Рабочая,28а;",,,,,,
,,,А 224302 рег.№13,"5. Аларский р-н, д. Ныгда,",,,,,,
,,,рег. № 13,"ул. Комсомольская,5;",,,,,,
,,,от 15.05.2012 , Иркутский район:,,,,,,
,,,по 22.01.2017,"6. д. Усть-Куда, ул. Урожайная,1А;",,,,,,
,,,,"7. д. Грановщина, ул. Рябиновая,2А;",,,,,,
,,,,"8. г. Иркутск, ул. Розы Люксембург,13.",,,,,,
,,,,"9. г. Нижнеудинск, ул. Профсоюзная,13",,,,,,
,,,,"10. Заларинский р-н, с. Холмогой, ул. Юбилейная,20",,,,,,
,,,,"11. Нижнеудинский р-н, п. Замзор, ул. Центральная,11",,,,,,
,,,,"12. Иркутский р-н, п. Усть-Балей, ул. Дунайская,23а",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,  ,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,      ,,,,,,
,,,,       ,,,,,,
,,,,     ,,,,,,
,,,,,,,,,,
37,"ООО ""Фортуна""                                                   ИНН 3819015799",МИ ФНС № 8 по Иркутской области и УОБАО,А 224288                               рег № 30                               от 23.12.2011                                по 22.12.2016,"Усольский район,                                                                   р.п. Белореченский,110                                                1. магазин ""Фортуна""",,,,,,
38,"ООО ""Соболь""                                    ИНН 3819015823",МИ ФНС № 8 по Иркутской области и УОБАО,А 224290                              рег. № 32                               от 29.12.2011                                по 28.12.2016,"Усольский район,                                                        р.п. Тайтурка, ул. Победы,1   1. магазин",,,,,,
39,"ООО ""Три Льва""                                          ИНН 3851001670",МИ ФНС № 18 по Иркутской области,А 224249            от 18.01.2011                                        по   17.01.2012,"Усольский р-н п. Железнодорожный, ул. Юбилейная,14                                                    1. отдел в магазине ""Рубин""",,,с 18.01.2012,,,
40,"ООО ""Центр+""                                         ИНН 3851004520",МИ ФНС № 18 по Иркутской области,А 224291                               рег. № 33                                от 29.12.2011                                 по 28.12.2012,"Усольский район, р.п. Белореченский,29                                                                 1. отдел в магазине ""Центр""",,,,,,
41,"ООО ""ПОЛИВЕСТ""  ИНН 3819015608",МИ ФНС № 8 по Иркутской области и УОБАО,А 224306                                  рег. № 16                                    от 13.06.2012                                    по 09.02.2017 Взамен А 224301                                  рег. № 12                                    от 10.05.2012                                    по 09.05.2017,"г. Усолье-Сибирское-7, ул. Лесная                                                                                                                                                      1. магазин ""Байк-1""",,,,,,
42,"ООО Паллада""                                              ИНН 3819013618",МИ ФНС № 18 по Иркутской области,А 224295                                      рег. № 5                                от 20.02.2012                                по 19.02.2017,"Усольский район,                                                          р.п. Средний, ул.Трактовая,14 ""Магазин промышленных товаров""                                                     1. магазин ООО ""Паллада""",,,,,,
43,"ООО ""Дивия""                                               ИНН  3851004720",МИ ФНС № 18 по Иркутской области,А 224296                                              рег № 6                                        от  28.02.2012                                        по 27.02.2014,"Усольский район,                                                                       р.п. Тайтурка,                                                    ул. Мичурина, 11А                                                     1. магазин ""Пятерочка""",,,,,,
44.,"ООО ""Три Льва""                                          ИНН 3851001670",МИ ФНС № 18 по Иркутской области,А 224298                               рег. № 9                                        от 13.03.2012                                        по 12.03.2013,"Усольский район,                                п. Железнодорожный,                                                    ул. Юбилейный,14                                                     1. отдел в магазине ""Рубин""",,,,,,
45.,"ООО ""Атлант""                                     ИНН 3819017281",МИ ФНС № 8 по Иркутской области и УОБАО,А 224299                              рег. № 11                                от 09.04.2012                                        по 08.04.2013,"Усольский район, п. Раздолье, ул. Советская,7                                                     1. магазин",,,,,,
46.,"ООО ""Символ""                                    ИНН 3819013569",МИ МНС № 8 по Иркутской области,А 224301                                      рег. № 2                                        от 10.05.2012                                        по 09.05.2017,"Усольский район, р.п. Белореченский, 36-54                                                                                 1. магазин",,,,,,
47.,"ООО ""Респект""                                                             ИНН 3819023214",МИ ФНС № 8 по Иркутской области,А 224303                                      рег. № 14                                         от 28.05.2012                                        по 27.05.2013,"Усольский район,                                                          п. Новомальтинск, квартал 4, д.2-18                                                                   1. магазин",,,,,,
48.,"ООО ""Изумруд""                                                    ИНН 3819018574",МИ ФНС № 8 по Иркутской области,А 224305                                      рег. № 15                                         от 29.05.2012                                 по 28.05.2013  ,"Усольский район, с. Мальта, ул. Победы,13                                                                  1. магазин;                                                                                            г. Усолье-Сибирское, ул. Толбухина, в районе дома № 46                                                                   2. магазин",,,,,,
49,"ООО ""Айсберг""                                           ИНН 3827035654",МИФНС №17 по Иркутской области,АН 00784Пр3     от 10.12.2010     по 09.12.2015  переоформлена АН 00784Пр6                                        от 24.02.2012,"Усольский р-н, р.п. Тайтурка, ул. Подеды,1           1. отдел в магазине                                                     не осуществляется деятельность по указанному адресу",,,с 24.02.2012,,Администрация           г. Иркутска,
50,"ООО ""Женаида""                                           ИНН 3819022958",МИ ФНС №8 по Иркутской области ,А 221948          рег. № 193          от 31.05.2011     по 28.12.2014,"Усольский р-н, р.п. Белореченский,63-1              1. отдел в магазине ""Женаида""",,,7/11/2012,,Администрация МО     г. Усолье-Сибирское,
51,"СХОАО  ""Белореченское""                                             ИНН 3840001848",МИ МНС России     № 8,А 167709 рег.№11-11         от 21.07.2011     до 18.02.2012,"Усольский р-н,                    р.п. Белореченский,100Б             1. магазин №7",,,,,Черемховское районное МО,
52,ООО «Старт»       ИНН 3812120956,МИ ФНС РФ № 17 по Иркутской области,"АН 00636ПР19 
от 06.12.2010
срок 
с 30.04.2009
по 29.04.2014","Усольский район, п. Тельма, ул. Крупская,7
1. отдел в магазине «Продукты»;
Усольский район,
с. Большая – Елань, 
ул. Поргачёва,28
2. отдел в магазине;
Усольский район,
п. Мишелёвка, ул. Лесная, 6
3. отдел в магазине «Калинка»;",,,12/6/2011,,Администрация г. Иркутска,
53,ООО «Кедр»                                                          ИНН 3819015598,МИ ФНС РФ № 8 по Иркутской области,А 221987                                                      рег № 223                 от 14.03.12                по 13.03.2013,"Усольский район, п. Тельма, ул. Горького, 9                                           1. магазин «Кедр»",,,,,Администрация  МО г. Усолье-Сибирское,
54,ООО «Ветер»                                      ИНН 3812122167,МИ ФНС РФ № 17 по Иркутской области,"Г 888805
рег. № 33
 от 25.11.2010
по 13.10.2014","Усольский  район р.п. Тайтурка,
 ул. Калинина,16 а
1. отдел в магазине «Визит»
р.п. Тайтурка, ул. Пеньковского,21
2. отдел в магазине
р.п. Тайтурка, ул. Тюнева, 102-11
3. отдел в магазине;
с. Мальта,  ул. Кирова,28 «А»
4. отдел в магазине
с. Мальта, ул. Красноармейская, 18А
5. отдел в магазине;
с. Мальта, ул. Рабочая, 1А
6. отдел в магазине;
р.п. Тельма, ул. Фабричная, 5-18
7. отдел в магазине;
р.п. Тельма, ул. Совхозная, 14
8. отдел в магазине;
р.п. Средний, ДОС- 8
9. отдел в магазине",,,,,Администрация Шелеховского МО,
55,ООО «НИКА»         ИНН 3801091421 ,МИ ФНС РФ г. Ангарск ,"А 167412
рег. № 58
 от 11.08.2010
срок, указанный в лицензии
 с 28.12.2007
 до 28.12.2012
","Усольский  район р.п. Тайтурка, ул.  Мичурина,11 а                        1. отдел в магазине «Пятёрочка»",,,с 03.02.2012,,Администрация Ангарского МО,
56,ОАО «Продтовары» ИНН 3819000344,МИ ФНС РФ № 8 по Иркутской области,"А 221928
рег. № 173
от 08.11.2010
по 28.12.2014","Усольский  район р.п. Тельма, ул. Королева,2                                      1. магазин № 7",,,,,Администрация  МО г. Усолье-Сибирское,
57,"ООО ""РоманТиК"" ИНН 3812123717",МИФНС №17 по Иркутской области,АН00699Пр7 от 27.04.2011,"Усольский р-н, п. Средний около дома № 34                   1. отдел в павильоне""Визит""",,,,,Администрация           г. Иркутска,
58,"ООО ""Арктика""                                   ИНН 3812133641",МИ ФНС № 17 по Иркутской области,А 201055                                  рег. 239                                     от 07.06.2012                                    по 07.02.2014,"Усольский район, д. Буреть, ул. Набережная,30а                                                                                  1. магазин;                                                                                                     с. Мальта, ул. Красноармейская, 8а   2. продовольственный магазин",,,,,Администрация МО     г. Усолье-Сибирское,
59,ООО «Эпсилон»                                           ИНН 3819010141,МИ ФНС №8 по Иркутской области и УОБАО,"А 221935
рег. № 180 
от 22.12.2010
по 21.06.20111 ","Усольский  район р.п. Белореченский, 100В                           1. магазин «Для Вас»",,,,,Администрация  МО г. Усолье-Сибирское,
60,"ООО Инвест плюс""                                        ИНН  3811113402",ИФНС г. Иркутск Октябрьский р-н,АН00642Пр от 29.12.2010 по 19.05.2014,"Усольский р-н р.п. Тельма, ул. Крупской,11а",,,,,Админстрация г.Иркутск,
,,,,"1.магазин ""Солнечный""",,,,,,
61,"ООО ""Кит""                                            ИНН 3819017027"," Иркутская область, Усольский район,                                                      п. Октябрьский, ул. Октябрьская, д.21",А 224307                                  рег. № 18                                    от 14.06.2012                                    по 13.06.2013,"Усольский район, п. Октябрьский,                                                                                      ул. Октябрьская,21                                                                                 1. отдел в магазине;                                                                                 п. Раздолье, ул. Мира, д.64                                                                                 2. магазин смешанных товаров ",,,,,,
62,"ООО ""Жасмин""                                                              ИНН 3851003526","Иркутская область, Усольский район,                                                               с. Сосновка, ул. Мира,1-20",А 224309                                  рег. № 20                                     от 15.06.2012                                    по 14.06.2013,"Усольский район, с. Сосновка,                                                                                            ул. Мира, д.1-20                                                                                  1. магазин смешанных товаров",,,,,,
63,"ООО ""Багира""                                           ИНН  3819018503","Иркутская область, Усольский район, с. Сосновка, ул. Дорожная,1",А 224310                                           рег. № 21                                    от 22.06.2012                                    по 21.06.2013,"Усольский район, с. Сосновка,                                                                                            ул. Трактовая,37                                                                   1. магазин ""Багира""                                                                                                                                                                                                                                                                      ",,,,,,
64,"ООО ""Фортуна""                                               ИНН 3801083011"," Иркутская область, г. Ангарск, 7 микрорайон, д.Г кв.72",А 224313                                  рег. № 23                                    от 25.06.2012                                    по 24.12.2012,"Усольский район, с/ Наладчик                                                                                             1. магазин",,,,,,
65,"ООО ""Роскомальянс""                                   ИНН 3819011360","Иркутская область, Усольский район, п. Тальяны, ул. 60 лет Октября,7",А 224314                                  рег. № 24                                    от 25.06.2012                                    по 24.06.2013,"Усольский район, п. Тальяны,                                                                             ул. Центральная,2                                                                                1. магазин ""Продукты""",,,,,,
66,"ООО ""Адамант+""                                           ИНН  3819016619","Иркутская область, г. Усолье-Сибирское-7,                                             ул. Бурлова,42",А 201057                                  рег. № 242                                    от 13.06.2012                                             по 12.10.2012,"Усольский район, р.п. Тельма,                                                                                            ул. Крупской,22а                                                                                                  1. магазин ""Продукты""                                                                                                                                                                                                                                                      ",,,,,Администрация МО                     г. Усолье-Сибирское,
67,"ООО ""ШиК""                                               ИНН 3851001470","Иркутская область, Усольский район, с. Раздолье, ул. Советская,8",А 224312                                  рег. № 29                                    от 19.07.2012                                    по 18.07.2013,"Усольский район, п. Раздолье, ул. Советская, д.8-2                                                                                 2. магазин продовольственных товаров",,,,,,
