,,,,,,,,
,№ ,№ ,Организация,Вид ,Место действует,,Местонахождение,ИНН
,Е 004237,РА-0381/11," ООО ""Дайнер"" ОГРН 1025402472919",Действует,01.07.11,30.06.12,"г.Новосибирск, Красный проспект, 37",5406239511
,Е 004314,РА-0454/11," ООО ""Бир Мастер"" ОГРН 1115476019845",Действует,22.07.11,21.07.12,"г.Новосибирск, Красный проспект, 37",5406660448
,Е 004380,РА-0546м/10," ООО ""Конквест Хант"" ОГРН 1045402484270",Действует,24.09.11,23.09.12,"г.Новосибирск, Красный проспект, 37   Аэп: master@stonehouse.ru",5406284120
,Е 004367,РА-0518м/10," ООО ""Конквест Сафари"" ОГРН 1035402484864",Действует,12.09.11,11.09.12,"г.Новосибирск, Красный проспект, 37  Аэп: yurtaeva.nsk@mail.ru",5406252840
,Е 001989,РА-563/09," ООО ""МиВЗ"" ОГРН 1025402462755",Действует,21.06.09,20.06.12,"г.Новосибирск, Красный проспект, 50",5406167345
,Е 003721,РА-0721м/10," ООО ""Байкал Бизнес Групп"" ОГРН 1057746711406",Действует,11.12.10,10.12.13,"г.Новосибирск, Красный проспект, 50",7735511300
,Е 002631,РА-1020/09," ООО ""Винотека"" ОГРН 1035402483038",Действует,07.09.09,06.09.12,"г.Новосибирск, Красный проспект, 51",5406252022
,Е 004053,РА-0201/11," ООО ""Кремона"" ОГРН 1025402462656",Действует,22.04.11,21.04.12,"г.Новосибирск, Красный проспект, 51/2",5406144644
,Е 004034,РА-0183/11," ООО ""Юпитер-К"" ОГРН 1035402453371",Действует,16.04.11,15.04.14,"г.Новосибирск, Красный проспект, 57",5406156400
,Е 002958,РА-1328/09," ООО ""Рестораны, бары, кафе"" ОГРН 1035402503124",Действует,08.12.09,07.12.12,"г.Новосибирск, Красный проспект, 6",5406260552
,Е 004160,РА-0305/11," ООО ""Приоритет"" ОГРН 1065406151502",Действует,05.06.11,04.06.14,"г.Новосибирск, Красный проспект, 6",5406358276
,Е 003827,РА-0828м/10," ООО ""ДРЦ"" ОГРН 1025402475482",Действует,04.01.11,03.01.14,"г.Новосибирск, Красный проспект, 6",5407212537
,Е 004462,РА-631/08," ООО РЦ ""Акватория"" ОГРН 1045402480089",Действует,10.11.11,09.11.14,"г.Новосибирск, Красный проспект, 6   Аэп: Akvatoriya@ngs.ru",5406283052
,Е 004292,РА-0433/11," ФГУ ""Дом офицеров Новосибирского гарнизона"" Минобороны России ОГРН 1025402480400",Действует,15.07.11,14.07.12,"г.Новосибирск, Красный проспект, 63",5406012260
,Е 004114,РА-0259/11," ООО ""Старая Прага"" ОГРН 1025402468761",Действует,18.05.11,17.05.12,"г.Новосибирск, Красный проспект, 64",5406194973
,Е 003063,РА-0088/10," ООО ""Хабир"" ОГРН 1025402462140",Действует,20.02.10,19.02.12,"г.Новосибирск, Красный проспект, 65",5406115379
,Е 002968,РА-1337/09," ООО ""Голубая лагуна 1"" ОГРН 1025402481543",Действует,17.12.09,16.12.11,"г.Новосибирск, Красный проспект, 65",5406209531
,Е 004240,РА-0384/11," ООО ""ПивКом""  ОГРН 1095406022546",Действует,02.07.11,01.07.13,"г.Новосибирск, Красный проспект, 66",5406538543
,Е 004174,РА-0310/11," ООО ""Бонни и Клайд"" ОГРН 1105476011640",Действует,06.06.11,05.06.14,"г.Новосибирск, Красный проспект, 66",5406632088
,Е 004261,РА-0404/11," ЗАО ""Компания МНК"" ОГРН 1035402461731",Действует,06.07.11,05.07.12,"г.Новосибирск, Красный проспект, 72",5406161696
,Е 002462,РА-1464/09," ООО ""Вкусмастер"" ОГРН 1095406017970",Действует,31.12.09,30.12.12,"г.Новосибирск, Красный проспект, 77б",5406533979
,Е002399,РА-1403/09," ООО ""ТЕРРА-1"" ОГРН 1085402020758",Действует,24.12.09,23.12.11,"г.Новосибирск, Красный проспект, 81",5402504374
,Е 004275,РА-0417/11," ООО ""ТЕРРА-8"" ОГРН 1095402008008",Действует,12.07.11,11.07.12,"г.Новосибирск, Красный проспект, 81",5402513925
,Е 004085,РА-0233/11," ООО ""ТЕРРА-9"" ОГРН 1105402003475",Действует,29.04.11,28.04.12,"г.Новосибирск, Красный проспект, 81",5402524846
,Е 003753,РА-0756м/10," ООО ""Надежда - Плюс 1"" ОГРН 1025401012780",Действует,25.12.10,24.12.11,"г.Новосибирск, Красный проспект, 85",5402154592
,Е 003589,РА-0593м/10," ООО ""Погребок"" ОГРН 1045402488471",Действует,18.10.10,17.10.13,"г.Новосибирск, Красный проспект, 86",5406285405
,Е 004442,РА-0624м/10," ООО ""Австерия"" ОГРН 1075402016128",Действует,29.10.11,28.10.12,"г.Новосибирск, Красный проспект, 99   Аэп: tf@argentinо.ru",5402487104
,Е 002295,РА-835/09," ЗАО ""Санаторий Ревиталь Парк""",Действует,08.07.09,07.07.12,"г.Новосибирск, Лесное шоссе, 1",5402486157
,Е 003179,РА-0203/10," ЗАО ""ПКК ""КАЛИБР"" ОГРН 1025401492654",Действует,16.04.10,15.04.13,"г.Новосибирск, микрорайон Горский, 3, кв.40",5404106812
,Е 003709,РА-0712м/10," ООО ""Форум"" ОГРН 1105476023366",Действует,06.12.10,05.12.11,"г.Новосибирск, микрорайон Горский, 42",5404415730
,Е 002015,РА-584/09," ООО ""Подсолнух"" ОГРН 1065404087650",Действует,30.06.09,29.06.12,"г.Новосибирск, микрорайон Горский, 53",5404279131
,Е 003934,РА-0089/11," ООО ""Примма"" ОГРН 1095404013770",Действует,03.03.11,02.03.12,"г.Новосибирск, микрорайон Горский, 67, оф.11",5404393613
,Е 003883,РА-0039/11," ООО ""ДиЛена"" ОГРН 1095404020370",Действует,08.02.11,07.02.13,"г.Новосибирск, микрорайон Горский, 78",5404400589
,Е 001809,РА-390/09," ООО ""Теремок"" ОГРН 1095404005157",Действует,30.04.09,29.04.12,"г.Новосибирск, микрорайон Горский, 82",5404384866
,Е 003926,РА-0081/11," ООО ""Удача"" ОГРН 1095404008688",Действует,01.03.11,28.02.13,"г.Новосибирск, микрорайон Горский, 86",5404388638
,Е 001718,РА-301/09, Учреждение Российской академии наук Дома ученых Сибирского отделения РАН ОГРН 1025403650590,Действует,13.04.09,12.04.12,"г.Новосибирск, Морской проспект, 23",5408125196
,Е 003951,РА-0105/11," ООО ""Экон"" ОГРН 1095473000920",Действует,16.03.11,15.03.12,"г.Новосибирск, Морской проспект, 26",5408268927
,Е 002689,РА-1073/09," ООО ""Кубанские Вина Бердск"" ОГРН 1095473005902",Действует,29.09.09,28.09.12,"г.Новосибирск, Морской проспект, 3, кв.5",5408272666
,Е 004133,РА-0278/11," ООО ""Стар"" ОГРН 1075405011307",Действует,24.05.11,23.05.14,"г.Новосибирск, Морской проспект, 54",5405342890
,Е 003050,РА-0077/10," ООО ТФ ""Дубрава"" ОГРН 1025403639337",Действует,09.02.10,08.02.13,"г.Новосибирск, Морской проспект, 54",5408102030
,Е 002758,РА-1138/09," ООО ""Роспродукт"" ОГРН 1065402017340",Действует,19.10.09,18.10.12,"г.Новосибирск, Мочишенское шоссе, 16",5402463382
,Е 003865,РА-0021/11," ООО ""Риони"" ОГРН 1105476020858",Действует,28.01.11,27.01.12,"г.Новосибирск, Мочищенское шоссе, 19",5402527212
,Е 004311,РА-0451/11," ООО ""Арситэк"" ОГРН 1075402006140",Действует,25.07.11,24.07.12,"г.Новосибирск, Мочищенское шоссе, 7а",5402157152
,Е 004260,РА-0403/11," ООО ""Солди"" ОГРН 1115476065792",Действует,06.07.11,05.07.14,"г.Новосибирск, Октябрьская магистраль, 4, оф.1604",5406671947
,Е 004163,РА-0308/11," ООО ""Теремок"" ОГРН 1025401307348",Действует,03.06.11,02.06.12,"г.Новосибирск, пер. 2-ой Бронный, 27а",5403113180
,Е 002887,РА-1261/09," ООО ""ЖелДорСиб-Гранд"" ОГРН 1055407154120",Действует,20.11.09,19.11.12,"г.Новосибирск, пер.Бурлинский переезд, 84а",5407011333
,Е 003489,РА-0500м/10," ООО СОК ""Раздолье"" ОГРН 1065401099785",Действует,04.09.10,03.09.12,"г.Новосибирск, пер.Воронежский, 16/1",5401275523
,Е 003979,РА-0129/11," ООО ""Сабвэй Сибирь"" ОГРН 1075401016305",Действует,28.03.11,27.03.12,"г.Новосибирск, пер.Воронежский, 16/1",5401294974
,Е 003274,РА-0293/10," ООО ""Дионис Клуб"" ОГРН 1025403904899",Действует,01.06.10,31.05.13,"г.Новосибирск, пер.Комбинатский, 3",5410145104
,Е 001701,РА-289/09," ООО ""Светлана"" ОГРН 1065410006683",Действует,10.04.09,09.04.12,"г.Новосибирск, пер.Краснодонский 2-й, 5",5410005435
,Е 002334,РА-874/09," ООО ""Семь Пятниц"" ОГРН 1025401308767",Действует,17.07.09,16.07.12,"г.Новосибирск, пер.Обской, 41",5403155278
,Е 004332,РА-0471/11," ООО ""Алгос-Фудс"" ОГРН 1105404001614",Действует,02.08.11,01.08.12,"г.Новосибирск, пл.К.Маркса, 3",5404407129
,Е 003356,РА-0373м/10," ООО ""СитиТорг"" ОГРН 1095404025210",Действует,02.07.10,01.07.13,"г.Новосибирск, пл.К.Маркса, стр.3",5404405516
,Е 004195,РА-0327/11," ООО ""ЦПТ Сервис"" ОГРН 1045402460400",Действует,15.06.11,14.06.14,"г.Новосибирск, пл.Труда, 1 офис 801",5406276070
,Е 003077,РА-0102/10," ООО ""Беллиссимо"" ОГРН 1055473121703",Действует,28.02.10,27.02.13,"г.Новосибирск, пр.Академика Лаврентьева, 4",5408237541
,Е 001705,РА-293/09," ООО ""Премиум"" ОГРН 1055401124558",Действует,11.04.09,10.04.12,"г.Новосибирск, пр.Дзержинского, 1/4",5401253047
,Е 003354,РА-0371м/10," ООО ""АЛС"" ОГРН 1025400534433",Действует,08.07.10,06.07.13,"г.Новосибирск, пр.Дзержинского, 10/1",5401130084
,Е 002090,РА-658/09," ООО ТД ""Сибирская снедь"" ОГРН 1065401044972",Действует,30.06.09,29.06.12,"г.Новосибирск, пр.Дзержинского, 12",5401264585
,Е 001964,РА-539/09," ООО ""Царская охота"" ОГРН 1095401003653",Действует,08.06.09,07.06.12,"г.Новосибирск, пр.Дзержинского, 12/1",5401324121
,Е 002458,РА-1460/09," ООО ""АЛАР-КО"" ОГРН 1055401110940",Действует,30.12.09,29.12.12,"г.Новосибирск, пр.Дзержинского, 127",5401251346
,Е 003850,РА-0006/11," ООО ""Назим"" ОГРН 1065401094923",Действует,22.01.11,21.01.12,"г.Новосибирск, пр.Дзержинского, 127",5401270927
,Е 004052,РА-0200/11," ООО ""Сибирские клубные системы"" ОГРН 1115476009110",Действует,19.04.11,18.04.12,"г.Новосибирск, пр.Дзержинского, 2",5401343903
,Е 003986,РА-0136/11," ООО ""ФЕНИКС"" ОГРН 1035400526776",Действует,30.03.11,29.03.12,"г.Новосибирск, пр.Дзержинского, 22",5401211181
,Е 003919,РА-0074/11," ООО ""Магистраль"" ОГРН 1095401000540",Действует,01.03.11,29.02.12,"г.Новосибирск, пр.Дзержинского, 28/1",5401320896
,Е 003120,РА-0150/10," ООО ""Маркет"" ОГРН 1055406393668",Действует,27.03.10,26.03.13,"г.Новосибирск, пр.Дзержинского, 28/1",5406334324
,Е 001958,РА-532/09," ООО ""Премио"" ОГРН 1065401082900",Действует,09.06.09,08.06.12,"г.Новосибирск, пр.Дзержинского, 30",5401266021
,Е 004206,РА-0350/11," ООО ""СЛАСТИ"" ОГРН 1115476027743",Действует,17.06.11,16.06.14,"г.Новосибирск, пр.Дзержинского, 30",5401345139
,Е 004005,РА-0154/11," ООО ""Сибкомплект"" ОГРН 1055401108993",Действует,04.04.11,03.04.12,"г.Новосибирск, пр.Дзержинского, 30/1",5401250871
,Е 002731,РА-1112/09," МУП ""Гостиница ""Северная""",Действует,12.10.09,11.10.12,"г.Новосибирск, пр.Дзержинского, 32",5401101333
,Е 002760,РА-1140/09," ООО ""Примус"" ОГРН 1035400537402",Действует,21.10.09,20.10.12,"г.Новосибирск, пр.Дзержинского, 4",5401216366
,Е 003042,РА-0071/10," ООО ""РиК"" ОГРН 1095401007514",Действует,28.01.10,27.01.13,"г.Новосибирск, пр.Дзержинского, 4",5401327490
,Е 004518,РА-677/08," ООО ""Виза"" ОГРН 1055401117463",Действует,27.11.11,26.11.12,"г.Новосибирск, пр.Дзержинского, 5.   Аэп: viza49@mail.ru",5401252371
,Е 003034,РА-0063/10," ООО ""Хмель"" ОГРН 1095401006183",Действует,28.01.10,27.01.13,"г.Новосибирск, пр.Дзержинского, 6",5401326707
,Е 001272,РА-757/08," ООО ""Кедр"" ОГРН 1085401022464",Действует,15.12.08,14.12.11,"г.Новосибирск, пр.Дзержинского, 61",5401317460
