"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО город Усть-Илимск",,,,,,,,,
по состоянию на 1 авнуста 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
10,"ООО ""Вектор Т""                                                                                                                                                                                                    ИНН 3805709370",МИ ФНС № 15 по Иркутской области,Лиц 178969 23/09/2011 24/09/2011 - 23/04/2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"винно-водочный отдел в магазине ""Продукты""                                                                                                                                                                   ул. Карла Маркса, д.49 н.п. 143а                                                                                                                                                                                  винно-водочный отдел в магазине ""БиКо""                                                                                                                                                                           ул. Братская,58б
винно-водочный отдел в магазине ""Иркутянка""
ул. Героев Труда, д.33, н.п. 64
винно-водочный отдел в магазине ""Иркутский""
пр. Мира,44а
винно-водочный отдел в магазине ""Иркут +""
ул. Белградская,6А 
в/в отдел в павильоне ООО ""Рынок-Коробейники"" 
(места №2, № 24)
ул. Ленина,4б
в/в отдел в кофейне ""Комильфо"" 
пр. Мира,23, н.п. 28
в/в отдел торгового места № 1 ТЦ ""Радуга"" 
ул. Энтузиастов,11
в/в отдел в магазине ""Шарм"" 
ул. Наймушина, д.20, н.п. 124 
в/в отдел в магазине ""Фаворит 2"" 
ул. Мечтателей,42 

",,,,,"администрация муниципального образования ""Усть-Илимский район"""
11,"ООО ""Гамыра""                                                                                                                                                                                                                                                                                                                  ИНН 3817039963",МИ ФНС № 9 по Иркутской области,Лиц А 242487 03/05/2012 03/05/2012 - 02/05/2013,"винно-водочный отдел магазина ""Хороший""                                                                                                                                                             Усть-Илимский район, п. Эдучанка,                                                                                                                                                                             ул. Королева, д.13, н.п. 1",,,,,
12,"ООО ""Дионис""                                                                                                                                          ИНН 3817028915",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174841 28/06/2006                                                                                                                                                                            01/07/2006 - 30/06/2011                                                                                                                                                                                   продлена до 01/07/2014,"Магазин ""Дионис""                                                                                                                                                                                       пр.Мира,15-1",,,,,
13,"ООО ""Европа""                                                    ИНН 3817029330",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 242483 28.12.2011                                                                                                                                                                                                    28/12/2011 - 27/07/2012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"магазин ""Европа плюс""                                                                                                                                                                                   Тушамская лесовозная дорога                                                                                                                                                                            район Тушамского КПП                                                                                                                                                                                 магазин ""Европа плюс""                                                                                                                                                                                                  ул. Булгакова,2, нп.91                                                                                                                                                                                     магазин ""Европа плюс""
ул. Мечтателей,56, н.п.70
магазин ""Фиалка"" ДНТ ""Фиалка""
ул. Центральная
в/в отдел магазина ""Арегва""
ул. Белградская,12
кафе ""Анели"" 
проспект Мира д.38А н.п. 1",,,с 28.07.2012г.,,
14,"ООО ""Жарок""                                                                                                                                                                                                   ИНН 3817035180 ",МИ ФНС №9 по Иркутской области ,Лиц А 174958 15/05/2009                                                                                                                                                                            15/05/2009-14/05/2014,"магазин продовольственных товаров                                                                                                                                       некоммерческое товарищество ""Коммунальник"", улица № 5",,,,,
15,"ООО ""ЗИМа""                                                                          ИНН 3817029387",МИ ФНС №9 по Иркутской области и УОБАО,Лиц 242481 15/12/2011                                                                                                                                                                                              15/12/2011 - 29/06/2016                                                                                                                                                                                                   ,"магазин ""Сибирское пиво""                                                                                                                                                                               ул.Героев Труда,23а                                                                                                                                                                                           магазин ""Сибирское пиво""                                                                                                                                                                              пр.Дружбы Народов,16 ""б""                                                                                                                                                                                магазин ""Наш Гастронгомчик""                                                                                                                                                                                      ул. Карла Маркса, д.31, н.п. 66",,,,,
16,"ООО ""Изобилие""                                                                                                                                        ИНН 3817029316",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174981 21/12/2009                                                                                                                                                                         21/12/2009 - 09/08/2011                                                                                                                                                                                 продлена до 09/08/2016                                                                                                                                                                                   ,"магазин ""Любава""
ул. Братская,32а
магазин ""Заря"" 
ул. Интернационалистов,8
магазин ""Дали""
ул. 40 лет Победы, дом 3 н.п.3
магазин ""Заря"" 
ул. Молодежная, д.26 н.п.120",,,,,
17,"ООО ""Илимхлебосол""                                                                                                                                ИНН 3817026347",МИ МНС России № 9 по Иркутской области,Лиц А 174987 17/02/2010                                                                                                                                                                                18/02/2010 - 17/02/2015,"кафе ""Надежда""                                                                                                                                                                                    Промплощадка ЛПК в здании ИЛПП-1                                                                                                                                                                                        ",,,,,
18,"ООО ""Империя""                                                                                                                                     ИНН 3817028150", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174829 31/03/2006                                                                                                                                                                                                                                                                      01/04/2006 - 31/03/2011 продлена до 31/03/2017,"магазин ""От А до Я""                                                                                                                                                                                             ул. Героев Труда,39                                                                                                                                                                                           магазин ""Домовой""                                                                                                                                                                                              ул. Героев Труда,33 н.п.204",,,,,
19,"ООО ""ИРКУТ""                                                                                                                                             ИНН 3817029450", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 242482 28/12/2011                                                                                                                                                                                    28/12/2011 - 27/10/2012                                                                                                                                                                                                                                                                                                                                                                                      ,"бар ""Абриколь""                                                                                                                                                                                                            ул. Героев Труда, дом 57",,,,,
20,"ООО ""Каспий""                                                                                                                                                      ИНН 3817029612",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 178961 30/12/2010 31/12/2010 - 03/08/2011                                                                                                                                         продлена до 03/08/2016                                                                                                                                              ,"закусочная ""Стопкас"" 
Усть-Илимское шоссе,4/1",,,,,"администрация муниципального образования  ""Усть-Илимскийрайон"""
21,"ООО ""Кодру""                                                ИНН 3817027799",МИ ФНС России № 9 по Иркутской области и УОБАО,Лиц А 244976 26/11/2010 26/11/2010 - 16/01/2011  продлена до 16/01/2016                                                                                                                                                         ,"в/в отдел магазина ""У трамвая""                                                                                                                                                                          ул. Молодежная,2б                                                                                                                                                                                        магазин ""Кодру""                                                                                                                                                                                                 ул. Молодежная,2а",,,,,
22,"ООО ""Копейка Плюс""                                                                                                                                ИНН 3817028182",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174956 20/04/2009                                                                                                                                                                                                    20/04/2009 - 23/05/2011 продлена до 23/05/2016,"магазин ""Копейка""
ул. Федотова,4 н.п.65                                                                                                                                                                                              магазин ""Копейка""                                                                                                                                                                                                  пр. Дружбы Народов, № 94а
магазин ""Эльф""
пр. Дружбы Народов,44а
магазин ""Весна"" 
ул. Героев Труда,3 н.п. 199А
",,,,,
23,"ООО ""Костин ЛТД""                                                                                                                                                                                               ИНН 3817034429                                                                                                                                 ",МИ ФНС №9 по Иркутской области ,Лиц 244982 15/12/2010 15/12/2010 - 14/12/2013                                                                                                                                                                                       ,"магазин ""Татьяна"" 
ул. Рабочая,6а
магазин ""Димыч""
ул. Наймушина,2д
магазин ""Сибирский""
ул. Братская,58а
магазин ""Славянский""
ул. Ленина, д.4А 
магазин ""Столичный""
пр. Мира,50а
магазин ""Абсолют""
ул. Мечтателей,9к
магазин ""Елочка""
ул. Юбилейная,8
магазин ""Зевс"" 
ул. Белградская, д.13А 
магазин ""Айна""
Братское шоссе,д.11 н.п.206
магазин ""Универсам""
ул. Чайковского,д.2 н.п.89
магазин ""Десятый""
пр.Мира,74а                                                                                                                                                                                                   магазин ""ПИВО""                                                                                                                                                                                                    пр. Мира, д.21, н.п. 1",,,,,
24,"ООО ""КРЕПОСТЬ ИЛИМ""                                                                                                                                                                                ИНН 3805712380",МИ ФНС № 15 по Иркутской области,Лиц 244993 20/07/2011                                                                                                                                                                                     21/07/2011 - 03/07/2012                                                                                                                                                                                   взамен Лиц А 244989 04/07/2011                                                                                                                                                                           04/07/2011 - 03/07/2012,"винно-водочный отдел магазина                                                                                                                                                                            ул. Островского, д.28                                                                                                                                                                                                  винно-водочный отдел магазина,                                                                                                                                                                                ул. Усть-Илимское шоссе, д.9                                                                                                                                                                               винно-водочный отдел в кафе ""Золотая корона""                                                                                                                                                                          ул. Федотова, д.4б",,,04.07.2012г.,,
25,"ООО ""ЛАВР""                                                                                                                                             ИНН 3817028111",МИ ФНС России №9 по Иркутской области и УОБАО,Лиц А 174833 23/05/2006                                                                                                                                                                              24/05/2006 - 23/05/2011 продлена до 24/05/2014,"магазин ""Мечта""                                                                                                                                                                                                    ул. Энтузиастов,15а                                                                                                                                                                                                        магазин ""Илим""                                                                                                                                                                                                      пр. Дружбы Народов,4а",,,,,
26,"ООО ""Лавр""                                                                                                                                             ИНН 3817022504",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174880 14/02/2007                                                                                                                                                                                         15/02/2007 - 11/08/2011                                                                                                                                                                                          продлена до 12/08/2013                                                                                                                                                                                       ,"магазин ""Продукты""                                                                                                                                                                                               ул. Юбилейная,10                                                                                                                                                                                           магазин ""Крестьянка""                                                                                                                                                                                        ул. Корчагина,18",,,,,
27,"ООО ""ЛЕЙЛА""                                                                                                                                           ИНН 3817029348", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174861 11/08/2006                                                                                                                                                                             14/08/2006 - 13/08/2011                                                                                                                                                                                    продлена до 14/08/2012,"кафе ""ЛЕЙЛА""                                                                                                                                                                                                  пр. Мира,71а",,,,,
28,"ООО ""ЛЕМИС""                                                                                                                                                                                                  ИНН 3817034813",МИ ФНС № 9 по Иркутской области ,Лиц А 218470 03/09/2010                                                                                                                                                                                       03/09/2010 - 26/03/2014                                                                                                                                                                                                                                                                                    ,"винно-водочный отдел магазина ""Светлана""                                                                                                                                                                      ул. Крупской,4а                                                                                                                                                                                                          винно-водочный отдел магазина ""Мини-Маркет ""Ива""                                                                                                                                                      ул. 50 лет ВЛКСМ,2б                                                                                                                                                                                                                     винно-водочный отдел магазина ""Север""                                                                                                                                                                    пр. Мира,59, н.п. 75",,,,,
29,"""ООО магазин ""Байкал""                                                                                                                           ИНН 3817011326",МИ МНС России №9 по Иркутской области,Лиц А 244997 27/09/2011                                                                                                                                                                                27/09/2011 - 19/07/2012                                                                                                                                                                                                                                                                     ,"филиал магазина ""Байкал""
ул.Наймушина, дом 32, н.п.127
филиал магазина ""Байкал"" 
ул. Наймушина, дом 36, н.п.124
филиал магазина ""Байкал""
ул. Героев Труда, дом 5, н.п.110",,,с 20.07.2012г.,,
30,"ООО ""Максима""                                                                        ИНН 3817028841",МИ ФНС №9 по Иркутской области и УОБАО,Лиц 242480 25/11/2011                                                                                                                                                                                       25/11/2011 - 19/06/2012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"магазин ""Исток""
пр.Дружбы Народов,78 н.п.101а
магазин ""Земляничка""
пр.Мира,42
магазин ""Сибирь""
ул.Димитрова,22а
магазин ""Восток""
ул.Романтиков,9-77
магазин ""Хороший""
ул.Ленина,8 н.п.91
магазин ""Молодёжный"" 
ул. Молодёжная, д.14 
магазин ""Ангара""  
ул. 50 лет ВЛКСМ, д.32
магазин ""Ленинградский"" 
пр. Мира, д.23
",,,6/20/2012,,
31`,"ООО ""Максимус""                                                                                                                                     ИНН 3817029154",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 242486 06/03/2012                                                                                                                                                                                                                                                  06/03/2012 - 02/07/16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"магазин ""Восторг""                                                                                                                                                                                                                                                     пр.Мира,24                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     магазин ""Новая Эра""                                                                                                                                                                                                                                                     пр.Дружбы Народов,27, н.п.197
магазин ""Романтик""
ул.Романтиков,11а
магазин ""Ольхон""
ул. 40 лет Победы,7а 
магазин ""Берёзка"" 
ул. Мечтателей,56а
магазин ""Удача""
ул. Булгакова,4
магазин ""Салют""
пр. Мира,65 н.п.283
бар комплекса ""Посейдон""
пр. Дружбы Народов, д.25, н.п. 156 
торговый центр ""Дружба""
ул. Наймушина,14

",,,,,
32,"ООО ""Малахит""                                                                                                                                            ИНН 3817027774", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174836 14/06/2006                                                                                                                                                                                    15/06/2006 - 26/12/2010                                                                                                                                                                                       продлена до 27/12/2012,"магазин ""Продукты""                                                                                                                                                                                                                пр.Дружбы Народов,32                                                                                                                                                                                        магазин ""Братский""                                                                                                                                                                                       ул.Братская в р-оне ост. ""Автомобилистов""                                                                                                                                                            магазин ""Лесной""                                                                                                                                                                                                         в районе Тушамского КПП",,,,,
33,"ООО ""Менада-трейд""                                                                                                                                                 ИНН 3805702978",Межрайонной ИФНС №15 по Иркутской области и УОБАО,Лиц 38 МЕ 006250 16/12/2010                                                                                                                                                                                       16/12/2010 - 23/12/2013 ,"отдел в магазине ""Черемушки"" 
ул. Наймушина,10     
",,,,,отдел лицензирования комитета потребительского рынка товаров и услуг администрации г. Братска
34,"ООО «Меркурий»  
ИНН 3817010812 ", МИ МНС России №9 по Иркутской области,"Лиц № А 174878 12/01/2007 
14/01/2007 – 13/01/2012                                                                                                                                                                                           продена до 14/01/2013","магазин «Меркурий»
ул. Героев Труда, 39
",,,,,
35,"ООО ""Миг""                                                                                                                                               ИНН 3817029210", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174852 18/07/2006                                                                                                                                                                             19/07/2006 - 18/07/2011 продлена до 19/07/2013,"магазин ""Миг""                                                                                                                                                                                                    ул. Светлая,6                                                                                                                                                                                                      магазин ""Миг""                                                                                                                                                                                                    ул. Чайковского,6а",,,,,
36,"ООО ""Наш регион""                                                                                                                                                                                          ИНН 3805703964",МИ ФНС № 15 по Иркутской области и УОБАО,Лиц МЕ 006515 09/07/2012 09/07/2012 - 07/12/2012 взамен Лиц МЕ 006427 26/12/2011 26/12/2011 - 07/12/2012                                                                                                                                                                                  ,"отдел в магазине
ул. Островского,28
отдел в магазине
ул. Мечтателей,23, н.п. 4
отдел в магазине
проспект Дружбы Народов, д.68 
отдел в магазине
ул. Энгельса, д.23, н.п. 208 
отдел в магазине 
ул. Островского,28, № 2",,,,,Комитет экономики и труда администрации города Братска
37,"ООО ""Новое Время""                                                                                                                                                                                             ИНН 3805703812",МИ ФНС № 15 по Иркутской области и УОБАО,Лиц А 244987 31/05/2011                                                                                                                                                                                01/06/2011 - 31/05/2014,"магазин ""АВС""                                                                                                                                                                                                        пр. Мира, д.1, н.п. 85                                                                                                                                                                                              супермаркет ""Слата""                                                                                                                                                                                                пр. Мира, д.17, н.п. 283",,,,,
38,"ООО ""О`КЕЙ""                                                                                                                                             ИНН 3817028584",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174995 01/06/2010                                                                                                                                                                                     02/06/2010 - 30/06/2011                                                                                                                                                                                 продлена до 01/07/2013,"магазин ""Бирюса""                                                                                                                                                                                     ул.Мечтателей,24б                                                                                                                                                                                                                                                                                                                                                                              торговый павильон ""Дворик""                                                                                                                                                                                  ул.Карла Маркса,3а                                                                                                                                                                                       
магазин ""Сакура""
пр.Мира,18а
магазин ""Смак""
ул.Мечтателей,8а
магазин ""О`КЕЙ""
пр.Дружбы Народов,66
бар ""Боцман""
пр. Дружбы Народов,66",,,,,
39,"ООО ""О`Кей плюс""                                                                                                                                             ИНН 3817040398",МИ ФНС № 9 по Иркутской области ,Лиц А 242489 31/05/2012 01/06/2012 - 31/05/2014,"магазин ""О`Кей""                                                                                                                                                                                                            пр. Дружбы Народов, д.66",,,,,
40,"ООО ""ОРИОН-ТОРГ""                                                                                                                               ИНН 3817029605",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 242475 03/11/2011                                                                                                                                                                                  03/11/2011 - 20/09/2012                                                                                                                                                                                                                                                                                                                                                          ,"магазин ""Пятачок""
ул. Ленина,5г                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
торговая площадь в помещении
магазина ""Горизонт""
пр. Мира,7                                                                                                                                                                                                      
магазин ""Арегва Плюс""
ул. Наймушина,15а/4                                                                                                                                                                                                     
 
",,,,,
41,"ООО ""Пирамида""                                                                                                                                                                                                 ИНН 3817029556",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174982 22/12/2009                                                                                                                                                                           22/12/2009 - 04/05/2013,"магазин ""Сибирское пиво""                                                                                                                                                                                       пр. Мира,73б                                                                                                                                                                                                       в/в отдел магазина ""Пирамида""                                                                                                                                                                         ул. Кирова,21, н.п. 13",,,,,
42,"ООО ""Поляна""                                                                                                                                                                                                     ИНН 3817032365 ",МИ ФНС №9 по Иркутской области и УОБАО,Лиц 244994 20/07/2011                                                                                                                                                                 20/07/2011 - 31/12/2012                                                                                                                                                                                             ,"ресторан ""Деляна""                                                                                                                                                                                                           пр. Мира, дом 1 н.п.85",,,,,
43,"ООО ""Пламя""                                                                                                                                                    ИНН 3817027950",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174843 29/06/2006                                                                                                                                                                                 01/07/2006 - 30/06/2011 продлена до 01/07/2012,"магазин ""Макиз""                                                                                                                                                                                                 пр.Мира,24 н.п.1                                                                                                                                                                                           магазин ""Продукты""                                                                                                                                                                                           пр.Мира,64 н.п.321                                                                                                                                                                                            магазин ""Макиз-2""                                                                                                                                                                                 ул.Энгельса,15 н.п.216",,,01.07.2012г.,,
44,"ООО ""ПродПоставка""                                                                                                                                  ИНН 3817029570",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А  242491 31/05/2012                                                                                                                                                                                  01/06/2012 - 20/07/2012,"магазин ""Пальмира""                                                                                                                                                                                                                                                                                                                                                                       
ул. Энтузиастов,9 н.п.11
магазин ""Илимский Дворик""
ул.Энгельса,21а
магазин ""Ангарский Плёс""
ул. Белградская,10а
магазин ""Усть-Терем""
ул. Героев Труда,21а                                                                                                                                                                                             винно-водочный отдел магазина ""Усть-Терем""                                                                                                                                                                   пр. Дружбы Народов, д.32, н.п. 93
минимаркет ""Усть-Терем"" 
улица Ленина, дом 12, н.п. 136 ",,,c 21.07.2012г.,,
45,"ООО ""Развитие""                                                                                                                                                                                                           ИНН 3805707800",МИ ФНС № 15 по Иркутской области ,Лиц 38 МЕ 006367 21/07/2011                                                                                                                                                                      21/07/2011 - 04/09/2013                                                                                                                                                                                             ,"отдел в магазине
 ул. Братское шоссе,7 н.п.203

",,,,,отдел лицензирования комитета потребительского рынка товаров и услуг администрации города Братска
46,"ООО ""Рекорд""                                                                                                                                                    ИНН 3817021130",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 244990 04/07/2011                                                                                                                                                                                    04/07/2011 - 19/07/2011                                                                                                                                                                                  продлена до 20/07/2012                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"магазин ""Сибирское пиво""
ул. Энгельса, дом 1, н.п.77
магазин ""Быстроном""
пр. Мира,68а                                                                                                                                                                                                       ",,,с 20.07.2012г.,,
47,"ООО ""Росинка""                                                                                                                                                                                                  ИНН 3817034475",МИ ФНС №9 по Иркутской области ,Лиц А 174943 17/12/2008                                                                                                                                                                                 19/12/2008 - 18/12/2013,"магазин ""Росинка""                                                                                                                                                                                                     ул. Георгия Димитрова, д.2 н.п. 112",,,,,
48,"ООО ""Русская тройка""                                                                                                                                                                                      ИНН 3817018970",МИ ФНС № 9 по Иркутской области,Лиц А 244996 16/09/2011 16/09/2011 - 15/09/2012,"ресторан ""Старый друг""                                                                                                                                                                                                           ул. Георгия Димитрова, д.22",,,,,
49,"ООО ""Сакура""                                                                                                                                                                                                   ИНН 3817039314",МИ ФНС № 9 по Иркутской области,Лиц 242473 03/11/2011                                                                                                                                                                                03/11/2011 - 02/11/2012,"бар ""Япона Мама""                                                                                                                                                                                                          ул. Преображенская, дом 19                ",,,,,
50,"ООО ""САЯНЫ""                                                                                                                                             ИНН 3817028190", МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 174872 08/11/06                                                                                                                                                                                   09/11/2006 - 22/06/2011 продлена до 22/06/2016      ,"магазин ""Московские конфеты""
пр. Мира,22 н.п.171
магазин ""Ландыш""
пр. Мира, дом 31 н.п.90
магазин ""Белочка""
пр. Дружбы Народов, дом 58 н.п.151
магазин ""Саяны""
ул. Надежды,20 н.п.150
магазин ""Крокус""
пр. Дружбы Народов,88а
магазин ""Визит""
пр. Мира,65а
магазин ""Весна""
ул. Энтузиастов,7б
магазин ""Арбат""
ул. Ленина,7б                                                                                                                                                                                                 магазин ""Стрелец""                                                                                                                                                                                                   ул. Карла Маркса,61а",,,,,
51,"ООО ""Скорпион""                                                                                                                                                                                                  ИНН 3817031481",МИ ФНС №9 по Иркутской области и УОБАО,Лиц 174894 17/07/2007                                                                                                                                                                                                  18/07/2007 - 17/07/12,"кафе ""Степаныч""                                                                                                                                                                                                     ул. Энтузиастов,7а",,,с 18.07.2012г.,,
52,"ООО ""Спортивно-развлекательный комплекс ""Союз""                                                                                                                                          ИНН 3817023995",МИ МНС России № 9 по Иркутской области,Лиц А 174972 03/09/2009                                                                                                                                                                           04/09/2009 - 23/07/2014,"бар ""Сказка""
ул. Карла Маркса,20Б
ресторан ""Эстрада""
ул. Карла Маркса,20Б
бар ""Боулинг""
ул. Карла Маркса,20Б
бар ""Бильярд""
ул.Карла Маркса,20В",,,,,
53,"""ООО ""Супер""                                                                                                                                           ИНН 3817012136",МИ ФНС №9 по Иркутской области и УОБАО,Лиц А 242492 20/06/2012 - 19/04/2013 взамен Лиц А 242476 16/11/2011                                                                                                                                                                               16/11/2011 - 19/04/2013                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"магазин ""Саяны""
ул. Гайдара,5а                                                                                                                                                                                           супермаркет ""Континент"" 
ул. Героев Труда, д.39
магазин ""Черемушки"" улица Наймушина, дом 10",,,,,
