"Сводный реестр выданных, приостановленных и аннулированных лицензий на розничную торговлю алкогольной продукцией по состоянию на 28.09.2012",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Адрес места нахождения организации,Адрес электронной почты,Адрес осуществления вида деятельности ,КПП обособленного подразделения,Код субъекта РФ,Код субъекта по месту осуществления деятельности,Серия лицензии,Номер лицензии,Дата выдачи ,Дата окончания действия ,Дата приостановления действия ,Дата возобновления действия ,Дата прекращения действия ,Дата аннулирования,Статус лицензии,Дата изменения статуса,Руководитель организации,Телефон,Приказ Минэкономразвития,Срок окончания аренды
151,"ООО ""Владим""",8203010224,820301001,"Карагинский р-н, с. Ивашка, ул. Строительная, д.9, кв.1",,"Карагинский р-н, с. Ивашка, ул. Левченко, д.24, в/вод. отдел в м-не ""Продукты""",,41,41,к 007309,3-КР,4/17/2009,4/17/2014,,,,,действующая,,,,,
,"ООО ""Водолей""",4101103955,410101001,"г. Петропавловск-Камчатский, ул. Крупской, д.51,",,"г. Петропавловск-Камчатский, ул. Индустриальная, д.13, магазин ""Шу-Ша""",,41,41,к 007863,236-К,12/23/2011,12/23/2016,,,,,действующая,,,(8415)2240604 ,Приказ о выдаче от 23.12.2011 № 427,9/30/2016
156,"ООО ""ВОПЛОЩЕНИЕ""",4105037076,410501001,"Елизовский р-н, с. Паратунка, ул. Санаторная, д.8, кв.1",,"Елизовский р-н, п. Термальный, ул. Крашенинникова, д.3, павильон ""Вера 2""",,41,41, к 007386,58-Е ,6/25/2010,6/25/2015,,,,,действующая,,,"8(914)6250790
",,
,"ООО ""Восток""",4105030225,410501001,"г. Елизово, ул. Рябикова, д.40а, кв.11",,"Елизовский р-н, 25км объездной дороги дор, павильон ""Искра""",,41,41,к 007741,85-Е ,7/29/2011,6/2/2013,,,,,действующая,,,,,
,"ООО ""Восток""",4105030225,410501001,"г. Елизово, ул. Рябикова, д.40а, кв.11",,"г. Елизово, ул. Ленина, д.32, магазин ""Продукты""; до 15%",,41,41,к 007741,85-Е ,7/29/2011,6/2/2013,,,,,действующая,,,,,
,"ООО ""Восток""",4101107727,410101001,"г. Петропавловск-Камчатский, ул. Автомобилистов, д.31,",,"г. Петропавловск-Камчатский, ул. Автомобилистов, д.31, павильон ""День и Ночь""",,41,41,к 007564,249-К ,6/16/2011,6/16/2016,,,,,действующая,,,,,
159,"ООО ""Восток""",8204007104,820401001,"Пенжинский р-н, с. Каменское, ул. Чубарова, д.5, кв.1",,"Пенжинский р-н, с. Каменское, ул. Ленина, д.16, в/в отдел магазина",,41,41,к 006970,1-П ,10/2/2009,10/2/2014,,,,,действующая,,," 8(41546)61323
",,
161,"ООО ""ВОСТОЧНОЕ""",4101128188,410101001,"г. Петропавловск-Камчатский, ул. Лукашевского, д.4,",,"г. Петропавловск-Камчатский, ул. Лукашевского, д.4, кафе-бар ""Чжен""",,41,41,к 006952,79-К ,4/24/2009,4/24/2014,,,,,действующая,,,"8(4152)230366, 8(908)4966468",,
162,"ООО ""Восточное""",4101109940,410101001,"г. Петропавловск-Камчатский, ул. Океанская, д.44а, кв.10",,"г. Петропавловск-Камчатский, ул. Дальневосточная, д.1, шашлычная ""Восточное""",,41,41, к 006973,98-К,10/29/2009,10/29/2014,,,,,действующая,,,8(909)8378206,,
,"ООО ""Вселенная""",4102007669,410201001,"г. Вилючинск, ул. Вилкова, д.17,",,"г. Вилючинск, ул. Вилкова, д.17, магазин ""Чайка""",,41,41,к 006862,180-К,12/21/2007, ,,,,,действующая,,,,,
,,,,,,"г. Петропавловск-Камчатский, ул. Чубарова, д.16, стр. 2, магазин ""Питерский""",,41,41,к 007787,227-К,12/9/2011,12/9/2012,,,,,действующая,,,8(962)2154958,приказ о выдаче от 08.12.2011 № 398,
167,"ООО ""Вулкан""",4101127811,410101001,"г. Петропавловск-Камчатский, ул. Сурикова, д.32,",,"г. Петропавловск-Камчатский, ул. Кавказская, д.30/1, павильон ""Берёзка""",,41,41, к 006950,76-К,4/1/2009,4/1/2014,,,,,действующая,,,,,
168,"ООО ""Вулкан""",4107002368,410701001,"Соболевский р-н, с. Соболево, ул. Набережная, д. 37, кв. 1",,"Соболевский р-н, с. Соболево, ул. Советская, д. 19, магазин ""Вулкан""",,41,41,к 007788,8 - С,12/20/2011,12/20/2013,,,,,действующая,,,8(924)7907919,Приказ о выдаче от 16.12.2011 № 410,
,"ООО ""Галактика""",4101104317,410101001,"г. Петропавловск-Камчатский, пр. Циолковского, д.47/1,",,"г. Петропавловск-Камчатский, пр. Циолковского, д.47/1, магазин ""Галактика""",,41,41,к 007544,232-К ,5/26/2011,5/26/2016,,,,,действующая,,,,,
,"ООО ""Галан""",4101105335,410101001,"г. Петропавловск-Камчатский, ул. Индустриальная, 30",,"г. Петропавловск-Камчатский, ул. Индустриальная, д.30, магазин ""Пятерочка""",,41,41,к 007867,245-К,1/16/2012,1/16/2015,,,,,действующая,,,,Приказ о выдаче от 13.01.2012 № 6,12/14/2016
,"ООО ""Гастроном № 1""",4101104437,410101001,"г. Петропавловск-Камчатский, ул. Ленинградская, д.74,",,"г. Петропавловск-Камчатский, ул. Ленинградская, д.74, магазин ""Гастроном № 1""",,41,41,к 007595,303-К ,6/30/2011,6/30/2016,,,,,действующая,,,,,
,"ООО ""Гелиос""","4105022312  
",410501001,"г. Елизово, ул. Геофизическая, д.18, кв.10",,"Елизовский р-н, 24 км Паратунской трассы, кафе базы отдыха ""Гелиос""",,41,41,к 007795,93-Е,11/11/2011,11/11/2016,,,,,действующая,,,,,
178,"ООО ""Гермес""",4101150257,410101001,"г. Петропавловск-Камчатский, пр. Циолковского, д. 27, кв. 26",korykin1976@mail.ru,"г. Петропавловск-Камчатский, ул. Озерновская коса, д.11, магазин ""На косе""",,41,41,к 008006,300-К,8/9/2012,8/9/2013,,,,,действующая,,Корюкин Роман Михайлович,8(914)7821226,Приказ о выдаче лицензии от 08.08.2012 № 393,3/10/2017
,"ООО ""Главк""",4101103994,410101001,"г. Петропавловск-Камчатский, ул. Вулканная, д.21,",,"г. Петропавловск-Камчатский, ул. Вулканная, д.21, магазин ""Главк""",,41,41,к 007982,292-К,7/19/2012,6/30/2014,,,,,действующая,,,,Приказ о переоформлении лицензии,12/31/2014
,"ООО ""Главк""",4101103994,410101001,"г. Петропавловск-Камчатский, ул. Вулканная, д.21,",,"г. Петропавловск-Камчатский, пр. 50 лет Октября, д.15 а, в/в отдел ""Алкогольные напитки"" универмага ""Петропавловск""",,41,41,к 007982,292-К,7/19/2012,6/30/2014,,,,,действующая,,,, от 18.07.2012 № 338,
,"ООО ""Голубая Лагуна-Кафе""",4105025313,410501001,"Елизовский р-н, с. Паратунка, ул. Невельского, д.6,",,"Елизовский р-н, с. Паратунка, ул. Невельского, д.6, кафе ""Березка""",,41,41, к 006847,734-Е ,12/28/2007,12/28/2012,,,,,действующая,,,,,
,"ООО ""ГОСТИНИЧНЫЙ КОМПЛЕКС ""ПЕТРОПАВЛОВСК""",4101000854,410101001,"г. Петропавловск-Камчатский, пр. К. Маркса, д.31А,",,"г. Петропавловск-Камчатский, пр. К. Маркса, д.31А, ресторан",,41,41,к 007779,202-К ,9/3/2011,9/3/2013,,,,,действующая,,,,Приказ о выдаче от 01.09.2011 № 313,
,"ООО ""ГОСТИНИЧНЫЙ КОМПЛЕКС ""ПЕТРОПАВЛОВСК""",4101000854,410101001,"г. Петропавловск-Камчатский, пр. К. Маркса, д.31А,",,"г. Петропавловск-Камчатский, пр. К. Маркса, д.31А, бар",,41,41,,,,,,,,,,,,,Приказ о продлении от 28.08.2012 № 442 ,
,"ООО ""Готика""",4101108569,410101001,"г. Петропавловск-Камчатский, пр. Победы, д.83,",,"г. Петропавловск-Камчатский, пр. Победы, д.83, магазин ""Продукты""",,41,41,к 007789,237-К ,12/23/2011,12/23/2014,,,,,действующая,,,8(4152)226763,Приказ о выдаче от 19.12.2011 № 416,10/15/2014
186,"ООО ""Гран""",4105034903,410501001,"г. Елизово, ул. Красноармейская, д. 2, кв. 46",,"г. Елизово, ул. Завойко, д.7, мини-маркет ""Сириус""",,41,41, к 006985,47-Е,10/8/2009,10/8/2014,,,,,действующая,,,8(41531)20002 8(914)0206699,,
,"ООО ""Гранд-Сервис""",4101104532,410101001,"г. Петропавловск-Камчатский, пр. Победы, д.27,",,"г. Петропавловск-Камчатский, пр. Победы, д.27, кафе ""Эдельвейс""",,41,41, к 007569,252-К,6/16/2011,6/16/2013,,,,,действующая,,,,,
189,"ООО ""Грант""",4101146701,410101001,"г. Петропавловск-Камчатский, ул. Вулканная,21",,"г. Петропавловск-Камчатский, ул.Вулканная,21, склад 26, литер К, этаж 1, помещения 11,13 в здании складов №26,13, магазин-склад оптовой торговли ООО ""Грант""",,41,41,к 007803,228-К,12/12/2011,12/12/2016,,,,,действующая,,,,Приказ о выдаче от 12.12.2011 № 402,
,"ООО ""Греция""",4105029290,410501001,"г. Елизово, ул. Виталия Кручины, д.26,",,"г. Елизово, ул. Виталия Кручины, д.26, магазин ""Греция""",,41,41, к 007605,637-Е ,6/28/2011,6/28/2016,,,,,действующая,,,,,
,"ООО ""Гулливер и К""",4101089309,410101001,"г. Петропавловск-Камчатский, ул. Звездная, д.1, кв.2",,"Елизовский р-н, п. Новый, ул. Молодежная, д.21 а, в/в отдел в магазине ""Новый""",,41,41,к 007439,166-К ,5/20/2011,7/26/2016,,,,,действующая,,,,,
192,"ООО ""Дав-Дисконт""",4101131166,410101001,"г. Петропавловск-Камчатский, ул. Вулканная, д.21,",,"г. Петропавловск-Камчатский, ул. Вулканная, д.21, магазин ""Девятка""",,41,41,к 007495,153-К ,4/11/2011,4/11/2016,,,,,действующая,,,,,
,"ООО ""ДАМФ""",4105029886,410501001,"Елизовский р-н, п. Термальный, ул. Крашенинникова, д.4,",,"Елизовский р-н, п. Термальный, ул. Ленина, д.1, павильон ""Продукты!",,41,41, к 007673,78-Е ,7/8/2011,7/8/2016,,,,,действующая,,,,,
,"ООО ""ДАМФ""",4105029886,410501001,"Елизовский р-н, п. Термальный, ул. Крашенинникова, д.4,",,"Елизовский р-н, п. Термальный, ул. Паратунская, магазин ""Продукты""",,41,41, к 007673,78-Е ,7/8/2011,7/8/2016,,,,,действующая,,,,,
,"ООО ""ДАМФ""",4105029886,410501001,"Елизовский р-н, п. Термальный, ул. Крашенинникова, д.4,",,"Елизовский р-н, с. Паратунка, ул. Нагорная, д.37, павильон ""Продукты""",,41,41, к 007673,78-Е ,7/8/2011,7/8/2016,,,,,действующая,,,,,
,"ООО ""ДАМФ""",4105029886,410501001,"Елизовский р-н, п. Термальный, ул. Крашенинникова, д.4,",,"Елизовский р-н, с. Паратунка, ул. Санаторная, д.15, павильон ""Продукты""",,41,41, к 007673,78-Е ,7/8/2011,7/8/2016,,,,,действующая,,,,,
,"ООО ""ДАРИНА""",4101107759,410101001,"г. Петропавловск-Камчатский, ул. Тушканова, д.5, кв.35",,"г. Петропавловск-Камчатский, ул. Тушканова, д.5, магазин ""Маркет"", до 15%",,41,41,"Приложение № 1 к лицензии к 007715, 515-К",515-К ,7/21/2011,7/21/2014,,,,,действующая,,,,,
,"ООО ""ДАРИНА""",4101107759,410101001,"г. Петропавловск-Камчатский, ул. Тушканова, д.5, кв.35",,"г. Петропавловск-Камчатский, ул. Тушканова, д.5, магазин ""Маркет""",,41,41,к 007938,276-К ,6/15/2012,7/21/2014,,,,,действующая,,Соляник Ирина Николаевна,,Приказ о переоформлении от 13.06.2012 № 247,
,"ООО ""Дарья"" ",4105029798,410501001,"г. Петропавловск-Камчатский, ул. Тельмана, д.1а, кв.3",,"г. Петропавловск-Камчатский, ул. Звездная, д.7, кафе-бар ""Дарья""",,41,41,к 007305,90-К ,8/14/2009,2/27/2014,,,,,действующая,,,,,
199,"ООО ""Дарья""",4105033850,410501001,"Елизовский р-н, п. Начики, д.16,",,"Елизовский р-н, п. Начики, д.16, магазин ""Дарья""",,41,41, к 006908,18-Е ,9/26/2008,9/26/2013,,,,,действующая,,,"8(961)9624199, (841531)43227",,
202,"ООО ""Деревяшка""",4101109481,410101001,"г. Петропавловск-Камчатский, ул. Хасанская, д.9,",,"г. Петропавловск-Камчатский, ул. Крылова, д.1, в/в отдел магазина ""Продукты""",,41,41,к 006863,568-К ,12/28/2007,12/28/2012,,,,,действующая,,,8(4152)487123,,
,"ООО ""Десятое Поле""",4105030088,410501001,"Елизовский р-н, п. Вулканный, ул. Строительная, д.27/9, кв.9",,"Елизовский р-н, п. Вулканный, ул. Строительная, д. 29, кафе ""Десятое поле""",,41,41,к 007925,110-Е,5/26/2012,5/25/2013,,,,,действующая,,,8(914)7851301,Приказ о выдаче от 23.05.2012 № 211,
,"ООО ""Детас""",4105030063,410501001,"Елизовский р-н, п. Сокоч, ул. Дорожная, д.3, кв.2",,"Елизовский р-н, п. Сокоч, ул. Лесная 4-13, магазин ""Добрый""",,41,41,к 007844,106-Е,4/25/2012,4/25/2013,,,,,действующая,,,8(909)8824893,Приказ о выдаче от 20.04.2012 № 160,
205,"ООО ""ДИ""",4101109153,410101001,"г. Петропавловск-Камчатский, ул. Олега Кошевого, д.10, кв.3",,"г. Петропавловск-Камчатский, ул. Гастелло, д.5, магазин ""Продукты""",,41,41,к 006832,23-К ,4/25/2008,4/25/2013,,,,,действующая,,,8(4152)453026,,
,"ООО ""Диана""",4108006502,410801001,"Усть-Большерецкий р-н, пгт. Октябрьский, ул. Комсомольская, д.47,",,"Усть-Большерецкий р-н, пгт. Октябрьский, ул. Комсомольская, д.47, магазин ""Диана""",,41,41,  к 007633,1-УБ,7/11/2011,7/11/2016,,,,,действующая,,,,,
,"ООО ""Диана""",4108006502,410801001,"Усть-Большерецкий р-н, пгт. Октябрьский, ул. Комсомольская, д.47,",,"Усть-Большерецкий р-н, пгт. Октябрьский, ул. Пушкинская, д.3, вино-водочный отдел магазина ""Диана""",,41,41,  к 007633,1-УБ,7/11/2011,7/11/2016,,,,,действующая,,,,,
,"ООО ""Диана""",4101106956,410101001,"г. Петропавловск-Камчатский, ул. Батарейная, д.4, кв.1",,"г. Петропавловск-Камчатский, ул. Бийская, д.7, магазин ""Диана""",,41,41,к 007621,91-К ,7/28/2011,7/28/2014,,,,,действующая,,,,,
,"ООО ""Диана""",4101106956,410101001,"г. Петропавловск-Камчатский, ул. Батарейная, д.4, кв.1",,"г. Петропавловск-Камчатский, бульвар Рыбацкой Славы, д.3, магазин ""Шуша""",,41,41,к 007621,91-К ,7/28/2011,7/28/2014,,,,,действующая,,,,,
,"ООО ""ДИМАРТ""",2724091239,,"г. Санкт-Петербург, ул. Оружейника Федорова, 17А, помещение 1-Н",,"г. Петропавловск-Камчатский, ул. Вулканная, д. 59, гипермаркет ""Мой мир""",,41,41,к 007882,248-К,2/10/2012,12/7/2016,,,,,действующая,,,,Приказ о переоформлении от 08.02.2012 № 42,10/10/2016
,"ООО ""Дионис""",4101105590,410101001,"г. Петропавловск-Камчатский, ул. Тушканова, д.10, кв.53",,"г. Петропавловск-Камчатский, пр. Победы, д.47/1, корп.м, магазин ""Продукты""",,41,41,к 007770,208-К ,10/10/2011,10/10/2016,,,,,действующая,,,,,
,"ООО ""Дионис""",4101109241,410101001,"г. Петропавловск-Камчатский, ул. Солнечная, д.11, кв.44",,"г. Петропавловск-Камчатский, ул. Солнечная, д.7, магазин ""Продукты""",,41,41,к 007816,233-К,12/22/2011,12/22/2012,,,,,действующая,,,"8(4152)431164, 8(951)2906893",,
,"ООО ""Дионис""",4101109241,410101001,"г. Петропавловск-Камчатский, ул. Солнечная, д.11, кв.44",,"г. Петропавловск-Камчатский, ул. Солнечная, д.19Б, магазин ""Люкс""",,41,41,к 007816,233-К,12/22/2011,12/22/2012,,,,,действующая,,,,,11/30/2012
,"ООО ""Дионис""",4102007605,410201001,"г. Вилючинск, ул. Гусарова, д.43,",,"г. Вилючинск, ул. Вилкова, д.7, кафе ""Камелия""",,41,41,к 007764,24-В,8/29/2011,8/31/2012,,,,,,,,,,
,,,,,,"г. Вилючинск, ул. Гусарова, д.43, кафе ""Меркурий""",,41,41,к 008023,34-В,8/31/2012,8/31/2015,,,,,действующая,,,,Приказ о выдаче от 28.08.2012 № 439,
214,"ООО ""Днепр""",4106005800,410601001,"Мильковский р-н, с. Мильково, ул. Победы, д.13,",,"Мильковский р-н, с. Мильково, ул. Победы, д.13, магазин ""Универсам""",,41,41, к 006878,1-М ,5/16/2008,5/16/2013,,,,,действующая,,,8(41533)21057,,
,"ООО ""Долгая""",4105030458,410501001,"г. Елизово, ул. Лесная, д.1, кв.18",,"г.Елизово, ул.Чкалова д.16, магазин ""Козерог""",,41,41,к 007843,117-Е,7/27/2012,7/27/2013,,,,,действующая,7/27/2012,Долгая Тамара Александровна ,89246260916,Приказ о выдаче лицензии от 25.07.2012 № 360,4/15/2017
,"ООО ""Долина""",4101110110,410101001,"Петропавловск-Камчатский, ул. Пограничная, д.93,",,"г. Петропавловск-Камчатский, ул. Пограничная, д.93, магазин ""Долина""",,41,41,к 007937,275-К,6/14/2012,6/14/2013,,,,,действующая,,,8 9146280501,Приказ о выдаче лицензии от 13.06.2012 №,11/30/2014
219,"ООО ""Досуг""",8203010200,820301001,"Карагинский р-н, п. Оссора, ул. Юрьева, д.6, кв.1",,"Карагинский р-н, с. Ивашка, ул. Речная, д.25-2, магазин № 1",,41,41, к 007306,2-КР ,2/20/2009,2/20/2014,,,,,действующая,,Горбовская Валентина Степановна,8(41545)42191,,
,,,,,,"Карагинский р-н, с. Ивашка, ул. Школьная, д. 1, магазин № 2",,41,41,,,,,,,,,,,,,,
,,,,,,"Карагинский р-н, с. Ивашка, ул. Левченко, д. 16, магазин № 3",,41,41,,,,,,,,,,,,,,
,"ООО ""Дрова""",4101116168,410101001,"г. Петропавловск-Камчатский, пр. Победы, д.2,",,"г. Петропавловск-Камчатский, пр. Победы, д.2, магазин ""Арбат""",,41,41,к 007928,274-К,6/8/2012,6/7/2013,,,,,действующая,,,258-556,237 от 05.06.2012,
,"ООО ""Дрова""",4101116168,410101001,"г. Петропавловск-Камчатский, пр. Победы, д.2,",,"г. Петропавловск-Камчатский, пр. Победы, д.2, магазин ""Арбат""",,41,41,к 007953,278-К,6/19/2012,6/7/2013,,,,,действующая,,,,Приказ о переоформлении от 19.06.2012,
,"ООО ""Дрова""",4101116168,410101001,"г. Петропавловск-Камчатский, пр. Победы, д.2,",,"г. Петропавловск-Камчатский, пр. Победы, д.2, бар в кафе ""Дроvа""",,41,41,к 007953,278-К,6/19/2012,6/7/2013,,,,,действующая,,,,,
,"ООО ""Европа""",4105030793,410501001,"г. Елизово, ул. Нагорная, д. 28, кв. 11",,"г. Елизово, ул. Рябикова, д.59, магазин ООО ""Европа""",,41,41,к 007829,97-Е,12/9/2011,12/9/2014,,,,,действующая,,,8(909)8383399,Приказ о выдаче от 09.12.2011 № 401,
,"ООО ""Елена"" ",4105030264,410501001,"Елизовский р-н, п. Новый, ул. Строительная, д.10,",,"г. Петропавловск-Камчатский, ул. Ларина, д.22/4 магазин ""Мой Район"" ",,41,41,к 007820,95-Е,11/23/2011,11/23/2012,,,,,действующая,,,,Приказ о выдаче от 23.11.11 № 380/1,
,"ООО ""Жемчужина""",4106006000,410601001,"Мильковский р-н, с. Мильково, ул. Советская, д.30,",,"Мильковский р-н, с. Мильково, ул. Советская, д.30, магазин               ""У Федора""",,41,41,к 007966,9-М,7/27/2012,7/27/2013,,,,,действующая,,Барановская Ольга Николаевна,8(415 33) 21109,Приказ о выдаче лицензии от 25.07.2012 № 359,4/5/2057
226,"ООО ""Жемчужина""",4107002079,410701001,"Соболевский р-н, п. Крутогоровский, ул. Сахалинская., д.52, кв.9",,"Соболевский р-н, п. Крутогоровский, ул. Сахалинская, д.49, в/в отдел м-на ООО ""Жемчужина""",,41,41,к 006931,3-С ,12/12/2008,12/12/2013,,,,,действующая,,, 8(41536)33147,,
,"ООО ""Ермак""",4105039323,410501001,"Елизовский р-н, с. Паратунка, ул. Елизова,, д.23,",,"Елизовский р-н, с. Паратунка, ул. Елизова,, д.23, магазин ""Ермак""",,41,41, к 007705,84-Е ,7/22/2012,7/22/2013,,,,,действующая,,,,,
228,"ООО ""Залив""",4109004917,410901001,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. Горького, д.41,",,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. Горького, д.41, магазин ""У Ромы""",,41,41, к 007286,4-УК,9/10/2008,9/10/2013,,,,,действующая,,,"8(4152)489060, 8(41534)25275",,
,"ООО ""Залив""",4109004917,410901001,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. Горького, д.41,",,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. Ленина, д.28, кафе-бар ""МиС""",,41,41, к 007286,4-УК,9/10/2008,9/10/2013,,,,,действующая,,,,,
229,"ООО ""Запад""",4107001830,410701001,"Соболевский р-н, с. Соболево, ул. Комсомольская, д.12,",,"Соболевский р-н, с. Соболево, ул. Комсомольская, д.12, магазин",,41,41, к 007360,6-С ,12/25/2009,12/25/2014,,,,,действующая,,Зотова Елена Николаевна,8(902)4634541,,
,"ООО ""Заря""",4104002828,410401001,"Быстринский р-н, с. Эссо, ул. Советская, д.13,",," Быстринский район, с. Эссо, ул. Советская, д. 13, магазин ""Заря-1""",,41,41,к 007975,8-Б,7/28/2012,7/28/2014,,,,,действующая,,,8(4152) 21-4-35,Приказ о выдаче лицензии № 362 от 26.07.2012,2/18/2017
,"ООО ""Заря""",4104002828,410401001,"Быстринский р-н, с. Эссо, ул. Советская, д.13,",,"Быстринский район, с. Эссо, ул. 50 лет Октября, д. 10а, торговый павильон ""Заря-2""",,41,41,к 007975,8-Б,7/28/2012,7/28/2014,,,,,действующая,,,,,4/27/2017
232,"ООО ""Заря""",4105032261,410501001,"г. Елизово, ул. Школьная, д.10,",,"г. Елизово, ул. Школьная, д.10, магазин ""Заря""",,41,41,к 007179,724-Е ,10/16/2007,10/16/2012,,,,,действующая,,,"8(41531)67231
",,
,"ООО ""Заря""",4105032261,410501001,"г. Елизово, ул. Школьная, д.10,",,"г. Елизово, ул. Школьная, д.10, павильон ""Заря""",,41,41,к 007179,724-Е ,10/16/2007,10/16/2012,,,,,действующая,,,,,
233,"ООО ""Зима-Лето""",4105033321,410501001,"г. Елизово, ул. Магистральная, д.242,",,"г. Елизово, ул. Магистральная, д.242, в/в отдел п-на ""Зима-Лето""",,41,41,к 006910,20-Е ,10/3/2008,10/3/2013,,,,,действующая,,,,,
,"ООО ""Зозан""",4101078530,410101001,"г. Петропавловск-Камчатский, пр. Таранца, д.3,",,"г. Петропавловск-Камчатский, пр. Таранца, д.3, магазин ""Пробочка""",,41,41,к 007244,14-К ,4/4/2008,4/4/2013,,,,,действующая,,,,,
,,,,,,"Елизовский р-н, п. Пионерский,  ул. Н.Коляды, д.1, магазин ""Золотой ключик""",,41,41,к 007994,124-Е,8/29/2012,8/29/2013,,,,,действующая,,,8(961)9613333,Приказ о выдаче от 27.08.2012 № 434,собственность
,"ООО ""Золотой якорь""",4101022618,410101001,"г. Петропавловск-Камчатский, пр. Рыбаков, д.13,",,"г. Петропавловск-Камчатский, пр. Рыбаков, д.13, р-н ""Золотой якорь""",,41,41,к 007484,178-К ,2/10/2011,2/10/2013,,,,,действующая,,,,,
239,"ООО ""ЗОТиК""",4108007418,410801001,"Усть-Большерецкий р-н, с. Кавалерское, ул. Школьная, д.13, кв.2",,"Усть-Большерецкий р-н, с. Кавалерское, ул. Блюхера, д.19, в/в отдел павильона ""Магнит""",,41,41, к 007496,5-УБ,4/12/2011,4/12/2016,,,,,действующая,,,8(909)8323364,,
,"ООО ""Иваныч""","4105030514  
",410501001,"г. Елизово, ул. Завойко, д.73 а,",,"г. Елизово, ул. Завойко, д.73а, магазин ""Иванычъ""",,41,41,к 007742,674-Е ,8/4/2011,8/4/2014,11/11/2011,12/24/2011,,,действующая,,,,Приказ о возобновлении действия от 22.12.11 № 424,
,"ООО ""Изюминка""",4101103779,410101001,"г. Петропавловск-Камчатский, ул. Ключевская, д.7,",,"г. Петропавловск-Камчатский, ул. Ключевская, д.7, магазин ""Изюминка""",,41,41,к 007917,261-К,4/13/2012,4/13/2017,,,,,действующая,,,,Приказ о выдаче от 13.04.2012 № 146,12/31/2016
,"ООО ""Илина"" ",4101123408,410101001,"г. Петропавловск-Камчатский, ул. Молчанова, д.3, кв.17",,"г. Петропавловск-Камчатский, ул. Чубарова, д.16, скл 6, магазин ""Илина""",,41,41,к 006967,85-К ,7/14/2009,11/7/2013,,,,,действующая,,,,,
,"ООО ""Император""",4100022365,410101001,"г. Петропавловск-Камчатский, ул. Ленинградская, д.71,",,"г. Петропавловск-Камчатский, ул. Ленинградская, д.71, ресторан ""Колизей""",,41,41,к 006840,554-К ,11/15/2007,11/15/2012,,,,,действующая,,,,,
247,"ООО ""Импульс""",8202010408,820201001,"пгт. Палана, ул. Поротова, д. 24",,"пгт. Палана, ул. Поротова, д. 24, магазин ""Импульс""",,41,41,к 007870,14-Т,1/20/2012,1/20/2017,,,,,действующая,,Пашкова Светлана Вадимовна,8(41543)32625 8(914)7809098,Приказ о выдаче от 20.01.2012 № 18,12/23/2021
,"ООО ""Ирбис""",4109004610,410901001,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. 60 лет Октября, д.26,",,"Усть-Камчатский р-н, пгт. Усть-Камчатск, ул. 60 лет Октября, д.26, отдел по реал. алк. продукции в м-не ""Холкам""",,41,41, к 007792,11-УК,10/28/2011,10/28/2012,,,,,действующая,,,,,
253,"ООО ""Ирис""  ",8202010398,820201001,"Тигильский р-н, с. Усть-Хайрюзово, ул. Ленинская, д.14/3,",,"Тигильский р-н, с. Усть-Хайрюзово, ул. Ленинская, д.14/3, магазин ""Ирина""",,41,41, к 006981,4-Т,6/26/2009,6/26/2014,,,,,действующая,,,8(41537)26495,,
254,"ООО ""Ирмарин""",4101104758,410101001,"г. Петропавловск-Камчатский, ул. Ленинградская, д.65/1, кв.78",,"г. Петропавловск-Камчатский, ул. Пограничная, кафе ""На КП""",,41,41,к 006904,41-К ,8/29/2008,8/29/2013,,,,,действующая,,,,,
,"ООО ""Кавалькада""",4101106963,410101001,"г. Петропавловск-Камчатский, ул. Рябиковская, д.24,",,"г. Петропавловск-Камчатский, ул. Рябиковская, д.24, вино-водочный  отдел гастронома № 27",,41,41,к 007457,363-К  ,7/28/2011,7/28/2014,,,,,действующая,,,,договор аренды от 01.06.2012,6/1/2015
256,"ООО ""KADAR""",4104003109,410401001,"Быстринский р-н, с. Анавгай, ул. Ленинская, д.55,",,"Быстринский р-н, с. Анавгай, ул. Ленинская, д.55, магазин ""Любимый""",,41,41,к 006924,1-Б,12/5/2008,12/5/2013,,,,,действующая,,,,,
,"ООО ""Камелот""",4105030313,410501001,"г. Елизово, ул. Октябрьская, д.6, кв.36",,"г. Елизово, ул. Виталия Кручины, д.32, павильон ""Эдем""",,41,41, к 007680,6-Е ,7/19/2011,7/19/2013,,,,,действующая,,,,,
,"ООО ""Камелот""",4105030313,410501001,"г. Елизово, ул. Октябрьская, д.6, кв.36",,"г. Елизово, ул. Завойко, д.52, магазин ""Визит""",,41,41, к 007680,6-Е ,7/19/2011,7/19/2013,,,,,действующая,,,,,
,"ООО ""Камелот""",4105030313,410501001,"г. Елизово, ул. Октябрьская, д.6, кв.36",,"г. Елизово, ул. Рябикова, д.6, ТЦ ""Бриз"", магазин ""Бриз""",,41,41, к 007680,6-Е ,7/19/2011,7/19/2013,,,,,действующая,,,,,
