"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""город Саянск""",,,,,,,,,
по состоянию на 1августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
17,"ООО «Апрель»
ИНН 3814009840",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005343                                                                                                                                                                                         № 17-06/Пр6                                                                                                                                                                                            от 25.11.2011г.,                                                                                                                                                                                          с 25.11 2011г.                                                                                                                                                                                           по 30.06.2012г.                                                                                                                                                                                           взамен:                                                                                                                                                                                                    38 МЕ 005334                                                                                                                                                                                   № 17-06/Пр5                                                                                                                                                                                            от 11.07.2011г.,                                                                                                                                                                                               с 11.07.2011                                                                                                                                                                                            по 30.06.2012г.                                                                                                                                                                                              взамен:                                                                                                                                                                                             38 МЕ 005295
№ 17-06/Пр4 
от 20.03.2010г.,
с 20.03.2010г.
по 30.06.2012г.
взамен:
38 МЕ 005284
№ 17-06/Пр15 
от 17.11.2009г.,
с 17.11.2009г.
по 30.06.2011г.
взамен:
А 154276 
№ 17-06/Пр2 
от 12.02.2008г.,
с 12.02.2008г. 
по 30.06.2011г.
взамен:
А 228541 
№ 17-06/Пр1
от 12.02.2007г.,
с 12.02.2007г.
по 30.06.2011г.
взамен:
А228513 № 17
от 30.06.2006г.,
с 01.07.2006г.
по 30.06.2011г.","Пивной бар, 
г. Саянск, м-н Солнечный, д.4;
Ресторан «Апрель»,
г. Саянск, м-н Солнечный, д.4;
Магазин «Кулинария»,
г. Саянск, м-н Солнечный, д. 4",,,6/30/2012,,
,,,,,,,,,
18,"ООО ""ВиП""                              ИНН 3814010966",МИФНС России               № 14 по Иркутской области и УОБАО,"                                                                                                                                                                                                            38 МЕ 005327                                                                                                                                                                                            № 30-06/Пр6                                                                                                                                                                                            от 25.04.2011г.,                                                                                                                                                                                          с 25.04.2011 г.                                                                                                                                                                                             по  31.07.2012г.                                                                                                                                                                                          взамен:","отдел № 1 в универсаме «Магнит»,                                                                                                                                                                              г. Саянск, м-н Ленинградский, д.22;                                                                                                                                                     отдел № 2 в универсаме ""Магнит"",                                                                                                                                                          г. Саянск, м-н Ленинградский, д. 22;                                                                                                                                                  отдел в универсальном магазине ""Добрыня"",                                                                                                                                                 г. Саянск, м-н Строителей, д. 50",,,,,
,,,"38 МЕ 005323                                                                                                                                                                                                         № 30-06/Пр5                                                                                                                                                                                              от 25.03.2011г.,                                                                                                                                                                                     с 25.03.2011г.                                                                                                                                                                                         по 31.07.2011г.                                                                                                                                                                                   взамен:",,,,7/31/2012,,
,,,"38 МЕ 005296                                                                                                                                                                                                               № 30-06/Пр4                                                                                                                                                                                               от 06.04.2010г.,                                                                                                                                                                                         с 06.04.2010г.                                                                                                                                                                                          по  31.07.2011г.                                                                                                                                                                                взамен: ",,,,,,
,,,"38 МЕ 005285                                                                                                                                                                                            № 30-06/Пр16                                                                                                                                                                                  20.11.2009г.,                                                                                                                                                                                           с 20.11.2009г.                                                                                                                                                                                            по 31.07.2011г.                                                                                                                                                                                  взамен:",,,,,,
,,,"А 154277                                                                                                                                                                                               № 30-06/Пр3                                                                                                                                                                                          от 19.02.2008г.,                                                                                                                                                                                    с 19.02.2008г.                                                                                                                                                                                         по 31.07.2011г.                                                                                                                                                                                       взамен:",,,,,,
,,,"А 154273                                                                                                                                                                                                         № 30-06/Пр21                                                                                                                                                                                          от 24.12.2007г.,                                                                                                                                                                                     с 24.12.2007 г.                                                                                                                                                                                  по 31.07.2011г.                                                                                                                                                                                взамен:",,,,,,
,,,"А 154261                                                                                                                                                                                                     № 30-06/Пр11                                                                                                                                                                                           от 03.08.2007г.,                                                                                                                                                                                             с 03.08.2007г                                                                                                                                                                                            по 31.07.2011г.                                                                                                                                                                               взамен:",,,,,,
,,,"А 228533  № 30                                                                                                                                                                                   от 01.08.2006г.,                                                                                                                                                                                    с 08.08.2006г.                                                                                                                                                                                             по 31.0.2011г.                                                     ",,,,,,
19,"ООО «Удачный»
ИНН 3814009745",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005357                                                                                                                                                                                      № 11-06/Пр5                                                                                                                                                                                     от 16.04.2012г.,                                                                                                                                                                                          с 16.04.2012г.                                                                                                                                                                                     по 04.06.2012г.                                                                                                                                                                                Взамен:                                                                                                                                                                                            38 МЕ 005314                                                  
№ 11-06/Пр4
от 21.12.2010г.
с 21.12.2010г.
по 04.06.2012г.
взамен
А 154278 
№ 11-06/Пр4
от 29.02.2008г.,
с 29.02.2008г.
по 04.06.2011г.
взамен:
А 228507 № 11
от 05.06.2006г.,
с 05.06.2006г.
по 04.06.2011г.","Отдел «Вино-водка» в универсаме
г. Саянск, м-н Олимпийский, д.10;
Отдел в Торгово-деловом Центре «Империя», 
г. Саянск, м-н Строителей, д. 2А

",,,6/4/2012,,
20,"ООО «Альфа-продукт»
ИНН 3814003172",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005325
№ 22-07/Пр3 
от 01.04.2011г.
с 01.04.2011г.
по 27.12.2012г.","Отдел кулинарии № 1 в универсаме «Магнит»,
г. Саянск, м-н Ленинградский, д.22;
",,,,,
,,,"взамен:                                                                                                                                                                                                  38 МЕ 005306
№ 22-07/Пр2 
от 18.08.2010г.
с 18.08.2010г.
по 27.12.2012г.",,,,,,
,,,"взамен:
38 МЕ 005254
№ 22-07/Пр6 
от 16.04.2008г. 
с 16.04.2008г.
 по 27.12.2012г.
взамен:
А 154274 № 22
от 28.12.2007г.
с 28.12.2007г. 
по 27.12.2012г.",,,,,,
,,,"взамен:
А 154274 № 22
от 28.12.2007г.
с 28.12.2007г. 
по 27.12.2012г.",,,,,,
21,"ООО «Авангард»
ИНН 3814012233",МИФНС № 14 по Иркутской области и УОБАО,"38 МЕ 005353 от 04.07.2012 по 16.12.2012 взамен 38 МЕ 005353                                                                                                                                                                                               № 20-07/Пр10                                                                                                                                                                                          от 01.04.2012г.,                                                                                                                                                                                       с 01.04.2012г.                                                                                                                                                                                               по 16.12.2012г.                                                                                                                                                                                       взамен:                                                                                                                                                                                                   38 МЕ 005342                                                                                                                                                                                           № 20-07/Пр9                                                                                                                                                                                           от 23.11.2011г.,                                                                                                                                                                                       с 23.11.2011г.                                                                                                                                                                                         по 16.12.2012г.                                                                                                                                                                                        взамен:                                                                                                                                                                                                   38 МЕ 005337                                                                                                                                                                                        № 20-07/Пр8                                                                                                                                                                                             от 01.09.2011г.,                                                                                                                                                                                     с 01.09.2011г.                                                                                                                                                                                         по 16.12.2012                                                                                                                                                                                                взамен:                                                                                                                                                                                                38 МЕ 005341                                                                                                                                                                                                № 20-07/Пр7                                                                                                                                                                                      от 21.06.2011г.,                                                                                                                                                                                            с 21.06.2011г.                                                                                                                                                                                           по 16.12.2012 г.","                                                                                                                                                            Отдел в магазине № 26,                                                                                                                                                                        Зиминский район,              с. Самара,                               ул. Черемушки, д.9;
Отдел в магазине «Продукты», Зиминский район,     с. Ухтуй,              ул. Минеева, д.46;                                                                                  Отдел в магазине «Смешанные товары»,  Зиминский район,                          п. Ц. Хазан, ул. Мира, 53Б;                     Отдел в магазине «Смешанные товары», Зиминский район,                       с. Глинки, ул. Центральная, д.49;  Отдел в магазине «Для Вас»,   Зиминский район, с. Масляногорск,          ул. Полевая, д.17;   г. Зима, ул. Космонавтов, д. 78; Заларинский  р-н, п. Залари, ул. Апрельская, д. 2; г. Зима, ул. Донская, д. 14; п. Залари, ул. Ленина, д. 76А;  п. Залари, ул. Победы, д. 36Б; р.п. Куйтун, ул Красного Октября, д. 56",,,,,
,,,"взамен:                                                                                                                                                                                                         38МЕ 005320                                                                                                                                                                                                       № 20-07/Пр6                                                                                                                                                                                                    от 31.12.2010г.,                                                                                                                                                                                          с 31.12.2010г.                                                                                                                                                                                                     по 16.12.2012г",,,,,,
,,,"взамен:                                                                                                                                                                                                38МЕ 005316                                                                                                                                                                                              № 20-07/Пр5                                                                                                                                                                                                 от 24.12.2010г.,                                                                                                                                                                                               с 24.12.2010г.                                                                                                                                                                                             по 16.12.2012г",,,,,,
,,,"взамен:                                                                                                                                                                                                          38МЕ 005313                                                                                                                                                                                                № 20-07/Пр4                                                                                                                                                                                                  от 03.12.2010г.,                                                                                                                                                                                           с 03.12.2010г.                                                                                                                                                                                           по 16.12.2012г","Торговый отдел в магазине ИП Ботева Г.Ф.,                                                                                                                                            г. Зима, ул. Космонавтов, д.78;                                                                                                                                                            Отдел в магазине «Гермес»,                                                                                                                                                                        г. Зима, ул. Донская, д.14;                                                                                                                                                                   Отдел в магазине «Дорожный»,                                                                                                                                                       Заларинский р-н, п. Залари,                                                                                                                                                                     ул. Апрельская, д.2; ",,,,,
,,,"взамен                                                                                                                                                                                                   38МЕ 005309                                                                                                                                                                                        № 20-07/Пр3                                                                                                                                                                                         от 10.11.2010г.,                                                                                                                                                                                       с 10.11.2010 г.                                                                                                                                                                                       по 16.12.2012г"," отдел в магазине ""Фиалка"",                                                                                                                                                    Заларинский р-н, п. Залари, ул. Ленина, 76А;                                                                                                                                                     отдел в магазине ""Людмила"",                                                                                                                                                          Заларинский р-н, п. Залари, ул. Победы, 36Б;                                                                                                                                            отдел в кафе ""Ани"",                                                                                                                                                                               р.п. Куйтун, ул.Красного Октября, д. 56.",,,,,
,,,"взамен                                                                                                                                                                                               38МЕ 005260                                                                                                                                                                                         № 20-07/Пр13                                                                                                                                                                                   от 21.07.2008г.,                                                                                                                                                                                     с 21.07.2008г.                                                                                                                                                                                          по 16.12.2012г",,,,,,
,,,"взамен                                                                                                                                                                                                     38МЕ 005253                                                                                                                                                                                            № 20-07/Пр7                                                                                                                                                                                           от 16.04.2008г.,                                                                                                                                                                                        с 16.04.2008г.                                                                                                                                                                                           по 16.12.2012г",,,,,,
,,,"взамен                                                                                                                                                                                                      А 154272   № 20                                                                                                                                                                                      от 17.12.2007г.,                                                                                                                                                                                  с 17.12.2007 г                                                                                                                                                                                          по 16.12.2012г",,,,,,
22,"ООО «Кедр»
ИНН 3814012811",МИФНС № 14 по Иркутской области,"38МЕ 005277                                                                                                                                                                                                  № 08-08/Пр8                                                                                                                                                                                              от 10.07.2009 г.,                                                                                                                                                                                            с 10.07.2009 г.                                                                                                                                                                                              по 23.04.2013 г.                                                                                                                                                                                       взамен:                                                                                                                                                                                                        38 МЕ 005255                                                                                                                                                                                                                                                                                                                                                                                                  № 8                                                                                                                                                                                                              от 24.04.2008г.,                                                                                                                                                                                                    с 24.08.2004г.                                                                                                                                                                                                 По 23.04.2013г.","магазин ""Кедр"",                                                                                                                                                                                          г. Саянск, м-н Центральный, д.1;                                                                                                                                                           магазин ""Подснежник"",                                                                                                                                                                                 г. Саянск, м-н Солнечный,  д. 6;                                                                                                                                                             отдел в ТК ""Ассоль"",                                                                                                                                                                                   г. Саянск, м-н Олимпийский, д. 27.",,,,,
23,"ООО «Элита»
ИНН 3814012681",МИФНС № 14 по Иркутской области,"38 МЕ 005257 
№ 10
от 15.05.2008г.,
с 15.05.2008г. 
по 14.05.2013г.","Магазин «Элита», 
г. Саянск, м-н Центральный, д.1",,,,,
24,"ООО «МЕЛВИК»
ИНН 3814013460",МИФНС № 14 по Иркутской области,"38 МЕ 005297
№ 19-08/Пр1
от 08.04.2010г.
с 08.04.2010г. по 04.12.2013г.
взамен:
38 МЕ 005267
№ 19
от 05.12.2008г.,
с 05.12.2008г. 
по 04.12.2013г.","Отдел в магазине «Товары повседневного спроса»,
г. Саянск, м-н Южный, д. 52",,,,,
25,"ООО «Север Плюс»
ИНН 3814013621",МИФНС № 14 по Иркутской области ,"38 МЕ 005347                                                                                                                                                                                         № 21-08/Пр3                                                                                                                                                                                                 от 29.12.2011г.                                                                                                                                                                                   с 29.12.2011г.                                                                                                                                                                                      по 24.12.2013г.                                                                                                                                                                                       взамен:                                                                                                                                                                                                  38 МЕ 005329                                                                                                                                                                                                             № 21-08/Пр2                                                                                                                                                                                          от 27.04.2011г.,                                                                                                                                                                                                         с 27.04.2011г.                                                                                                                                                                                                                                      по 24.12.2013г                                                                                                                                                                                               взамен:","Отдел в универсальном магазине «Меркурий»,
г. Саянск, м-н Октябрьский, д. 45;                                                                                                                                                        маг. ""Смак"",                                                                                                                                                                                           г. Саянск, м-н Строителей, д. 16",,,,,
,,,"38 МЕ 005298
№ 21-08/Пр1
от 16.04.2010г.
с 17.04.2010г. по 24.12.2010г.
взамен:
38 МЕ 005269
№ 21
от 25.12.2008г.,
с 25.12.2008г. 
по 24.12.2013г.",,,,,,
26,"ООО «Торговая компания»
ИНН 3814014128",МИФНС № 14 по Иркутской области,"38 МЕ 005338                                                                                                                                                                                          № 2-09/Пр1                                                                                                                                                                                              от 14.10.2011г.,                                                                                                                                                                                      с 14.10.2011г.                                                                                                                                                                                    по 19.04.2014г.                                                                                                                                                                                            Взамен:                                                                                                                                                                                                                                            38 МЕ 005271 
№ 2
от 20.04.2009г.,
с 20.04.2009г.
по 19.04.2014г.","Кафе «Ермак»,                                                                                                                                                                               г.Саянск, м-н Южный, д.127,
Кафе «Досуг»,                                                                                                                                                                                 г.Саянск, м-н Солнечный, д.11 А,
",,,,,
27,"ООО «Позитив»
ИНН 3814013607",МИФНС № 14 по Иркутской области,"38 МЕ 005312
№ 03-09/Пр1
от 19.11.2010г.
с 19.11.2010г.
 по 27.04.2014г.
взамен:
38 МЕ 005272 
№ 3
от 28.04.2009г.,
с 28.04.2009г.
по 27.04.2014г.","Отдел в магазине «Полянка»,                                                                                                                                                         г. Саянск, м-н Строителей, д.1",,,,,
28,"ООО «Торговый дом Саянский бройлер»
ИНН 3814014463",МИФНС № 14 по Иркутской области,"38 МЕ 005351                                                                                                                                                                                           № 06-09/Пр5                                                                                                                                                                                            от 06.03.2012г.                                                                                                                                                                                         с 06.03.2012г.                                                                                                                                                                                             по 30.06.2014г.                                                                                                                                                                                                взамен:                                                                                                                                                                                                    38 МЕ 005339                                                                                                                                                                                         06-09/Пр4                                                                                                                                                                                                от 18.10.2011г.,                                                                                                                                                                                        с 18.10.2011г.                                                                                                                                                                                        по 30.06.2014г.                                                                                                                                                                                       взамен:                                                                                                                                                                                                 38 МЕ 005288
06-09/Пр 19
от 31.12.2009г.,
с 31.12.2009г.
по 30.06.2014г.
взамен:
38 МЕ 005281
06-09/Пр 12
от  25 08.2009г.,
с 25 08.2009г.
по 30.06.2014г.
взамен:
38 МЕ 005275 
№ 6
от 01.07.2009г.,
с 01.07.2009г.
по 30.06.2014г.","Магазин «Восточка»,                                                                                                                                                                                      г. Саянск, м-н Ленинградский, д.2 (вставка);
Магазин «Птица»,                                                                                                                                                                                 г. Саянск, м-н Ленинградский, д.5 (вставка);
Отдел в торговом комплексе «Товары для дома», 
г. Саянск, м-он Южный, д.124;
Отдел в магазине «Маяк»,
г. Зима, ул. Лазо,д.27;
Павильон №1-16 в ТК «Центральный»,                                                                                                                                                                           г. Зима, пер. Коммунальный, д.4",,,,,
Альфа-про,"ООО «Эталон»
ИНН 3814014255",МИФНС № 14 по Иркутской области,"38 МЕ 005282 
№ 13
от 10.09.2009г.,
с 10.09.2009г.
по 09.09.2014г.","Магазин «Молоко», 
г. Саянск, м-н Строителей, д.7;
Магазин «Юбилейный»,
г. Саянск, м-н Юбилейный, д.65",,,,,
