"Сводный реестр выданных, приостановленных и аннулированных лицензий на розничную торговлю алкогольной продукцией
за период с 01.09.2012 г.  по 01.10.2012 г.",,,,,,,,,,,,,,,,,,,,,,
"
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,,,,,,,,,,,,,области,,,,,,,,,
19,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин №1 Октябрь-
ский район с. Песча-
ноозерка  ",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
20,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин №2 Октябрь-
ский район с. Песча-
ноозерка  ",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
21,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин Октябрьский
район с. Мухинское  ",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
22,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин Октябрьский
район с. Максимовка  ",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
23,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул., ,"Магазин Октябрьский
район с. Екатеринос-
лавка район комбината
Таежный"" ", ,28,28, розничная продажа алкогольной продукции,,МЕ 004542," 
Министерство внешнеэкономических связей,",26.09.2012,23.06.2013,,,,, , ,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,,,,Кооперативная 1,,,,,,,,,туризма и предпринимательства  Амурской области,,,,,,,,,
24,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин Октябрьский
район с. Новомихайло-
вка ул. Коммунальная
15",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
25,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин Октябрьский
район с. Прибрежное
ул. Луговая 6",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
26,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин Октябрьский
район с. Переясловка
ул. Центральная 10",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
27,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин Октябрьский
район с. Романовка ул.
Центральная 18",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
28,Октябрьское райпо,2821000043,282101001,676630 Амурская, ,"Магазин Октябрьский
район с. Смелое ул.", ,28,28, розничная продажа,,МЕ 004542," 
Министерст",26.09.2012,23.06.2013,,,,, , ,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,,,,Октябрьский район с. Екатеринославка ул. Кооперативная 1,,Школьная 11,,,,алкогольной продукции,,,"во внешнеэкономических связей, туризма и предпринимательства  Амурской области",,,,,,,,,
29,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин Октябрьский
район с. Преображено-
вка ул. Молодежная 27",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
30,Октябрьское райпо,2821000043,282101001,676630 Амурская Октябрьский район с. Екатеринославка ул. Кооперативная 1,,"Магазин Октябрьский
район с. Короли ул.
Линейная 15",,28,28, розничная продажа алкогольной продукции,,МЕ 004542,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",26.09.2012,23.06.2013,,,,,,,
31,"ООО ""АНК.ОР""",2801100723,280101001,675000 Амурская г.Благовещенск  ул. Трудовая 15,,"Кофейня ""Анкор""
г.Благовещенск  ул.
Трудовая 15",,28,28, розничная продажа алкогольной продукции,,МЕ 004513,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",09.09.2012,08.09.2014,,,,,,,
32,"ООО ""Арбат""",2808022707,280801001,676282 Амурская г. Тында  ул. Красная Пресня 48, ,"Магазин ""Арбат"" г.
Тында  ул. Красная
Пресня 48", ,28,28, розничная продажа алкогольной продукции,,МЕ 004532," 
Министерство внешнеэкономических связей, туризма и предпринимательства ",14.09.2012,13.09.2013,,,,, , ,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,,,,,,,,,,,,,Амурской области,,,,,,,,,
33,"ООО ""Арбат""",2808022707,280801001,676282 Амурская г. Тында  ул. Красная Пресня 48,,"Отдел кулинария г.
Тында  ул. Красная
Пресня 27",,28,28, розничная продажа алкогольной продукции,,МЕ 004532,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",14.09.2012,13.09.2013,,,,,,,
34,"ООО ""Арбат""",2808022707,280801001,676282 Амурская г. Тында  ул. Красная Пресня 48,,"Кафе ""Арбат"" г. Тында
 ул. Красная Пресня 48",,28,28, розничная продажа алкогольной продукции,,МЕ 004532,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",14.09.2012,13.09.2013,,,,,,,
35,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Отдел в магазине Бла-
говещенский район с.
Михайловка пер. Мир-
ный 1/1 А",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
36,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Экспресс-бар в кафе
Благовещенский район
с/с Волковский зона
отдыха о. ""Владимиро-
вское"" ",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
37,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118, ,"Отдел в магазине ""Ваш
магазин"" Благовещен-
ский район с. Чигири
ул. Воронково 23/1, п2", ,28,28, розничная продажа алкогольной продукц,,МЕ 004538," 
Министерство внешнеэкономических",24.09.2012,01.08.2013,,,,, , ,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,,,,,,,,,,ии,,,"связей, туризма и предпринимательства  Амурской области",,,,,,,,,
38,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Экспресс-бар в кафе
Фанза"" г.Благовещенск
 ул. Театральная 81",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
39,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Отдел в магазине
""Байкал"" г.Благове-
щенск  ул. Б. Хмель-
ницкого 67",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
40,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Отдел в магазине
""Байкал"" г.Благове-
щенск  ул. Ленина 178",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
41,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Отдел в магазине
""Монарх"" г.Благове-
щенск  ул. Горького
136",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
42,ООО,280114,280101,675000, ,"Отдел в магазине ""Два", ,28,28, розничн,,МЕ, ,24.09.2012,01.08.2013,,,,, , ,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,"""АРТ-Маркет Союз""",1455,001,Амурская г.Благовещенск  ул. Текстильная 118,,"шага"" г.Благовещенск 
ул. Кузнечная 67",,,,ая продажа алкогольной продукции,,004538,"Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",,,,,,,,,
43,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Отдел в магазине""Ми-
ни-маркет"" г.Благове-
щенск  ул. Калинина
76 п.1-8",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
44,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Отдел в магазине
""Продмаркет"" г.Благо-
вещенск  ул. Институ-
тская 20/2",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
45,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Отдел в магазине
г.Благовещенск  п.
Моховая падь литер 18",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
46,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118, ,"Отдел в магазине ""8
марта"" г.Благовещенск
 ул. Чайковского 20 л.
А", ,28,28, розничная продажа алкогольной продукции,,МЕ 004538," 
Министерство внешнеэкономических связей, туризма и предприним",24.09.2012,01.08.2013,,,,, , ,
№ п/п,"Наименование организации, организационно-правовая форма",ИНН организации,КПП организации,Место нахождения организации,Адрес электронной почты,Адрес осуществления лицензируемого вида деятельности обособленным подразделением организации,КПП обособленного подразделения организации,Код субъекта РФ по месту нахождения организации,Код субъекта РФ по месту осуществления лицензируемого вида деятельности обособленным подразделение организации,Вид лицензируемой деятельности,Вид продукции,Номер лицензии,Наименование лицензирующего органа выдавшего лицензию,Дата выдачи лицензии,Дата окончания действия лицензии,Дата приостановления действия лицензии,Дата возобнавления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Статус лицензии,Дата изменения статуса,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
,,,,,,,,,,,,,ательства  Амурской области,,,,,,,,,
47,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Отдел в магазине ""8
марта"" г.Благовещенск
 ул. Зеленая/Кузнечная
6/238",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
48,"ООО ""АРТ-Маркет Союз""",2801141455,280101001,675000 Амурская г.Благовещенск  ул. Текстильная 118,,"Экспресс-бар в кафе
""ПИПЛЗ"" г.Благове-
щенск  ул. Амурская
191 л. А",,28,28, розничная продажа алкогольной продукции,,МЕ 004538,"
Министерство внешнеэкономических связей, туризма и предпринимательства  Амурской области",24.09.2012,01.08.2013,,,,,,,
