"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Чунскому РМО",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
12,ООО « Мир»                   ИНН 3815009040,Межрайонная ИФНС России №5 по Иркутской обл. и УОБАО,Лицензия Д 561303 № 26 от 19.04.2007г. по 27.06.2011г. продлена сроком на 1 год   по 27.06.2012 г. вместо Д 561331 №19 от 30.10.2006г. вместо А 232761 №1 от 27.06.2006г. по 27.06.2011г.,"п. Чунский: ул. 40 лет Победы,7 магазин ""Мир""; ул. Ангарская 17 а магазин ""Мир""; ул. Парковая, 2а магазин ""Мир"";ул. Ленина, 73а магазин ""Мир""; ул. Комарова,7а магазин ""Мир""; ул. Свердлова,10а кафе ""Анжелика""",-,-,26.06.2012г. (истечение срока действия лицензии),-,-,
,,,,,,,,,,
13,"ООО ""Березка""   ИНН 3815011024",Межрайонная инспекция Федеральной налоговой службы № 5 по Иркутской области и УОБАО,А 176928 №81 от 22.02.2012г.       с22.02.2012 г. по 22.02.2013г.,"п. Лесогорск: ул. Ленина, д.27Н магазин ""Березка"";     ул. Рабочая, 20 Н магазин ""Березка"".",-,-,-,-,-,
14,ООО  «Василий» 3815011225,Межрайонная ИФНС России №5      по Иркутской обл. и УОБАО,А 176926 №79 от 26.12.2011г.                            с 26.12.2011г. по 26.12.2016г.,"п. Чунский: ул. Крупской,8 магазин ""Василий"";                                                                                                                                                                                                                                                                                                                    ул. Ленина,75-2Н  магазин ""Василий""",-,-,-,-,-,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
15,ООО «Идеал»             ИНН 3815012155,Межрайонная ИФНС России №5  по Иркутской обл. и УОБАО,А 556336 № 67 от 26.04.2011г. по 01.08.2012 г. вместо А556238  №51  от  24.12.2008г. по 01.08.2012 г.вместо Д 561307 №30 от 01.08.2007г. по 01.08.2012г.,"п. Октябрьский:  ул. Трактовая,39 магазин ""Идеал""; ул. Мира,2 магазин ""Идеал"";ул. Строительная,18 магазин ""Идеал"".                                        ",-,-,-,-,-,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
16,"ООО ""Пирамида""    3815010084",Межрайонная ИФНС России №5  по Иркутской обл. и УОБАО,  А 556351 № 71  от 11.07.2011г.                      вместо Д 561308 №31 с 28.09.2007г. по 28.09.2012г.,"п. Чунский: ул. Ленина,18 ""Д"" магазин ""Люисан"" .                                                                                      ",-,-,"досрочно,по заявлению лицензиата              с 27.07.2012г.",-,-,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
17,ООО «Феникс»,Межрайонная ИФНС России №5  по Иркутской обл. и УОБАО,Д  561310  № 33,п. Чунский:,-,-,"досрочно,по заявлению лицензиата              с 25.07.2012г.",-,-,
,3815011120,,с     13.11.2007 г.,"ул. Ленина, 52      минимаркет  «Феникс»",,,,,,
,,,по   13.11.2012 г,,,,,,,
18,ООО «Троя» 3815012652,Межрайонная ИФНС России №5      по Иркутской обл. и УОБАО,Д 561313   № 36   от 27.12.2007г.              с 27.12.2007 г по  27.12.2012 г.,"п. Чунский:    ул. 50 лет Октября, 1Г магазин ""Валентина""",на 2 месяца (с 17.07.2012г. по 17.09.2012г.),-,-,-,-,
19,"ОАО ""Чуналесторг"" 3844000958",Инспекция МНС  России по Чунскому району  Иркутской области,А 176934 № 85 от 18.05.2112г.( с 18.05.2012г. по 22.07.2013 г.) вместо А 556332 № 63 от 30.09.2010г. - 22.07.2013 года   вместо А556248 №58 от 15.07.2009     вместо А556237 №50 от 19.12.2008  вместо А556229 №45 от 30.09.2008      вместо А556226 №43 от 15.08.2008     вместо А556106 №40 от 22.07.2008г. с 22.07.2008г. по 22.07.2013г.,"п. Октябрьский:    ул. 2-ая Алтайская,22  магазин №2; ул. Мира, 46 магазин № 7; ул. Трактовая,61 магазин №9; ул. 2-я Первомайская,9 магазин №8; ул. Горького,38 магазин №14; ул. Декабристов,14 магазин №13; ул. Комсомольская,2А магазин № 21; переулок Спортивный,5 магазин №5; ул. Мартовская,4 магазин № 4; ул. Горького, д.84 магазин №3.                                                                                    п. Чунский:  ул. Мира, 2Д магазин №11;                                                        п. Сосновка: ул. Лесная,10 магазин ОАО ""Чуналесторг"".",-,-,-,-,-,
,,,,,,,,,,
,,,,,,,,,,
20,"ООО ""Винный погребок-Долина Грез""                3815013720",Межрайонная ИФНС России №5  по Иркутской области ,А  176942  № 93 от 30.07.2012г. (с 30.07.2012г. по 31.07.2013г.) вместо А  176925  № 78 от 19.12.2011г.(с 19.12.2011г.  по 31.07.2013г.)  вместо А  556171 № 60  от  09.06.2010г.  (с 09.06.2010г. по 31.07.2013 г.)  вместо А556247 № 57 от 17.06.2009г. вместо А556231 № 47 от 02.12.2008     вместо А 556108г. № 42 от 31.07.2008г.,"п. Чунский:  ул. Мира,13 Б маг. ""Винный погребок-Долина Грез""; ;р.п. Чунский, ул. Ленина,41 кафе ""Долина грез"".                                                          ",-,-,-,-,-,
,,,,,,,,,,
,,,,,,,,,,
21,ООО «Руслан» 3815014064,Межрайонная ИФНС России №5  по Иркутской области ,А 176940 № 91 от 24.07.2012г. (с 24.07.2012г. по 20.11.2013г.) вместо А 556333 № 64 от 28.01.2011 г. по 20.11.2013г. вместо А 556169 № 59 с 12.08.2009г. по 20.11.2013 года                                        вместо  А556230  № 46 от 20.11.2008г. по 20.11.2013г. ,"Переоформление 24.07.2012г. Исключить из лицензии: п. Лесогорск:   ул. Рабочая,18 ""Н""   магазин ""Руслан""; ул. Ленина, 9-10""Н"" магазин ""Руслан"".",-,-,-,-,-,
22,"ООО ""Анастасия"" ИНН 3815014040",Межрайонная ИФНС России №5 по Иркутской области,А  556246   № 56 от 17.06.2009 г. (с 17.06.2009 по 16.12.2013 г.),п. Чунский:,-,-,-,-,-,
,,,вместоА556232 №48 от16.12.2008г.,"ул. Дальняя, 11 А                магазин  «Анастасия»",,,,,,
,,,,"ул. Советская,2                    магазин «Анастасия»  ",,,,,,
,,,,"ул.50 лет Октября,112         магазин «Анастасия».",,,,,,
23,ООО «Мираж»,Межрайонная ИФНС России №5 по Иркутской обл.,А  556233  №  49,п. Октябрьский:, на 2 месяца (с 31.07.2012г. по 01.10.2012г.),-,-,-,-,
,3815014138,,с    19.12.2008 г.,"ул. Горького,  79 А                павильон «Мираж»", на 2 месяца (с 31.07.2012г. по 01.10.2012г.),,,,,
,,,по   19.12.2013 г.,, на 2 месяца (с 31.07.2012г. по 01.10.2012г.),,,,,
24,ООО «Таежный»     ИНН 3815014113,Межрайонная ИФНС России №5      по Иркутской обл.,А  556239   №52  от 30.12.2008г.    с 30.12.2008г. по 30.12.2013г.,"п. Чунский:     ул. Комарова,3 ресторан «Таежный», кафе «Аленка»,магазин «Кулинария»   ",-,-,-,-,-,
,,,,,,,,,,
,,,,,,,,,,
25,"ООО ""Мандарин""  Инн 3816013313",Межрайонная ИФНС № 6      по Иркутской области,А 176933 от 05.05.02012г. (с 05.05.2012г. по 05.05.2013г.),"р.п.Чунский: ул. Фрунзе, д.3 магазин ""Мандарин"".",-,-,-,-,-,
26,ООО «Вектор-Т» 3805709370,Межрайонная ИФНС № 15      по Иркутской обл.,А 242820 от 03.05.2012г. (с 03.05.2012г. по 24.04.2014г.) вместо А 242775 № 52 от 01.09.2011г. вместо А 242767 № 44 от 20.07.2011г. вместо А 242762 № 43 от 01.07.2011г. вместо А 242757 №18 от 12.05.2011 г. вместо А 242754 № 14 от 20.04.2011г.  вместо А 176139 № 5 от 05.03.2011г. вместо    А 176131 №63 от 28.12.10г. вместо А556357 № 27 от  12.01.10 вместо А556224 № 37 от  19.10.09г.,"п. Чунский:  ул. Фрунзе,8-1н магазин ""Эдем"",микрорайон Северный,1-18Н магазин ""Магазин"" ,  микрорайон Северный,5-5н магазин ""Северный-2""; микрорайон Северный,5-5н магазин ""Северный-4"".                                                                                                                                                                                                п. Каменск: ул. Молодежная,13 маг. ""Ивушка"";пер. Центральный,3  маг""Магазин"". п.Парчум: ул. Студенческая,19-1н маг. ""Спутник"",ул.Школьная,16  маг.""Магазин"";ул. Центральная,7 маг. ""Магазин"" п. Заводской: ул. Первомайская, 18 маг. ""Магазин""; ул. Первомайская,7 маг. ""Орфей"". п. Тахтамай:  ул. Тахтамайская,46 магазин  ""Магазин"". п. Новочунка:   ул. Толстого,15 магазин ""Орфей"";ул. Толстого, 7Б маг.""Орфей"". п. Лесогорск: ул. Веселая,34 н (Бидоги) маг.""Орфей"". с. Бунбуй: ул. Береговая,22А маг. ""Ивушка"".   д. Новобалтурина: ул. Центральная,1 маг. ""Ивушка"".    п. Октябрьский:: ул. Красные Зори,23 маг. ""Барс"".",-,-,-,-,Муниципальное образование «Тайшетский район»,
27,ООО «Магнит» 3815012821,Межрайонная ИФНС № 5  по Иркутской обл. и УОБАО,А 242837 № 28 от 23.07.2012г. (с 23.07.2012г. до 06.02.2013г.) вместо А 242819 № 13 от 18.04.2012г. (с 18.04.2012г. по 06.02.2013г.) вместо А 242807 № 6 от 28.02.12г. А 242760 № 23 от  09.06.2011г.  вместо А 242756 № 17 от 06.05.2011г.  вместо А556299 № 16 от 14.05.10г. вместо   А 176142 №8 от 29.03.2011г. по 06.02.2013г.,"п. Чунский: ул. Пролетарская,15Н, маг. ""Сибирь""; ул. Комарова,6 маг. ""Людмила"". ул. Ленина,23 корпус 5А маг. ""Экспресс""; ул. Пролетарская,54 маг. ""Новый"".                                                                                                                                  п. Лесогорск: ул. Ленина,21-19н маг. ""Авелина""; ул. Комсомольская,2-1 маг. ""Юляшка1""; ул. Калинина,28 маг. ""Юляшка3""; ул. Ленина,29А-53Н маг. ""Экспресс"".                                                                                  п. Октябрьский: ул. Горького,65Н магазин ""Эдем"". п. Новочунка: ул. Зеленая,21 помещение №1 магазин ""Березка"";ул. Зеленая,21 помещение №2 магазин ""Березка""; ул.Толстого,д.12/1 магазин ""Березка"".",-,-,-,-,Муниципальное образование «Тайшетский район»,
28,"ООО ""СТЕЛС""   3815014762                ",Межрайонная ИФНС № 5      по Иркутской области,"А 242831 №23 от 20.06.2012г. ( с 20.06.2012г. до 18.08.2014г.) вместо А 242811 от 28.03.2012г. вместо А 242804 № 4 от 06.02.2012г. вместо А 242797 № 73 от 30.12.2011г. по 18.08.2014г. вместо А 242777 №53 от 09.09.2011г. вместо А 242769 № 49 от 05.08.2011 г.  вместо А 242761 № 31 от 28.06.2011г.  вместо А 242759 № 19 от 25.05.2011г. по 18.08.2014г., вместо А 176141 №7 от 24.03.2011г. по 18.08.2014 г.","р.п. Чунский:  мкр. Северный,д.5-1Н магазин ""О никс""; п. Лесогорск: ул. Ленина, 9-2н магазин ""Бонус"".                    п. Пионерский: магазин ""Бонус-1"", ул. Рабочая, 20-2.                п. Веселый: магазин ""Венера"", ул. Мира,11                                           р.п. Октябрьский: магазин ""Вариант"",ул. Горького,81/1; магазин ""Продукты"", ул. Трактовая,41; магазин ""Экспресс"", ул. Станционная,12-2Н, р.п. Чунский, магазин ""У Иришки"", ул. Горького,2А.",-,-,-,-,Муниципальное образование «Тайшетский район»,
29,ООО «Мир»                   ИНН 3815009040,Межрайонная ИФНС России №5 по Иркутской обл. и УОБАО, А 176938 № 87 от  06.07.2012г. (с 06.07.2012г. по 27.06.2017г). Взамен А 176935 № 86 от 27.06.2012 г. (с 27.06.2012г. по 27.06.2017г.),"Переоформление 06.07.2012г., включить в лицензию: р.п. Чунский:   ул. Парковая,д.2А  магазин ""Мир""; ул. Ленина,д.73А  магазин ""Мир"".",-,-,-,-,-,
30,"ООО ""Надежда""         ИНН 3815010623",Межрайонная ИФНС                                  № 5  по Иркутской области , А 176936 от 09.07.2012г. (с 09.07.2012г. по 09.07.2015г.),"р.п. Лесогорск:  ул. Шастина, 33А-3Н магазин ""Надежда""; ул.Ленина,д.17-3Н магазин ""Надежда"";  ул. Шастина,д.31Н кафе ""Надежда""; ул. Комсомольская,д.7 минимаркет ""Надежда"".",-,-,-,-,-,
31,"ООО ""Екатерина""          ИНН  3815010782",Межрайонная ИФНС                                                      № 5  по Иркутской области и  УОБАО,А 176937  № 89 от 21.07.2012г. (с 21.07.2012г. по 21.07.2013г.),"р.п. Лесогорск:   ул. Комсомольская, д.4 пом.1Н, магазин ""Екатерина"".                                                                ",-,-,-,-,-,
32,"ООО ""Леонова""          ИНН 3816013909",Межрайонная ИФНС России                                                    № 6 по Иркутской области ,А 176939 № 90 от 21.07.2012г. (с 21.07.2012г. по 21.07.2013г.),"р.п. Лесогорск: ул. Гагарина,11 магазин ""Гурман"".",-,-,-,-,-,
18,"ООО ""Алмаз -Тайшет""                      ИНН 3816012207",Межрайонная ИФНС России                                                    № 6 по Иркутской области ,А 242838 № 29 от 23.07.2012г. (с 23.07.2012г. до 25.08.2012г.) вместо А 242782 № 65 от 12.12.2011г. по 25.08.2012г. Вместо А 242774 № 50 от 25.08.2011г. по 25.08.2012г.,"Переоформление 23.07.2012г.  Включить в лицензию:  магазин ""Журавленок"" р.п. Чунский, ул. Ленина,52; магазин ""Теремок"", р.п. Октябрьский,ул. Мира,43; кафе ""О никс"", р.п. Чунский, ул. Изыканская,2А.",-,-,-,-,Муниципальное образование «Тайшетский район»,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
