,,,,,,,,,,,,,,,,,,,,,,,
,,8,"Общество с ограниченной ответственностью ""Гриада-Сибирь""",0323350475,032301001,"670013, Бурятия Респ, Улан-Удэ г, Приречная ул, дом № 5",46@cristall-retail.ru,"670000, Бурятия Респ, Улан-Удэ г, Смолина ул, дом № 81 магазин ""Кристалл""
670000, Бурятия Респ, Улан-Удэ г, Смолина ул, дом № 81 магазин ""Кристалл""
670013, Бурятия Респ, Улан-Удэ г, Приречная ул, дом № 5 магазин ""Кристалл""
670013, Бурятия Респ, Улан-Удэ г, Приречная ул, дом № 5 магазин ""Кристалл""
670013, Бурятия Респ, Улан-Удэ г, Ключевская ул, дом № 39 б магазин "" Кристалл""
670013, Бурятия Респ, Улан-Удэ г, Ключевская ул, дом № 39 б магазин "" Кристалл""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0599,Республиканская служба по потребительскому рынку и лицен.,06.30.2010,06.30.2015,,,,,Выдана,06.30.2010
,,9,"Общество с ограниченной ответственностью ""Исток""",0310009356,031001001,"671454, Бурятия Респ, Кижингинский р-н, Новокижингинск с, Микрорайон тер, дом № 12, кв.9",Ekaterina141181@mail.ru,"671454, Бурятия Респ, Кижингинский р-н, Новокижингинск с, Микрорайон тер, дом № 12, кв.9 магазин ""Исток""
671454, Бурятия Респ, Кижингинский р-н, Новокижингинск с, Микрорайон тер, дом № 12, кв.9 магазин ""Исток""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0181,Республиканская служба по потребительскому рынку и лицен.,10.22.2008,10.22.2013,,,,,Выдана,10.22.2008
,,10,"Общество с ограниченной ответственностью ""Реал""",0326491040,032601001,"670000, Бурятия Респ, Улан-Удэ г, Свердлова ул, дом № 8",ooo.real@mail.ru,"670000, Бурятия Респ, Улан-Удэ г, Свердлова ул, дом № 8 магазин ""Продукты 24""
670000, Бурятия Респ, Улан-Удэ г, Свердлова ул, дом № 8 магазин ""Продукты 24""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0587,Республиканская служба по потребительскому рынку и лицен.,05.28.2010,05.28.2015,,,,,Выдана,05.28.2010
,,12,"Общество с ограниченной ответственностью ""ЭкоГрад""",0323354906,032301001,"670031, Бурятия Респ, Улан-Удэ г, Бабушкина ул, дом № 178",ecograd00@mail.ru,"670031, Бурятия Респ, Улан-Удэ г, Бабушкина ул, дом № 178 Магазин ""Подвальчикъ""
670031, Бурятия Респ, Улан-Удэ г, Бабушкина ул, дом № 178 Магазин ""Подвальчикъ""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0741,Республиканская служба по потребительскому рынку и лицен.,03.02.2011,03.02.2016,,,,,Выдана,03.02.2011
,,13,"Общество с ограниченной ответственностью ""София""",0309990730,090901001,"671247, Бурятия Респ, Кабанский р-н, Селенгинск пгт, Южный мкр, дом № 14, кв.49",katya-sofia@mail.ru,"671247, Бурятия Респ, Кабанский р-н, Селенгинск пгт, Комсомольская ул в 12 метрах на юго-запад от дома № 18/1 торговый павильон ""София""
671247, Бурятия Респ, Кабанский р-н, Селенгинск пгт, Комсомольская ул в 12 метрах на юго-запад от дома № 18/1 торговый павильон ""София""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0743,Республиканская служба по потребительскому рынку и лицен.,03.04.2011,03.04.2016,,,,,Выдана,03.04.2011
,,14,"Общество с ограниченной ответственностью ""Радуга""",0316200567,031601001,"671281, Бурятия Респ, Прибайкальский р-н, Ильинка с, Лесная ул, дом № 13",raduga.ilinka@mail.ru,"671281, Бурятия Респ, Прибайкальский р-н, Ильинка с, Коммунистическая ул, дом № 50 ""А"" Магазин ""Для Вас""
671281, Бурятия Респ, Прибайкальский р-н, Ильинка с, Коммунистическая ул, дом № 50 ""А"" Магазин ""Для Вас""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0747,Республиканская служба по потребительскому рынку и лицен.,03.14.2011,03.14.2016,,,,,Выдана,03.14.2011
,,15,"Общество с ограниченной ответственностью ""Лотос""",0320990163,032001001,"671023, Бурятия Респ, Тункинский р-н, Аршан п, Трактовая ул, дом № 38 ""А""",ooolotos-01@mail.ru,"671023, Бурятия Респ, Тункинский р-н, Аршан п, Трактовая ул, дом № 38 ""А"" Магазин ""Лотос""
671023, Бурятия Респ, Тункинский р-н, Аршан п, Трактовая ул, дом № 38 ""А"" Магазин ""Лотос""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0750,Республиканская служба по потребительскому рынку и лицен.,03.14.2011,03.14.2016,,,,,Выдана,03.14.2011
,,16,"Общество с ограниченной ответственностью ""Сытый папа""",0317010390,031701001,"671701, Бурятия Респ, Северобайкальск г, Полиграфистов ул, дом № 3, кв.53",OOO_SIT-PAPA@mail.ru,"671701, Бурятия Респ, Северобайкальск г, Парковая ул, дом № 7а магазин ""Сытый папа""
671701, Бурятия Респ, Северобайкальск г, Парковая ул, дом № 7а магазин ""Сытый папа""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0590,Республиканская служба по потребительскому рынку и лицен.,06.08.2010,06.08.2015,,,,,Выдана,06.08.2010
,,17,"Общество с ограниченной ответственностью ""КоАмелия""",0309990321,030901001,"671200, Бурятия Респ, Кабанский р-н, Кабанск с, Совхозная ул, дом № 1",k.o.ameliya@mail.ru,"671200, Бурятия Респ, Кабанский р-н, Кабанск с, Совхозная ул, дом № 1 магазин ""КоАмелия""
671200, Бурятия Респ, Кабанский р-н, Кабанск с, Совхозная ул, дом № 1 магазин ""КоАмелия""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0600,Республиканская служба по потребительскому рынку и лицен.,06.28.2010,06.28.2015,,,,,Выдана,06.28.2010
,,18,"Общество с ограниченной ответственностью ""Федот""",0304010177,030401001,"671920, Бурятия Респ, Джидинский р-н, Петропавловка с, Транспортная ул, дом № 26, кв.2",,"671920, Бурятия Респ, Джидинский р-н, Петропавловка с, Ленина ул, дом № 35а магазин ""Любимый""
671920, Бурятия Респ, Джидинский р-н, Петропавловка с, Ленина ул, дом № 35а магазин ""Любимый""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0615,Республиканская служба по потребительскому рынку и лицен.,07.30.2010,07.30.2015,06.15.2012,,,,Выдана,07.30.2010
,,20,"Общество с ограниченной ответственностью ""Сибстрой-1""",0323337202,032301001,"670031, Бурятия Респ, Улан-Удэ г, Солнечная ул, дом № 7 а, корпус 305",sibstroi2005@mail.ru,"670034, Бурятия Респ, Улан-Удэ г, Гагарина ул, дом № 25 кафе ""Сагаан Морин""
670034, Бурятия Респ, Улан-Удэ г, Гагарина ул, дом № 25 кафе ""Сагаан Морин""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0193,Республиканская служба по потребительскому рынку и лицен.,10.29.2008,10.29.2013,,,,,Выдана,10.29.2008
,,21,"Общество с ограниченной ответственностью ""Экстра""",0323360152,032301001,"670031, Бурятия Респ, Улан-Удэ г, Бабушкина ул, дом № 166",,"670033, Бурятия Респ, Улан-Удэ г, Пищевая ул, дом № 19 бар в сауне ""Эксклюзив""
670033, Бурятия Респ, Улан-Удэ г, Пищевая ул, дом № 19 бар в сауне ""Эксклюзив""
670047, Бурятия Респ, Улан-Удэ г, Боевая ул, дом № 6 бар в сауне ""Максимум""
670047, Бурятия Респ, Улан-Удэ г, Боевая ул, дом № 6 бар в сауне ""Максимум""
670031, Бурятия Респ, Улан-Удэ г, Бабушкина ул, дом № 166 бар в сауне ""Экстра""
670031, Бурятия Респ, Улан-Удэ г, Бабушкина ул, дом № 166 бар в сауне ""Экстра""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,1039,Республиканская служба по потребительскому рынку и лицен.,03.26.2012,03.26.2017,,,,,Выдана,03.26.2012
,,22,"Общество с ограниченной ответственностью ""Пион""",0323350299,032301001,"670031, Бурятия Респ, Улан-Удэ г, 113-й кв-л, дом № 1",pion.1983@mail.ru,"670031, Бурятия Респ, Улан-Удэ г, 113-й кв-л, дом № 1 магазин ""Продукты""
670031, Бурятия Респ, Улан-Удэ г, 113-й кв-л, дом № 1 магазин ""Продукты""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0583,Республиканская служба по потребительскому рынку и лицен.,05.13.2010,05.13.2015,,,,,Выдана,05.13.2010
,,24,"Общество с ограниченной ответственностью ""Москвитин А.И.""",0314010754,031401001,"671342, Бурятия Респ, Мухоршибирский р-н, Шаралдай с, Большая ул, дом № 97",alc19@infoconbur.ru,"671342, Бурятия Респ, Мухоршибирский р-н, Шаралдай с, Гагарина ул, дом № 39 магазин ""Гарант""
671342, Бурятия Респ, Мухоршибирский р-н, Шаралдай с, Гагарина ул, дом № 39 магазин ""Гарант""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0609,Республиканская служба по потребительскому рынку и лицен.,07.16.2010,07.16.2015,,,,,Выдана,07.16.2010
,,25,"Общество с ограниченной ответственностью ""Байкальская звезда""",0326479396,032601001,"670023, Бурятия Респ, Улан-Удэ г, Трудовая ул, дом № 8",,"670000, Бурятия Респ, Улан-Удэ г, Ермаковского ул, дом № 41 магазин ""Звезда""
670000, Бурятия Респ, Улан-Удэ г, Ермаковского ул, дом № 41 магазин ""Звезда""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0191,Республиканская служба по потребительскому рынку и лицен.,10.24.2008,10.24.2013,,,,,Выдана,10.24.2008
,,26,"Общество с ограниченной ответственностью ""Арсенал""",0303007943,030301001,"671365, Бурятия Респ, Бичурский р-н, Узкий Луг с, Ленина ул, дом № 34, кв.2",rashet.08@mail.ru,"671365, Бурятия Респ, Бичурский р-н, Узкий Луг с, Ленина ул, дом № 34, кв.2 магазин ""Продукты""
671365, Бурятия Респ, Бичурский р-н, Узкий Луг с, Ленина ул, дом № 34, кв.2 магазин ""Продукты""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0737,Республиканская служба по потребительскому рынку и лицен.,02.28.2011,02.28.2016,,,,,Выдана,02.28.2011
,,27,"Общество с ограниченной ответственностью ""Сокол""",0303007990,030301001,"671363, Бурятия Респ, Бичурский р-н, Малый Куналей с, Братьев Малковых ул, дом № 29а",SOKOL9_2011@bk.ru,"671363, Бурятия Респ, Бичурский р-н, Малый Куналей с, Братьев Малковых ул, дом № 29а Магазин ""Девятка""
671363, Бурятия Респ, Бичурский р-н, Малый Куналей с, Братьев Малковых ул, дом № 29а Магазин ""Девятка""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0742,Республиканская служба по потребительскому рынку и лицен.,03.03.2011,03.03.2016,,,,,Выдана,03.03.2011
,,28,"Общество с ограниченной ответственностью ""Компания МАКСИМ""",0323354550,032301001,"670047, Бурятия Респ, Улан-Удэ г, Северная, дом № 26",maksim-kompanya@mail.ru,"670047, Бурятия Респ, Улан-Удэ г, Северная, дом № 26 Магазин ""Алекс""
670047, Бурятия Респ, Улан-Удэ г, Северная, дом № 26 Магазин ""Алекс""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0728,Республиканская служба по потребительскому рынку и лицен.,02.11.2011,02.11.2016,,,,,Выдана,02.11.2011
,,29,"Общество с ограниченной ответственностью ""Фарт""",0326494242,032601001,"670045, Бурятия Респ, Улан-Удэ г, Тубсанаторий п, дом № 41 ""Б""",elena.sakhirova@gmail.com,"670045, Бурятия Респ, Улан-Удэ г, Тубсанаторий п, дом № 41 ""Б"" Магазин ""Рублевка""
670045, Бурятия Респ, Улан-Удэ г, Тубсанаторий п, дом № 41 ""Б"" Магазин ""Рублевка""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0753,Республиканская служба по потребительскому рынку и лицен.,03.24.2011,03.24.2016,06.14.2012,08.18.2012,,,Выдана,03.24.2011
,,31,"Общество с ограниченной ответственностью ""Бриз""",0326486330,032601001,"670034, Бурятия Респ, Улан-Удэ г, Гагарина ул, дом № 43",briz-cafe@mail.ru,"670034, Бурятия Респ, Улан-Удэ г, Гагарина ул, дом № 43 кафе ""Шеньян""
670034, Бурятия Респ, Улан-Удэ г, Гагарина ул, дом № 43 кафе ""Шеньян""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0584,Республиканская служба по потребительскому рынку и лицен.,05.17.2010,05.17.2015,,,,,Выдана,05.17.2010
,,32,"Общество с ограниченной ответственностью ""Олеся""",0303007809,030301001,"671371, Бурятия Респ, Бичурский р-н, Ара-Киреть с, Назимова ул, дом № 58",olesya.polyakova.2012@mail.ru,"671371, Бурятия Респ, Бичурский р-н, Ара-Киреть с, Назимова ул, дом № 58 магазин ""Станица""
671371, Бурятия Респ, Бичурский р-н, Ара-Киреть с, Назимова ул, дом № 58 магазин ""Станица""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0591,Республиканская служба по потребительскому рынку и лицен.,06.09.2010,06.09.2015,,,,,Выдана,06.09.2010
,,33,"Общество с ограниченной ответственностью ""Железобетонщик""",0309014224,030901001,"671205, Бурятия Респ, Кабанский р-н, Каменск пгт, Лазо ул, дом № 39",zavod.kam@mail.ru,"671205, Бурятия Респ, Кабанский р-н, Каменск пгт, Луговая ул в 10 метрах от дома № 31-1 торговый павильон ""Людмила""
671205, Бурятия Респ, Кабанский р-н, Каменск пгт, Луговая ул в 10 метрах от дома № 31-1 торговый павильон ""Людмила""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0596,Республиканская служба по потребительскому рынку и лицен.,06.17.2010,06.17.2015,,,,,Выдана,06.17.2010
,,34,"Общество с ограниченной ответственностью ""Спутник+""",0318033488,031801001,"671160, Бурятия Респ, Селенгинский р-н, Гусиноозерск, Пушкина, дом № 34",premer03@mail.ru,"671160, Бурятия Респ, Селенгинский р-н, Гусиноозерск, Пушкина, дом № 34- ГЦД ""Россия"" рестоклуб
671160, Бурятия Респ, Селенгинский р-н, Гусиноозерск, Пушкина, дом № 34- ГЦД ""Россия"" рестоклуб
671160, Бурятия Респ, Селенгинский р-н, Гусиноозерск, Пушкина, дом № 34 ГЦД ""Россия"" пиццерия
671160, Бурятия Респ, Селенгинский р-н, Гусиноозерск, Пушкина, дом № 34 ГЦД ""Россия"" пиццерия",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0756,Республиканская служба по потребительскому рынку и лицен.,03.30.2011,03.30.2016,,,,,Выдана,03.30.2011
,,35,"Общество с ограниченной ответственностью ""Кедр""",0309991090,030901001,"671242, Бурятия Респ, Кабанский р-н, Дубинино с, Центральная ул, дом № 94",valentina-dubinino@mail.ru,"671242, Бурятия Респ, Кабанский р-н, Дубинино с, Центральная ул, дом № 94 магазин
671242, Бурятия Респ, Кабанский р-н, Дубинино с, Центральная ул, дом № 94 магазин",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,1012,Республиканская служба по потребительскому рынку и лицен.,02.07.2012,02.07.2017,,,,,Выдана,02.07.2012
,,38,"Общество с ограниченной ответственностью ""Татьяна""",0314010747,031401001,"671340, Бурятия Респ, Мухоршибирский р-н, Мухоршибирь с, Новая ул, дом № 7, кв.7",671340@mail.ru,"671340, Бурятия Респ, Мухоршибирский р-н, Мухоршибирь с, Доржиева ул торговый павильон ""Барс""
671340, Бурятия Респ, Мухоршибирский р-н, Мухоршибирь с, Доржиева ул торговый павильон ""Барс""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0610,Республиканская служба по потребительскому рынку и лицен.,07.22.2010,07.22.2015,,,,,Выдана,07.22.2010
,,39,"Общество с ограниченной ответственностью ""Зама""",0323349222,032301001,"670000, Бурятия Респ, Улан-Удэ г, 117 мкр., дом № 25",ooozama@mail.ru,"670000, Бурятия Респ, Улан-Удэ г, 117 мкр., дом № 25 магазин ""Продукты""
670000, Бурятия Респ, Улан-Удэ г, 117 мкр., дом № 25 магазин ""Продукты""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0625,Республиканская служба по потребительскому рынку и лицен.,08.23.2010,08.23.2015,,,,,Выдана,08.23.2010
,,40,"Общество с ограниченной ответственностью ""Самородок""",0313005913,031301001,"671575, Бурятия Респ, Муйский р-н, Иракинда п, Витимская ул, дом № 16, кв.2",gtnhjdfyfcnz2011@mail.ru,"671575, Бурятия Респ, Муйский р-н, Иракинда п, Витимская ул, дом № 7 в кафе ""Багира""
671575, Бурятия Респ, Муйский р-н, Иракинда п, Витимская ул, дом № 7 в кафе ""Багира""
671575, Бурятия Респ, Муйский р-н, Иракинда п, Витимская ул, дом № 7 б магазин ""Таёжный""
671575, Бурятия Респ, Муйский р-н, Иракинда п, Витимская ул, дом № 7 б магазин ""Таёжный""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0628,Республиканская служба по потребительскому рынку и лицен.,08.26.2010,08.26.2015,,,,,Выдана,08.26.2010
,,41,"Общество с ограниченной ответственностью ""Анюта""",0303007975,030301001,"671360, Бурятия Респ, Бичурский р-н, Бичура с, Советская ул, дом № 72",plpet@mail.ru,"671360, Бурятия Респ, Бичурский р-н, Бичура с, Советская ул, дом № 72 Магазин ""Ромашка""
671360, Бурятия Респ, Бичурский р-н, Бичура с, Советская ул, дом № 72 Магазин ""Ромашка""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0738,Республиканская служба по потребительскому рынку и лицен.,02.28.2011,02.28.2016,,,,,Выдана,02.28.2011
,,42,"Общество с ограниченной ответственностью ""Черемушки""",0312015570,031201001,"671834, Бурятия Респ, Кяхтинский р-н, Большая Кудара с, Советская ул, дом № 1",cheremyshki-alk@mail.ru,"671834, Бурятия Респ, Кяхтинский р-н, Большая Кудара с, Советская ул, дом № 1 магазин ""Черемушки""
671834, Бурятия Респ, Кяхтинский р-н, Большая Кудара с, Советская ул, дом № 1 магазин ""Черемушки""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,1004,Республиканская служба по потребительскому рынку и лицен.,01.24.2012,01.24.2016,,,,,Выдана,01.24.2012
,,43,"Общество с ограниченной ответственностью ""Магнат""",0314010923,031401001,"671353, Бурятия Респ, Мухоршибирский р-н, Саган-Нур п, 70 лет Октября пр-кт, дом № 1, кв.24",alc30@infoconbur.ru,"671353, Бурятия Респ, Мухоршибирский р-н, Саган-Нур п, 70 лет Октября пр-кт, дом № 1, кв.24 магазин ""Лидер""
671353, Бурятия Респ, Мухоршибирский р-н, Саган-Нур п, 70 лет Октября пр-кт, дом № 1, кв.24 магазин ""Лидер""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,1020,Республиканская служба по потребительскому рынку и лицен.,02.16.2012,02.16.2017,,,,,Выдана,02.16.2012
,,44,"Общество с ограниченной ответственностью ""Вера""",0320990371,032001001,"671021, Бурятия Респ, Тункинский р-н, Тунка с, Истомина ул, дом № 39 ""А""",01-vera@mail.ru,"671021, Бурятия Респ, Тункинский р-н, Тунка с, Истомина ул, дом № 39 ""А"" магазин
671021, Бурятия Респ, Тункинский р-н, Тунка с, Истомина ул, дом № 39 ""А"" магазин",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,1025,Республиканская служба по потребительскому рынку и лицен.,02.24.2012,02.24.2017,,,,,Выдана,02.24.2012
,,47,"Общество с ограниченной ответственностью ""ОЛЗО""",0320005255,032001001,"671010, Бурятия Респ, Тункинский р-н, Кырен с, Ленина ул, дом № 47 а, кв.1",olzo-01@mail.ru,"671010, Бурятия Респ, Тункинский р-н, Кырен с, Ленина ул, дом № 81 магазин ""Мини-Маркет""
671010, Бурятия Респ, Тункинский р-н, Кырен с, Ленина ул, дом № 81 магазин ""Мини-Маркет""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0746,Республиканская служба по потребительскому рынку и лицен.,03.04.2011,03.04.2016,,,,,Выдана,03.04.2011
,,48,"Общество с ограниченной ответственностью ""Вайтэлити""",0326496338,032601001,"670004, Бурятия Респ, Улан-Удэ г, Батожабая ул, дом № 6, кв.10",status.uu@yandex.ru,"670031, Бурятия Респ, Улан-Удэ г, Терешковой ул, дом № 9А Буфет
670031, Бурятия Респ, Улан-Удэ г, Терешковой ул, дом № 9А Буфет",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0745,Республиканская служба по потребительскому рынку и лицен.,03.04.2011,03.04.2016,,,,,Выдана,03.04.2011
,,49,"Общество с ограниченной ответственностью ""Интеко""",0326496352,032601001,"670024, Бурятия Респ, Улан-Удэ г, Революции 1905 года ул, дом № 53 ""В""",inteko216@mail.ru,"670024, Бурятия Респ, Улан-Удэ г, Революции 1905 года ул, дом № 53 ""В"" Магазин ""Продукты""
670024, Бурятия Респ, Улан-Удэ г, Революции 1905 года ул, дом № 53 ""В"" Магазин ""Продукты""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,0758,Республиканская служба по потребительскому рынку и лицен.,03.31.2011,03.31.2016,,,,,Выдана,03.31.2011
,,50,"Общество с ограниченной ответственностью ""Баян""",0311200010,031101001,"671635, Бурятия Респ, Курумканский р-н, Арзгун у, Базарона ул, дом № 5",bayan.bayan.2009@mail.ru,"671635, Бурятия Респ, Курумканский р-н, Арзгун у, Ген. Цыденова, дом № 3 магазин
671635, Бурятия Респ, Курумканский р-н, Арзгун у, Ген. Цыденова, дом № 3 магазин",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,1002,Республиканская служба по потребительскому рынку и лицен.,01.20.2012,01.20.2017,,,,,Выдана,01.20.2012
,,51,"Общество с ограниченной ответственностью ""Солнышко""",0318033713,031801001,"671195, Бурятия Респ, Селенгинский р-н, Селендума с, Профсоюзная ул, дом № 3, кв.1",ooo.sunny@inbox.ru,"671195, Бурятия Респ, Селенгинский р-н, Селендума с, Профсоюзная ул, дом № 3, кв.1 магазин ""Наранай Туяа""
671195, Бурятия Респ, Селенгинский р-н, Селендума с, Профсоюзная ул, дом № 3, кв.1 магазин ""Наранай Туяа""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,1003,Республиканская служба по потребительскому рынку и лицен.,02.08.2012,02.08.2017,,,,,Выдана,02.08.2012
,,52,"Общество с ограниченной ответственностью ""Ольга""",0314010970,031401001,"671344, Бурятия Респ, Мухоршибирский р-н, Подлопатки с, Ленина ул, дом № 81",,"671344, Бурятия Респ, Мухоршибирский р-н, Подлопатки с, Ленина ул, дом № 81 магазин ""Ольга""
671344, Бурятия Респ, Мухоршибирский р-н, Подлопатки с, Ленина ул, дом № 81 магазин ""Ольга""",,03,03,Розничная продажа алкогольной продукции,Алкогольная продукция,1015,Республиканская служба по потребительскому рынку и лицен.,02.08.2012,02.08.2017,,,,,Выдана,02.08.2012
