Ичалковский район,,,,,,,,,,,
№,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,Ф.И.О.,
1,99,13 МЕ,"ГУП РМ ""Развитие села"" г. Саранск,",1300000807,"м-н ""Нива-4"", п. Кемля, ул. Тимирязева, 21",1,27/04/12,,,,
,,002026,"ул. Московская, 1",,,,23/12/16,,,,
1,52,13 МЕ,"ООО ""Таис"" с. Ичалки, ул. Махова, 16а",1310186974,"м-н ""Таис""  с. Ичалки, ул. Махова, 16а ",4,30/03/12,2-16-64,п.17.09.09,Заседателев Николай Викторович,
,,001978,,1061310000113,"магазин, с. Рождественно, ул. Кулакова, 9а, Ичалковский район",,15/03/13,89276415762,в.2.10.09,,
,,,,,"магазин, с. Оброчное, ул. Юбилейная, 36а, Ичалковский район",,,,,,
,,,,,"магазин, с. Кемля, ул. Юбилейная, 15, Ичалковский район",,,,,,
1,5,13 МЕ,"ООО ""Стрела"" с. Кемля, ул. Советская, 52а",13100000801,"м-н с. Кемля, ул. Советская, 52а, Ичалковский р-н",2,30/01/12,89093248074,,Коляденков Александр Алексеевич,
,,001924,Ичалковский район ,1121310000019,"м-н с. Кемля, ул. Терешковой, 15, Ичалковский район",,30/01/15,,,,
1,241,13 МЕ,"ООО Новое Время"" с.Кемля,",1310188330,"м-н ""Максимум"" с. Ичалки, ул. Махова, 16",2,15/07/11,89271945249,,Карпов Евгений Александрович,
,,001703,"пер.Больничный, 8",1091310000803,"м-н ""Максимум"" с. Кемля, пер. Больничный, 8",,15/07/12,2-13-31,,Исаев Александр Васильевич,
1,207,13 МЕ,"ООО ""Дилер"" п. Смольный, Ичалковский район,",1310187103,"м-н ""Лесной"" п. Смольный, ул. Лесная, 6, Ичалковский",5,30/06/11,2-74-93,,Ерина Елена Сергеевна,
,,001667,"ул. Лесная, 6",1061310006911,"м-н ""Хозяин"" с. Ичалки, ул. Чинченкова, 1",,30/06/16,89271759142,,,
,,,,,"м-н с. Кемля, ул. Советская, 35",,,,,,
,,,,,"м-н п. Смольный, ул. Центральная, 12а, Ичалковский район",,,,,,
,,,,,"магазин, с. Кемля, ул. Советская, 50",,,,,,
1,324,13 МЕ,"ООО ""Шунихин"" п. Смольный, ул. Спортивная, 22,",1310187255,"м-н ""Продукты"" п. Смольный, ул. Спортивная, 22, Ичалк.",2,24/12/09,2-75-50,,Шунихин Сергей Анатольевич,
,,001091,Ичалковский р-н ,,"м-н п. Смольный, ул. Приозерная, 38",,14/08/12,89272764536,,,
1,6,13 МЕ,"ООО ТД ""Оброченский"" с. Ичалки, ул. Первомайская, 27, Ичалковский",1310086930,"м-н с. Баево, ул. Ленинская, 1а, Ичалковский район",4,30/01/12,2-19-84,,Аксенова Валентина Михайловна,
,,001925,Всего - 5,1031304001200,"магазин ""Мясо"", с. Ичалки, ул. Первомайская, 27",,30/07/12,89271735579,,,
,,,,,"м-н г. Саранск, ул. Полежаева, 161",,,,,,
,,,,,"магазин, с. Ичалки, ул. Первомайская, 27",,,,,,
,,,,,"магазин ""Продукты"", с. Ичалки, ул. Махова, 18",,,,,,
1,330,13 МЕ,"ООО ""Бальзам"" п. Смольный, ул. Заводская, 3,",1310187713,"м-н п. Смольный, ул. Заводская, 3а, Ичалковский р-н",5,14/10/11,2-75-98,,Масленников Геннадий Павлович,
,,001800,Ичалковский р-н,1071310001058,"м-н с. Ичалки, ул. Первомайская, 46, Ичалковский р-н",,28/09/12,,,,
,,,,,"м-н с. Кемля, ул. Советская, 81, Ичалковский район",,,,,,
,,,,,"магазин ""Продукты"", с. Кемля, пер. Больничный, 6, Ичалковский район",,,,,,
,,,,,"павильон ""Удача"" (до 16,5%), г. Саранск, ул. Косарева (около рынка ""Заречный"")",,,,,,
1,16,13 МЕ,"Производственный кооператив ""Автомеханика""",1310042034,"м-н №2 с. Кемля, ул. Первомайская, 3а, Ичалковский район",1,15/02/12,2-17-83,,Мишин Дмитрий Вячеславович,
,,001937,"с. Кемля, ул. Тимирязева, 11, Ичалковский р-н",,,,15/02/14,89276402090,,,
,13,13 МЕ,"ООО ""Олимп"" п. Смольный, Ичалковский район",1310187865,"м-н п. Смольный (тер.сан.""Алатырь""), Ичалковский",1,15/04/08,89271719939,,Арахамия Вахтанг Гурьмиевич,
,,000484,,,,,15/04/13,,,,
1,1,13 МЕ,"ООО ""Дионис"" с. Кергуды, ул. Молодежная, 6,",1310188298,"м-н с. Кергуды, ул. Молодежная, 6, Ичалковский район",2,15/01/10,89061648751,,Кемайкина Татьяна Павловна,
,,001104,Ичалковский район,,"м-н ""Продукты"" с. Пермеево, ул. Ленина, 23",,29/05/14,,,,
1,144,13 РМ,"ООО ""Импульс"" с. Оброчное, ул. Ленина, 12а,",1310188227,"м-н с. Оброчное, ул. Ленина, 12а, Ичалковский район",2,15/06/12,89271732618,,Дяденова Наталья Владимировна,
,,000026,Ичалковский район ,1091310000550,"магазин, с. Оброчное, ул. Юбилейная, 5, Ичалковский район",,29/05/14,,,,
1,53,13 МЕ,"ООО ""Сфера"" с. Ичалки, ул. Мира, 2",1310187664,"м-н с. Ичалки, ул. Мира, 2",1,30/03/12,3-03-07,,Борискин Александр Васильевич,
,,001980,,1071310000585,,,30/03/13,89270844084,,,
1,205,13 РМ,"ООО ""Сартория"" г. Саранск, ул. 2-Промыш-",1327007920,"м-н ""Вино-водка"" с. Ичалки, ул. К.Маркса, 225",4,29/06/12,29-41-87,,,
,,000096,"ленная, 7а ",,"м-н с. Ульянки, ул. Московская, 21, Ичалковский р-н",,16/04/15,,,,
,,,,,"м-н ""Продукты"", с. Баево, ул. 1-ое Мая, 17а, Ичалковский район",,,,,,
,,,,,"магазин ""Продукты"", с. Ичалки, ул. Первомайская, 104",,,,,,
1,206,13 РМ,"ООО ""Региональное Объединение Розничной",1327010520,"м-н с. Ст. Оброчное, ул. Мира, 1, Ичалковский район",14,29/06/12,,,,
,,000097,"Торговли"" г. Саранск, ул. Строительная, 1",,"м-н с. Кемля, ул. 2-ой Советский пер., 20/1, Ичалковский район",,15/07/14,,,,
,,,,,"м-н с. Баево, ул. Ленинская, 100, Ичалковский район",,,,,,
,,,,,"м-н ""Продукты"", п. Октябрьский, ул. Советская, 1а, Ичалковский",,,,,,
,,,,,"м-н ""Продукты"", с. Селищи, ул. Центральная, 42б, Ичалковский",,,,,,
,,,,,"м-н ""Продукты"", с. Ичалки, ул. Пролетарская, 25",,,,,,
,,,,,"магазин ""Продукты"", с. Папулево, ул. Центральная, 19, Ичалковский",,,,,,
,,,,,"магазин ""Продукты"", с. Лада, ул. Ленинская, 2, Ичалковский",,,,,,
,,,,,"магазин ""Лапочка"", с. Ведянцы, ул. Толстого, 2, Ичалковский",,,,,,
,,,,,"магазин ""Продукты"", с. Гуляево, ул. Советская, 1, Ичалковский",,,,,,
,,,,,"магазин ""Продукты"", п. Октябрьский, ул. Советская, 3, Ичалковский",,,,,,
,,,,,"магазин ""Продукты"", с. Кемля, Советская пл., 17, Ичалковский район",,,,,,
,,,,,"магазин ""Продукты"", с. Ичалки, ул. Кривошеева, 87 а",,,,,,
,,,,,"магазин ""Продукты"", с. Кемля, ул. Советская, 195 а, Ичалковский район",,,,,,
1,4,13 МЕ,"ООО ""Империя вкуса"" г. Саранск, ул.",1326205809,"м-н Продукты"", с. Рождественно, ул. Полевая, 23, Ичалковский р-н",1,20/01/12,23-13-23,,,
,,001923,"Титова, 23а",1081326001382,,,01/10/13,,,,
1,401,13 МЕ,"ООО ""Два шага"", г. Саранск, ул. 2-ая Промышленная, 7",1327013112,"магазин ""Продукты"", с. Ичалки, ул. Школьная, 47а",2,15/12/11,,,,Цыпелев Сергей Николаевич
,,001878,,1111327000840,"магазин ""Продукты"", с. Ичалки, ул. Интернациональная, 42",,30/08/12,,,,
1,308,13 МЕ,"ОАО мясокомбинат ""Оброченский"", с. Баево,",1310188611,"магазин, с. Баево, ул. Ленинская, 1а, Ичалковский район",1,15/09/11,2-41-49,,Сеньков Евгений Николаевич,
,,001775,"ул. Ленинская, 1а, Ичалковский район",1101310000329,,,15/09/14,,,Тихонова Елена Васильевна,
1,07,13 МЕ,"ООО ""Бытовик"" п. Ромоданово, ул. Ленина, 155,",1316101487,"магазин № 14, с. Береговые Сыреси, ул. Советская, 7, Ичалковский ",1,30/01/12,2-22-75,,,
,,001926,Всего - 12,1021300708549,,,30/01/17,,,,
1,123,13 РМ,"ЗАО ""Тандер"" г. Краснодар, ул. Леваневского,",2310031475,"магазин ""Магнит"", с. Ичалки, ул. Чинченкова, 1",1,15/05/12,,,,
,,000004,"185, филиал г. Саранск, ул. Невского, 101б",1022301598549,,,15/03/16,,,,
1,188,13 РМ,"ООО ""Общепит"", с. Кемля, ул. Советская, 39",1310086955,"закусочная ""Пельменная"", с. Кемля, ул. Советская, 39",2,29/06/12,,,,
,,000079,,1031304001420,"бар 1 класса, с. Кемля, ул. Советская, 39",,29/06/13,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,109,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
