Номер,Дата,Организация,ИНН,КПП,Сумма по услуге,Опл. по услуге,Дата опл.,Отгр. по услуге,Дата отгр.,СЦ,Регион СЦ,Тип,Продукт,Регион,Услуга,Кол-во,Тарифный план,Статус,Продукт2
1209150282,13.06.2012,"ООО ТД ""Живые продукты""",7706672014,501001001, 100.00, 100.00,18.06.2012, 100.00,20.06.2012,0915 ООО «Контур ПЛЮС»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212067311,04.06.2012,Попова Галина Вячеславовна,680398876512,,1 500.00,1 500.00,18.06.2012,1 500.00,25.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,Изготовление дополнительного сертификата ЭЦП для отчетности в Росалкогольрегулирование для организации на обслуживании (для абонентов системы «Контур-Экстерн» в режиме «Обслуживающая бухгалтерия»),1,доп сертификат ЭТП,доп услуги,Отчетность в Росалкогольрегулирование
1212067311,04.06.2012,ИП Акимова Мария Михайловна,504100967240,,1 500.00,1 500.00,18.06.2012,1 500.00,25.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,Изготовление дополнительного сертификата ЭЦП для отчетности в Росалкогольрегулирование для организации на обслуживании (для абонентов системы «Контур-Экстерн» в режиме «Обслуживающая бухгалтерия»),1,доп сертификат ЭТП,доп услуги,Отчетность в Росалкогольрегулирование
1212067311,04.06.2012,Реутовская торгово-промышленная палата,5041012036,504101001,5 000.00,5 000.00,18.06.2012,5 000.00,25.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн» с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201654506,19.06.2012,"ООО ""Торговый дом ""Диокорт - Запад",7731183289,771601001, 100.00, 100.00,19.06.2012, 100.00,21.06.2012,0165 ЗАО «Расчетный Центр «Практик»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212069008,18.06.2012,"ООО ""ИНТЕРПОРТФОЛИО""",7728272789,772901001, 100.00, 100.00,19.06.2012, 100.00,21.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201351041,18.06.2012,"ЗАО ""СБС-СТИЛЬ""",7726309289,772601001, 100.00, 100.00,19.06.2012, 0.00,,"0135 ООО ""Правовой Налоговый Консультант""",50,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212068917,18.06.2012,"ООО ""ВодоходЪ""",7707511820,771401001,5 000.00,5 000.00,19.06.2012,5 000.00,21.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн» с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1209150292,18.06.2012,ИП Казанцев Александр Валентинович,502503678390,,3 500.00,3 500.00,19.06.2012,3 500.00,20.06.2012,0915 ООО «Контур ПЛЮС»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202700402,15.06.2012,"ООО ""Мираж""",5042083431,504201001,5 500.00,5 500.00,19.06.2012, 0.00,,0270 ООО Бизнес-Эксперт,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202700401,15.06.2012,"ООО ""АртСпецСтрой""",5042111865,504201001,5 500.00,5 500.00,19.06.2012,5 500.00,20.06.2012,0270 ООО Бизнес-Эксперт,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212069182,19.06.2012,"ЗАО ""Космик""",7705912697,500301001, 100.00, 100.00,20.06.2012, 100.00,25.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201654505,19.06.2012,ИП Воронцова Ирина Ивановна,773404121296,,5 000.00,5 000.00,20.06.2012,5 000.00,21.06.2012,0165 ЗАО «Расчетный Центр «Практик»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн» с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202210609,18.06.2012,Индивидуальный предприниматель Баев Сергей Юрьевич,690307577095,,5 500.00,5 500.00,20.06.2012,5 500.00,20.06.2012,0221 ООО «КМЦ Баланс-Информ»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1207333001,18.06.2012,Индивидуальный Предприниматель Кубраков Сергей Вячеславович,502500083186,, 100.00, 100.00,20.06.2012, 100.00,26.06.2012,0733 ООО «Новые Интернет Технологии»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202210598,18.06.2012,Индивидуальный предприниматель Вьюшкина Эльвира Ханифовна,507300001643,,7 000.00,7 000.00,20.06.2012,7 000.00,21.06.2012,0221 ООО «КМЦ Баланс-Информ»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201654441,15.06.2012,"ООО ""ЯНТРА""",7735566420,773501001,7 000.00,7 000.00,20.06.2012,7 000.00,21.06.2012,0165 ЗАО «Расчетный Центр «Практик»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212068726,15.06.2012,"ООО ""Реста Восток""",7719776733,771901001,3 500.00,3 500.00,20.06.2012, 0.00,,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1203541647,13.06.2012,"Общество с ограниченной ответственностью ""Компания Народные напитки""",7715864763,771501001, 100.00, 100.00,20.06.2012, 100.00,22.06.2012,"0354 ЗАО ""ОВИОНТ ИНФОРМ""",77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202771408,13.06.2012,ОАО ТМКБ «Союз»,5026000759,502601001,5 000.00,5 000.00,20.06.2012, 0.00,,"0277 ООО ""Белый Бизнес""",77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн» с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201654553,22.06.2012,"ООО ""Вита -100""",7726038078,772601001,1 500.00,1 500.00,22.06.2012,1 500.00,26.06.2012,0165 ЗАО «Расчетный Центр «Практик»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,Изготовление дополнительного сертификата ЭЦП для отчетности в Росалкогольрегулирование для организации на обслуживании (для абонентов системы «Контур-Экстерн» в режиме «Обслуживающая бухгалтерия»),1,доп сертификат ЭТП,доп услуги,Отчетность в Росалкогольрегулирование
1212069702,21.06.2012,"Общество с ограниченной ответственностью ""Парк-Групп""",7719546698,771801001, 100.00, 100.00,22.06.2012, 100.00,26.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212069678,21.06.2012,"Общество с ограниченной ответственностью ""ИнвестКонсалтинг""",7704702545,770401001, 100.00, 100.00,22.06.2012, 100.00,26.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202700408,19.06.2012,ИП Коптелова Галина Викторовна,504200140158,, 100.00, 100.00,22.06.2012, 100.00,25.06.2012,0270 ООО Бизнес-Эксперт,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1201654138,08.06.2012,"ООО ""Вэйшан""",7708586498,771901001,3 500.00,3 500.00,22.06.2012,3 500.00,11.07.2012,0165 ЗАО «Расчетный Центр «Практик»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202710331,21.06.2012,Индивидуальный предприниматель Федосеева Инна Леонидовна,502007860235,,7 000.00,7 000.00,25.06.2012,7 000.00,12.07.2012,0271 ООО «АГНЕКО Сервис»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1202710329,21.06.2012,Индивидуальный предприниматель Гаранина Оксана Михайловна,502000021664,,7 000.00,7 000.00,25.06.2012,7 000.00,12.07.2012,0271 ООО «АГНЕКО Сервис»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1204440387,21.06.2012,"Общество с ограниченной ответственностью ""Биотех-М""",7735003730,504401001,5 000.00,5 000.00,25.06.2012,5 000.00,27.06.2012,0444 ООО «Гольдберг-Софт»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн» с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1207880323,20.06.2012,ИП Шангуа Нодари Евгеньевич,501307445492,, 100.00, 100.00,25.06.2012, 100.00,03.07.2012,0788 ООО «Телеконт»,50,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Право использования программы для ЭВМ ""Контур-ЭЦП""",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1203541660,14.06.2012,ИП Федянина Елена Сергеевна,773173042453,,7 000.00,7 000.00,25.06.2012,7 000.00,09.07.2012,"0354 ЗАО ""ОВИОНТ ИНФОРМ""",77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212067996,08.06.2012,"МУП ""Зарайский торговый дом""",5014008016,501401001,5 000.00,5 000.00,25.06.2012,5 000.00,28.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,50,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн» с записью сертификата ключа ЭЦП на защищенный носитель Рутокен",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
1212070243,25.06.2012,"Общество с ограниченной ответственностью ""АКВИЛА""",7713655838,771301001,3 500.00,3 500.00,26.06.2012,3 500.00,28.06.2012,0977 Московский Сервисный Центр ЗАО «ПФ «СКБ Контур»,77,Право использования программы,Отчетность в Росалкогольрегулирование,77,"Оказание услуг по тарифному плану ""Отчетность в Росалкогольрегулирование"" для абонентов системы «Контур-Экстерн»",1,Отчетность в Росалкогольрегулирование,подключение,Отчетность в Росалкогольрегулирование
