"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""город Черемхово"" ",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
52,ООО  «Союз» Инн 3820011767,Ми ФНС № 10 по Иркутской области от 08.11.2006 г. № 1063820012112 ,38 МЕ № 002874 от 03.06.2008 г. до 03.06.2013 г. ,"г. Черемхово, ул. Школьная, 2а магазин ООО «Союз»",,,,,
53,ООО «СоНи» ИНН 3820012288,Ми ФНС № 10 по Иркутской области от 23.05.2008 г. 1073820000572,38 МЕ № 002877 от 15.07.2008 г. до 15.07.2013 г. ,"г. Черемхово, ул. 1ая Сакко-Ванцетти 19-1, отдел в магазине «Каравелла»",,,,,
54,ООО «Фортуна» ИНН 3820012584,Ми ФНС № 10 по Иркутской области от 03.10.2007 г. № 1073820000913 ,38 МЕ № 002879 от 28.10.2008 г. до 28.10.2013 г.,"г. Черемхово, ул. Маяковского, 124, бар в ночном клубе «Планета»",,,,,
55,ООО  «Ручеек» ИНН 3820013764,Ми ФНС № 10 по Иркутской области от 30.10.2008 г. № 1083820000989,38 МЕ № 002883 от 12.12.2008 г. до 12.12.2013 г.,"г. Черемхово, ул. Ватутина, 12, отдел ООО «Ручеек» в магазине «Татьяна» ИП Кузнецовой ",,,,,
56,ООО     «Бахус» ИНН 3820012560,Ми ФНС № 10 по Иркутской области от 28 сентября 2008 № 1073820000902,38 МЕ № 002886 от 29.12.2008 г. до 29.12.2013 г. (переоформлена) 38 МЕ 002905 от 16.07.2010 до 29.12.2013; 38 ME 002935 от 04.10.2011 до 29.12.2013,"г. Черемхово: отдел в магазине по ул. Ленина, 41б;  ООО ""Бахус"" в магазине ИП Язикова А.В. по адресу: г. Черемхово, ул. Первомайская, 139Б; ,; г. Свирск, отдел в магазине по ул. Чкалова, 6а; Черемховский район , пос. Михайловка, квартал 1, д.17-2 (исключили объект в г. Свирск) г. Черемхово: отдел в магазине по ул. Ленина, 41б;  ООО ""Бахус"" в магазине ИП Язикова А.В. по адресу: г. Черемхово, ул. Первомайская, 139Б; ,;Черемховский район , пос. Михайловка, квартал 1, д.17-2 (исключили объект в г. Свирск) ",, ,,,
57,ООО «Козерог» ИНН 3820013940,Ми ФНС № 10 по Иркутской области от 20 января 2009 № 1093820000031,38 МЕ № 002887 от 25.02.2009 г. до 25.02.2014 г.,"г. Черемхово, ул. Дзержинского, 52а отдел ООО «Козерог» в магазине «Шанс» ",,,,,
58,ООО «Транзит-Ойл» ИНН 3819017154,Ми ФНС № 8 по Иркутской области от 31 мая 2006 № 1063819015985,А 221879 от 02.04.2009 г. до 13.11.20011 г. ,"г.Черемхово, ул. Маяковского, 87а,  магазин № 22; г.Черемхово, ул. Первомайская, 211 а, магазин № 23",,,10/24/2011,,Выдана администрацией муниципального образования г. Усолье-Сибирское рег. № 127 от 25.05.2009 г.
59,ООО «Юлиана» Инн 3820014366,Ми ФНС № 10 по Иркутской области от 29 апреля 2009 г. № 1093820000493,38 МЕ  № 002891 от 22.07.2009 г. до 22.07.2014 г.,"г. Черемхово, ул. Первомайская, 49 магазин «Юлиана»",,,,,
60,ООО «Старт» ИНН 3812120956,ИФНС России по Свердловскому округу г. Иркутска № 1093850004302,38 МЕ 005141 от  09.10.2009 до 29.04.2014 (переоформлена)  АН 00636Пр21 от 02.06.2011 38 МЕ 003670 с 30.04.2009 по 29.04.2014 (переоформлена): АН 00636 Пр23 от 15 сентября 2011 38 МЕ 003790 (переоформлена)  Аннулировано действие лицензии,"г. Черемхово,  ул. Ул. Школьная, 31  отдел ООО «Старт», ул. Шевченко, 32 отдел ООО «Старт», ул. Шевченко, 66 отдел ООО «Старт», ул. Первомайская, 2а отдел ООО «Старт»",,,,,Выдана администрацией г. Иркутска регистрационный номер АН00636Пр 8 от 09.10.2009 г.
61,ООО «Абсолют» ИНН 3814013854,Ми ФНС № 14 по Иркутской области № 1093820000526,А 244888  от  31.12.2009 до 25.12.2013; А 244908 от 22.04.2011 до 25.12.2013 (переоформлена); А 244916 от 14.11.2011 рег. № 96 (переоформлена),"г. Черемхово, пер. 4  Заводской, 2а отдел ООО «Абсолют» в магазине «Продукты»",,,,,Администрацией МО «Куйтунский район» регистрационный номер 14 от 20.10.2009 г.
62,ООО «Надежда» ИНН 3820014567,Ми ФНС № 10 по Иркутской области,38 МЕ 002892 от  21.10.2009 г. до 21.10.2014 г.,"г. Черемхово, ул. Первомайская, 176 Отдел ООО «Надежда» в магазине «Шестой»; ул. Димитрова, 33 отдел ООО «Надежда» в магазине «Диана»; отдел ООО «Надежда» в магазине «Диана» по ул. 1я Ветеринарная, 6а",,,,,
63,ООО «Максима» ИНН 3820014616,Ми ФНС № 10 по Иркутской области,38 МЕ 002895 от 24.11.2009 до 24.11.2014 (переоформлена) 38 МЕ 002915 от 17.11.2010 до 24.11.2014,"г. Черемхово, ул. Шевченко, 39 отдел ООО «Максима», ул. Орджоникидзе, 22 отдел в маг. №2, ул. Некрасова, 26 отдел ООО «Максима» в маг. «Юнона»",,,,,
64,ООО «Лабиринт» ИНН 3820014486,Ми ФНС № 10 по Иркутской области,38 МЕ 002896 от 04.12.2009 г. до 04.12.2014 г.,"г. Черемхово, ул. Маяковского, 191, магазин ООО «Лабиринт»",,,,,
