,,,,,,,
Реестр действующих лицензий на розничную продажу алкогольной продукции по состоянию на 01.05.2012 года,,,,,,,
Ханты-Мансийский район,,,,,,,
№ п/п,Номер,Наименование юридического лица,Адрес юридического лица,"Вид деятельности, адреса торговых объектов",Номер Серия,Срок действия,Доп. Информация
6,4480,"Муниципальному предприятию Ханты-Мансийского района   ""Торговая компания ""Север""  ИНН 8618005831","Место нахождения юридического лица:  п. Луговской Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Ленина, д. 68 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"000959,  Р №",03.12.2007 до 03.12.2012,
,,,,"Адреса мест нахождения объектов:  1.п. Урманный Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Обская, д. 15, магазин ""Смешанные товары"" № 1;  2.	п. Луговской Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Гагарина, д. 13, магазин ""Смешанные товары"" № 16;  3.	д. Ягурьях Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Набережная, д. 2, магазин ""Смешанные товары"";  4. п. Кедровый Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Пионерская, д. 9, магазин ""Смешанные товары"" № 11;  5. с. Кышик Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Центральная, д. 10, магазин ""Смешанные товары"";  6. д. Шапша Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Северная, д. 21/А, магазин ""Смешанные товары"".  ",,,
7,4909,"Обществу с ограниченной ответственностью ""Полина""  ИНН 8618006338","Место нахождения юридического лица:  п. Луговской Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Строителей, 2 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001399,  Р №",05.09.2008 до 30.12.2008 Продлена до 30.12.2013 ,настоящая лицензия выдана в порядке переоформления лицензии   №  153  29.12.2005  
,,,,"Адреса мест нахождения объектов:  1. п. Луговской Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Строителей, 2, магазин ""Для Вас"";  2. п. Кирпичный Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Комсомольская, 7, магазин № 3.    ",,,
8,4960,"Обществу с ограниченной ответственностью ""Дарья""  ИНН 8618000600","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, пер. Школьный, д. 8 В (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001452,  Р №",14.10.2008 до 14.10.2013,
,,,,"Адрес места нахождения объекта:  п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, пер. Школьный, д. 8 В, магазин ""Дарья"".",,,
9,7,"Обществу с ограниченной ответственностью ""Тархан""  ИНН 8618006169","Место нахождения юридического лица:  п. Красноленинский Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Обская, д. 14 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002768,  Р №",29.10.2008 до 28.12.2008 Продлена до 28.12.2013 ,настоящая лицензия выдана в порядке переоформления лицензии № 3 от 19.08.2011
,,,,"Адреса мест нахождения объектов:  1.     п. Красноленинский Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Обская, д. 14, магазин ""Тархан"";  2.     п. Красноленинский Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Лесная, д. 12 А, магазин ""Тархан - 2""; 3. г. Ханты-Мансийск Ханты-Мансийского автономного округа - Югры Тбменской области, ул. Ямская, д. 1, магазин ""Тархан"".",,,
10,13,"Обществу с ограниченной ответственностью ""Север""  ИНН 8618001594  ","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Петелина, 2/г, кв. 1 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002764,  Р №",26.02.2009 до 21.02.2012  продлена до 21.02.2014,настоящая лицензия выдана в порядке переоформления лицензии   №  5176 от 26.02.2009  
,,,,"Адреса мест нахождения объектов:  1. п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Центральный проезд, 7, кафе-бар ""Скорпион"";  2. с. Батово Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Центральная, 56, магазин ""Фантазия"".  ",,,
11,5249,"Обществу с ограниченной ответственностью ""Империя""  ИНН 8601035806","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Ленина, 16 Б (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001764,  Р№",14.04.2009 до 14.04.2014,
,,,,"Адрес места нахождения объекта:  п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Ленина, 16 Б, магазин ""Империя"".  ",,,
12,5460,"Обществу с ограниченной ответственностью ""Каспий-Плюс""  ИНН 8618000689","место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Победы, 3 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001976,  Р №",07.10.2009 до 07.10.2014,
,,,,"Адрес места нахождения объекта:  п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Победы  д. 3 А",,,
13,5514,"Обществу с ограниченной ответственностью ""Анита""  ИНН 8618000819","место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Геологов, д. 2 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002029,  Р №",30.11.2009 до 30.11.2014,
,,,,"Адрес места нахождения объекта:  п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Геологов, д. 2 А, отдел в магазине ""Наташа"".  ",,,
14,5612,"Обществу с ограниченной ответственностью ""Сокол""  ИНН 8618000640  ","Место нахождения юридического лица:  п. Луговской Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Заводская, д. 4 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002128,  Р№",09.02.2010 до 09.02.2015,
,,,,"Адреса мест нахождения объектов:  1. п. Луговской Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Заводская, д. 4, магазин ""Продукты"";  2. п. Луговской Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Заводская, д. 4, бар ""Территория отдыха"".  ",,,
15,6,"Обществу с ограниченной ответственностью ""Алеся""  ИНН 8618006190  ","Место нахождения юридического лица:  с. Нялинское Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Мира, 34 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002767,  Р №",20.04.2010 до 26.01.2014,настоящая лицензия выдана в порядке переоформления лицензии   №  5710 от 20.04.2010  
,,,,"Адреса мест нахождения объектов:  1.  с. Нялинское Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Труда, д. 8, магазин ""Хозяюшка"".  ",,,
16,5733,САМАРОВСКОМУ РАЙОННОМУ ПОТРЕБИТЕЛЬСКОМУ ОБЩЕСТВУ  ИНН 8618003760,"место нахождения юридического лица:  д. Ярки Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,,   (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002236,  Р №",06.05.2010 до 06.05.2015,
,,,,"1. д. Ярки Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Новая, д. 2, магазин ТПС;  2. с. Базьяны Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Школьная, д. 5, магазин ТПС;  3. п. Сибирский Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Комарова, д. 33, магазин ТПС;  4. с. Реполово Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Бориса Лосева, д. 24, магазин ТПС;  5. с. Кышик Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Школьная, д. 12, магазин ТПС;  6. д. Согом Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Набережная, д. 29, магазин ТПС;  7. с. Елизарово Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, пер.Никифорова, д. 6, магазин ТПС;  8. д. Ягурьях Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Центральная, д. 27 А, магазин смешанных товаров.",,,
17,5735,"Обществу с ограниченной ответственностью ""Альтаир""  ИНН 8618000826","место нахождения юридического лица :  с. Селиярово Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Придорожная, д. 5 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002239,  Р №",07.05.2010 до 07.05.2015,
,,,,"Адреса мест нахождения объектов:  1. с. Селиярово Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Колхозная, д. 5 А, магазин ""Обь"";  2. с. Селиярово Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, переулок Строителей, д. 2 А, магазин ""Придорожный"".  ",,,
18,5747,"Обществу с ограниченной ответственностью ""Меркурий""  ИНН 8618000939","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Геологов, д. 7 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002249,  Р №",18.05.2010 до 18.05.2015,
,,,,"Адрес места нахождения объекта:  п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Геологов, д. 7 А, отдел в магазине ""Меркурий"".  ",,,
19,5826,"Обществу с ограниченной ответственностью ""Правдинскторг""  ИНН 8618000093  ","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Киевская, 10 Б (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002322,  Р №",22.07.2010 до 28.03.2013,настоящая лицензия выдана в порядке переоформления лицензии   №  4652  28.03.2008  
,,,,"Адреса мест нахождения объектов:  1. п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Киевская, 10 Б, магазин № 3;  2. п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Тюменская, 1 А, магазин № 5;  3. п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, 26, магазин № 6;  4. п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Таежная, 14 Б, магазин № 8;  5. п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Петелина, 11, кафе ""Рябинушка"";  6. п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Ленина, 21, кафе ""Конек-Горбунок"";  7. п. Бобровский Ханты-Мансийского района Ханты-Мансийского автономного округа -Югры Тюменской области, ул. Лесная, 12 Б, магазин № 9.  ",,,
20,5944,"Обществу с ограниченной ответственностью ""Рубин""  ИНН 8618001001","место нахождения юридического лица:  п. Луговской Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Гагарина, д. 8 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002444,  Р №",23.11.2010 до 23.11.2015,
,,,,"Адрес места нахождения объекта:  п. Луговской Ханты-Мансийского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Гагарина, д. 8, отдел в магазине ""Людмила"".  ",,,
21,5947,"Обществу с ограниченной ответственностью ""ВИКТОР""  ИНН 8618001160","место нахождения юридического лица:  п. Кедровый Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. 60 лет Октября, д. 2 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002447,  Р №",26.11.2010 до 26.11.2011                    Продлена до 26.11.2012,
,,,,"Адрес места нахождения объекта:  п. Кедровый Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. 60 лет Октября, д. 2 А, магазин ""ВИКТОР"".  ",,,
22,2920,"Обществу с ограниченной ответственностью ""Абсолют""  ИНН 8618006458","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Победы, д. 4 Б (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"056993,  Д",10.04.2006 до 10.04.2011 Продлена до 11.04.2016,
,,,,"Адрес места нахождения объекта:  п. Горноправдинск, Ханты-Мансийский район Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Победы, д. 4 Б, магазин ""Абсолют"".  ",,,
23,1,"Обществу с ограниченной ответственностью ""Ермак"" ИНН 8618000664","Место нахождения юридического лица:  п. Луговской Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Заводская д. 13 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002761, Р №",15.03.2011 до 15.03.2012    Продлена до   15.03.2015,
,,,,"Адрес места нахождения объекта:  п. Луговской, Ханты-Мансийский район Ханты-Мансийского автономного округа - Югры Тюменской  области, ул. Заводская д. 13 А, магазин ""Ермак"".  ",,,
24,2916,"Обществу с ограниченной ответственностью ""Веста""  ИНН 8618006426","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Победы 9 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"056985,  Д",05.04.2006 до 05.04.2011 продлена до 05.04.2016,
,,,,"Адрес места нахождения объекта:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области ул. Победы, 9 А, магазин ""Веста"".",,,
25,87,"Обществу с ограниченной ответственностью ""Правдинская коммерческая компания"" ИНН  8618000262","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Петелина 4-6 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,335226 Г,15.04.2003 до 15.04.2006 продлена до 15.04.2011 продлена до 15.04.2014,
,,,,"Адрес места нахождения объекта:  п. Горноправдинск Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области ул. Центральный проезд, 4/4, магазин ""Галина"".",,,
26,2928,Цингалинскому потребительскому обществу  ИНН 8618000181,"Место нахождения юридического лица:  с. Цингалы Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,,   (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"924272,  Г",20.04.2006 до 20.04.2011 продлена до 20.04.2016,
,,,,"Адрес места нахождения объекта:  с. Цингалы Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской  области,   ул. Бориса Лосева, д. 27,  магазин.  ",,,
27,148,"Обществу с ограниченной ответственностью ""XXI ВЕК""  ИНН 8618006218","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Петелина 8 Б (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,335294 Г,08.12.2005 до 08.12.2008 Продлена до 08.12.2013,
,,,,"Адрес места нахождения объекта:  1. п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Петелина 8 Б, магазин ""Радость""; 2. п. Цингалы, Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры,  ул. Б. Лосева, 47, магазин ""Ирина""",,,
28,149,"Обществу с ограниченной ответственностью ""Горнофилинск""
ИНН 8618006151
","Место нахождения юридического лица:  п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Центральный проезд 4/8 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,335295 Г,26.12.2005 до 26.12.2008 Продлена до 26.12.2013,
,,,,"Адрес места нахождения объекта:  1. п. Горноправдинск Ханты-Мансийского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Центральный проезд 4/8, магазин ""Горнофилинск""; ",,,
29,154,"Обществу с ограниченной ответственностью ""Фаина""
ИНН 8618006320
","Место нахождения юридического лица:  п. Луговской Ханты-Мансийского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Комсомольская 1 В (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,335300 Г,29.12.2005 до 29.12.2008 Продлена до 29.12.2013,
,,,,"Адрес места нахождения объекта:  1. п. Луговской Ханты-Мансийского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Комсомольская 1 В, магазин ""Родник""; ",,,
30,3987,"Обществу с ограниченной ответственностью ""Мария""   ИНН 8618006391","Место нахождения юридического лица:  п. Кедровый Ханты-Мансийского района  Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Энтузиастов, д. 13 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"000454,  Р №",07.03.2007 до 07.03.2012    продлена до   07.03.2013,
,,,,"Адрес места нахождения объекта:  п. Керовый Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Старая Набережная, д. 13 А, магазин ""Мария"".  ",,,
31,6021,"Обществу с ограниченной ответственностью ""Северный зов""   ИНН 8601039705","Место нахождения юридического лица:  п. Кирпичный, Ханты-Мансийского района Ханты-Мансийского автономного округа-Югры Тюменской области, ул. Строителей д. 10 А (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,002528 Р №,29.12.2010 до 29.12.2011 Продлена до 29.12.2012,
,,,,"Адрес местонахождения объекта:   1. п. Кирпичный, Ханты-Мансийский район, Ханты-Мансийского автономного округа - Югры Тюменской области, ул. Строителей, д. 10 А, магазин «ПЗолотое руно»",,,
32,5164,"Обществу с ограниченной ответственностью ""Пойков-Торг""  ИНН 8619008401","Место нахождения юридического лица:  пгт. Пойковский Нефтеюганского района Ханты-Мансийского автономного округа-Югры Тюменской области,, 1 микрорайон, д. 89 (адреса мест нахождения объектов см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001676,  Р №",09.02.2009 до 09.02.2014,
,,,,"Адрес местонахождения объекта:  с. Селиярово Ханты - Мансийского района Ханты - Мансийского автономного округа - Югры Тюменской области, ул. Колхозная, д. 5, магазин ""Смешанные товары"".  ",,,
33,5387,"Обществу с ограниченной ответственностью ""Заимка""  ИНН 8601037722","Место нахождения юридического лица:  г. Ханты-Мансийск Ханты-Мансийского автономного округа-Югры Тюменской области,, ул. Тобольский тракт, д. 4 (адрес места нахождения объекта см. на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"001902,  Р №",31.07.2009 до 31.07.2014,
,,,,"Адрес места нахождения объекта:  Ханты-Мансийский район Ханты-Мансийского автономного округа - Югры Тюменской области, База отдыха ""Добрино"", бар ""Добрино"".  ",,,
34,4,"Обществу с ограниченной ответственностью ""Водолей"", ИНН 8618001121","Место нахождения юридического лица: п.Луговской Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры, улКомсомольская, 1а (адрес места нахождения объекта см.на обороте)",Розничная продажа алкогольной продукции Обратная сторона лицензии:,"002765, Р№",11.03.2012 до 11.03.2014,
,,,,"Адрес места нахождения объекта:  1. п.Луговской Ханты-Мансийского района Ханты-Мансийского автономного округа - Югры, ул.Комсомольская, 1а, магазин ""Продукты№1"".  ",,,
