"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Тайшетский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии  (в случае выдачи лицензии иными муниципальными образованиями),
29,Золотая рыбка ООО               ИНН         3815008790,г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 6 от 13.06.2006             А 244817 п/оф    с 01.01.2006 по 01.01.2011 продлено до 01.01.2012; продлено с 02.01.12 до 02.01.13,"магазин-Тайшет, Старобазарная, 1;магазин- Тайшет, Гагарина, 2-46н",,,,,,
30,"Иволга ООО""  ИНН3815220",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А556361 № 3 от 22.01.2010  с 22.01.2010 до 22.01.2015             ,"магазин-Рождественка, Школьная,5; магазин-Квиток, Первомайская,75; магазин- Нижняя Заимка, Партизанская,48",,,,,,
31,"Игна ООО""       ИНН     3815010380",г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 17 от 29.06.2006    А244826         с 01.07.2006 по 01.07.2011                       п/оф А 556283 № 27 от 29.09.2008  с 29.09.08 по 01.07.11 продлено с 02.07.11 до 02.01.12; продлено с 03.01.12 до 03.07.12 А 242791," магазин- п.Венгерка,Гагарина,1",,,,,,
32,"Идеал ООО""    ИНН     3815009089",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244798 № 29 от 12.07.2006   с 12.07.2006 по 12.07.2011 п/оф А556110 № 36 от 24.12.2007с12.07.2006 по 12.07.2011продлен срок до 13.07.2012; А 242764 № 39 от 18.07.2011г 18.07.2011 до 13.07.2012 продление до 13.07.2013,"магазин-Г.Бирюсинск, Пионерская, 3А; магазин- г. Бирюсинск, ул. Журавлева,15",,,,,,
33,Изумруд ООО ИНН      3815001763 ,г.Тайшет  МИ ФНС №5 по Иркутской обл.,№ 26 от 15.12.2004        А 174735         с 15.12.2004 по 15.12.2019  ,"магазин-Бирюсинск,     Безымянный, 5 ",,,,,,
34,Империя ООО  ИНН         3815015170, г.Тайшет  МИ ФНС №5 по Иркутской обл. ,А 556217   № 43 от 30.11.2009 с 30.11.09 по 30.11.14   ,"магазин- Бирюсинск, Нагорная,46  ",,,,,,
35,"Ингода ООО""   ИНН     3815007081",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 174709 № 1 ОТ 15.01.2004 С 15.01.2004 по 15.01.2024  п/оф А 556179  №1 от 19.01.2007п/оф   с 15.01.2004 по 15.01.2024г. Переоформлено  А 242833 № 25 от 29.06.2012 ,"магазин-г.Тайшет, ул.Октябрьская,20А;  магазин-г.Тайшет, ул.Транспортная,11В",,,,,,
36,"ИРИС ООО"" ИНН3815013705 ",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556277 №17 от 28.07.2008 с 28.07.08 по 28.07.13,"магазин. -г. Тайшет, м-н Пахотищева,10- 23н",,,,,,
37,Источник ООО ИНН     3815008952,г.Тайшет  МИ ФНС №5 по Иркутской обл., А 242780 № 64  от  28.11.2011,"магазин-Тайшет, Воинов Интернационалистов, 187 ; магазин- Тайшет, Пахотищева,1А-68Н",,,,,,
38,Карине ООО   ИНН     3815009057 ,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244776 № 51 от 28.12.2005 с 01.01.2006 по 01.01.2011                  п/оф  А556212  № 53 от 22.11.2006 с    01.01. 2006 по 01.01.2011        п/оф А556161 №4 от 28.02.08  с 28.02.2008 по 01.01.2011 № 21 от 17.06.2010 с 17.06.10 по 01.01.11 продлено  до 01.01.2012 продлено до 02.01.2013г,"магазин-Тайшет, Суворова, 6-2н  ; магазин-Тайшет,Транспортная, 19н; магазин- Тайшет, Гагарина, 117-9н",,,,,,
39,"Кедр ООО""     ИНН3815014963",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556223 № 38 от 19.10.2009 с 23.10.09 по 23.10.14,"магазин. -с. Шелехово, Октябрьская,4",,,,,,
40,"Кедр Плюс ООО""            ИНН      3815009096  ",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 242756  № 34 от 08.07.2011    с 08.07.2011 по 08.07.2012 ,"магазин-Тайшет, Партизанская,57а ",15.02.2012г,25.02.2012г,,,,
41,"Колос ООО""     ИНН     3838005789",г.Тайшет  МИ ФНС №5 по Иркутской обл.,"№ 26 от 18.07.2012 взамен А 556400 № 13 от 29.04.2003 с 29.04.2003 по 29.04.2013  п/оф  А556155 №26  от 12.10.2007     с 12,10,07 по 29.04.2013","Тайшетский р., с. Березовка, ул. Советская,9; г. Тайшет, ул. В-Интернационалистов, 185-32Н",,,,,,
42,"Командор ООО""   ИНН 3815012885",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556273 № 14 от 19.05.2008 с 19.05.08 по 19.05.13,"маг. Бузыканово, ул Партизанская,15",,,,,,
43,Комида ООО   ИНН 3815013060,г.Тайшет  МИ ФНС №5 по Иркутской обл.,",А 556270 № 11 от 24.04.2008 с 24.04.08 по 24.04.13","кафе-Тайшет, Пушкина,1-4н",,,,,,
44,"Комок ООО""    ИНН     3838005370",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244788 №4 от 13.06.2006  с13.06.2006 по 13.06.2011 п/оф А 556117  №2 от 25.01.2007 п/оф  с 13.06.2006 по 13.06.2011 продлено с14.06.11 до 14.06.12 г.;  продлено до 14.06.2013г А 242830 № 2 от 25.01.2007г,"Тайшетский район: магазин-п.Тамтачет, ул.Гайнулина, 1;магазин- п.Горевой,ул. Мира, 14; магазин-п.Тамтачет, ул.Гайнулина,б/№",,,,,,
45,Кристалл ООО ИНН      3815007109,г.Тайшет  МИ ФНС №5 по Иркутской обл.,А244781 № 47 от 28.12.2005 с01.01.2006 по 01.01.2011                 п/оф А244831 № 21 от 30.06.2006       с 01.01.2006 по 01.01.2011       А 556310 № 48 от 18.12.2009 с 18.12.09 по 01.01.11 продлено до 02.01.2012; продлено  с03.01.12 до 03.01.13,"магазин-г.Тайшет, Пушкина, 6; маг.-Тайшет,Бурлова,10-4н",,,,,,
46,"Купец ООО""  ИНН3815012282","г. Тайшет, МИ ФНС №5 по Иркутской обл.",А 556151  № 30 от 15.11.2007 с 21.11.07 до 21.11.12,"магазин-с. Полинчет, ул. Центральная;                       магазин -Кондратьево, ул. Центральная",,,,,,
47,Лайф ООО       ИНН     3815010581,г.Тайшет  МИ ФНС №5 по Иркутской обл., 244790  № 9 от23.06.2006   с 01.07.2006 по 01.07.2011                       п/оф  А 556141 № 12 от 12.03.2007                                   с 12.03.2007 по 01.07.2011                        п/оф  А 556148 № 33 от 13.12.2007 с 13.12.2007 по 01.07.2011                  А556249 № 8 от14.04.2009  с 14.04.09 по 01.07.11 продлен срок  до 02.01.2012; продлено  с 03.01.2012 до 03.07.12,"магазин-Тайшет,Партизанская, 1а ",,,7/3/2012,,,
48,"Легенда + ООО"" ИНН3815013504",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556276 № 15 от 21.07.2008г с 21.07.08 по 21.07.13,"магазин.- с. Бирюса, ул. Бурлова,59А",,,,,,
49,"ЛИЛИЯ ООО"" ИНН3815014152",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556320 № 15  от 04.05.2009 с 04.05.09 по04.05.14,"магазин-с. Сереброво, ул. Центральная,47;                  магазин-с. Талая, ул. Советская,34; магазин-Соляная, Первомайская,15;               магазин- Соляная,Комсомольская,39; магазин- Соляная, Школьная,1А",,,,,,
50,"Лотос ООО""      ИНН      3815010430",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 244804 №33 от 24.07.2006    с 24.07.2006 по 24.07.2011; А 176114 № 30 от 23.08.2010 с 23.08.10 по 24.07.11  А176144 № 10 от 08.04.2011г  с 08.04.11 по 24.07.11 срок продлен до 25.07.2012,"кафе-Бирюсинск, Советская, 1; ",,,,,,
51,Луч  ООО          ИНН      3815009988,г.Тайшет  МИ ФНС №5 по Иркутской обл.,"А 556209  № 50 от 27.10.2006   с 27.10.2006 по 27.10.2011п/оф А 556280 №20 от 07.08.2008 с 14.08.08 по 27.10.11А 176136 № 65 от 31.12.2010до 27,10,2011;  срок продлен с 27.10.2011 по 27.10.2012","магазин-С.Ст.Акульшет, Советская,47 ,                           маг. -ст. Байроновка;            магазин- ст. Акульшет, ; магазин- Тайшет, Новый,2/1н ",,,,,,
52,"Магнат ООО"" ИНН    3815011715",г.Тайшет  МИ ФНС №5 по Иркутской обл.,А 556137  № 15 от 09.04.2007   с 09.04.2007 по 09.04.2012  п/оф      А 556154 № 27 от 24.11.07 с 09.04.2007 по 09.04.2012 п/оф А 556274 № 16 от 24.07.2008 с 24.07.2008 по 09.04.2012        А 556254  № 5 от 24.02.2009 с 24.02.09 по 09.04.12        А556288   № 35 от 01.10.2009 01.10.09по 09.04.12 А 556362 № 5 от 26.01.10 с 26.01.10 по 09.04.12 переоформлено № 51 от 25.08.2011с25.08.11 до 09.04.12; продлено 09.04.2013г; переоформ. А 242821 № 14 от 27.04.2012г до 09.04.2013г.,"магазин-г.Тайшет, Советская,3  ",,,,,,
