"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Бодайбо и района",,,,,,,,,,,
по состоянию на 1 августа  2012 года,,,,,,,,,,,
,,,,,,,,,,,
№ п/п,"Название лицензиата, ИНН",,Место государствен ной регистрации лицензиата,"Серия, номер бланка лицензии, номер, дата выдачи и срок действия лицензии","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемы вид деятельности ","Дата приостановления лицензии, на какой срок",Дата возобнов ления действия лицензии,Дата прекращения  действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муници пальными образованиями),
8.,"ООО ""Надежда""     ИНН 3802010986",,МИ ФНС России № 3 по Иркутской области,МЕ 003432   № 24              от 10.07.2006 г.                      до 09.07.2011г.                Срок действия лицензии продлен до 09.07.2012г.,"1. Магазин № 55                                                       п. Артемовский,                             ул. Артемовская,12",,,09.07.2012г. прекращено действие лицензии по истечении срока,,,
9.,"ООО ""Маракан""    ИНН 3802010810",,МИ ФНС России № 3 по Иркутской области,МЕ 003433 № 25               от  11.07.2006 г.                          до 10.07.2011г.                   Срок действия лицензии продлен до 10.07.2013г.,"1. Магазин""Березка""                                            п. Маракан,                            ул. Школьная, 44 А",,,,,,
10.,"ООО ""Форум""       ИНН 3802007292",,МИ ФНС России № 3 по Иркутской области,МЕ 003436   № 28                от 24.07.2006 г.                               до 24.07.2011 г.                         Срок действия лицензии продлен до 24.07.2012 г.,"1. Магазин ""Форум""                                                     г. Бодайбо,                             ул. Урицкого, 85 А",,,24.07.2012г. прекращено действие лицензии по истечении срока,,,
11.,"ООО Агат""                  ИНН 3802011027",,МИ ФНС России № 3 по Иркутской области,МЕ 003437    № 29         от 24.07.2006 г.                 до 24.07.2011г.                Срок действия лицензии продлен до 24.07.2013г.,"1. Магазин ""Марина""                             п.Маракан,                          ул. Школьная. 59",,,,,,
12.,"ООО ""Нова""           ИНН 3802010383",,МИ ФНС России № 3 по Иркутской области,МЕ 003451  № 40             от 29.06.2006 г.                  до 28.06.2011 г.          Срок действия  лицензии продлен до 28.06.2012г.,"1. Магазин ""Теремок""                                                  п. Кропоткин,                           ул. Заречная, 2;                   2. Магазин ""Старатель""                                              п. Кропоткин,                               ул. Заречная, 20",,,28.06.2012г. прекращено действие лицензии по истечении срока,,,
13.,"ООО ""Самородок""                                                                                                                                                                                                                      ИНН 3802011122",,МИ ФНС России № 3 по Иркутской области,МЕ 003452  № 41      от 11.12.2006 г.          до  10.12. 2011 г.        Срок действия лицензии продлен до 10.12.2012г.,"1. Магазин ""Чарка""                                                 г. Бодайбо,                              ул. Ремесленная, 51                                      ",,,,,,
14.,"ООО                ""Фортуна плюс""                    ИНН 3802011080",,МИ ФНС России № 3 по Иркутской области,МЕ 003453 № 42              от  11.12.2006 г.             до 10.12.2011г.           Срок действия лицензии продлен до 10.12.2012 г.,"1. Кафе ""Фортуна""                                           г. Бодайбо, ул. Мира, 10",,,,,,
15.,"ООО ""Ленская торговая компания""          ИНН 3802007609",,МИ ФНС России № 3 по Иркутской области,МЕ 003454    № 43      от 26.06.0006 г.           до   26.06. 2011г.       Срок действия лицензии продлен до 26.06.2016 г.,"1. Магазин ""Свеча""                                      г.Бодайбо, ул.Р.Люксембург,10 А;                                                                                                       2. Магазин № 23                                                    г. Бодайбо,                          ул. Иркутская, 17;                                                                                                        3. Магазин ""Весна""                                               г. Бодайбо.                                     ул. Солнечная, 1 Д;                                                                                                    4. Магазин ""Ирина""                                     п.Балахнинский,                  ул.Дорожная,  20;                                 5. Магазин ""Надежда""                                  п.Мамакан,                                              ул.70 лет Октября, 11 ",,,,,,
16.,"ООО ""Фортуна""    ИНН 3802010577",,МИ ФНС России № 3 по Иркутской области,МЕ 003276  № 1                        от 30.03.2012г.                     Срок действия лицензии до 30.03.2014г.,"1.Вино-водочный отдел магазина ""Фортуна"", Иркутская область, Бодайбинский район,                                          п. Кропоткин,                                  ул. Пушкинна 2а, пом.1",,,,,,
17.,"ООО ""Кедр""                ИНН 3802011355",,МИ ФНС России № 3 по Иркутской области,МЕ 003362  № 4        от  04.04.2007 г.                    до 04.04.2012г.,"1. Магазин ""Светлана""                                              п. Маракан,                                    ул. Школьная, 59",,,04.04.2012г. прекращено действие лицензии по истечении срока,,,
18.,"ООО ""Альянс""                                                                                                                                                                                                                                                                                            ИНН 3802010954",,МИ ФНС России № 3 по Иркутской области,МЕ 003376   № 17      от 19.10.2007 г.                     до 27.06.2011 г.                          Срок действия лицензии продлен до 27.06.2012г.,"1. Магазин ""У Оксаны""                                                                                                                                                                                                                          п. Кропоткин,                             ул. Центральная, 7;                                                                                                                                                                                        2. Магазин ""Центральный""                      п.Кропоткин, ул.Центральная, 1 А;                                                                                                    3. Бар ""Удачный""                                                                                                                                                                                                                                 п. Кропоткин,                       ул. Центральная, 1",,,27.06.2012г. прекращено действие лицензии по истечении срока,,,
19,"ООО ""Виктория""   ИНН 3802011644",,МИ ФНС России № 3 по Иркутской области,МЕ 003377   № 18      от 21.12.2007 г.                              до 21.12.2012г.,"1. Магазин ""Виктория""                                            г. Бодайбо.                         пер. Рабочий, 21",,,,,,
20,"ООО ""Победит"" ИНН 3802010217",,МИ ФНС России № 3 по Иркутской области, МЕ 003277  № 4                                  от 09.04.2012г.                             Срок действия лицензии до 19.06.2016 г.,"1. Отдел Вино-водка в магазине ""Торговый     комплекс"",г.Бодайбо, ул.Урицкого, 24;                                               2. Магазин ""Сапфир""                                          г. Бодайбо.                               ул. К. Либкнехта, 39;                                                                                                    3. Магазин ""Алмаз""                                     г.Бодайбо,                                ул. Р. Люксембург, 47;                                                                                                        4. Магазин ""Победит""                                        г. Бодайбо,                                         ул. Иркутская, 10;                                                                                                             5. Магазин ""Централь""                              г.Бодайбо,                                        ул. 30 лет Победы, 32;                                                                                                                                                                                                                                                                                                  6. Магазин ""Мамакан""                                      п. Мамакан,                                                ул.Красноармейская, 25;                                       7. Магагазин ""Водка""                                              г. Бодайбо,                                    ул. Урицкого, 24;                                                                                                         8. ""Экспресс-кафе""                                                                                                                                                                                                            г. Бодайбо,                                               ул. Мира, 28 А",,,,,,
21.,"ООО ""Меценат""   ИНН 3802009204",,МИ ФНС России № 3 по Иркутской области,МЕ 003381   № 2                         от  28.03.2008 г.                    до 28.03.2013 г.,"1. Бар ""Витим""                                                     г. Бодайбо,                                   ул. Урицкого, 41",,,,,,
22.,"ООО ""Подорожник""    ИНН 3802011612",,МИ ФНС России № 3 по Иркутской области,МЕ 003382   № 3                                  от 07.04.2008г.                                   до 07.04.2013г.,"1. Магазин ""Подорожник"" Бодайбинский район,                                    п. Артемовский,                            ул. Артемовская, 34",,,,,,
23.,"ООО""Ритм""                  ИНН 3802008056",,МИ ФНС России № 3 по Иркутской области,МЕ 003388  № 9                    от 05.05.2008г.                           до 27.06.2011г.                                   Срок действия лицензии продлен до  27.06.2016г.,"1. Магазин ""Диалог""                                                                                                                                                                                                                            г. Бодайбо, ул. Мира, 55;                                                                                                                                                                                                           2. Магазин ""Север""                                                                                                                                                                                                                                г. Бодайбо. ул. Мира, 19;                                                                                                                                                                                                            3. Магазин № 1 , Бодайбинский район,                                              п.Балахнинский,                                   ул. Дорожная, 6;                                   4. Магазин № 3 , Бодайбинский  район,                                                                                                                                      п. Васильевскй,                                                                                                                                                                                                                         ул. Дзержинского, 13;                                                                                                                                                                                                             5. Магзин № 2 ""Дуэт"" , Бодайбинский район,                                                                                                                                                                                                                     п. Балахнинский,                           ул. Садовая, 23;                                                                                                                                                                                        6. Магазин № 4 , Бодайбинский район,                                                                                                                                                                                                                                      п. Балахнинский,                    ул. Заречная, 10",,,,,,
24.,"ООО ""Меркурий""                                                                                                                                                                                                                        ИНН 3802011186 ",,МИ ФНС России № 3 по Иркутской области,МЕ 003269  № 28              от 23.08.2011г.                         до 24.09.2011г.                              Срок действия лицензии продлен до 24.09.2012г.," 1. Магазин ""Светлана""                                          г. Бодайбо.                                 ул. Урицкого, 63                                                           ",,,,,,
25.,"ООО ""Северторг""  ИНН 3802010464",,МИ ФНС России № 3 по Иркутской области, МЕ 003274  № 39                 от  26.12.2011г.                         до 18.09.2012г.     ,"1. Магазин ""Север"", Бодайбинский район,               п. Перевоз,                              ул. Советская, 21;                           2. Магазин ""Северянка""                                            г. Бодайбо,                                         ул. К.Либкнехта, 58.           3. Вино-водочный отдел магазина ""Цезарь"" , г.Бодайбо,                    ул.Ремесленная,55",,,,,,
26.,"ООО ""Север""      ИНН 3802011073",,МИ ФНС России № 3 по Иркутской области,МЕ 003284   № 10     от 17.05.2012г.                       до 17.05.2013г.                             ,"1. Отдел магазина ""Север"",                                 Иркутская область, Бодайбинский район,                      п. Артемовский,                                  ул. Артемовская, 2А ",,,,,,
27.,"ООО ""Ермак""              ИНН 3802010055",,МИ ФНС России № 3 по Иркутской области,МЕ 003265 № 23                          от 11.07.2011г.                           до 24.07.2012 г.,"1. Магазин ""Ермак"", Бодайбинский район,                                                       п. Кропоткин,                                 ул. Пушкина, 1;                     2.Специализированный отдел магазина ""Ермак"",                                   Иркутская область, Бодайбинский район,                                                  п. Балахнинский,                    ул. Садовая, 23;                           3. Отдел вино-водочных изделий  в магазине ""Ермак"",         Бодайбинский район,                                                          п. Васильевский,                             ул. Пожарная, 3",,,24.07.2012г. прекращено действие лицензии по истечении срока,,,
28.,"ООО ""Высота""     ИНН 3802012447",,МИ ФНС России № 3 по Иркутской области,МЕ 003404   № 6                      от 07.12.2009г.                     до 07.12.2014.г.,"1. Бар в кафе ""Высота""                           Иркутская область,        Бодайбинский район,                                                                                                                                                                                                                           п. Кропоткин,                                 ул. Ленина, 8",,,,,,
29.,"ООО ""Континент""  ИНН 3802012119",,МИ ФНС России № 3 по Иркутской области, МЕ 003272  № 34              от 28.11.2011г.                        до 16.07.2014г.,"1. Отдел ""Вино-водка"" магазина ""Планета"",                                                                               г. Бодайбо,                                  ул. Стояновича, 85;                 2. Отдел ""Вино-водка"" магазина ""Удачный"",                                                                    г. Бодайбо,                                     ул. Сибирская, 35;                            3. Отдел ""Вино-водка"" магазина ""Теремок"",                                                                г. Бодайбо,                            ул. 30 лет Победы, 24.                    4. Кафе "" Пристань"",                                          г.Бодайбо,                                ул.Стояновича,44                  5. Бар ""Тартуга"",                                                          г.Бодайбо,                            ул.  Стояновича, 44                ",,,,,,
30.,"ООО ""ТК Ангарская""                ИНН 3802010898",,МИ ФНС России № 3 по Иркутской области, МЕ 003266 №25                        от 18.07.2011г.                                    до 28.06.2012г. Переоформление МЕ 003281 № 7                          от  27.04.2012 г.                          до 28.06.2012г                    ,"1. Магазин ""Ангарск""                                                                            г. Бодайбо,                             ул. К. Либкнехта, 59;                                                                2. Магазин ""Мэри""                                                                                                                                                                                                                                                г. Бодайбо,                                          ул. 8-ое Марта, 28, помещение №1;                           3. Вино-водочный отдел магазина "" Юля""                                                                                                                       г. Бодайбо,                           ул.Таежная, 25 "" А"";                                        4. Магазин продовольственный                                                                                                     г. Бодайбо,                             ул. П.Поручикова, 11;                   5. Отдел в магазине ""Бамовец""                                                                                                                                                                                                         г. Бодайбо, МК-135;                                         6.  Торговый отдел в магазине ""Иркутский""                                                    г. Бодайбо,                                           ул. К.Либкнехта, 33 б .                           ",,,28.06.2012г. прекращено действие лицензии по истечении срока,,,
31.,"ООО ""Парадиз""      ИНН 3812095869",,МИ ФНС по Свердловско му округу г. Иркутска,МЕ 003493  №38             от  25.11.2010г.   Срок действия лицензии с 26.12.2008г. по   25.12.2013г. ,"1. Магазин                                                                    г. Бодайбо,                          ул. Урицкого, 119",,,,,Администрация г. Иркутска,
32.,"ООО ""Родник""             ИНН 3802011281",,МИ ФНС России № 3 по Иркутской области,МЕ 003407 № 3                           от 19.08.2010г.                        до 26.12.2011г.                        Срок действия лицензии продлен  до 26.12.2013г.       ,"1. Магазин ""Гулливер""                                                 г. Бодайбо,                                      ул. Иркутская, 42;                    2. Магазин ""Премьер""                                                  г. Бодайбо,                                   ул. Урицкого, 81 А;                    3. Магазин ""Родник""                                                  г. Бодайбо,                               ул. Урицкого, 23.",,,,,,
33.,"ООО ""Арго""           ИНН 3802012616",,МИ ФНС России № 3 по Иркутской области,МЕ 003409    № 5      от  14.09.2010 г.                   до 13.09.2011г.                  Срок действия лицензии продлен до 13.09.2012г.,"1. Отдел в магазине ""Брусничка""                               п. Артемовский,                             ул. 40 лет Победы, 21-1;                                                                                       2. Отдел в магазине ""Весна""                                                                                                             п. Кропоткин,                          ул. Мира,1;                                                                                                                                                                                                           3 .Отдел в магазине ""Весна""                                                                                                                             п. Апрельск,                         ул. Нагорная, 3;                                                                   4. Отдел в магазине ""Березка""                                                                                                                                                   п. Артемовский,                          ул. Артемовская, 37;                                                                          5. Отдел в магазине ""Арго""                                                                                                                                                                                                     п. Артемовский,                                                                                                                                                                                                                              ул. Геологическая, 8А;                                                                   6. Отдел в магазине ""Весна""                                                                                              п. Артемовский,                               ул. Стрельцова,18",,,,,,
34.,"ООО ""Юность""     ИНН 3802010841",,МИ ФНС России № 3 по Иркутской области,"  МЕ 003410 №6                      от 21.12.2010г.                       до 11.07.2011г.                                  Срок действия лицензции продлен до 11.07.2012г.;            МЕ 003271 №35                   от 10.11.2011г.                             до 11.07.2012г. (переоформление), МЕ 003279 №5              от 20.04.2012г.                 до 11.07.2012г. (переоформление)","1. Магазин ""Кедр""  , Бодайбинский район,                                                   п. Кропоткин,                          ул. Клубная. 2;                                        2. Магазин ""Рубикон""                                              г. Бодайбо, ул. 30 лет Победы, 47 ""Д"";                      3. Магазин ""Продукты""                                         г. Бодайбо,                           ул. О.Кошевого, 20;                          4. Магазин ""Макс""                                                       г. Бодайбо,                           ул. Первомайская, 67;                                                                  5. Магазин ""Омега""                                                    г. Бодайбо,                           ул. К. Либкнехта, 54 ""А"";                                 6. Магазин ""Артем"" , Бодайбинский район,                                              п. Артемовский, ул.Первомайская,  25""А"";                                                                      7. Сециализированный отдел магазина ""Березка""                                      г. Бодайбо,                           ул. Березнеровская, 45.   8.Вино-водочный отдел магазина ""Рубин"",  Бодайбинский район,                     п. Артемовский,                     ул. Подгорная, д.7                                                                  ",,,11.07.2012г. прекращено действие лицензии по истечении срока,,,
,,,,,,,,,,,
35.,"ООО ""Кулешова""  ИНН 0313004243",,МИ ФНС России № 4  по Републике Бурятия,МЕ 003280 № 6                                                 от 26.04.2012г.                   Срок действия лицензии до 28.03.2015г.,"1. Магазин ""Ваш""                                               г. Бодайбо, ул. Мира, 3, помещение № 1;                                                                      2. Магазин ""Для Вас""                                               г. Бодайбо, ул. 30 лет Победы, 47 ""а"", помещение № 1.",,,,,,
36.,"ООО ""Витязь""                                                                                                                                                                                                                                                 ИНН 3802010619",,МИ ФНС России № 3 по Иркутской области,МЕ 003282   № 8           от  05.05.2012г.                     Срок действия лицензии  до 05.05.2015г. ,"1. Специализированный отдел ""Вино-водка"" магазина  ""Витязь -2 ""                                                                                                               г. Бодайбо,  ул. Урицкого, 93 ""Б"";                                                  2. Специализированный отдел ""Вино-водка"" магазина ""Витязь-1""                                          г. Бодайбо,                                  ул. К.Либкнехта, 23 ""А"";                                                              3. Специализированный отдел ""Вино-водка"" магазина  ""Тайга""                                               г. Бодайбо, м-н Бисяга,     ул. Центральная, 12.",,,,,,
37.,"ООО "" Улетная дорожка""                  ИНН 3802013056",,МИ ФНС                России № 3 по   Иркутской области,МЕ 0003283 № 9                  от 13.05.2012г.                    Срок действия лицензии до 13.05.2013г.," 1.Кафе   "" Улетная дорожка""                                              Иркутская область, Бодайбинский район,                     п.Балахнинский, ул.Заречная,12",,,,,,
38.,"ООО ""Пищекомбинат"" ИНН 3802010270",,МИ ФНС России № 3 по Иркутской области,МЕ 003268                    № 27 от 29.07.2011 г.             Срок действия лицензии     до 29.07.2014 г.,"1. Магазин № 1                                                           г. Бодайбо,                                        ул. Первомайская, 2;                 2. Магазин № 3 ""Классик""                                                          г. Бодайбо,                               ул. Артема Сергеева,82                                     ",,,,,,
39.,"ООО ""Яшма""             ИНН 3802008240",,МИ ФНС России № 3 по Иркутской области,МЕ 003278  №3                  от 19.04.2012г.                      Срок действия лицензии до                   28.11. 2016г.       ,"1. Специализированный отдел""Вино-Водка"" в магазине ""Победит""                                                        г.Бодайбо, ул.Иркутская,10;                                               2.  Специализированный отдел ""Вино-Водка"" в магазине ""Централь""                                                 г. Бодайбо,                               ул. 30 лет Победы,32;                                                                                                    3.  Специализированный отдел""Вино-Водка"" в магазине ""Алмаз""                                  г.Бодайбо,                                 ул. Р. Люксембург, 47;                                                                                                        4.  Специализированный отдел""Вино-Водка"" в магазине ""Сапфир""                                                    г. Бодайбо,                              ул. К.Либкнехта,39;                                                                                                             5.  Специализированный отдел""Вино-Водка"" в магазине ""Торговый комплекс""                                          г.Бодайбо, ул.Урицкого,24;                                                                                                                6.  Специализированный отдел""Вино-Водка"" в магазине""Мамакан""                                                        п. Мамакан,                                                                                                                                           ул. Красноармейская,25;                                                                                                                              7.Специализированный отдел""Вино-Водка"" в магазине ""Деликатес""                                                         г. Бодайбо, ул. Мира,28А                                                                                                ",,,,,,
,,,,,,,,,,,
40.,"ООО ""Кулешова""  ИНН 0313004243",,МИ ФНС России № 4  по Републике Бурятия,МЕ 003261 № 1                                                 от 01.03.2011г.                   Срок действия лицензии до 01.03.2012г.,"1. Магазин ""Ваш""                                               г. Бодайбо, ул. Мира, 3, помещение № 1;                                                                      2. Магазин ""Для Вас""                                               г. Бодайбо, ул. 30 лет Победы, 47 ""А"", помещение № 1.",,,01.03.2012г. прекращено действие лицензии по истечении срока,,,
41.,"ООО ""Витим""            ИНН 3802012246",,МИ ФНС России № 3 по Иркутской области,МЕ 003403  № 5         от 17.07.2009г.                               до 17.07.2014г.                 ,"1. Отдел магазина ""Линара""                                                    Бодайбинский район,                 п. Балахнинский,                      ул. Садовая, 8""А""                   2.Отдел магазина ""Линара-2""        Бодайбинский район,                                                 п. Васильевский,                                                    ул. Пожарная,4                                  ",,,15.03.2012г. прекращено действие лицензии по заявлению,,,
42.,"ООО ""Витязь""                                                                                                                                                                                                                                                 ИНН 3802010619",,МИ ФНС России № 3 по Иркутской области,МЕ 003263   № 3           от  21.04.2011г.                     Срок действия лицензии  до 21.04.2012г. ,"1. Магазин ""Витязь -2 "", специализированный отдел                                             Иркутская область,                                                                                                               г. Бодайбо,                                                 ул. Урицкого, 93 ""Б"";                                                  2. Магазин ""Витязь-1"", специализированный отдел                                        Иркутская область,                                          г. Бодайбо,                                  ул. К.Либкнехта, 23 ""А"";                                                              3. Магазин  ""Тайга"" Иркутская область,                                              г. Бодайбо, м-н Бисяга,     ул. Центральная, 12.",,,21.04.2012г. прекращено действие лицензии по истечении срока,,,
43.,"ООО "" Улетная дорожка""                  ИНН 3802013056",,МИ ФНС                России № 3 по   Иркутской области,МЕ 0003264 № 4                  от 13.05.2011г.                    Срок действия лицензии до 13.05.2012г.," 1.Кафе   ""Улетная дорожка""                                              Иркутская область, Бодайбинский район,                     п.Балахнинский, ул.Заречная,12",,,13.05.2012г. прекращено действие лицензии по истечении срока,,,
44,"ООО ТК ""Ангарская""                ИНН 3802010898",,МИ ФНС России № 3 по Иркутской области,МЕ 003285            № 11                          от  28.06.2012 г.                          до 28.06.2017г                    ,"1. Магазин ""Ангарск""                                                                            г. Бодайбо,                             ул. К. Либкнехта, 59, помещение №3;                                                                2. Отдел магазина ""Мэри""                                                                                                                                                                                                                                                г. Бодайбо,                                          ул. 8-ое Марта, д. 28, помещение №1;                           3. Вино-водочный отдел магазина "" Юля""                                                                                                                       г. Бодайбо,                           ул.Таежная, 25 "" А"";                                                                                     4. Отдел в магазине ""Бамовец""                                                                                                                                                                                                         г. Бодайбо, МК-135, д. 74А;                                         5.  Торговый отдел  магазина ""Иркутский""                                                    г. Бодайбо,                                           ул. К.Либкнехта, 33 ""Б"" .                           ",,,,,,
45,"ООО ""Витим""         ИНН 3802011115",,МИ ФНС России № 3 по Иркутской области,МЕ 003286   №12           от 04.07.2012г.               до 04.07.2013 г.                  ,"1. Магазин ""Шанс""                             г.Бодайбо,ул.П.Поручикова,32""а""                         ",,,,,,
46,"ООО ""Надежда""         ИНН 3802010986",,МИ ФНС России № 3 по Иркутской области,МЕ 003287   №13          от 09.07.2012г.               до 09.07.2013 г.                  ,"1. Магазин №55                             п.Артемовский,                ул.Артемовская,12 А                        ",,,,,,
47,"ООО ""Юность""                                                                                                                                                                                                                                      ИНН 3802010841",,МИ ФНС России № 3 по Иркутской области,МЕ 003288  № 14     от 11.07.2012г.                         до 11.07.2017г.              ,"1.Магазин""Рубикон""                                                                                                                                                                                                                   г. Бодайбо,   30 лет Победы,47""Д""                    2.Магазин ""Макс"" г.Бодайбо,ул.Первомайская,67 3.Магазин ""Продукты"" г.Бодайбо,ул.О.Кошевого,20,пом.№1   4.Магазин ""Омега""  г.Бодайбо,ул.К.Либкнехта,54""А"" 5.Магазин ""Кедр""                       п.Кропоткин,ул.Клубная,2               6.Магазин ""Артем""                        п.Артемовский,ул.Первомайская,25 ""А"",пом.№2                                                      7.специализированный отдел магазина ""Березка""                            г.Бодайбо,ул.Березнеровская,д.45  8.Магазин""Рубин""                           п.Артемовский,ул.Подгорная,д.7",,,,,,
48,"ООО ""Ермак""                                                                                                                                                                                                                            ИНН 3802010055",,МИ ФНС России № 3 по Иркутской области,МЕ 003289  №15                         от 24.07.2012г.                                                           до 24.07.2013г.                            ,"1. отдел вино-водочных изделий магазина ""Ермак""                          п.Балахнинский,ул.Садовая,23""Б""          2 . Отдел вино-водочных изделий магазина ""Ермак""                            п.Балахнинский,ул.Пушкина,1",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
