,Регистра-ционный номер лицензии,"Название предприятия,  ИНН.",Место государственной регистрации предприятия.,"Серия, номер лицензии.",Дата выдачи и окончания действия лицензии.,Срок действия (лет).,Срок действия,Вид деятельности.,Количество торговых точек,Место осуществления деятельности (адрес объекта).,Окончание (приостановка) деятельности торговой точки,"Дата приостановления действия лицензии, на какой срок.","Дата возобновления действия лицензии,   на какой срок.",Дата аннулирования лицензии.,Дополнительная информация,Просмотр и удаление лицензий с истекшим сроком действия.,Адрес элесктронной почты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,А-8/0880-8-1,"Общество с ограниченной ответственностью ""Сластёна"" ИНН 1901010630","г.Абакан, ул. Итыгина, 4 т.    т  8 (3902) 24-51-14",Г 00000620,c 23/04/08 по 23/04/13,5.00,,Розничная продажа алкогольной продукции,     1,"Магазин ""Сластёна"",г. Абакан, ул. Итыгина, 4-18Н.",,,,,т  8 (3902) 24-51-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,А-8/0881-8-1,"Общество с ограниченной ответственностью ""Лайф"" ИНН 2442010880","Красноярский край, пгт.Шушенское, 3-ий мкр-он, д. № 5-4 т. 89135608824, 89134404071",Г 00000628,c 14/05/08 по 14/05/13,5.00,,Розничная продажа алкогольной продукции,     1,"павильон №3/10-3/11,г. Абакан, ул.Итыгина, 22 тер-я ООО ПК ""ТЭП-ЛТД"".",,приостановлено с 19/08/10 на 6 мес.,возобновлено с 26/02/10,,"89135608824, 89134404071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,А-8/0882-8-1,"Общество с ограниченной ответственностью  ""Проспект"" ИНН 1901083220","г.Абакан,ул.Ленина,98 литер 29Н т. 8(3902)25-69-82",Г 00000663,c 16/07/08 по 16/07/13,5.00,,Розничная продажа алкогольной продукции,     2,"Магазин ""День и Ночь"",г.Абакан,ул.Пушкина,80 помещение 37Н.",,,,,8(3902)25-69-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Магазин ""Проспект"",г.Абакан,ул.Ленина,98 помещение,29Н.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,    А-8/0883-8-1,"Общество с ограниченной ответственностью ""ТК""Интегратор СК"" ИНН 1901084294","г.Абакан,ул.Щетинкина,59 т.  т.8 (3902) 25-98-08, 297-403",Г 0001376,c 23/07/08 по 23/07/13,5.00,,Розничная продажа алкогольной продукции,     2,"Магазин,Ширинский р-он, западный берег Малого плёса оз. Белё, квартал 3, участок №1.",,,,,"т.8 (3902) 25-98-08, 297-403","Г 0001342 , 6 июля 2012г. Переоформление", alex@comlink.khakassia.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Бар,Ширинский р-он, западный берег Малого плёса оз. Белё, квартал 3, участок №1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,А-8/0884-8-1,"Общество с ограниченной ответственностью ""АЛПИ-Трэйд"" ИНН 2404005921","Красноярский кр.Березовский р-он,Бархатовский с/с,12 км.автодороги Красноярск-Железногорск",Г 00000822,c 20/08/08 по 20/08/13,5.00,,Розничная продажа алкогольной продукции,     3,"Гипермаркет ""АЛПИ"",г.Абакан,ул.Вознесения,1.",,,,прекр. с 19/01/11,,"Г 00000675 , 13 мая 2009г. Переоформление",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Маркет ""АЛПИ-Подсиненский"",Алтайский р-он,с.Подсинее,ул.Зеленая,10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Гипермаркет ""АЛПИ-Черногорск"",г.Черногорск,ул.Дзержинского,13А.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,А-8/0885-8-1,"Общество с ограниченной ответственностью ""Сопка"" ИНН 1901040346","г. Абакан, ул. М.Жукова, 46 т.   т.8(3902) 24-98-78",Г 00000680,c 03/09/08 по 03/09/13,5.00,,Розничная продажа алкогольной продукции,     2,"Магазин ""Продукты"",г. Абакан, ул. М.Жукова, 46.",,,,,т.8(3902) 24-98-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Ресторан  ""Ариран"",г. Абакан, ул. М.Жукова, 46.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,А-8/0886-8-1,"Общество с ограниченной ответственностью ""ИТАКО"" ИНН 1901068260","г. Абакан, ул. К. Маркса, 59-50 т.   т.8(3902) 21-55-20; 24-34-33",Г 0001284,c 08/09/08 по 08/09/13,5.00,,Розничная продажа алкогольной продукции,     3,"Кафе ""Айсберг"",г. Абакан, ул. Чертыгашева, 148.",,,,,т.8(3902) 21-55-20; 24-34-33,"Г 00000966 , 1 марта 2012г. Переоформление", Lyubowelkina@mail.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Кофейня ""Фэшн"",г. Абакан, ул. Пушкина, 50.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Кафе ""Берри-фуд"",г.Абакан, ул. Щетинкина, 18, литер А, помещение 2Н.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,А-8/0887-8-1,"Общество с ограниченной ответственностью ""Гостиница Сибирь"" ИНН 1901062614","г. Абакан, пр. Дружбы Народов, 9 т.  т. 8 (39042) 25-25-27",Г 00000687,c 10/09/08 по 10/09/13,5.00,,Розничная продажа алкогольной продукции,     1,"Буфет гостиницы ""Сибирь"",г. Абакан,  пр. Дружбы Народов, 9.",,,,,т. 8 (39042) 25-25-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,А-8/0888-8-1,"Общество с ограниченной ответственностью ""Малая Минуса"" ИНН 2455023421","Красноярский край, Минусинский р-он, с. Селиваниха, ул. Промышленная, 6 строение 1 т.  т.8 (3902) 28-19-21",Г 00000691,c 17/09/08 по 17/09/13,5.00,,Розничная продажа алкогольной продукции,     1,"Отдел в магазине ""Продукты"",г. Абакан, ул. Орджоникидзе, 30..",,,,,т.8 (3902) 28-19-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,А-8/0889-8-1,"Общество с ограниченной ответственностью ""Эмилия"" ИНН 1901085555","г. Абакан, ул. Крылова, 112 т.  т. 8-9134400334",Г 00000707,c 08/10/08 по 08/10/13,5.00,,Розничная продажа алкогольной продукции,     1,"Магазин ""Эмилия"",г. Абакан, ул. Крылова, 112-90Н.",,,,прекр. с 09/06/12,т. 8-9134400334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,А-8/0890-8-1,"Общество с ограниченной ответственностью ""Трайс"" ИНН 1901086608","г. Абакан, ул. Чертыгашева, 124-69 т.   т.8(3902)22-10-70",Г 00000735,c 03/12/08 по 03/12/13,5.00,,Розничная продажа алкогольной продукции,     1,"Кафе ""Котофей"",г. Абакан, ул. Чертыгашева, 124-69.",,,,,т.8(3902)22-10-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,А-8/0891-8-1,"Общество с ограниченной ответственностью ""Ривьера"" ИНН 1901064033","г. Абакан, ул. Чкалова, 39 т.  т.8(3902)26-05-07",Г 00000737,c 05/12/08 по 05/12/13,5.00,,Розничная продажа алкогольной продукции,     1,"Бар в кофейне ""Прадо"",г. Абакан, ул. Щетинкина, 61.",,,,прекр. с 20/09/11,т.8(3902)26-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,       А-8/0892-8-,"Общество с ограниченной ответственностью  ""Меркурий"" ИНН 1901069120","г. Абакан, ул. М. Жукова,86 т.  т.8(3902)26-38-11",Г 00000738,c 10/12/08 по 10/12/13,5.00,,Розничная продажа алкогольной продукции,     1,"Отдел в магазине,г. Абакан, ул.М. Жукова, 86, помещение 79Н.",,,,,т.8(3902)26-38-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,А-8/0895-8-1,"Общество с огроаниченной ответственностью ""ГРИНВОЛД"" ИНН 1901087577","г. Абакан, ул. Т.Шевченко, 59 литер В23Б т. т.8(3902) 25-96-43",Г 00000751,c 17/12/08 по 17/12/13,5.00,,Розничная продажа алкогольной продукции,     1,"Кафе,г. Абакан, ул.Т.Шевченко, 59 литер В23Б.",,,,,т.8(3902) 25-96-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,А-8/0894-8-1,"Общество с ограниченной ответственностью ""Ресторан ""Сибирь"" ИНН 1901056258","г. Абакан, пр. Др. Народов, 9 т.   т.8(3902)25-79-30",Г 00000750,c 17/12/08 по 17/12/13,5.00,,Розничная продажа алкогольной продукции,     1,"Ресторан ""Сибирь"",г. Абакан, пр.Др. Народов, 9.",,,,,т.8(3902)25-79-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,А-8/0896-8-1,"Общество с ограниченной ответственностью ""Развитие"" ИНН 1901079826","г. Абакан, ул. Чертыгашева, 124-61 т.     т.8(3902) 24-64-27",Г 00000752,c 18/12/08 по 18/12/13,5.00,,Розничная продажа алкогольной продукции,     1,"Ресторан ""Сербский дворик"",г. Абакан, ул. Щетинкина, 29 -73Н.",,приостановлено с 16/12/09 на 1 мес.,возобновлено с 18/12/09,прекр. с 19/01/11,т.8(3902) 24-64-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,А-8/0897-8-1,"Общество с ограниченной ответственностью ""Север"" ИНН 1901069232","г. Абакан, ул. Аскизская, 216-42 т.  т. 8(3902)27-65-58",Г 00000758,c 29/12/08 по 29/12/13,5.00,,Розничная продажа алкогольной продукции,     1,"Магазин при АЗС,г. Абакан, ул. Аскизская, 248.",,,,прекр. с 10/09/12,т. 8(3902)27-65-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,А-8/0898-9-1,"Общество с ограниченной ответственностью ""МИГ"" ИНН 1901069955","г. Абакан, ул. К.Перекрещенко, 13а-24 т.  т.8(3902)35-78-10",Г 00000763,c 14/01/09 по 14/01/14,5.00,,Розничная продажа алкогольной продукции,     2,"Павильон ""Продукты"",г.Абакан, ул. М.Жукова, 21А.",,,,,т.8(3902)35-78-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Магазин ""Продукты"",г. Абакан, ул. Чкалова, 17 помещение 26Н.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,А-8/0900-9-1,"Общество с ограниченной ответственностью  ""Аэроклуб"" ИНН 1901084181","г.Абакан, ул. Чкалова,23 т. т. 8 (3902) 24-00-88",Г 00000769,c 28/01/09 по 28/01/14,5.00,,Розничная продажа алкогольной продукции,     1,"Бар в кафе гостиничного комплекса ""Персона"",г.Абакан, ул.Чкалова, 23.",,,,,т. 8 (3902) 24-00-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,А-8/0899-9-1,"Общество с ограниченной ответственностью "" Удача"" ИНН 1901070238","г.Абакан, ул.Гагарина, 84А т.    т. 8(3902) 25-26-12",Г 00000768,c 28/01/09 по 28/01/14,5.00,,Розничная продажа алкогольной продукции,     1,"Магазин ""Удача"",г.Абакан, ул. Торосова, 8- 98Н.",,,,,т. 8(3902) 25-26-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,А-8/0901-9-1,"Общество с ограниченной ответственностью ""Фея"" ИНН 1901088080","г. Абакан, ул. Трудовая, 73Б т.  т.8(3902) 28-29-21",Г 0001238,c 04/02/09 по 04/02/14,5.00,,Розничная продажа алкогольной продукции,     3,"Спорт-бар ""Фея"",г. Абакан, ул. Трудовая, 73Б помещение 190Н.",,,,,т.8(3902) 28-29-21,"Г 0001232 , 17 ноября 2011г. Переоформление",Grotnik81@yandex.ru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Магазин ""Фея"",г.Абакан, ул. Трудовая, 73Б помещение 189Н.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Магазин ""Продукты"",г.Абакан, пр.Др. Народов, 40 помещение 101Н.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,А-8/0902-9-1,"Общество с ограниченной ответственностью ""Эйре"" ИНН 2464209246","Красноярский край, г. Красноярск, ул. Вавилова, 1 т.   т.8(3902) 300-600, 8-908-325-04-08",Г 00000779,c 11/02/09 по 11/02/14,5.00,,Розничная продажа алкогольной продукции,     1,"Бар в ресторане ""Лимерик"",г. Абакан, пр.Др. Народов, 16 литер АВ1.",,,,,"т.8(3902) 300-600, 8-908-325-04-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,А-8/0904-9-1,"Общество с ограниченной ответственностью ""ДИВ"" ИНН 1901070950","г. Абакан, ул.Торговая, 15 т.    т.8(3902)23-21-03",Г 00000784,c 18/02/09 по 18/02/14,5.00,,Розничная продажа алкогольной продукции,     1,"Магазин ""Братья ДИВ"",г. Абакан, ул.Торговая, 15.",,,,,т.8(3902)23-21-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,А-8/0903-9-1,"Общество с ограниченной ответственностью ""Комплекс"" ИНН 1901060568","г. Абакан, ул. Хлебная,82 т.   т.8(3902)26-38-12",Г 00000856,c 18/02/09 по 18/02/14,5.00,,Розничная продажа алкогольной продукции,     2,"Магазин ""Черешня"",г. Абакан, ул. Песочная, 15/1.",,,,,т.8(3902)26-38-12,"Г 00000785 , 1 июля 2009г. Переоформление",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Отдел в магазине ""Золотая звезда"",г.Абакан, ул. Ломоносова,22, помещение №91Н.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,А-8/0906-9-1,"Общество с ограниченной ответственностью ""РБК 19"" ИНН 1901085989","г.Абакан, ул. Хлебная, 16 литер А т.  т.8(3902) 22-26-82",Г 00000978,c 01/04/09 по 01/04/14,5.00,,Розничная продажа алкогольной продукции,     3,"Магазин ""Ролби"",г.Абакан, ул. Итыгина, 19А.",,,,прекр. с 08/06/11,т.8(3902) 22-26-82,"Г 00000948 , 14 апреля 2010г. Переоформление",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Магазин ""Ролби"",г. Абакан, ул. Хлебная, 16 литер А1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Магазин ""Ролби"",г.Черногорск, ул. Юбилейная, 26А.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,А-8/0908-9-1,"Открытое акционерное общество ""Хакаслесторг"" ИНН 1901010327","г.Абакан, ул. Гагарина, 26 т.    т.8(3902) 22-52-13",Г 00000801,c 15/04/09 по 15/04/14,5.00,,Розничная продажа алкогольной продукции,     1,"Отдел в магазине ""Продукты"",г. Абакан, ул. Гагарина, 26 Литер А.",,,,,т.8(3902) 22-52-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,А-8/0907-9-1,"Общество с ограниченной ответственностью ""Айсберг"" ИНН 1901080331","г.Абакан, ул. Чертыгашева, 131-257 т.   т.8(3902) 22-31-22",Г 00000799,c 15/04/09 по 15/04/14,5.00,,Розничная продажа алкогольной продукции,     2,"Кафетерий ""Пицца-Айсберг"",г.Абакан, проспект Ленина, 59 Литер А.",,,,,т.8(3902) 22-31-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
