Реестр действующих лицензий на розничную продажу алкогольной продукции на 01.09.2012 года,,,,,,,,,,,,,,,,,,
№п/п,Наименование организациии,ИНН,КПП,Адрес юридический,Адрес осуществления вида деятельности,Код субъекта РФ,Регистрационный номер лицензии,Серия лицензии,Номер лицензии,"Дата выдачи (месяц, число, год)","Дата окончания действия (месяц, число, год)","Дата приостановления действия (месяц, число, год)","Дата возобновления действия (месяц, число, год)","Дата прекращения действия (месяц, число, год)","Дата аннулирования (месяц, число, год)",Руководитель организации,Контактный телефон,"Муниципальный орган, выдавший лицензию"
32,ООО «Натали»,404006600,40400101,"РА Онгудайский район, с.Онгудай, ул.Советская, 142/1","Онгудайский район, с.Онгудай улл.Советская 141/1; ул.Космонавтов,36; ул.Верх-Катунская,16",,14,ГА,629,2/7/2012,10/7/2013,,,,,Безденежных Р.Н.,8(38845)22208,"МО ""Онгудайский район"""
33,ООО «Эзлик»,404006760,40400101,"РА Онгудайский район, с.Онгудай, ул.Советская,73","РА Онгудайский район, с.Онгудай, ул.Советская,72",,17,ГА,632,07.18.2012,07.13.2013,,,,,Токорокова В.И.,8(38845) 21157,"МО ""Онгудайский район"""
34,ООО «Стрелец»,404006752,40400101,"РА Онгудайский район, с.Онгудай, ул.ДСУ-11, №18/2","РА Онгудайский район, с.Онгудай, ул.ДСУ-11,18/2",,18,ГА,634,07.18.2012,07.17.2013,,,,,Тантыева Е.Б.,8(38845)21140,"МО ""Онгудайский район"""
35,Онгудайское сельпо,404004917,40400101,"РА Онгудайский район, с.Онгудай, ул.Ленина,4","РА Онгудайский район, с.Онгудай, ул.Ленина,4",,20,Г,302,12.21.2006,12.20.2012,,,,,Семендеева Н.Я.,89631995450,"МО ""Онгудайский район"""
36,ООО «Меркурий»,404005565,40400101,"РА Онгудайский район, с.Онгудай, ул.Ленина,8","Онгудайский район, с.Онгудай, ул.Ленина,8; ул.Юбилейная, 30; ул.Строителей, 15А;",,21,Г,700,11.30.2011,1/11/2013,,,,,Шипунова О.М.,8(38845)22151,"МО ""Онгудайский район"""
,,,,,"ул.Московская,32А",,,,,,,,,,,,,
37,ООО «ПаВа»,404006745,40400101,"РА Онгудайский район, с.Онгудай, ул.Молодежная,12","РА Онгудайский район, с.Онгудай, ул.Молодежная,12",,26,Г,308,12.28.2006,12.27.2012,,,,,Елекова В.Г.,89136994382,"МО ""Онгудайский район"""
38,ООО «Сай»,404005460,40400101,"РА Онгудайский район, с.Онгудай","РА Онгудайский район, с.Онгудай, ул.Заречная,39; ул.Алтайская,59",,2,Г,713,12/7/2010,11/7/2015,,,,,Мурзагалиев В.В.,89139988088,"МО ""Онгудайский район"""
39,ООО «Ирина»,404006985,40400101,"РА Онгудайский район, с.Купчегень, ул.Центральная,15","РА Онгудайский район, с.Купчегень, ул.Центральная,15",,2,ГА,621,02.27.2007,02.26.2013,,,,,Суркашева И.П.,89139927074,"МО ""Онгудайский район"""
40,ООО «Мари-С»,404006826,40400101,"РА Онгудайский район, с.Онгудай, ул.Заречная,32","РА Онгудайский район, с.Онгудай, ул.Заречная,32",,17,Г,287,07.19.2006,07.18.2012,,,,,Пятков Е.С.,8(38845)22372,"МО ""Онгудайский район"""
41,ООО «Водолей»,404006858,40400101,"РА Онгудайский район, с.Онгудай, ул.Юбилейная,39","РА Онгудайский район, с.Онгудай, ул.Юбилейная,39",,19,Г,290,11/10/2006,10/10/2012,,,,,Сапожникова Г.Д.,8(38845)22617,"МО ""Онгудайский район"""
42,ООО «Техно-сервис»,404006424,40400101,"РА Онгудайский район, с.Онгудай, ул.Советская,174","РА Онгудайский район, с.Онгудай, ул.Советская,171",,5,Г,717,12.30.2008,12.30.2013,,,,,Чачиякова А.Т.,89136941434,"МО ""Онгудайский район"""
43,ООО «Камелия»,404006456,40400101,"РА Онгудайский район, с.Онгудай, ул.Советская,87","РА Онгудайский район, с.Онгудай, ул.Советская,87",,3,В,128,6/4/2006,5/4/2012,,,,,Никифорова З.Т.,89618931200,"МО ""Онгудайский район"""
44,ООО «Вера»,404007202,40400101,"РА Онгудайский район, с.Малый Яломан","РА Онгудайский район, с.Малый Яломан",,16,Г,325,12.25.2007,12.24.2012,,,,,Чурукова В.А.,89136920338,"МО ""Онгудайский район"""
45,ООО «Шавла»,404007315,40400101,"РА Онгудайский район, с.Йодро","РА Онгудайский район, с.Белый-Боом",,1,Г,716,08.31.2009,08.31.2014,,,,,Такин А.В.,89136984699,"МО ""Онгудайский район"""
46,ООО «Каир»,404006791,40400101,"РА Онгудайский район, с.Иня, ул.Мира,17","РА Онгудайский район, с.Иня, ул.Мира,17",,15,ГА,630,6/7/2012,10/7/2013,,,,,Кыймыштаева Э.Л.,89609684336,"МО ""Онгудайский район"""
47,ООО «Таян»,404006706,40400101,"РА Онгудайский район, с.Иня","РА Онгудайский район, с.Иня",,14,Г,703,07.21.2011,07.18.2012,,,,,Мампина Н.Н.,89136933502,"МО ""Онгудайский район"""
48,ООО «Бай-Ару»,404007065,40400101,"РА Онгудайский район, с.Иодро","РА Онгудайский район, с.Иодро",,15,Г,324,11/12/2007,10/12/2012,,,,,Семендеева Р.А.,89139980764,"МО ""Онгудайский район"""
49,"ООО ""Горно-Алтай-Фарм""",404003656,40401001,"РА Онгудайский район,с.Онгудай,ул.Советская,12А","РА Онгудайский район, с.Онгудай,ул.Заречная,39А",,4,ГА,622,04.18.2012,04.18.2013,,,,,Юстуков Э.В.,89136900095,"МО ""Онгудайский район"""
50,ООО «Эрчим»,404007072,40400101,"РА Онгудайский район, с.Малая Иня","РА Онгудайский район, с.Малая Иня",,11,Г,320,08.15.2007,08.14.2012,,,,,Кеберекова Л.Н.,8(38845)25410,"МО ""Онгудайский район"""
,"УТЦ ""Семинский перевал""",404006921,40401001,"РА Онгудайский район, Семинский перевал","РА Онгудайский район, Семинский перевал",,11,Г,317,5/6/2012,6/6/2013,,,,,Мелехов Н.П.,89139983538,"МО ""Онгудайский район"""
51,"ООО ""Алмат""",404008277,40401001,"РА Онгудайский район, с.Онгудай, ул.Ленина, 44","РА Онгудайский район, с.Онгудай, ул.Ленина, 44",,6,ГА,625,05.14.2012,05.14.2013,,,,,Тоюшев Е.И.,89139961634,"МО ""Онгудайский район"""
52,Паспаульское сельское потребительское общество,409000190,40901001,"РА Чойский район, с.Паспаул, ул.Трактовая,5 ","РА Чойский район, с.Паспаул, ул.Трактовая,5; ул.Кедровая,18; ул.Лесная,5;с.Сугул, ул.Поселковая,12;",,37,ГА,987,2/7/2012,1/7/2013,,,,,Чумакаева С.Ф.,8(38840)25388,"МО ""Чойский район"""
,,,,,"с.Ускуч, ул.Центральная,4;с.Советское, ул.Мирная,21",,,,,,,,,,,,,
53,ООО «Престиж»,409910062,40901001,"РА Чойский район, с.Паспаул, ул.Трактовая,34","РАЧойский район, с.Чоя, ул.Красноармейская,14А; ул.Советская,1/3; с.Паспаул, ул.Трактовая,4;",,30,Г,816,06.30.2011,06.30.2012,,,,,Шевелева Н.В.,8(38840)22497,"МО ""Чойский район"""
,,,,,"Турочакский район, с.Турочак, ул.Осипова,2",,,,,,,,,,,,,
54,ООО «Гаянэ»,409910094,40901001,"РА Чойский район, с.Сёйка ул. Октябрьская,12","РА Чойский район, с.Сейка, ул.Тушкинекская,1А",,39,ГА,989,12/7/2012,11/7/2013,,,,,Саакян В.А.,8(38840)23181,"МО ""Чойский район"""
55,ООО «Ольга»,409910070,40901001,"РАЧойский район, с.Сёйка  ул.Центральная,12","РА Чойский район, с.Сейка, ул.Центральная,12; ул.Школьная,33; ",,40,ГА,990,08.17.2012,08.16.2013,,,,,Кирьянова В.Я.,8(38840)23316,"МО ""Чойский район"""
56,ООО «Престиж»,409910129,40901001,"РА Чойский район, с.Ынырга  ул. Заводская,1","РА Чойский район, с Ынырга, ул.Центральная, 7/1; с.Красносельск, ул.Социалистическая,23/1",,12,Г,513,12.13.2011,12.18.2012,,,,,Сариева Е.Е.,8(38840)26348,"МО ""Чойский район"""
57,ООО «Исток»,409910104,40901001,"РА Чойский район, с.Чоя, ул. Ворошилова 3/2","Чойский район, с.Чоя, ул.Ленина,31/1; ул.Социалистическая,18А; с.Сейка, ул.Октябрьская,10",,38,ГА,988,9/7/2012,8/7/2013,,,,,Малютина Г.В.,8(38840)22442,"МО ""Чойский район"""
58,ООО «Камелия»,409910256,40901001,"РА Чойский район, с.Чоя, ул. Ленина, 19 А","РА Чойский район, с.Чоя, ул.Ленина,19А",,18,Г,521,04.20.2007,04.19.2012,,,,,Куньщиков М.Л.,8(38840)22442,"МО ""Чойский район"""
59,ООО «Анастасия»,409910312,40901001,"РА Чойский район, с.Сёйка, ул. Школьная,31","РА Чойский район, с.Сейка, ул.Школьная,31",,19,Г,522,06.21.2007,06.20.2012,,,,,Турукина Н.В.,8(38840)23269,"МО ""Чойский район"""
60,ООО «Солнечное сияние»,5406513813,40901001,"РА Чойский район, 51 км. трассы Горно-Алтайск-Турочак","РА Чойский район, 51 км. трассы Горно-Алтайск-Турочак",,27,Г,530,08.14.2009,08.13.2014,,,,,Тонкова С.Е.,,"МО ""Чойский район"""
61,ООО «Никола»,409910390,40901001,"РА Чойский район, с. Каракокша, ул.Юбилейная,1а","РА Чойский район, с.Каракокша, ул.Юбилейная,1А",,23,Г,526,10.13.2008,12/10/2013,,,,,Ходырев Н.В.,8(38840)24378,"МО ""Чойский район"""
62,ООО «Россич»,409910457,40901001,"РА Чойский район, с. Чоя, ул.Волкова,18/1","РА Чойский район, с.Чоя, ул.Советская,8",,36,ГА,986,06.14.2012,10.23.2012,,,,,Ким О.А.,8(38840)22445,"МО ""Чойский район"""
63,ООО «Аэлита»,409910513,40901001,"РА Чойский район, с. Уймень, ул.Зелёная,19","РА Чойский район, с.Уймень, ул.Зеленая,19",,25,Г,528,12/12/2008,11/12/2013,,,,,Ефимов С.Г.,89631999698,"МО ""Чойский район"""
64,ООО «Марьин остров»,410004552,41001001,"РА Чемальский район, с. Чемал, ул. Уожанская,58","РА Чемальский район, с.Чемал, ул.Уожанская,58",,38,Г,788,06.19.2008,06.18.2013,,,,,Легостаев Н.А.,8(38841)22403,"МО ""Чемальский район"""
65,ООО «Топаз»,408015194,41001001,"РА Чемальский район, с. Чемал, ул. Курортная, 10","РА Чемальский район, с.Чемал, ул.Курортная,10",,62,Г,487,12/3/2009,10/3/2014,,,,,Забродин А.В.,8(38841)22633,"МО ""Чемальский район"""
66,ООО «Гостиница «Ареда-3»,411135678,41001001,"РА Чемальский район, с.Чемал, урочище ""Ареда"" ","РА Чемальский район, урочище «Ареда», жилой корпус №2",,63,Г,491,04.28.2009,04.27.2014,,,,,Суликов А.В.,8(38841)22873,"МО ""Чемальский район"""
67,"ООО ""Фортуна""",411157544,41101001,"РА Чемальский район,  урочище Ареда","РА Чемальский район, база отдыха «Берель», кафе, урочище Ареда ресторан, кафе",,,ГА,909,3/7/2012,2/7/2013,,,,,Хачатурян Д.С.,8(38841)22132,"МО ""Чемальский район"""
68,Некоммерческая организация Чемальского РПО,410000011,41001001,"РА Чемальский район, с. Чемал, пер. Торговый, 3","РА Чемальский район:  с.Чемал, пер.Торговый,1З; пер.Торговый,1К; ул.Курортная,5;",,38,Г,489,11/3/2009,06.18.2016,,,,,Федченко Н.Ф.,8(38841)22418,"МО ""Чемальский район"""
,,,,," пер.Торговый, 1В; пер.Торговый,1М; с.Еланда, ул.Катунская,45;с.Эдиган, ул.Центральная,13;",,,,,,,,,,,,,
,,,,,"с.Куюс, ул.Центральная,27;с.Аюла, ул.Центральная,19; с.Элекмонар, ул.Советская,42;",,,,,,,,,,,,,
,,,,,"ул.Садовая,19; с.Узнезя, ул.Центральная,18; с.Аскат, ул.Озерная,40; с.Анос, ул.Центральная,49;",,,,,,,,,,,,,
,,,,,"с.Чепош, ул.Кучияк,35; с.Бешпельтир, ул.Центральная,31А",,,,,,,,,,,,,
69,ООО «АВИС»,408016247,41001001,"РА Чемальский район, с. Чемал, ул. Торговый ряд,3/1","РА Чемальский район, с.Чемал, ул.Торговый ряд,3; ул.Пчелкина,21; ул.Пчелкина, 2Б",,72,ГА,904,06.29.2011,06.27.2013,,,,,Суртаев Ю.И.,8(38841)22031,"МО ""Чемальский район"""
70,ООО «М. и Ф.»,408015927,41001001,"РА Чемальский район, с. Чемал, ул. Торговый ряд 2/3","РА Чемальский район, с.Чемал, ул. Торговый ряд, 2/3",,41,ГА,912,07.19.2012,07.18.2013,,,,,Мумурканова М.Н.,8(38841)22643,"МО ""Чемальский район"""
71,ООО «Кристалл»,408016173,41001001,"РА Чемальский район, с. Чемал, ул. Катунская, 3","Чемальский район, с.Чемал, ул.Торговый ряд, 2/6; с.Элекмонар, ул.Советская,17",,71,ГА,905,06.29.2011,06.27.2013,,,,,Касьянов Ю.А.,8(38841)22444,"МО ""Чемальский район"""
72,ООО «Анкавико»,408016159,41001001,"РА Чемальский район, с. Чемал, ул. Торговый ряд, 1/8","РА Чемальский район, с.Чемал, ул.Торговый ряд, 1/8",,44,Г,901,07.19.2006,07.18.2012,,,07.18.2012,,Кабанова А.А.,8(38841)22172,"МО ""Чемальский район"""
73,ООО «Самородок»,408016092,41001001,"РА Чемальский район, с. Усть-Сема, ул. Трактовая, 17","РА Чемальский район, с.Усть-Сема, ул.Трактовая,17",,45,ГА,911,07.19.2012,07.18.2013,,,,,Золотухина М.В.,8(38841)27357,"МО ""Чемальский район"""
74,Подразделение Алтайского отделения-структурного подразделения,7708503727,41001001,"РА Чемальский район, с. Катунь","РА Чемальский район, с.Катунь, база отдыха «Турсиб»",,73,Г,490,7/3/2012,6/3/2013,,,,,Музалевская Е.В.,8(38841)27590,"МО ""Чемальский район"""
,Западно-Сибирской железной дороги-филиал ОАО «РЖД»,,,,,,,,,,,,,,,,,
75,ООО «Катунь»,411134843,41101001,"РА Чемальский район, с. Элекмонар, ул. Советская б/н","РА Чемальский район, с.Элекмонар, ул.Советская",,56,Г,913,01.18.2008,01.16.2013,,,,,Курганова И.А.,8(38841)24374,"МО ""Чемальский район"""
76,ООО «Кедр»,411137450,41101001,"РА Чемальский район, с. Узнезя, ул. Новые Черемушки, б/н","Чемальский район, с.Узнезя, ул.Новые Черемушки б/н; Шебалинский район, с.Черга ул.Октябрьская,128Б",,39,Г,786,5/8/2008,4/8/2013,,,,,Шелепова Н.А.,89609679227,"МО ""Чемальский район"""
77,ООО «Селегур»,411140156,41101001,"РА Чемальский район, с. Узнезя, ул. Центральная, 41","РА Чемальский район, с.Узнезя, ул.Центральная,41",,59,Г,482,3/12/2008,2/12/2013,,,,,Фалеев А.К.,89139998150,"МО ""Чемальский район"""
78,ООО «Арафат»,2225073717,222501001,"РА Чемальский район, с.Чемал, ул.Пчелкина,62","РА Чемальский район, с.Чемал, ул.Пчелкина,62; с.Катунь, турбаза «Катунь» ",,64,ГА,906,9/7/2010,06.23.2014,,,,,Узакова Э.К.,8(3852)658096,"МО ""Чемальский район"""
79,ЗАО «Омега-2001»,411098602,41101001,"РА Чемальский район, с. Узнезя, ул. Центральная, 46Б","РА Чемальский район, с.Узнезя, ул.Центральная, 46Б",,60,Г,785,12.25.2008,12.24.2013,,,,,Вяткина А.В.,8(38841)27544,"МО ""Чемальский район"""
80,ООО «Карина Сервис»,411111821,41101001,"РА г.Горно-Алтайск, пр-т Коммунистический, 81                               ","РА Чемальский район, с.Катунь, турбаза «Катунь»",,61,ГА,907,12.30.2008,12.24.2013,,,,,Шевчук П.Н.,89139991006,"МО ""Чемальский район"""
81,ОАО «НК «Роснефть-Алтайнефтепродукт»,2225007351,222501001,"РА Чемальский район, с.Усть-Сема, ул.Трактовая,2Б","Чемальский район, с.Усть-Сема, ул.Трактовая,2Б",,70,Г,500,06.28.2010,06.27.2015,04.27.2012,,,,Кристалинский А.Г.,8(3822)249542,"МО ""Чемальский район"""
82,ООО «Блеск»,411146920,41101001,"РА Чемальский район, с.Чемал, ул.Торговый ряд 1/9","РА Чемальский район, с.Чемал, ул.Торговый ряд, 1/9",,69,Г,499,12/1/2010,10/1/2015,,,,,Егорова Е.П.,8(38841)22665,"МО ""Чемальский район"""
