"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Зиминскому городскому  МО ",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
,,,,"3. Маг. ""Импульс""  - г. Зима, ул. Клименко, 35-2",,,,,
9.,Общество с ограниченной ответственностью «Сатурн»         ИНН 3806003690,МИФНС России № 2 по Иркутской области и УОБАО,№  8                               А 154288                 25.07.2006 по 24.07.2011  Продление по 24.07.2012,"маг. «Сатурн» - г. Зима, ул. Куйбышева, 77А",23.06.2009 на один месяц,7/23/2009,с 25.07.2012,,
10.,Общество с ограниченной ответственностью «Марго»           ИНН 3806003725,МИФНС России № 2 по Иркутской области и УОБАО,Переоформление лицензии:                     № 10                              А 154304                   14.12.2007                   Продлена                  по 01.08.2014,"1. Маг. «Марго» - г. Зима, ул. Подаюрова, 90;",28.02.2008 г десять дней,3/9/2008,,,
,,,,"2. Кафе «Сенатор» -  г. Зима, м/н Ангарский, 10.",18.11.2008 г. пятнадцать дней,12/3/2008,,,
11.,"Общество с ограниченной ответственностью ""На углу""          ИНН 3806003732",МИФНС России № 2 по Иркутской области и УОБАО,№ 11                                        А 154291                    05.10.2006 по 04.10.2011     Продлена по 04.10.2013,"Маг. «На углу»  - г. Зима, ул. Ленина, 76",28.02.2008 г десять дней,3/9/2008,,,
12.,"Общество с ограниченной ответственностью ""Вита""                  ИНН 3805702590",МИФНС России № 15 по Иркутской области и УОБАО,№ 435                             38 МЕ 005992 24.10.2008 по 26.04.2011,"1. Отдел в маг. «Продукты» - г.Зима, ул. Каландарашвили, 4",,,4/26/2011,,Отдел лицензирования комитета потребительского рынка товаров и услуг г. Братска
,,,,"2. Отдел в маг. «Визит» -  г. Зима, ул. Коминтерна, 71;",,,,,
,,,,"3. Отдел в маг. «Витязь»  - г. Зима, ул. Подаюрова, 47.",,,,,
13.,Общество с ограниченной ответственностью «Фарт»              ИНН 3806004430,МИФНС России № 2 по Иркутской области и УОБАО,"           № 9         А 154413 от 14.06.2012 по 14.12.2012       ""Взамен"" № 27                                   А 154396                   15.11.2011                                                     продлена по 14.12.2014               ","1.Отдел ООО ""Фарт"" в ТЦ «Фортуна» - г. Зима, ул. Ленина, 39;                              2. маг. «Стим» -  г. Зима, ул. Ленина, 4Б;                              3. маг. «Мини-маркет «Фортуна» - г. Зима, м/р «Ангарский», 10А.",,,,,
14.,Общество с ограниченной ответственностью «Континент»  ИНН 3806004373,МИФНС России № 2 по Иркутской области и УОБАО,№ 1                               А 154294             09.02.2007                   по 08.02.2012,"1. Маг. «Продукты +» - г. Зима, ул. Ленина, 12",с 15.02.2008 десять дней ,2/25/2008,6/29/2011,,
,,,,"2. Кафе «Континент»  - г. Зима, ул. Ленина, 12",с 30.10.2009 один месяц,11/26/2009,,,
15.,Общество с ограниченной ответственностью «Мега»                        ИНН 3806004503,МИФНС России № 2 по Иркутской области и УОБАО,"Переоформлена             № 1 А                             154376                   10.02.2011                    по 26.02.2012         ""Взамен""                            № 18                               А 154371                    29.10.2010                         по 26.02.2012","1. Отдел в маг. «Ангара» - Куйтунский р-н., с. Карымск,  ул. Советская, 5",,,С 27.02.2012,,
,,,,"2. Отдел в маг. «Весна» -  г. Зима, ул. Куйбышева, 11;",,,,,
,,,,"3.  Отдел в магазине «Лесозаводской» - г. Зима, ул. Лесопильная, 1а;",,,,,
,,,,"4. Отдел в маг. № 26 – г. Зима, ул. Ангарская, 7;",,,,,
,,,,"5. Отдел в магазине «Чародейка» - Зиминский район, с. Масляногорск, ул. Коммунаров, 69",,,,,
,,,,"6. Отдел в магазине «Товары повседневного спроса» - Зиминский район, п. Большеворонежский, ул. Мира, 8",,,,,
,,,,"7. Отдел в магазине «Смешанные товары» - Зиминский район, с. Филипповск, ул. Мира, 5",,,,,
,,,,"8. Отдел в здании склада литер Я 16 – г. Зима, ул. Космонавтов, 78",,,,,
16.,Общество с ограниченной ответственностью «Наш регион» ИНН 3805703964,МИФНС России № 15 по Иркутской области и УОБАО,          № 617                                  38 МЕ 006185 14.05.2010                                            по 03.11.2011,"Отдел в маг. «Исток» - г. Зима, ул. Краснопартизанская, 40",,,с 04.11.2011,,Отдел лицензирования комитета потребительского рынка товаров и услуг администрации г. Братска
17.,"Общество с ограниченной ответственностью ""Рассвет""          ИНН 3806003740",МИФНС России № 2 по Иркутской области и УОБАО,№  12                              А 154306                 27.12.2007    по 30.06.2012            Взамен                         № 6                               А 154299                       с 01.07.2007                       по 30.06.2012,"1. Отдел в маг. «Рассвет» - г. Зима, ул. М.Тракт, 37;",,,с 01.07.2012,,
,,,,"2. Отдел в маг. «Русь» - г. Зима, м/н Ангарский, 10.",,,,,
18.,"Общество с ограниченной ответственностью ""Баргузин""           ИНН 3806004800",МИФНС России № 2 по Иркутской области и УОБАО,№  7                                  А 154300                   06.07.2007;                          06.07.2007 - 05.07.2012,"Отдел в маг. «Баргузин» - г. Зима, ул. Федорова, 2А",,,с 06.07.2012,,
19.,Открытое акционерное общество «Железнодорожная торговая компания» ИНН 7708639622,МИФНС России № 46 по г. Москва,Переоформлена                 № 24                                      А 002283                    28.10.2011 по 24.10.2012              Взамен                          № 12                               А 002269 31.08.2009 по 24.10.2012 ,"Маг. № 73 - г. Зима, ул. Краснопартизанская, 155",,,,,Администрация Зиминского районного муниципального образования
20.,Общество с ограниченной ответственностью «Перекресток» ИНН 3806005000,МИФНС России № 2 по Иркутской области и УОБАО, № 9                               А 154303                   23.11.2007 - 22.11.2012,"Кафе «Перекресток» - г. Зима, ул. Краснопартизанская, 148",,,,,
21,Общество с ограниченной ответственностью «Авангард»           ИНН 3814012233,МИФНС России № 14 по Иркутской области и УОБАО," Переоформлена           20-07/Пр11  38 МЕ 005360 от 04.07.2012 по 16.12.2012                     ""Взамен""                           20-07/Пр10  38 МЕ 005353 от 01.04.2012 по 16.12.2012 ",,,,,,Администрация городского округа муниципального образования  «город Саянск»
,,,,"1. Отдел в магазине ИП Ботевой Г.Ф. - г. Зима, ул. Космонавтов, 78.",,,,,
,,,,"2. Отдел в магазине ""Гермес"" - г. Зима, ул. Донская, 14.",,,,,
22,Общество с ограниченной ответственность «Пять капель»   ИНН 3808155025,ИФНС по Правобережному округу г. Иркутска,"Переоформлена № 16 А 154419 от 31.07.2012 по 20.12.2012            ""Взамен""  № 10                              А 154414               27.06.2012;              по 20.12.2012                                ","1. Магазин  - Аларский район, с. Иваническое, ул. Центральная, 1",с 21.02.2008 десять дней,3/2/2008,,,
,,,,"2. Отдел в кафе «Веста» - Тулунский район, с. Шерагул, ул. Ленина, 2;",,,,,
,,,,"3. Отдел ""Пять капель"" в магазине  по адресу: Иркутская область, Иркутский район, п. Дзержинск, ул. Западная, 6.",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
23,Общество с ограниченной ответственностью «Удачный»           ИНН 3814009745,МИФНС России № 14 по Иркутской области и УОБАО,Продлена                        № 11-06/Пр4               38 МЕ 005314             с 05.06.2011                         по 04.06.2012          ,"Отдел в маг. «Удачный» - г. Зима, ул. Лазо, 29",,,С 16.04.2012,,Адмиинстрация городского округа муниципального образования «город Саянск»
24,Общество с ограниченной ответственностью «Меркурий» ИНН 3806004905,МИФНС России № 2 по Иркутской области и УОБАО,Переоформлена № 3 А 154404 от 08.03.2012 по 20.04.2013             Вместо № 2                                    А 154309                   21.04.2008 по 20.04.2013,"1. Кафе «Пекин» - г. Зима, м-н ""Ангарский"", гостиница, 1А;    отдел в магазине ""Продукты"" - г. Зима, ул. Клименко, 16 ""а""",,,,,
25,Общество с ограниченной ответственностью «Империя»           ИНН 3806005874,МИФНС России № 2 по Иркутской области и УОБАО,№ 3                                    А 154310                        с 25.04.2008                 по 24.04.2013,"1. Отдел в маг. «Парус» - г. Зима, ул. Калинина, 53;",,,,,
,,,,"2. Отдел в маг. «Анна» - г. Зима, ул. Новокшонова, 4",,,,,
26,Общество с ограниченной ответственностью «Калинка»  ИНН 3814012956,МИФНС № 14 по Иркутской области,Переоформлена А 154397 № 28 от 17.11.2011 по 20.08.2013         Взамен № 7                               А 154314                       21.08.2008 по 20.08.2013,"Отдел в маг. «Калинка» - г. Зима, ул. Ангарская, 1",,,,,
27,Общество с ограниченной ответственностью «Времена года»  ИНН 3806005930,МИФНС России № 2 по Иркутской области и УОБАО,"Переоформлена               № 16                                   А 154367                        с 25.09.2010                    по 27.08.2013             ""Взамен""                      № 2                               А 154346                25.02.2010 по 27.08.2013","1. Маг. «Весна» - г. Зима, ул. Лермонтова, 37 «Б»;",,,,,
,,,,"2. Отдел в маг. «Русь» -    г. Зима,м/н Ангарский, 10.",,,,,
28,Общество с ограниченной ответственностью «Триада»          ИНН 3806003884,МИФНС России № 2 по Иркутской области и УОБАО,№ 6                                А 154352                    04.06.2010                   по 09.09.2013               Взамен                          № 10                                    А 154317                   10.09.2008                            по 09.09.2013,"Отдел в маг. «Меркурий» - г. Зима, ул. Подаюрова, 14",,,,,
29,Общество с ограниченной ответственностью «Стрелец»            ИНН 3814013004,МИФНС России № 14 по Иркутской области , № 11                                    А 154318                  10.09.2008                    по 09.09.2013,"Маг. «Продукты» -  г. Зима, ул. Октябрьская, 72А",,,С 16.08.2011,,
30,Общество с ограниченной ответственностью «Дионис»          ИНН 3814013269,МИФНС России № 14 по Иркутской области,№  14                      03.12.2008                         по  02.12.2013,"Отдел в маг. «Байкал» - г. Зима, ул. Куйбышева, 77а",,,,,
31,Общество с ограниченной ответственностью «Дионис»          ИНН 3826003723,МИФНС России № 14 по Иркутской области, № 23-06/Пр18                           38 МЕ 005265 30.12.2008 по 11.07.2011,"Отдел в маг. «Удача» - г. Зима, ул. Садовая, д. 2А",,,С 12.07.2011,,Администрация городского округа муниципального образования «город Саянск»
32,Общество с ограниченной ответственностью «Абсолют»          ИНН 3814013854,МИФНС России № 14 по Иркутской области,"Переоформлена № 9 А 244925 25.04.2012. - 25.12.2013                ""Взамен"" № 96             А 244916 14.11.2011 - 25.12.2013","1. Магазин «Север» - г. Зима, ул. Космонавтов, 51А;",,,,,Администрация муниципального образования Куйтунский район
,,,,"2. Отдел в магазине «Любава» - г. Зима, ул. Калинина, 102;",,,,,
,,,,,,,,,
33,Общество с ограниченной ответственностью «Даурия»         ИНН 3814013861,МИФНС России № 14 по Иркутской области,№ 1                               А 154324                       19.03.2009                      по 18.03.2014,"Кафе «Даурия» в г. Зиме по ул. Ленина, 21",,,,,
34,Общество с ограниченной ответственностью «Каскад и Ко»  ИНН 3814014230,МИФНС России № 14 по Иркутской области,№ 3   А 154326 18.04.2009 по 17.04.2014,"Магазин в г. Зиме по ул. Бограда, 142",,,,,
35,Общество с ограниченной ответственностью «Параллель»  ИНН 3814014270,МИФНС России № 14 по Иркутской области, Переоформлена                      № 11                                  А 154385                  31.05.2011                         по 24.05.2014            Взамен     № 4  А 154327  25.05.2009 - 24.05.2014,"1. Отдел в магазине, г. Зима, ул. Трактовая, 55",,,,,
,,,,"2. Отдел в магазине ""Ассорти"" - г. Зима, ул. Куйбышева, 9, лит.А",,,,,
36,Общество с ограниченной ответственностью «Лига»                 ИНН 3814013847,МИФНС России № 14 по Иркутской области, № 6                                  А 154329               03.06.2009 по 02.06.2014,"Отдел в магазине «Лига», г. Зима, ул. Клименко, 52а",,,,,
37,Общество с ограниченной ответственностью «Привал»           ИНН 3814013660,МИФНС России № 14 по Иркутской области,Переоформлена № 35 А 154401                           от 30.12.2011 по 08.06.2014                         Взамен                              № 7 А 154332 09.06.2009 по 08.06.2014,"Отдел в магазине «Привал», г. Зима, ул. Краснопартизанская, 38-1",,,,,
38,Общество с ограниченной ответственностью «Чарли» ИНН 3806005923,МИФНС России № 2 по Иркутской области и УОБАО,№ 9  А 154333 22.06.2009                   по 21.06.2014 ,"Отдел в магазине «Чарли», г. Зима, ул. Садовая, 39",,,,,
39,Общество с ограниченной ответственностью «Торговый дом Саянский бройлер» ИНН 3814014463,МИФНС России № 14 по Иркутской области,"Переоформлена               № 06-09/Пр5                                   38 МЕ 005351                        с 06.03.2012                    по 30.06.2014             ""Взамен""                      № 06-09/Пр4                               38 МЕ 005339               18.10.2011 по 30.06.2014","1. Отдел в магазине «Маяк», г. Зима, ул. Лазо, 27;",,,,,Администрация городского округа муниципального образования «город Саянск»
,,,,"2. Отдел (Павильон) № 1-16, г. Зима, пер. Коммунальный, 4, в ТК «Центральный».  3. Магазин, г. Зима, м-н Ангарский, д. 10 ""А""",,,,,
40,Общество с ограниченной ответственностью «Оникс»  ИНН 3814014449,МИФНС России № 14 по Иркутской области, Переоформлена            № 5                                А 154351                 26.05.2010                      Взамен                                  № 11                            А154334                   05.08.2009                05.08.2009 - 04.08.2014,"1. Отдел в маг. ""Ассорти"", г. Саянск, м/р Мирный, 7",,,,,
,,,,"2. Отдел в ТК ""Для Вас"", г. Саянск, м/р Олимпийский, 8",,,,,
41,Общество с ограниченной ответственностью «Янта-Зима Розница»          ИНН 3814014449,МИФНС России № 14 по Иркутской области,"№ 12                              А 154363 16.07.2010 - 16.09.2014                    ""Взамен""                              А 154335                     17.09.2009                    по 16.09.2014","Магазин «Янта» - г. Зима, ул. Ленина, 11.",,,с 22.03.2011,,
42,Общество с ограниченной ответственностью «Колибри»            ИНН 3814014520,МИФНС России № 14 по Иркутской области,   № 14                                А 154338               17.09.2009                    по 16.09.2014,"Отдел  в кафе «Колибри» - г. Зима, ул. Горького, 53",С 16.07.2010 десять дней,7/26/2010,,,
43,Закрытое акционерное общество «Иркутскнефтепродукт»                ИНН 3800000742,МИФНС по Правобережному округу г. Иркутска ,Переоформлена                              38 МЕ 003609 АН00432Пр9  27.12.2010 11.01.2008 - 10.01.2013,"Магазин  - г. Зима, пересечение улиц 5-ой Армии и ул. Ломоносова.",,,с 07.10.2011,,Администрация г. Иркутска
44,Общество с ограниченной ответственностью «Шаи»             ИНН 3814014880,МИФНС России № 14 по Иркутской области," Переоформление              № 13  А 244926 от 16.05.2012 до 31.12.2014                                ""Взамен""                           № 8  А 244924 от 23.04.2012 до 31.12.2014     ","1. Отдел в магазине «Глинкинский» - г. Зима, ул. Новокшонова, 4;",,,,,Администрация  муниципального образования Куйтунский район
,,,,"2. Отдел в торговом павильоне «Тонус» - г. Зима, ул. Клименко, 192а;",,,,,
,,,,"3. Отдел в магазине «Имидж» - г. Зима, ул. Кольцевая, 12 лит. А.                              4.  Отдел   в магазине ""Голд"" - г. Зима, ул. Проминского, д. 1, лит.А;                        5.  Отдел   в магазине № 26 - г. Зима, ул. Ангарская, 5.            ",,,,,
45,Общество с ограниченной ответственностью «Остров»          ИНН 3814014978,МИФНС России № 14 по Иркутской области, № 1                               А 154356                      от 07.07.2010                      по 15.02.2011        ,"Супермаркет «Радуга» - г. Зима, ул. Интернациональная, 47",,,2/16/2011,,
46,Общество с ограниченной ответственностью «Хан»                   ИНН 3814014640,МИФНС России № 14 по Иркутской области," № 4                                      А 154357                               от 07.07.2010                          по 12.04.2011                 ""Взамен""                               № 4                                 А 154349                   13.04.2010                           по 12.04.2015","1. Отдел в магазине «Спектр» - г. Зима, ул. Бограда, д. 157;",,,4/13/2011,,
,,,," 2. Отдел в кафе «Виктория» - г. Зима, ул. Тургенева, д. 5.",,,,,
47,Общество с ограниченной ответственностью «Бриз»                ИНН 3814015273,МИФНС России № 14 по Иркутской области, № 10                                   А 154358                  10.07.2010                          по 09.07.2011,"Отдел в магазине «Бриз» - г. Зима, ул. Березовского, 66",,,с 10.07.2011,,
48,Общество с ограниченной ответственностью «Новый формат» ИНН 3814015001,МИФНС России № 14 по Иркутской области,Продлена 30.12.2011   № 22                                  А 154375                 28.12.2010                              по 27.12.2013,"Магазин ""Тополек"" - г. Зима,   ул. Меринова, 8, литер А",,,,,
49,Общество с ограниченной ответственностью «Остров»          ИНН 3814014978,МИФНС России № 14 по Иркутской области,№ 3 А 154378 16.02.2011 16.02.2011 по  15.02.2012,"Супермаркет «Радуга» - г. Зима, ул. Интернациональная, 47",,,2/15/2012,,
50,Общество с ограниченной ответственностью «Старт»                  ИНН 3812120956,МИФНС № 17 по Свердловскому округу г. Иркутска,"Переоформление                                 АН00636Пр21 от 02.06.2011  по 29.04.2014                                              ""Взамен""                         АН00636Пр20           28.04.2011 по 29.04.2014 ","1. Отдел в магазине «Акцент» - г. Зима,   ул. Коминтерна, 81-2;",,,,,Администрация г. Иркутска
,,,,"2. Отдел в магазине Виктория - г. Зима, ул. Калинина,34 ",,,,,
,,,," 3.  Отдел в магазине ""Надежда"" - г. Зима, ул. Революционная,5",,,,,
51,"Общество с ограниченной ответственностью ""Сибирский Бизнес Регион"" ИНН 3814012138",МИНФС России № 14 по Иркутской области," Переоформление        № 2  А 002290       от                                                                                 14.02.2012 по 01.01.2013      ""Взамен""                          № 1  А 002289       от                                                                                 14.02.2012 по 01.01.2013              ","Отдел в ТК ""Владимирский"" - г. Зима, ул. Космонавтов, 78, литер О",,,,,Администрация Зиминского районного муниципального образования
52,"Общество с ограниченной ответственностью ""Экония""   ИНН 3814016485",МИНФС России № 14 по Иркутской области,№ 14 А 154418         от 26.07.2012;  по 31.03.2016          Взамен    № 9 А 154382       19.04.2011 ,"1. Отдел ООО ""Экония""- Зиминский район, с. Ухтуй, ул. Московский тракт, д. 1, лит. В;                   2. отдел ООО ""Экония"" - Зиминский район, автомагистраль Красноярск-Иркутск 1625 км+860м",,,,,
53,"Общество с ограниченной ответственностью ""Прайд""          ИНН 3806003605",МИФНС России № 2 по Иркутской области и УОБАО,№ 6 А 154380 13.04.2011;           13.04.2011 по 12.04.2012,"Магазин ""Ермак"" - г. Зима, ул. Курзенкова, 2А",,,с 13.04.2012,,
54,Общество с ограниченной ответственностью «Хан»                   ИНН 3814014640,МИФНС России № 14 по Иркутской области,Переоформление        № 25 А 154394    от 21.10.2011 по 14.04.2012                   Взамен                         № 8 А 154381              15.04.2011 по 14.04.2012,"1. Отдел в магазине «Бриз» - г. Зима, ул. Березовского, д. 166;",,,с 15.03.2012,,
55,"Общество с ограниченной ответственнгостью ""Ника"" ИНН 3814004962",МИФНС России № 14 по Иркутской области,№ 06-06/Пр7                    38 МЕ 005328           27.04.2011 по 05.04.2014,"1. Отдел в магазине ""Маяк"" - г. Зима, ул. Лазо, 27",,,,,Администрация городского округа муниципального образования  «город Саянск»
56.,"Общество с ограниченной ответственностью ""Вита""                  ИНН 3805702590",МИФНС России № 15 по Иркутской области и УОБАО,"Переоформлена    № 821 38 МЕ 006394 от 01.09.2011 по 05.06.2012             ""Взамен""                   № 743                                38 МЕ 006316    06.06.2011 по 05.06.2012","1. Отдел в маг. «Продукты» - г.Зима, ул. Каландарашвили, 4",,,,,Комитет по управлению муниципальным имуществом и развитию потребительского рынка администрации г. Братска
,,,,"2. Отдел в маг. «Визит» -  г. Зима, ул. Коминтерна, 71;",,,,,
,,,,"3. Отдел в маг. «Витязь»  - г. Зима, ул. Подаюрова, 47.              4. Отдел в маг. ""Екатерина"" - г. Зима, ул. Куйбышева, 9",,,,,
57.,Общество с ограниченной ответственностью «Наше дело»                   ИНН 3814015139,МИФНС России № 14 по Иркутской области,Переоформлена          1-10/Пр2   38 МЕ 005340 от 21.10.2011 по 18.02.2013        Взамен                          1-10/Пр/1 38 МЕ 005332      30.06.2011                   по 18.02.2013,"1. Магазин «Янта» - г. Зима, ул. Ленина, 11",,,,,Администрация городского округа муниципального образования  «город Саянск»
58.,Общество с ограниченной ответственностью «Спектр»                   ИНН 3814017217,МИФНС России № 14 по Иркутской области,№ 22                                      А 154391                  24.09.2011                   по 23.09.2014,"1. Отдел в магазине «Спектр» - г. Зима, ул. Бограда, д. 157;",,,,,
59.,"Общество с ограниченной ответственнгостью ""Алмаз-Зима"" ИНН 3814016710",МИФНС России № 14 по Иркутской области,"Переоформлена        № 12 А 154417 от 26.07.2012 по 20.10.2012                ""Вместо""                   № 24 А 154395           21.10.2011 по 20.10.2012","1. Отдел в магазине ""Продукты"" - г. Зима, ул. Садовая, 2 А;            2. Отдел в магазине ""Тонус"" - г. Саянск, м/р Ленинградский, д. 8, блок-вставка № 16;        3. Магазин ""Долина"" - Нукутский район, д. Тангуты, ул. Трактовая, 3;                                       4. Закусочная ""Сыто-Пьяно"", г. Саянск, микрорайон Строителей, д. 50;           5. Торговый отдел ООО ""Алмаз-Зима"" - г. Саянск, микрорайон Олимпийский, д. 10",,,,,
60.,"Общество с ограниченной ответственнгостью ""Холод"" ИНН 3814016823",МИФНС России № 14 по Иркутской области,№ 37 А 154402           31.12.2011 по 30.12.2015,"1. Магазин ""Флагман"" - г. Зима, ул. Ленина, 4А",,,,,
61.,"Общество с ограниченной ответственнгостью ""Наш регион"" ИНН 3805703964",МИФНС России № 15 по Иркутской области и УОБАО,"          Переоформлена          № 940 38 МЕ 006515                      от 09.07.2012           по 07.12.2012            ""Вместо""                   № 908 38 МЕ 006483 от 22.05.2012 по 07.12.2012                            ","1. Магазин ""Исток"" - г. Зима, ул. Краснопартизанская, 40",,,,,комитет экономического развития администрации города Братска
62,Общество с ограниченной ответственностью «Остров»          ИНН 3814014978,МИФНС России № 14 по Иркутской области,№ 1 А 154403               16.02.2012 по  15.02.2013,"Супермаркет «Радуга» - г. Зима, ул. Интернациональная, 47",,,,,
63,Общество с ограниченной ответственностью «Багульник»          ИНН 3814017552,МИФНС России № 14 по Иркутской области,№ 2 А 154406               28.02.2012 по  27.02.2013,"Магазин «Багульник» - г. Зима, ул. Куйбышева, 12",,,,,
64,Общество с ограниченной ответственностью «Хан»                   ИНН 3814014640,МИФНС России № 14 по Иркутской области, № 4 А 154405    от            15.04.2012 по 14.04.2013,"1. Отдел в магазине «Бриз» - г. Зима, ул. Березовского, д. 66;",,,,,
65,Общество с ограниченной ответственностью «Удачное»           ИНН 3814009745,МИФНС России № 14 по Иркутской области и УОБАО,     А 154409               с 16.04.2012                         по 15.04.2015          ,"Отдел ООО ""Удачное"" в маг. «Удачный» - г. Зима, ул. Лазо, 29",,,,,
