Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
448,"ООО ""ТриО"", юр.адрес: 626391, Россия, Тюменская область, Исетский район, пос. Коммунар, ул. Ленина, д. 25
руков.:Швецова А.А., тел. (34537) 24-334  89044764720, факс (34537) 24-317",ИНН 7216001592,28/08/2006,72-РАП №3596,27/08/2014,"1)Тюменская область, Исетский район, п. Коммунар, ул. Ленина, д. 25, магазин ""Незабудка"" (открыт 28.08.06)
2)Тюменская область, Исетский район, д. Кукушки, ул. Котовского, д. 23, магазин ""Сибирячка"" (открыт 28.08.06)
",продлена реш. №755 от 19/09/2011  до 27/08/2014, Прим: Дата проверки 26.03.2009 (замечание) 2.Изменение юридического адреса реш.№ 755 от 19.09.11),Управление Л и РПР ТО,
,,,,,,,,,,
449,"ООО ""Заводоуковский элеватор"", юр.адрес: 627141, Тюменская область, Заводоуковский район, г. Заводоуковск, Элеваторный переулок, д. 2
руков.:Нейфельд Ю.Р., тел. (34542) 22-708  22-560",ИНН 7215000469  ОГРН 1057200445763 (дата регистрации 24.06.05),28/08/2006,72-РАП №3588,27/08/2012,"1)Тюменская область, г. Заводоуковск, Элеваторный переулок, д. 2, строение 2/1, магазин ""Смешанные товары"" (открыт 28.08.06)
",продлена реш. №641 от 21/07/2011  до 27/08/2012," Прим: Дата проверки 08.11.07 (отбор проб)  2.Проверка 08.11.10 (без нарушений, отбор проб)",Управление Л и РПР ТО,
450,"ООО ""Оксана"", юр.адрес: 626395, Тюменская область, Исетский район, с. Денисово, ул. Новоселов, д. 2 А
руков.:Сорокин В.Ю., тел. 8-922-471-8290",ИНН 7216005332  ОГРН 1067207008417 (дата регистрации 20.06.06),28/08/2006,72-РАП №3590,27/08/2012,"1)Тюменская область, Исетский район, с. Денисово, ул. Гагарина, д. 21, магазин (открыт 21.12.09)
",продлена реш. №759 от 21/09/2011  до 27/08/2012, Прим: Дата проверки 26.03.2009 (замечание),Управление Л и РПР ТО,
451,"ООО ""Керикс"", юр.адрес: 625013, Россия, Тюменская область, г. Тюмень, ул. Энергетиков, 51-197
руков.:Афанасьева Е.П., тел. (3452) 30-48-21",ИНН 7203177800  ОГРН 1067203316916  (дата регистрации 15.06.06),28/08/2006,72-РАП №3582,27/08/2012,"1)г. Тюмень, ул. Кремлевская, д. 31, магазин ""Продукты"" (открыт 28.08.06)
",продлена реш. №699 от 29/08/2011  до 27/08/2012, Прим: Дата проверки 11.12.09 (замечание),Управление Л и РПР ТО,
452,"ООО ""Русь"", юр.адрес: Тюменская область, Абатский район, с. Абатское, ул. Лермонтова, д. 7
руков.:Квашнин И.Н., тел. (34556) 41-269  8-950-492-0588",ИНН 7208002987  ОГРН 1067208010286 (дата регистрации 22.05.06),28/08/2006,72-РАП №3583,27/08/2012,"1)Тюменская область, Абатский район, с. Абатское, ул. Лермонтова, д. 7, магазин ""Русь"" (открыт 28.08.06)
",продлена реш. №696 от 29/08/2011  до 27/08/2012, Прим: Дата проверки 23.04.2008 (предписание),Управление Л и РПР ТО,
453,"ООО ""Стрелец"", юр.адрес: Тюменская область, Абатский район, с. Ощепково, пер. Лесной, д. 4
руков.:Бочанов В.А., тел. 8-950-495-8090",ИНН 7208003099  ОГРН 1067208010649 (дата регистрации 12.07.06),28/08/2006,72-РАП №3592,27/08/2012,"1)Тюменская область, Абатский район, с. Ощепково, ул. Карла Маркса, д. 11/2, магазин ""Стрелец"" (открыт 28.08.06)
2)Тюменская область, Абатский район, с. Ощепково, ул. Горького, д. 8, магазин ""Стрелец-2"" (открыт 28.08.06)
",продлена реш. №694 от 25/08/2011  до 27/08/2012, Прим: Дата проверки 22.04.2008 (предписание),Управление Л и РПР ТО,
,,,,,,,,,,
454,"ООО ""Удача"", юр.адрес: 627180, Российская Федерация, Тюменская область, Упоровский район, с. Упорово, ул. Крупской, д. 28
руков.:Муромцев Г.Н., тел. (34541) 3-1460, факс (34541) 3-1135",ИНН 7226004641  ОГРН 1067215010060  (дата регистрации 03.05.06),30/08/2006,72-РАП №3607,29/08/2016,"1)Тюменская область, Упоровский район, с. Буньково, ул. Республики, д. 56/1, магазин (открыт 30.08.06)
2)Тюменская область, Упоровский район, с. Упорово, ул. Володарского, д. 36, магазин (открыт 30.08.06)
",продлена реш. №722 от 06/09/2011  до 29/08/2016, Прим: Проверка 18.04.11 (без замечаний),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Упоровский район, п. Механизаторов, ул. 60 лет СССР, д. 7, магазин (открыт 30.08.06)
4)Тюменская область, Упоровский район, с. Ингалинское, ул. Мира, д. 25, магазин (открыт 30.08.06)
",,,,
,,,,,,"5)Тюменская область, Упоровский район, д. Тюменцева, ул. Приозерная, д. 22, магазин (открыт 30.08.06)
6)Тюменская область, Упоровский район, с. Липиха, ул. Центральная, д. 2/1, магазин (открыт 30.08.06)
",,,,
,,,,,,"7)Тюменская область, Упоровский район, с. Суерка, ул. Советская, д. 44, магазин (открыт 30.08.06)
8)Тюменская область, Упоровский район, с. Одино, ул. Северная, д. 1, магазин (открыт 30.08.06)
",,,,
,,,,,,"9)Тюменская область, Упоровский район, с. Масали, ул. Центральная, д. 11 а, магазин (открыт 30.08.06)
10)Тюменская область, Упоровский район, д. Черная, ул. Советская, д. 72, магазин (открыт 30.08.06)
",,,,
,,,,,,"11)Тюменская область, Упоровский район, с. Упорово, ул. Заречная, д. 27,  магазин ""Смешанные товары"" (открыт 23.04.07)
12)Тюменская область, Упоровский район, с. Бызово, ул. Ленина, д. 1, магазин (открыт 25.12.07)
",,,,
,,,,,,"13)Тюменская область, Упоровский район, с. Упорово, ул. Крупской, д. 3, магазин (открыт 10.11.08)
14)Тюменская область, Упоровский район, с. Емуртла, ул. Ленинградская, д. 15В, магазин (открыт 12.08.10)
",,,,
,,,,,,,,,,
455,"ООО ""Ивушка"", юр.адрес: 625514, Тюменская область, Тюменский район, с. Созоново, ул. Мира, д. 4
руков.:Даниленкова А.В., тел. 8-922-477-3023",ИНН 7224032918  ОГРН 1067203314793 (дата регистрации 06.06.06),30/08/2006,72-РАП №3610,29/08/2012,"1)Тюменская область, Тюменский район, с. Созоново, ул. Мира, д. 4, магазин ""Ивушка"" (открыт 30.08.06)
",продлена реш. №546 от 06/07/2011  до 29/08/2012, Прим: Дата проверки 19.05.2009 (замечание),Управление Л и РПР ТО,
456,"ООО ""Три кита"", юр.адрес: 625035, РФ, Тюменская область, г. Тюмень, проезд Геологоразведчиков, д. 10
руков.:Китов С.Н., тел. 99-36-10",ИНН 7202149408  ОГРН 1067203314870 (дата регистрации 07.06.11),30/08/2006,72-РАП №3604,29/08/2014,"1)г. Тюмень, ул. Малыгина, д. 14, корпус 2/3, магазин ""Продукты"" (открыт 30.08.06)
",продлена реш. №686 от 24/08/2011  до 29/08/2014, Прим: Дата проверки 10.12.09 (без нарушений),Управление Л и РПР ТО,
457,"ООО ""Три кита плюс""  (""Три кита +""), юр.адрес: Россия, 625504, Тюменская область, Тюменский район, п.г.т. Боровский, ул. Островского, д. 20, строение 1
руков.:Миралеева М.П., тел. 95-92-74",ИНН 7224033365  ОГРН 1067203323571 (дата регистрации 11.07.06),30/08/2006,72-РАП №3600,29/08/2016,"1)Тюменская область, Тюменский район, п.г.т. Боровский, ул. Островского, д. 20, строение 1, магазин ""Сирень"" (открыт 30.08.06)
",продлена реш. №691 от 24/08/2011  до 29/08/2016, Прим: Дата проверки 14.08.07 (отбор проб) 2.Проверка 19.08.10 (замечание),Управление Л и РПР ТО,
458,"ООО ""Перспектива"", юр.адрес: 625037, Россия, Тюменская область, г. Тюмень, ул. Брестская, д. 10/2
руков.:Погребняк В.С., тел. (3452) 43-44-45, факс perspectiwa-1989@yandex.ru",ИНН 7204021393  ОГРН 1027200839027 (дата регистрации 05.12.02),30/08/2006,72-РАП №3608,29/08/2012,"1)г. Тюмень, ул. Брестская, д. 10/2, магазин ""Песпектива"" (открыт 30.08.06)
",продлена реш. №718 от 01/09/2011  до 29/08/2012, Прим: Дата проверки 11.12.09 (замечание) 2.Проверка 10.12.10 (отбор проб),Управление Л и РПР ТО,
459,"ООО ""Черепанов и М"", юр.адрес: 627032, Тюменская область, Ялуторовский район, с. Беркут, ул. Первомайская, д. 27, кв. 11
руков.:Черепанов С.И., тел. 8-904-888-1302",ИНН 7207009235  ОГРН 1067207008340 (дата регистрации  07.06.06),31/08/2006,72-РАП №3614,30/08/2012,"1)Тюменская область, Ялуторовский район, с. Беркут, ул. Первомайская, д. 26, магазин ""Товары повседневного спроса"" (открыт 31.08.06)
",продлена реш. №725 от 06/09/2011  до 30/08/2012, Прим: Дата проверки 13.04.2009 (замечание),Управление Л и РПР ТО,
460,"ООО ""Западный Квартал"", юр.адрес: 625501, Тюменская область, Тюменский район, п. Московский, ул. Пихтовая, д. 1
руков.:Соляных П.Г., тел. 97-63-80  73-86-35  764-718",ИНН 7224032717  ОГРН 1067203299327 (дата регистрации 19.05.06),31/08/2006,72-РАП №3615,30/08/2012,"1)Тюменская область, Тюменский район, п. Московский, ул. Пихтовая, д. 1, магазин ""Околица"" (открыт 31.08.06)
",продлена реш. №778 от 29/09/2011  до 30/08/2012, Прим: 1. Дата проверки 10.10.06 (отбор проб)  2. Дата проверки 04.03.09 (замечание),Управление Л и РПР ТО,
461,"ООО ""ЛИКА"", юр.адрес: 625001, Россия, Тюменская область, г. Тюмень, ул. Ямская, д. 98 а
руков.:Ларионова И.А., тел. 91-44-81  42-78-63",ИНН 7204100327  ОГРН 1067203316036 (дата регистрации 13.06.06),31/08/2006,72-РАП №3612,30/08/2013,"1)г. Тюмень, ул. Ямская, д. 98 А, магазин ""Продукты"" (открыт 31.08.06)
",продлена реш. №663 от 17/08/2011  до 30/08/2013, Прим: Дата проверки 21.03.11 (замечание),Управление Л и РПР ТО,
462,"ООО ""Вусал"", юр.адрес: 625000, Россия, Тюменская область, г. Тюмень, ул. Газовиков, д. 12
руков.:Мамедов З.Д.о., тел. (3452) 24-92-88",ИНН 7202147986  ОГРН 1067203253810 (дата регистрации 28.04.06),31/08/2006,72-РАП №3611,30/08/2016,"1)г. Тюмень, ул. Невская, д. 35, магазин (открыт 25.07.08)
2)г. Тюмень, ул. Революции, д. 1А/2, магазин (открыт 03.02.09)
",продлена реш. №719 от 01/09/2011  до 30/08/2016," Прим: 1.Дата проверки 11.12.09 (предписание) 2.Проверка 22.11.10 (предписание, отбор проб)",Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. Магнитогорская, д. 7/1, магазин ""Продукты"" (открыт 10.11.11)
",,,,
463,"ООО ""Гришан"", юр.адрес: Российская Федерация, 627300, Тюменская область, Голышмановский район, р.п. Голышманово, ул. Ленина, д. 119
руков.:Гришан И.М., тел. (34546) 2-65-71 8-902-623-3454",ИНН 7214008056  ОГРН 1067214009686 (дата регистрации 26.07.06),04/09/2006,72-РАП №3624,03/09/2014,"1)Тюменская область, Голышмановский район, р.п. Голышманово, ул. Садовая, д. 176, магазин ""Русь"" (открыт 04.09.06)
2)Тюменская область, Голышмановский район, р.п. Голышманово, ул. Комсомольская, д. 126, магазин (открыт 29.04.10)
",продлена реш. №720 от 01/09/2011  до 03/09/2014," Прим: Проверка 02.06.09 (замечания, отбор проб)",Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Голышмановский район, р.п. Голышманово, ул. Дзержинского, д. 24, магазин (открыт 29.04.10)
",,,,
464,"ООО ""Айсберг"", юр.адрес: Тюменская область, Казанский район, п. Челюскинцев, ул. Советская, д. 5
руков.:Назаревич А.П., тел. (34553) 33-530",ИНН 7218005715  ОГРН 1067205027779 (дата регистрации 11.08.06),14/09/2006,72-РАП №3628,13/09/2012,"1)Тюменская область, Казанский район, п. Челюскинцев, ул. Советская, д. 5, магазин (открыт 14.09.06)
",продлена реш. №798 от 06/10/2011  до 13/09/2012, Прим: Дата проверки 08.04.08 (предписание),Управление Л и РПР ТО,
465,"ООО ""Феникс"", юр.адрес: 625000, Российская Федерация, Тюменская область, г. Тюмень, ул. 50 лет ВЛКСМ, д. 79/1
руков.:Федорова Н.Н., тел. 36-53-68  70-61-74",ИНН 7203177310  ОГРН 1067203314540 (дата регистрации 05.06.10),15/09/2006,72-РАП №3633,14/09/2012,"1)г. Тюмень, ул. 50 лет ВЛКСМ, д. 79/1, магазин ""Рубин"" (открыт 15.09.06)
",продлена реш. №749 от 19/09/2011  до 14/09/2012, Прим: Дата проверки 15.05.2007 (без нарушений) 2.Дата проверки 15.06.10 (предписание),Управление Л и РПР ТО,
466,"ООО ""Ивушка"", юр.адрес: Россия, Тюменская область, Нижнетавдинский район, с. Андрюшино, ул. Комарова, д. 2
руков.:Шемягин А.Л., тел. 8-904-461-7661",ИНН 7219009470  ОГРН 1067203320018  (дата регистрации 28.06.2006),15/09/2006,72-РАП №3636,14/09/2012,"1)Тюменская область, Нижнетавдинский район, с. Андрюшино, ул. Комарова, д. 2, магазин ""Ивушка"" (открыт 15.09.06)
2)Тюменская область, Нижнетавдинский район, с. Антропово, ул. Почтовая, д. 5 А, магазин ""Ивушка"" (открыт 15.09.06)
",продлена реш. №772 от 27/09/2011  до 14/09/2012, Прим: Дата проверки 19.10.2010 (замечание),Управление Л и РПР ТО,
,,,,,,,,,,
467,"ООО ""Дионис"", юр.адрес: 627142, Тюменская область, г. Заводоуковск, ул. Мелиораторов, д. 10
руков.:Газгиреев А.И., тел. (34542) 2-27-68",ИНН 7215000927 ОГРН 1067215011786 (дата регистрации 01.06.06),15/09/2006,72-РАП №3632,14/09/2012,"1)Тюменская область, г. Заводоуковск, ул. Мелиораторов, д. 10, магазин (открыт 15.09.06)
2)Тюменская область, Заводоуковский район, с. Гилево, ул. Советская, д. 28, магазин (открыт 15.09.06)
",продлена реш. №757 от 19/09/2011  до 14/09/2012, Прим: Дата проверки 23.04.2009 (замечание),Управление Л и РПР ТО,
,,,,,,,,,,
468,"ООО ""Рубин"", юр.адрес: 625000, Тюменская область, г. Тюмень, ул. Республики, д. 214
руков.:Кривец В.М., тел. (3452) 27-26-66",ИНН 7203179236  ОГРН 1067203327487 (дата регистрации 19.07.06),19/09/2006,72-РАП №3645,18/09/2012,"1)г. Тюмень, ул. Республики, д. 214, магазин ""Рубин"" (открыт 19.09.06)
",продлена реш. №766 от 23/09/2011  до 18/09/2012," Прим: Дата проверки 18.12.09 (без нарушений, отбор проб)",Управление Л и РПР ТО,
469,"ООО ""Лузина"", юр.адрес: 625023, Россия, Тюменская область, г. Тюмень, ул. Одесская, д. 14
руков.:Лузина Л.Н., тел. (3452) 43-20-98",ИНН 7203071360   ОГРН 1027200839380 (дата регистрации 15.06.02),19/09/2006,72-РАП №3642,18/09/2016,"1)г. Тюмень, ул. Барнаульская, д. 67, магазин (открыт 19.09.06)
",продлена реш. №254 от 22/04/2011  до 18/09/2016, Прим: Дата проверки 07.12.09 (без нарушений)  2.Проверка 09.11.10 (отбор проб),Управление Л и РПР ТО,
470,"ООО ""Смак"", юр.адрес: 626240, Тюменская область, Вагайский район, с. Вагай, ул. Первухина, д. 5 ""а""
руков.:Мельникова Н.А., тел. (34539) 21-242",ИНН 7212003990 ОГРН 1027201304415 (дата регистрации 28.12.02),19/09/2006,72-РАП №3644,18/09/2012,"1)Тюменская область, Вагайский район, с. Вагай, ул. Первухина, д. 5 ""а"", магазин ""Визит"" (открыт 19.09.06)
2)Тюменская область, Вагайский район, п. Заречный, ул. Центральная, д. 1 ""а"", магазин. (открыт 24.04.09)
",продлена реш. №791 от 06/10/2011  до 18/09/2012, Прим: Дата проверки 22.07.2008 (предписание),Управление Л и РПР ТО,
,,,,,,,,,,
471,"ООО ""Золотой Марципан"", юр.адрес: 625048, Тюменская область, г. Тюмень, ул. Малыгина, д. 59/11
руков.:Гаврилов В.И., тел. 40-24-60  74-0041, факс 40-34-84",ИНН 7202152143  ОГРН 1067203342953 (дата регистрации 25.08.06),26/09/2006,72-РАП №3651,25/09/2016,"1)г. Тюмень, ул. Малыгина, д. 59/11, кофейня ""Золотой Марципан"" (открыт 26.09.06)
",продлена реш. №732 от 07/09/2011  до 25/09/2016," Прим: Дата проверки 01.12.09 (без нарушений, отбор проб)",Управление Л и РПР ТО,
472,"ООО ""Анастасия"", юр.адрес: Тюменская область, г. Ялуторовск, ул. Карбышева, д. 4
руков.:Кожевников В.А., тел. (34-535) 2-26-02",ИНН 7207009267  ОГРН 1067207008373 (дата регистрации 14.06.06),26/09/2006,72-РАП №3650,25/09/2012,"1)Тюменская область, г. Ялуторовск, ул. Карбышева, д. 4, магазин ""Продукты"" (открыт 26.09.06)
",продлена реш. №748 от 15/09/2011  до 25/09/2012, Прим: Дата проверки 09.04.2009 (предписание),Управление Л и РПР ТО,
473,"ООО ""Кузнецова и сыновья"", юр.адрес: 626019, Тюменская область, Тюменский район, с. Онохино, ул. Центральная, дом 45
руков.:Кузнецова Ф.К., тел. 77-93-91  8-950-483-0415",ИНН 7224033319  ОГРН 1067203321547 (дата регистрации 03.07.06),26/09/2006,72-РАП №3652,25/09/2014,"1)Тюменская область, Тюменский район, с. Онохино, ул. Центральная, дом 45, магазин ""Домовой"" (открыт 26.09.06)
",продлена реш. №706 от 30/08/2011  до 25/09/2014, Прим: Проверка 19.06.07 (отбор проб) 2.Проверка 28.10.11 (без нарушений),Управление Л и РПР ТО,
474,"ООО ""Алмаз"", юр.адрес: 625000, Россия, Тюменская область, г. Тюмень, ул. Малиновского, д. 6
руков.:Осколкова Н.А., тел. 48-75-76",ИНН 7203178440 ОГРН 1067203320360 (дата регистрации 29.06.06),28/09/2006,72-РАП №3671,27/09/2016,"1)г. Тюмень, ул. Малиновского, д. 6, магазин ""Продукты"" (открыт 28.09.06)
",продлена реш. №751 от 19/09/2011  до 27/09/2016," Прим: Дата проверки 17.12.09 (замечание, отбор проб)",Управление Л и РПР ТО,
475,"ООО ""Восток"", юр.адрес: 627250, Тюменская область, Юргинский район, с. Юргинское, ул. Центральная, д. 56
руков.:Коровин Н.В., тел. (34543) 2-38-75",ИНН 7227001900  ОГРН 1027201672299 (дата регистрации 18.10.02),28/09/2006,72-РАП №3656,27/09/2012,"1)Тюменская область, Юргинский район, с. Юргинское, ул. Центральная, д. 56, магазин (открыт 28.09.06)
2)Тюменская область, Юргинский район, с. Новый Тап, ул. Школьная, д. 10, магазин (открыт 28.09.06)
",продлена реш. №868 от 25/10/2011  до 27/09/2012,,Управление Л и РПР ТО,
,,,,,,,,,,
476,"ООО ""Шиллинг"", юр.адрес: Тюменская область, Сладковский район, д. Рождественка, ул. Центральная, д. 12
руков.:Бронникова Г.В., тел. 8-919-929-8584",ИНН 7221003595  ОГРН 1067208010737 (дата регистрации 16.08.06),28/09/2006,72-РАП №3659,27/09/2012,"1)Тюменская область, Сладковский район, д. Рождественка, ул. Центральная, д. 12, магазин ""Шиллинг"" (открыт 28.09.06)
",продлена реш. №769 от 26/09/2011  до 27/09/2012, Прим: Дата проверки 20.12.2006 (отбор проб)  2.Дата проверки 09.02.2010 (предписание),Управление Л и РПР ТО,
477,"ООО ""Исеть+"", юр.адрес: Тюменская область, Ялуторовский район, г. Ялуторовск, ул. Свободы, д. 138
руков.:Луцив Н.Ю., тел. (34535) 3-08-32",ИНН 7207009130  ОГРН 1067207008230 (дата регистрации 25.05.06),28/09/2006,72-РАП №3664,27/09/2012,"1)Тюменская область, г. Ялуторовск, ул. Свободы, д. 138, магазин ""Юлия"" (открыт 28.09.06)
",продлена реш. №763 от 22/09/2011  до 27/09/2012,,Управление Л и РПР ТО,
478,"ООО ""Тандем"", юр.адрес: 625053, Россия, Тюменская область, г. Тюмень, ул. Боровская, д. 7, к. 45
руков.:Степанов А.Н., тел. (3452) 64-96-97  8-912-924-7287",ИНН 7203176820  ОГРН 1067203307401 (дата регистрации 24.05.06),28/09/2006,72-РАП №3665,27/09/2012,"1)г. Тюмень, ул. Широтная, д. 200, корпус 2, магазин ""Орбита"" (открыт 28.09.06)
",продлена реш. №785 от 03/10/2011  до 27/10/2012, Прим: Проверка 22.05.07 (отбор проб)  2.Дата проверки 03.06.10 (замечания),Управление Л и РПР ТО,
479,"ООО ""Таврия"", юр.адрес: Российская Федерация, Тюменская область, Тюменский район, п. Богандинский, ул. Мира, д. 23
руков.:Боева О.А., тел. 720-328  460004",ИНН 7224014073  ОГРН 1037200556051 (дата регистрации 15.01.03),28/09/2006,72-РАП №3673,27/09/2014,"1)Тюменская область, Тюменский район, п. Богандинский, ул. Мира, д. 23, магазин (открыт 28.09.06)
2)Тюменская область, Тюменский район, с. Княжево, ул. Берегового, д. 1 А , магазин (открыт 28.09.06)
",продлена реш. №752 от 19/09/2011  до 27/09/2014, Прим: Дата проверки 25.07.07 (отбор проб) 2.Проверка 11.10.11 (без нарушений),Управление Л и РПР ТО,
,,,,,,,,,,
480,"ООО ""Нэпман"", юр.адрес: 625007, Российская Федерация, Тюменская область, г. Тюмень, ул. Широтная, д. 29/15
руков.:Максимова Л.В., тел. 75-55-09  74-40-19",ИНН 7203172590  ОГРН 1067203076236 (дата регистрации 02.03.06),28/09/2006,72-РАП №3655,27/09/2016,"1)г. Тюмень, ул. Широтная, д. 29/15, магазин ""Нэпман"" (открыт 28.09.06)
",продлена реш. №760 от 21/09/2011  до 27/09/2016," Прим: Дата проверки 07.06.07 2.Дата проверки 14.12.09 (замечание, отбор проб) 3.Изменение адреса местонахождения (реш. 5 от 21.01.10)",Управление Л и РПР ТО,
481,"ООО ""Стратегия"", юр.адрес: Российская Федерация, г. Тюмень, ул. Кирова, д. 28
руков.:Шевцов А.В., тел. (3452) 36-31-14",ИНН 7202115208  ОГРН 1037200596487 (дата регистрации 04.04.03),29/09/2006,72-РАП №3660,28/09/2016,"1)г. Тюмень, ул. Олимпийская, д. 9, корпус 1, 2-й этаж, кафе ""Астероид"" (общепит) (открыт 29.09.06)
",продлена реш. №723 от 06/09/2011  до 28/09/2016," Прим: Дата проверки 01.12.09 (замечание, отбор проб)",Управление Л и РПР ТО,
482,"ООО ""РустАл"", юр.адрес: 625512, Россия, Тюменская область, Тюменский район, с. Каскара, ул. Советская, д. 10
руков.:Ихсанова М.А., тел. (3452) 761-229",ИНН 7224033679  ОГРН 1067203335539 (дата регистрации 10.08.06),05/10/2006,72-РАП №3678,04/10/2012,"1)Тюменская область, Тюменский район, с. Каскара, ул. Советская, д. 10, магазин ""РустАл"" (открыт 05.10.06)
2)Тюменская область, Тюменский район, д. Янтык, ул. Северная, д. 20, магазин (открыт 16.02.11)
",продлена реш. №786 от 04/10/2011  до 04/10/2012, Прим: Дата проверки 08.07.2008 (предписание),Управление Л и РПР ТО,
,,,,,,,,,,
483,"ООО ""Арго"", юр.адрес: 626380, Российская Федерация, Тюменская область, Исетский район, с. Исетское, ул. Гагарина, д. 1
руков.:Мужикян Р.Г., тел. (34537) 21-729",ИНН 7216000398 ОГРН 1027201463816 (дата регистрации 11.12.02),05/10/2006,72-РАП №3676,04/10/2012,"1)Тюменская область, Исетский район, с. Исетское, ул. Гагарина, д. 1, магазин (открыт 05.10.06)
",продлена реш. №905 от 01/11/2011  до 04/10/2012, Прим: Дата проверки 02.04.2009 (замечание),Управление Л и РПР ТО,
484,"ООО ""Простор"", юр.адрес: 625001, г. Тюмень, проезд Воронинские горки, д. 194
руков.:Орлов Ю.А., тел. (3452) 23-41-07",ИНН 7203065060  ОГРН 1027200846672  (дата регистрации 16.04.1998),05/10/2006,72-РАП №3683,04/10/2016,"1)г. Тюмень, проезд Воронинские горки, д. 194, магазин ""Продукты"" (открыт 05.10.06)
2)г. Тюмень, пр. Воронинские горки, д. 194, кафе ""Услада"" (общепит) (открыт 05.10.06)
",продлена реш. №784 от 03/10/2011  до 04/10/2016, Прим: Дата проверки 17.05.2007 (без нарушений) 2.Изменение адреса местонахождения (реш. От 04.05.08) 3.Дата проверки 31.08.10 (предписание),Управление Л и РПР ТО,
,,,,,,,,,,
485,"ООО ""Японский ресторан"", юр.адрес: 625048, Российская Федерация, Тюменская область, г. Тюмень, ул. Республики, д. 141
руков.:Богданов Я.А., тел. 688-328",ИНН 7204094296  ОГРН 1057200891626 (дата регистрации 07.11.05),05/10/2006,72-РАП №3681,04/10/2016,"1)г. Тюмень, ул. Республики, д. 141, ресторан ""ТСУРУ"" (общепит) (открыт 05.10.06)
",продлена реш. №910 от 02/11/2011  до 04/10/2016," Прим: Дата проверки 01.12.09 (замечание, отбор проб)  2.Изменение юридического адреса (реш.№910 от 02.11.11)",Управление Л и РПР ТО,
486,"ООО ""ТриО"", юр.адрес: 627070, Тюменская область, Омутинский район, с. Омутинское, ул. Шоссейная, д. 10
руков.:Федоренко Л.Т., тел. (34544) 3-15-88",ИНН 7220504415  ОГРН 1067220009471 (дата регистрации 05.07.06),05/10/2006,72-РАП №3684,04/10/2012,"1)Тюменская область, Омутинский район, с. Омутинское, ул. Шоссейная, д. 10, магазин ""Смешанные товары"" (открыт 05.10.06)
2)Тюменская область, Омутинский район, с. Омутинское, ул. Терешковой, д. 13а, магазин ""Радуга"" (открыт 02.07.08)
",продлена реш. №764 от 22/09/2011  до 04/10/2012, Прим: Дата проверки 16.06.2009 (без нарушений),Управление Л и РПР ТО,
,,,,,,,,,,
487,"ООО ""Кристалл"", юр.адрес: 625520, Российская Федерация, Тюменская область, Тюменский район, п. Богандинский, ул. Ломоносова, 8-2
руков.:Васильева Г.Б., тел. (3452) 25-50-66",ИНН 7224032509  ОГРН 1067203253974 (дата регистрации 28.04.06),05/10/2006,72-РАП №3680,04/10/2012,"1)Тюменская область, Тюменский район, р.п. Богандинский, ул. Ломоносова, д. 8, помещение 2, магазин ""Кристалл"" (открыт 05.10.06)
",продлена реш. №909 от 01/11/2011  до 04/10/2012, Прим: Дата проверки 25.07.07 (отбор проб)   2.Проверка 21.07.10 (замечание),Управление Л и РПР ТО,
488,"ООО ""Ирина"", юр.адрес: 627598, Тюменская область, Викуловский район, с. Озерное, ул. Приозерная, д. 50
руков.:Киданова И.В., тел. (34-557) 43-377",ИНН 7213004267  ОГРН 1067208010220 (дата регистрации 19.05.06),10/10/2006,72-РАП №3691,09/10/2012,"1)Тюменская область, Викуловский район, с. Озерное, ул. Советская, д. 50, магазин ""Ирина"" (открыт 10.10.06)
",продлена реш. №871 от 25/10/2011  до 09/10/2012, Прим: Дата проверки 06.06.2008 (предписание)  2.Изменение юридического адреса реш.№871 от 25.10.11,Управление Л и РПР ТО,
489,"ЗАО ""Торговый дом ""Перекресток"", юр.адрес: 103473, г. Москва, Суворовская площадь, д. 1
руков.:Пономарь В.В., тел. (495) 232-5924 (3452) 520-787",ИНН 7728029110  ОГРН 1027700034493  (дата регистрации 17.07.02),10/10/2006,72-РАП №3689,09/10/2016,"1)г. Тюмень, ул. Максима Горького, д. 70, гипермаркет ""Гудвин"" (открыт 10.10.06)
2)г. Тюмень, ул. 2-я Луговая, д. 30, универсам ""ПЕРЕКРЕСТОК"", 1-й этаж (открыт 06.08.09)
",продлена реш. №800 от 07/10/2011  до 09/10/2016," Прим: Проверка 13.12.10 (замечание, отбор проб) 2.Проверка 29.03.11 (замечание)",Управление Л и РПР ТО,
,,,,,,"3)г. Тюмень, ул. Пермякова, д. 50 ""б"", супермаркет ""Перекресток"" (открыт 16.03.10)
",,,,
