"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ИО ""Казачинско-Ленский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
18,"Юридическое лицо ООО ""Стела""               ИНН 3818026974","Иркутская обл          г. Усть-Кут                  ул. Кирова,31-34",38 МЕ    007884 №5   17.04.2012 по 23.04.2016  взамен                  38 МЕ    007882 №3   06.03.2012 по 23.04.2016 ,"п. Улькан ул.                                       Азербайджанская, 53б                            аренда отдела маг. Азад;                           ул. Спортивная, 2а           аренда отдела маг. Кедр;                  ул.26 Бак. комиссаров 7а       отд. в маг. Сибирь;                  п. Магистральный               ул.  17 съезда ВЛКСМ 55а                                                    аренда отдела  маг. Джавид                                д. Седанкина ул. Заречная 26А магазин",,,,,Администрация Усть-Кутского муниципального образования,
19,"Юридическое лицо ООО ""Барс""               ИНН 3818027093","Иркутская обл          г. Усть-Кут                  ул. Кедровая,        19А",38 МЕ 007851 №12            14.07.2011   по 08.10.2015                       ,п. Магистральный ул. 60 л Октября 12                         арендуемый отдел    - маг. Россия;         ул.60 лет Октября 27б  аренда  отдела -маг.Янтарь;        ул.Корчагинская 2а аренда отдела в        -маг Агдам;         МК131 ул.Центральная 12 аренда отдела в        -маг Север;              ул. Вокзальная 5       -аренда отдела в здании;                  ул 17 съезда ВЛКСМ 50а  аренда отдела в          -маг. Запад;            п. Ключи ул. 30 лет Победы 8а аренда   -отдела маг. БИС                                                 ,,,,,Администрация Усть-Кутского муниципального образования,
20,"Юридическое лицо ООО ""Вектор Север""               ИНН 3805710496","Иркутская обл г. Братск                      ул. Гайнулина,       1А-1",38 МЕ    006379 №806   08.08.2011 27.05.2012                        ,п. Магистральный ул.Иркутская  2А                         арендуемый отдел маг.Джавид 2                                                  ,,,,,Администрация г. Братск,
21,"Юридическое лицо ООО ""1 квартал""      ИНН 3818020517","Иркутская обл Казачинско-Ленский р-он          п. Магистральный  ул.Российская, 3",№52 А196360 19.07.2011 по 19.07.2012        ,"п. Магистральный                 ул. Российская, 3             маг. 1 квартал",,,7/19/2012,,,
22,"Юридическое лицо ООО ""Цезарь""      ИНН 3818029580","Иркутская обл Казачинско-Ленский р-он          п. Магистральный  ул.17 Съезда ВЛКСМ, 26Б",№1 А196365 30.12.2011 до 30.12.2012        ,"п. Магистральный                 ул. 17 съезда ВЛКСМ, 26Б маг. Купец                                  ",,,,,,
23,"Юридическое лицо ООО ""Верезубов""                     ИНН 3818028410","Иркутская обл Казачинско-Ленский р-он                         п. Улькан, ул.Бурлова, 1а",№5 А196368 13.03.2012 по  13.03.2014,"п.Улькан        ул.Спортивная, 5                маг. Колос",,,,,,
24,"Юридическое лицо ООО ""НАДЕЖДА""             ИНН 3818030018","Иркутская обл Казачинско-Ленский р-он                          с. Казачинское     ул. Профсоюзная,13",№ 6 А196369 02.04.2012 по         02.04.2013   ,"с. Казачинское                  ул.Коммунистическая, 7А                           маг. Крепость",,,,,,
25,"Юридическое лицо ООО ""Эталон""                     ИНН 3818019670","Иркутская обл Казачинско-Ленский р-он                         п. Магистральный  ул.Карбышева, 1-4",№9 А196382 27.04.2012 по  27.04.2013,"п. Магистральный                 ул.17 съезда ВЛКСМ, 17                  маг.Злата                                        ",,,,,,
26,"Юридическое лицо ООО ""Киренга""             ИНН 3818019293","Иркутская обл Казачинско-Ленский р-он                          п. Магистральный    ул. Пугачева,16",№9 А196306 30.06.2006 до 01.03.2011   продлена до 28.02.2012г.      ,"п. Магистральный                  ул. Пугачева, 16 а               маг. Киренга",,,2/28/2012,,,
27,"Юридическое лицо МУП ""Колос""                     ИНН 3828002443","Иркутская обл Казачинско-Ленский р-он                         п. Магистральный  ул.Российская, 12",№29 А196349 01.03.2010   27.02.2012г  взамен А196355 №50 от 5.03.11г. по 27.02.2012г.,"п. Магистральный                 ул. Российская, 12                  маг. Колос - 1 ул.Вокзальная, 2              маг.Колос-2     ул.Российская, 11а          столовая                               ул. Лесной массив 15                       кафетерий",,,28.02.2012г,,,
28,"Юридическое лицо ООО ""Кедр""                ИНН 3818019984",Иркутская обл Казачинско-Ленский р-он          п. Окунайский ул. 40 лет Победы 11/1,№11 А196373 28.05.2012 28.05.2013 г.      ,п.Окунайский                                                                           ул. 40 лет Победы 19/1            - маг.Кедр,,,,,,
29,"Юридическое лицо ООО ""Баргузин""                 ИНН 3818019423","Иркутская обл Казачинско-Ленский р-он           п. Улькан ул. Кокчетавская,17",№10 А196372 14.05.2012 по 14.05.2013г. ,"п. Улькан                                                               ул. Лесная, 17                                                      маг. Баргузин",,,,,,
30,"Юридическое лицо ООО ""Русь плюс""      ИНН 3818020771",Межрайонная ИФНС №13 по Иркутской области и УОБАО,№20 А196319 02.10.2006 28.08.2011        ,"п. Улькан    ул. Ульканская, 22        маг. Русь плюс",,,8/28/2011,,,
31,"Юридическое лицо ООО ""Экспресс""      ИНН 3828001513",Межрайонная ИФНС №13 по Иркутской области и УОБАО,№21 А196320 03.10.2006 26.06.2011 продлена до 26.06.2012        ,"п. Магистральный   ул. Российская, 1д  маг. Кулинария-булочная  1 микрорайон, 3а   маг. Продуктовый",,,,,,
32,"Юридическое лицо ООО ""Баргузин""      ИНН 3818019423",Межрайонная ИФНС №13 по Иркутской области и УОБАО,№22 А196321 05.10.2006 01.06.2011        ,"п. Улькан ул. Лесная, 17  маг. Баргузин",,,6/1/2011,,,
33,"Юридическое лицо ООО ""Новрузов и К""                     ИНН 3818019568",Межрайонная ИФНС №13 по Иркутской области и УОБАО,№23 А196322 05.10.2006 13.05.2011        ,"п. Магистральный  ул. 17 съезда ВЛКСМ, 50а   маг. Запад  1 микрорайон      маг. Юг     МК-131 маг. Север  ул.Корчагинская, 2а      маг. Агдам",,,12.05.2011г,,,
34,"Юридическое лицо ООО ""Радуга""           ИНН 3818020764",Межрайонная ИФНС №13 по Иркутской области и УОБАО,№24 А196323 13.11.2006 19.09.2011        ,"с.Казачинское  ул. Коммунистическая, 7а  маг. У Гриши и С",,,9/19/2011,,,
35,"Юридическое лицо ООО ""Артем""               ИНН 3818027262",Межрайонная ИФНС №13 по Иркутской области и УОБАО,№45  А196346 09.11.2010 01.04.2011 взамен        №44 А196341 02.04.2010   01.04.2011     ,п. Магистральный  ул. 60 лет Октября 27б  маг. Янтарь,,,4/1/2011,,,
36,"Юридическое лицо ООО ""Эликон""             ИНН 3818019617","Иркутская обл Казачинско-Ленский р-он          п. Магистральный  2 микрорайон, 4",№12 А196374 08.06.2012       08.06.2013г.   ,п.Магистральный                                                                     2 микрорайон. 4                                 - маг. Торговый Дом,,,,,,
37,"Юридическое лицо ЗАО ""Экспресс""      ИНН 3828001513","Иркутская обл Казачинско-Ленский р-он          п. Магистральный     1 микрорайон, 3а",№13 А196375 22.06.2012 до 22.06.2014           ,"п. Магистральный                     ул. Российская, 1д                    маг. Кулинария-булочная               1 микрорайон, 3а                               маг. Продуктовый",,,,,,
38,"Юридическое лицо ООО ""Полтина""      ИНН 3818020531","Иркутская обл Казачинско-Ленский р-он          п. Магистральный    ул.17съезда ВЛКСМ, 62",№17 А196379 от 16.07.201 по 16.07.2013,"п. Магистральный                        ул. 17 съезда ВЛКСМ, 62                               маг. Военторг",,,,,,
39,"Юридическое лицо ООО ""1 квартал""      ИНН 3818020517","Иркутская обл Казачинско-Ленский р-он          п. Магистральный  ул.Российская, 3",№16 А196378 от 17.07.2012 по 17.07.2013  ,"п. Магистральный                 ул. Российская, 3             маг. 1 квартал",,,,,,
40,"Юридическое лицо ООО ""ФУАД""               ИНН 3818019399","Иркутская обл Казачинско-Ленский р-он           п. Улькан     ул. Ульканская, 58", №14  А196376  от 11.07.2012 по 11.07.2013,"п. Улькан                                        ул. Лейманиса, 28а            маг. Мерке-1                                   ул. Лейманиса, 50                          маг. Мерке -2",,,,,,
